,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,1311902601.63,816227623.95,469686823.17,335546253.17,1292337384.73,946478701.40,654438657.23,415501638.50,1283295117.52,1032628561.12,666668356.08,405230007.83,1082348667.26,566965488.02,281837236.73,12825108.96,34222527.88,34015338.07,24589299.17,12136059.02,31821495.71,70107123.02,45465298.28,16338335.00,38411217.10,68377863.34,41459276.29,23257476.47,44372471.36,74393215.41,40335724.08,23253280.90,39094628.26,43883333.49,37734705.10,13107665.16,55055425.14,50387029.60,39827991.31,13559692.49,38896498.77,39446946.26,30310896.24,11081211.79,71565836.17,53227028.82,46516725.11,17985989.53,27652622.93,48346474.11,29187890.57,15813634.62,68823319.64,55649791.37,22067555.72,29775564.97,69775625.66,58263105.62,41545621.32,11102748.20,171447619.51,135338074.25,27090996.36,32684685.48,71272247.21,29546781.08,17462446.82,11961166.87,64436757.41,10997086.00,77749717.94,19353202.90,22269146.86,13131711.89,29989408.71,25346871.06,27143158.30,0.0
10,经营活动现金流出小计,97251395971.75,70417634462.68,48421111040.25,25588776970.31,91183153030.18,60557061740.23,38147178498.44,18755520433.99,69769636416.45,46121367997.23,30103829722.76,15007994343.02,45214762151.55,25808673331.62,12629052639.44,116712668.09,485887872.62,354321262.75,234068394.97,109780408.31,585123836.28,460723421.68,313100478.06,149387562.98,545355189.44,405640258.85,255221630.35,124112517.00,484008868.05,407999587.32,242237004.48,119277139.09,470680320.61,348155681.88,224639166.49,113880419.16,415240646.77,316090727.47,209669986.62,110936926.25,335808828.09,257684608.44,209753427.83,97755753.33,347336508.59,264464562.28,188717911.29,95315351.83,379260991.25,315985600.68,194028260.18,97307598.24,392250492.74,287401900.64,210567585.35,100420982.93,458937389.11,361217463.38,236598704.49,150858807.25,697001707.55,513143319.26,305324955.88,187423004.79,1126422987.21,765197455.44,386851127.44,197593005.91,715531343.51,343486159.35,1100991569.85,591585670.76,427642021.69,224336118.46,584999500.66,269145224.63,553458888.51,0.0
11,经营活动产生的现金流量净额,1499628700.32,1052056782.92,157826027.78,264844225.61,360539617.54,630861175.74,543854584.53,-152701046.14,-291800291.05,681151294.77,534853292.17,-133329362.50,345882116.26,967280420.20,183214144.52,-20553275.51,-13502356.55,-25555849.30,-25353442.66,-16266105.75,-28153147.99,-28174985.31,-30135658.73,-7725050.97,7254417.80,8846607.56,379640.59,-8417214.86,-7974855.52,-2837403.53,-16584938.43,-8857144.13,8927649.08,-6390216.85,-9421293.41,-7108980.21,40345175.96,-8676373.64,-9003835.30,5812753.63,259812.81,12014074.90,1609918.30,5796795.25,2341569.95,-4793765.11,-8721701.64,-12178442.09,19233187.88,3880128.42,1775885.66,-2539383.28,3634354.52,52452342.40,46767771.54,41875818.02,47180165.05,22717642.51,20975528.78,29195459.07,26348072.66,-22105153.63,32644552.05,32869962.99,-68997004.44,54279615.06,80464422.39,17581252.03,40397420.56,93523320.26,-62344037.00,-77816125.02,161366553.96,163838957.02,93295106.52,31832959.84,62490730.36,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,244957757.00,106750000.00,96750000.00,0,110632096.58,111632096.58,66500001.00,49500000.00,1160063646.84,1040100000.00,1020100000.00,1570000000.00,3974546483.76,2807546483.76,910000000.00,0,0,10413084.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,172959.90,141707.36,0,0,0,0,0,59559.03,59559.03,59559.03,59559.03,0,0,0,0,294060.00,324432.41,324432.41,50000.00,159558.00,159558.00,0,0,0,0,0,0,804043.81,800000.00,0,0,449193.81,0,3329702.87,1244487.87,6508220.32,0,2489439.00,7365388.00,643263.22,0.0
14,取得投资收益所收到的现金,64121425.71,174151699.93,172351619.79,374793.95,20794490.97,14118897.35,10219583.51,5784149.03,72037430.17,76276808.92,16745421.53,14924898.90,57052972.16,16594465.97,3731712.15,1572026.42,15001000.24,0,7025761.40,1239200.00,14444717.52,8023741.75,5855855.60,1238080.26,0,0,0,0,0,0,0,0,0,0,0.00,0,70032.81,16727.91,0,42555.37,738227.80,188671.82,0,0,0,35704.79,35704.79,0,0,0,0,0,30372.41,0,0,0,5940.00,0,0,0,0,0,0,0,0,4043.81,0,0,1500.00,76693.81,791267.96,0,1450659.30,28600.00,377378.42,0,2556564.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,1759427.69,1251836.99,1418175.70,81965.32,5505411.40,2282974.59,2138485.77,782061.16,275549.87,410939.50,319469.91,247830.15,2201301.10,2018676.12,1317885.73,0,154000.00,94000.00,20000.00,45000.00,300.00,5300.00,300.00,300.00,190021000.00,95021000.00,18000.00,0,80000.00,0,0,0,616500.00,587450.00,587000.00,400000.00,1669204.36,25900.00,0,0,19800.00,19800.00,0,0,5941000.00,1041000.00,1013500.00,55000.00,111000.00,5368588.00,3761220.00,3734600.00,53007377.00,1791604.75,356267.43,81000.00,97000.00,61000.00,100000.00,0,1735200.00,289200.00,289200.00,280000.00,3991294.49,2857339.00,1449010.71,1731780.00,2889303.66,1743791.40,5912621.96,1062799.09,27732640.14,652446.10,31383702.75,321000.00,109814.28,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,54185992.42,54185992.42,54185992.42,0,0,0,0,0,49740631.51,50590631.51,50590631.51,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49500000.00,136460000.00,82960000.00,33950000.00,5000000.00,245230000.00,162000000.00,102000000.00,54000000.00,14680935.71,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52294043.81,0,0,0,0,0,250000.00,0,5605621.03,3791653.50,0,0,406755.02,0.0
18,投资活动现金流入小计,310838610.40,282153536.92,270519795.49,456759.27,136931998.95,128033968.52,78858070.28,56066210.19,1232376626.88,1116787748.42,1037164891.44,1585172729.05,4087986749.44,2880345618.27,969235590.30,51072026.42,151615000.24,93467084.80,40995761.40,6284200.00,309415649.03,220619673.26,158446787.11,55238380.26,204701935.71,95021000.00,18000.00,0.00,80000.00,0.00,0.00,0.00,616500.00,587450.00,587000.00,400000.00,1739237.17,215587.81,141707.36,42555.37,758027.80,208471.82,0,0,6000559.03,1136263.82,1108763.82,114559.03,111000.00,5368588.00,3761220.00,3734600.00,53331809.41,2116037.16,680699.84,131000.00,262498.00,220558.00,100000.00,0,1735200.00,289200.00,289200.00,280000.00,57089382.11,3661382.81,1449010.71,1731780.00,3339997.47,1820485.21,10283592.79,2307286.96,41297140.79,4472699.60,34250520.17,7686388.00,3716396.52,0.0
