,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
10,经营活动现金流出小计,1925657600.84,1125664034.44,588672856.56,2854791042.14,2227136101.57,1504268589.51,690215628.80,3112426311.61,2578711484.33,1788236554.59,979924832.71,3342465048.69,2637594884.28,1639538064.13,674165270.89,3368018107.93,2847791416.47,1919476939.88,862418042.15,3964200266.47,3496831939.15,2338595869.99,1120696438.48,6221784536.24,4648216947.01,2929362703.40,1035403815.41,5714180085.09,4073451285.09,2845430642.02,1103483208.16,5931950320.59,4096854606.00,2724759232.10,2190781316.62,3513529888.43,2176402075.05,1172447088.04,359396468.28,1503954596.40,951595367.31,774736732.59,345949604.41,864031542.91,607845613.76,396863497.99,221123358.57,0.0
11,经营活动产生的现金流量净额,-83599244.99,18816332.56,15012218.83,31918630.37,55482465.22,2100101.78,-17122145.62,150640080.73,-32522720.94,-46535793.20,-43988805.22,143127934.30,113943576.73,75284951.04,158952094.18,-4947329.07,-65469107.79,-66014041.02,39465865.42,-70011035.02,-16119405.04,61127003.42,-75728794.39,-111990685.19,-89474111.58,-58265387.69,-174407231.04,144911338.61,-54391303.01,-104928289.63,-80964461.66,-345563215.20,-321087521.71,-184109474.05,-218318991.82,-212739982.79,-150356288.32,-227470469.38,-173860401.85,75584573.10,6980852.18,18484036.17,-10739053.09,-20658593.68,-7862114.55,19439045.00,3919529.97,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,80250800.00,40250800.00,20685000.00,30000000.00,30000000.00,30000000.00,0,8000000.00,8000000.00,8000000.00,8000000.00,61000000.00,20500000.00,20500000.00,0,1900000.00,0,0,0,0,0,0,0,0,0,0,0,7922099.00,2650000.00,2650000.00,1300000.00,1912854.34,150963.40,0,0,0,0,0,0,0,0,0,0,0,0,1200000.00,0,0.0
14,取得投资收益所收到的现金,2358739.74,2245589.06,220224.00,92054.79,92054.79,92054.79,0,62700.00,62700.00,62700.00,62700.00,62700.00,2000000.00,0,0,62700.00,62700.00,0,0,52668.00,52668.00,0,0,45144.00,45144.00,0,0,45144.00,45144.00,45144.00,8847.16,67716.00,67716.00,67716.00,30096.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,274066.41,230778.41,3075872.17,623740.95,438550.00,379050.00,96450.00,338671.28,281183.95,227075.95,144974.34,10646643.80,10504098.99,8903254.22,16000.00,2107741.57,1304247.25,686069.48,333907.88,1121076.61,2049249.43,626517.41,121115.41,732778.18,168731.99,168731.99,5925.46,816767.97,124405.97,105974.86,96800.00,66890.39,311549.91,8263.99,9500.00,574799.59,232191.00,27800.00,0,232349.62,43971.30,40400.00,0,3500.00,0,34813.67,0,0.0
16,处置子公司及其他营业单位收到的现金净额,4677754.36,3747784.26,-768.96,9517224.02,4019741.30,597154.23,-41333.83,0,806893.38,963043.29,819386.03,3329811.21,1169125.67,799533.83,0,20708030.22,-75353.62,-75353.62,-228261.33,13522979.12,1858527.07,1858527.07,0,0,0,0,0,0,0,0,0,5963753.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,38045965.77,0,0,0,20994883.96,0,0,0,60152161.96,0,0,0,97150058.48,0,0,0,56592100.85,0,0,0,0,0,0,0,0,0,0,0,445315.08,0,0,0,7078236.62,0,0,980000.00,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,87561360.51,46474951.73,23980327.21,78278985.53,34550346.09,31068259.02,55116.17,29396255.24,9150777.33,9252819.24,9027060.37,135191316.97,34173224.66,30202788.05,16000.00,121928530.27,1291593.63,610715.86,105646.55,71288824.58,3960444.50,2485044.48,121115.41,777922.18,213875.99,168731.99,5925.46,8784010.97,2819549.97,2801118.86,1405647.16,8456529.37,530229.31,75979.99,39596.00,7653036.21,232191.00,27800.00,980000.00,232349.62,43971.30,40400.00,0,3500.00,0,1234813.67,0,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,10307339.57,2385120.62,1950837.23,19243546.20,9723726.73,8021352.38,3746174.01,27792368.24,17437408.21,13278898.61,2417844.00,14980559.89,9185892.64,6111203.77,5065013.86,20629205.25,12990231.31,7855068.45,4776911.75,45585249.09,19474865.29,14454907.20,3556959.94,52494952.41,38579737.42,17162646.71,8908577.96,59288803.87,39376901.74,33480710.26,9326344.63,60241023.62,38053938.67,29680999.43,7872736.18,38348469.11,14462946.16,10738008.94,1890154.32,8690736.64,5468488.66,4550952.77,1801230.09,6107193.55,6327453.70,8577085.99,4922979.19,0.0
20,投资所支付的现金,80000000.00,80000000.00,0,30000000.00,30000000.00,30000000.00,0,8000000.00,14680981.79,9654536.72,8151660.79,41531575.95,18733412.95,17134800.00,2342400.00,10500000.00,500000.00,500000.00,0,6447000.00,2867000.00,2000000.00,817000.00,2500000.00,10894000.00,4222000.00,2082000.00,800000.00,3534000.00,1229000.00,634000.00,6311700.00,4335000.00,4125000.00,100000.00,30269602.00,11785914.57,11785914.57,899252.00,2558000.00,1500000.00,1500000.00,100000.00,3100000.00,205108.55,4582600.00,570000.00,0.0
21,取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,-107126.13,0,0,0,-16114207.07,0,0,0,0,0,0,0,3109565.00,0,0,0,194936.61,0,0,0,0,0,0,1517234.41,0,2899252.00,2899252.00,0,992000.00,0,0,0,0,0,2153579.12,-271130.09,0.0
22,支付的其他与投资活动有关的现金,0,0,0,33867455.63,0,0,0,47597196.75,0,0,0,31481313.61,0,0,0,74287427.42,0,0,0,52032385.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,投资活动现金流出小计,90307339.57,82385120.62,1950837.23,83111001.83,39723726.73,38021352.38,3746174.01,83389564.99,32118390.00,22933435.33,10569504.79,87886323.32,27919305.59,23246003.77,7407413.86,89302425.60,13490231.31,8355068.45,4776911.75,104064634.80,22341865.29,16454907.20,4373959.94,58104517.41,49473737.42,21384646.71,10990577.96,60283740.48,42910901.74,34709710.26,9960344.63,66552723.62,42388938.67,33805999.43,9489970.59,68618071.11,29148112.73,25423175.51,2789406.32,12240736.64,6968488.66,6050952.77,1901230.09,9207193.55,6532562.25,15313265.11,5221849.10,0.0
