,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,823117860.14,451200417.62,310726950.27,167776062.21,727798419.15,412740081.48,234831447.71,132918527.22,602982682.48,386015971.41,223506917.40,127068582.88,507182391.29,363701589.00,228332738.89,111841723.17,452473658.52,296380336.07,201964721.98,107272131.33,454757090.16,298086481.31,194472700.14,108551797.49,378626308.13,237026118.08,153981064.04,74277315.36,267880161.67,187104687.12,122912698.62,61087869.73,252355430.28,166167292.36,116838214.53,53428016.77,211281220.22,147456337.35,96057105.36,49499091.67,196028012.10,140045439.59,94629743.61,48318324.73,174221514.33,125275650.54,75211448.86,38726926.71,140774872.43,112707214.49,72676121.61,37157474.62,123462072.02,84393126.13,58530320.09,29081535.35,106327795.81,55219032.40,38057045.86,21924436.99,83011562.54,56168110.01,26477043.67,16886483.05,61335017.48,32661638.84,25547217.21,11789849.04,50207669.41,21029277.16,45388853.58,16879640.85,28356630.13,9773620.21,24251546.86,0.0
10,经营活动现金流出小计,7671235666.27,5362414520.00,3413810538.79,1858275253.78,6833165412.20,4925245269.92,3069272835.43,1809686133.95,5518722065.17,4094822466.90,2713252138.48,1422056269.13,4610483374.96,3553802508.10,2435750248.73,1248126578.47,3830803519.40,2985088795.43,2122954713.07,1130425803.07,3654631916.94,2533928480.35,1858577935.54,999534084.59,3191354947.05,2471193922.87,1647760113.33,835471839.84,2721312404.17,2200867705.05,1408245135.75,771257453.81,2548291837.51,1862567432.41,1311757540.16,734992980.46,2080801056.71,1481755605.38,998320211.16,474418781.85,1638069466.38,1089381699.28,691748340.42,325586487.87,1211829239.91,889864852.06,609044587.37,367506592.69,1072534761.22,737174248.56,458412998.50,255078324.77,845670164.53,562740269.65,371787528.61,187434207.60,699557703.46,496902873.95,330887617.88,164453618.98,544251856.56,364253283.28,244255914.68,134718759.79,366884799.51,238620821.52,173890568.11,96443290.97,289372164.95,163154324.98,252103128.87,91677555.86,198349096.50,85766299.70,142232542.56,0.0
11,经营活动产生的现金流量净额,1295981194.55,746912049.62,174875923.39,27129891.88,1143861665.71,550585742.31,177227982.77,-118861222.79,1121848162.92,688222425.36,343044682.57,-11077477.28,780284775.52,526556535.70,223723922.15,-15817534.37,570536276.15,379938834.67,98057798.93,-105669159.72,699291850.43,517198932.08,86037154.49,-65130753.48,488180631.84,87393835.21,-44841317.11,-115239362.36,312615660.64,1419742.93,3486910.90,-64732282.71,148671850.68,-21379007.24,-50947447.92,-84750101.91,348835118.52,143819101.78,73179643.27,-14822647.75,248702751.69,228296178.13,163417069.95,40350088.55,279867402.84,171580773.79,51441827.71,-54388808.14,102521300.77,56448581.64,36041760.32,-43630512.39,159237322.50,119326504.45,54227935.08,2029214.60,122564618.86,48626609.26,9603995.82,-14499116.05,70975148.94,52739873.73,18532812.06,-11295582.21,79159340.40,59839573.70,16917968.19,-18240732.42,55175117.59,-24496764.58,41498795.79,18806132.53,28603407.79,3897919.93,48229277.31,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9303818.93,9303818.93,9303818.93,0,0,0,0,0,34000.00,28505818.88,28505818.88,0,0,0,0,0,680000.00,680000.00,680000.00,0,2960000.00,2360000.00,2360000.00,2000000.00,44769124.77,1348100.00,348100.00,48100.00,70305330.00,0,20648640.92,8511170.60,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,0,4595281.60,2863718.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3225.29,1295.38,2590.76,2590.76,77846.65,77846.65,54671.36,54671.36,64459.37,76066.21,58279.82,23993.40,295816.26,190576.05,131528.15,63568.05,4403435.70,100900.80,0,8576223.98,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,11806032.41,1897331.93,1828362.42,1000.00,731846.54,554648.16,389052.23,230869.03,609681.24,715964.22,39858.40,34208.40,507150.00,235938.01,225400.00,194000.00,263937.75,248915.60,25915.60,23755.60,125600.00,197436.00,195486.00,0,1638363.16,925823.04,6900.00,0,2879379.39,2411000.00,11000.00,11000.00,829128.22,160800.80,160800.80,5500.00,472393.29,11160.00,6560.00,0,788540.85,778345.00,724250.00,0,1709049.74,29700.00,1200.00,600.00,1931108.64,1299428.84,1351821.54,1180000.00,2000000.00,2200811.40,1782600.79,67744.40,2039445.10,137106.07,90649.07,1093.84,550692.30,211692.00,153515.50,49029.88,348631.46,-6182.48,6604.10,11000.00,0,145859.00,7990.00,7990.00,5971.08,1500.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,6840000.00,0,14860000.00,0,0,0,23540000.00,0,0,0,32776993.00,0,0,0,14746619.00,0,0,0,31862000.00,0,0,0,0,0,0,0,0,0,0,0,15634965.06,0,0,0,0,0,0,0,0,0,0,0,27248808.29,0,0,0,0,0,0,0,0,0,30944.87,30944.87,1659723.32,0,0,0,0,0,0,0,9430050.00,115290.00,0,0,0,0,0,0.0
18,投资活动现金流入小计,11806032.41,1897331.93,1828362.42,1000.00,731846.54,554648.16,7229052.23,230869.03,20064962.84,3579682.82,39858.40,34208.40,24047150.00,235938.01,225400.00,194000.00,33040930.75,248915.60,25915.60,23755.60,14872219.00,197436.00,195486.00,0.00,33500363.16,925823.04,6900.00,0.00,2879379.39,2411000.00,11000.00,11000.00,829128.22,160800.80,160800.80,5500.00,16107358.35,11160.00,6560.00,0,10092359.78,10082163.93,10028068.93,0,1709049.74,29700.00,1200.00,600.00,29213916.93,29805247.72,29857640.42,1180000.00,2003225.29,2202106.78,1785191.55,70335.16,2797291.75,894952.72,856265.30,86710.07,5234874.99,2647758.21,2571795.32,2073023.28,45413572.49,1532493.57,486232.25,122668.05,84138815.70,362049.80,20656630.92,17095384.58,5971.08,1500.00,0,0.0
