,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,97301256.99,52979218.55,29472025.65,114436553.49,88584168.56,60799253.63,24699653.08,105584051.13,87288632.58,53265943.49,22124995.60,112844282.07,80910850.12,44186842.51,17147622.29,110376965.46,65981709.83,44684035.07,21203669.36,108294507.23,55114116.20,42384501.38,32926588.10,99474533.77,60503947.50,42086644.29,24803882.92,103579514.25,51183823.20,54891804.27,28851329.92,111965752.23,83026726.03,40618708.28,33102242.06,75151141.05,59207668.37,39753360.46,20917793.88,84032151.18,50687014.32,36270038.74,14608754.73,55077664.93,30889778.44,20756030.92,11381093.50,48997748.66,50712975.65,20234360.18,8473477.25,36825247.33,19706459.58,10657433.77,9677506.61,27861452.03,20952392.06,10960099.69,9472503.69,36877776.83,71845913.12,67874275.37,12657510.32,35514091.04,0.0
10,经营活动现金流出小计,618817447.30,453202586.92,268075224.07,1062307446.68,853449417.44,621830535.39,243253828.10,1300845760.62,1006398431.72,681782858.53,293115304.43,1090862494.50,713495907.91,414416096.03,213230266.27,894546768.67,633012235.48,412540783.70,232481749.43,845431697.32,602768853.06,434395388.58,225882593.45,770835053.08,597834982.17,388024392.97,184478756.36,741298540.81,549157671.85,386054116.85,196250011.92,799943011.11,603456008.65,391681990.38,183816317.72,712905925.83,517511889.19,326842968.45,162058563.56,591693176.09,422874809.18,239342096.34,92449236.16,520151959.47,436750931.56,268549497.99,143286904.29,595689283.62,452849782.14,266068887.55,122279957.10,410812583.63,300007620.49,163747419.83,72379119.39,235818239.62,178654937.45,119203439.68,76478264.34,233146974.50,203620466.72,157434087.73,44433017.59,163110116.30,0.0
11,经营活动产生的现金流量净额,65213541.93,74189154.79,-48806005.34,-63844434.90,-116566467.48,-102334997.31,-75573599.29,-73813452.63,-132128722.89,-125863754.63,-29362016.31,222158018.39,33618008.42,6345614.29,-41215690.24,13390314.41,-13395277.18,-33969490.47,-32142601.54,42801552.61,-7051661.44,-97088043.91,-79895088.64,2916520.85,-99918277.56,-51184261.27,-24464734.52,1027198.36,-34449032.04,-59378000.87,-52021223.91,-108300052.69,-127715880.84,-88177995.12,-38453405.06,-69144474.97,-109656047.20,-71875524.20,-41809867.77,140872743.38,32236156.85,39677585.94,23691468.28,-28085121.86,-119835204.36,-73307319.39,-67862548.66,-44602145.56,-67652021.82,-60313892.22,-38034281.60,-67438363.30,-118832518.69,-59784747.48,-43066828.19,6013545.30,-44316873.32,-32791143.36,-43892573.92,-4145689.64,-24120681.72,-68923280.03,-23861554.82,48899131.55,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679215.77,0,0,0,0,0,0,0,9460000.00,0,0,0,21000000.00,21000000.00,21000000.00,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5521201.49,5521201.49,5521201.49,0,0,0,0,0,0,0,0,0,51490.25,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,1591942.03,1531222.52,1450000.00,8909930.26,14974993.32,6954342.00,770000.00,24430.57,23930.57,12660.57,5660.57,64361.00,53661.00,15396.00,396.00,45654.00,43554.00,18120.00,13166.00,118501.50,85349.50,52330.00,26080.00,407390.00,346390.00,301190.00,298000.00,99610.00,54435.00,21255.00,19785.00,24054.90,23054.90,17709.90,15604.90,3643.00,3643.00,2793.00,2793.00,2363.00,32863.00,15863.00,2363.00,57843.50,48064.50,23251.50,15149.50,344779.00,341000.00,141000.00,0,5500.00,5500.00,5500.00,0,21780.00,2500.00,2500.00,0,0,0,0,0,80000.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679215.77,679215.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,342075.54,342075.54,0,0,0,0,0,116515.71,194327.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9690.00,0,0,0,682.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,1934017.57,1873298.06,1450000.00,8909930.26,14974993.32,6954342.00,770000.00,140946.28,218258.39,12660.57,5660.57,64361.00,53661.00,15396.00,396.00,45654.00,43554.00,18120.00,13166.00,118501.50,85349.50,52330.00,26080.00,407390.00,346390.00,301190.00,298000.00,99610.00,54435.00,21255.00,19785.00,24054.90,23054.90,17709.90,15604.90,3643.00,3643.00,2793.00,-6897.00,681578.77,712078.77,695078.77,3045.00,57843.50,48064.50,23251.50,15149.50,9804779.00,341000.00,141000.00,0,26526701.49,26526701.49,26526701.49,0,21780.00,2500.00,2500.00,0,0,0,0,0,131490.25,0.0
