,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,3873162691.93,2542472227.20,1784883261.66,1043929841.95,3795630608.78,2439991035.07,1678084956.77,882225779.71,3292855479.96,2141357895.34,1461060311.89,841239368.76,3132837008.63,1939984775.60,1384882447.83,770530529.50,3049198206.04,2008585295.19,1458964886.91,806314438.74,3107407380.17,2128032007.54,1426127729.83,694264241.01,3278480147.47,2310334549.07,1635066037.60,946484269.15,3089134335.23,2040823164.48,1434879993.36,814397015.91,2949202296.38,1932388202.88,1228461238.57,647043154.70,2171927617.74,1441330279.69,972738099.84,464432190.46,2029737185.71,1412469419.73,961361419.60,589854940.40,1671663762.12,1038644363.61,691781860.48,292172641.30,1154467915.72,743959304.72,481719556.96,208927076.02,586359728.47,387212936.10,251914184.78,128534806.69,385565134.15,236813323.72,155753041.24,79328589.54,268196978.76,168971972.01,133935575.15,231735932.70,187210421.65,0.0
3,收到的税费返还,777146.32,482326.52,482326.52,0.00,751083.20,532298.31,83113.86,101915.05,1597212.39,194582.29,194582.29,0.00,1647055.22,1064035.03,1064035.03,168827.24,3189449.81,1651100.92,1298422.19,322246.93,3386699.39,2123938.39,1069283.63,810487.31,1876523.56,1466511.53,1183979.39,223489.55,1900003.22,1418294.88,1154678.08,360370.18,1291393.16,1135042.92,647725.37,238624.23,1150918.41,1162145.15,492788.49,358969.56,987322.06,927536.98,618147.63,251744.44,856681.25,556581.95,374798.07,50501.38,800964.98,622922.66,318689.01,100744.24,3815631.28,3698690.74,57542.61,16074.24,460078.34,433300.00,0,0,0,0,0,0,0,0.0
4,收到的其他与经营活动有关的现金,125538194.90,68040807.46,31120692.26,21251740.29,154630312.21,64269196.21,40725118.93,13299640.49,347481658.06,330402804.92,102869168.19,24463457.42,147341829.78,89396015.91,35462496.77,20730020.20,275305634.03,142258885.09,48809630.54,4035257.06,90604827.20,95309806.52,81368255.27,23787941.88,83341044.48,66739070.43,29611569.53,10173263.90,76375594.11,51924168.91,8197996.14,2678641.86,19561753.05,20211149.01,18266445.58,7549460.24,34928709.65,16096349.65,9525471.58,7753251.65,75753330.47,21468066.19,15336285.38,7493527.31,22286987.89,13153017.09,5133915.92,3539170.87,5155698.25,5095582.04,2184027.86,647621.40,5830014.94,2118680.50,1923603.96,1004129.95,2808014.56,1159290.52,825872.34,433462.20,291613.11,62000.00,62000.00,0,0,0.0
5,经营活动现金流入小计,3999478033.15,2610995361.18,1816486280.44,1065181582.24,3951012004.19,2504792529.59,1718893189.56,895627335.25,3641934350.41,2471955282.55,1564124062.37,865702826.18,3281825893.63,2030444826.54,1421408979.63,791429376.94,3327693289.88,2152495281.20,1509072939.64,810671942.73,3201398906.76,2225465752.45,1508565268.73,718862670.20,3363697715.51,2378540131.03,1665861586.52,956881022.60,3167409932.56,2094165628.27,1444232667.58,817436027.95,2970055442.59,1953734394.81,1247375409.52,654831239.17,2208007245.80,1458588774.49,982756359.91,472544411.67,2106477838.24,1434865022.90,977315852.61,597600212.15,1694807431.26,1052353962.65,697290574.47,295762313.55,1160424578.95,749677809.42,484222273.83,209675441.66,596005374.69,393030307.34,253895331.35,129555010.88,388833227.05,238405914.24,156578913.58,79762051.74,268488591.87,169033972.01,133997575.15,231735932.70,187210421.65,0.0
6,购买商品、接受劳务支付的现金,2467851064.31,1850078545.00,1358387505.65,627741628.08,2557505401.74,1897715555.26,1286602971.82,575901128.58,2147054947.09,1563230720.92,1091230811.01,478590869.97,1888178993.79,1323019775.60,988843035.91,480546302.54,1833652423.46,1366215601.71,967688901.08,509190776.72,1586913361.24,1135498320.19,806754176.09,415808155.28,1704625115.08,1288820265.20,902509806.52,356151146.08,1646408934.74,1236652824.42,839863077.02,367987959.31,1775989382.24,1230290706.62,749937585.72,305218546.93,1212166073.40,838655944.39,586352003.32,236719391.74,1265310427.81,816874373.70,553345346.86,272222733.55,1025317955.32,675493408.67,370621831.16,147083444.01,673642517.71,479116215.12,242132069.67,120695000.08,434096460.19,266174080.66,130058353.88,56967897.40,222105231.02,157132291.97,87095603.31,52274038.32,156776742.17,111642326.43,55389966.19,106110564.95,122855146.77,0.0
7,支付给职工以及为职工支付的现金,397694604.44,299690281.13,208250724.58,116902935.95,361269103.64,270082106.60,185215631.33,105442302.42,289565422.39,215663818.70,145537910.28,82914085.01,255664807.18,191569401.09,129677607.46,75704200.11,262926794.53,201461175.68,137192963.70,80861926.62,254138780.61,191664425.89,131211740.81,74517193.84,267455493.69,200645780.09,134652395.18,77335917.19,267004457.46,197562577.54,130482229.37,74828246.73,225607077.60,165232477.79,106098607.87,54713442.89,159581679.30,119804520.83,78219426.99,38606594.38,133533767.96,98273777.64,64552990.52,36034353.87,108541899.14,75230695.63,44526637.48,22889989.64,76116846.06,56242288.45,33469234.35,18932012.78,49881316.19,33140669.27,20730125.52,10562214.91,31002882.46,20093675.71,13031090.72,6018591.11,18679660.86,12179250.70,7898830.00,13959792.73,10878643.41,0.0
8,支付的各项税费,241539966.69,188029192.03,163989664.88,102021673.56,265733046.85,201733434.01,164527329.44,102568566.81,212205466.22,143177656.16,110481408.06,57123535.55,195861202.46,110179785.95,63244940.97,35614821.52,252962192.20,146726660.12,99342567.23,34624709.95,258858591.22,144574017.08,99111182.11,28251041.43,298600287.87,179616115.92,152790093.40,43080523.60,428030398.59,218036031.76,177896166.52,64746680.48,377020752.51,228904655.53,194671177.53,89916691.36,288542229.67,239862184.68,173470497.58,69836179.07,201909141.39,126231264.74,100142398.37,49393105.35,151195202.93,121688605.16,98755968.46,29019446.68,76325495.47,64372044.25,52442251.19,24800517.64,42059381.83,34322819.94,24325421.58,14309598.83,39326519.48,30458325.14,21476639.80,9290069.00,33888362.97,25793515.96,17948031.83,29611562.57,28217218.68,0.0
