,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,276157460.22,186730062.64,111956091.69,685739748.21,477600727.89,293386061.12,156007113.78,725819787.13,508936514.99,319664833.32,166741893.83,693951793.00,489637523.79,280082121.24,162079032.10,683536111.09,511678937.19,333938056.78,161567169.48,635002580.74,408823497.86,276438041.07,146969359.58,613095799.59,471798699.76,297711743.15,150382752.34,672284909.39,450010721.22,281031272.01,152918726.07,743937680.88,582161879.62,365775506.12,208126232.18,741688065.30,501988035.07,294794294.36,155131068.13,645242863.48,409899883.04,258628332.04,145611422.65,723999466.93,471019527.33,298011164.94,169028009.18,774146262.14,456542748.30,267489142.51,583363977.60,513161806.94,0.0
3,收到的税费返还,18696295.19,13734127.16,7642737.50,59577189.35,44814127.93,27770272.92,16264604.74,60371764.86,49590139.42,31423921.65,19853951.09,55773527.02,48962322.13,28225585.80,13682203.10,58854719.59,47727817.11,24980190.78,13423565.58,53667960.41,38308823.73,22701161.29,13199185.00,66992849.63,51932102.16,25306661.49,13325394.83,62109402.61,41052569.40,24035511.53,13460700.72,85994022.04,65583685.84,41176150.11,31760053.05,67067027.24,41844960.97,28974948.42,15391391.58,44340006.23,41062948.00,22779599.23,14520727.96,45678463.05,26358920.77,14374293.48,1805191.49,56296870.47,35819070.72,21098321.87,27121833.54,29818745.15,0.0
4,收到的其他与经营活动有关的现金,6634807.02,3076939.67,2629680.39,30285578.41,5546642.11,4436214.82,1026855.35,7623951.93,10899646.77,7471736.82,4053248.92,19778782.58,23646252.02,8615074.91,6059191.05,4886469.86,84851351.60,31597417.56,1140141.73,38577379.11,39256409.51,2907120.30,722401.99,11897276.54,6837714.72,5179402.39,2489350.16,8738898.47,3009067.22,3163640.11,2419964.31,5148570.36,9092200.73,5818201.31,1781900.43,4761728.80,15223724.38,10235588.07,1098145.96,3922473.18,8323756.23,4618429.53,1831364.86,10676694.81,15256032.45,1725132.40,1426050.77,10216960.46,6940169.69,4940320.69,4230684.64,15168742.93,0.0
5,经营活动现金流入小计,301488562.43,203541129.47,122228509.58,775602515.97,527961497.93,325592548.86,173298573.87,793815503.92,569426301.18,358560491.79,190649093.84,769504102.60,562246097.94,316922781.95,181820426.25,747277300.54,644258105.90,390515665.12,176130876.79,727247920.26,486388731.10,302046322.66,160890946.57,691985925.76,530568516.64,328197807.03,166197497.33,743133210.47,494072357.84,308230423.65,168799391.10,835080273.28,656837766.19,412769857.54,241668185.66,813516821.34,559056720.42,334004830.85,171620605.67,693505342.89,459286587.27,286026360.80,161963515.47,780354624.79,512634480.55,314110590.82,172259251.44,840660093.07,499301988.71,293527785.07,614716495.78,558149295.02,0.0
6,购买商品、接受劳务支付的现金,198988408.39,134003520.17,75387479.72,506220012.25,324717597.62,180199612.91,82507229.46,574082448.90,406085986.54,246293725.96,101627819.26,483956437.88,333710157.09,198361768.18,95380982.61,527050293.74,380515023.55,237805386.35,112945622.42,515495114.50,325619790.66,215105321.68,112994820.07,503547302.77,384864572.95,233173567.47,127414280.37,632379472.89,459675309.12,270533081.25,147116794.90,666520840.57,539977374.60,354129263.97,208413500.19,598643461.59,463148559.86,265375151.44,155480853.82,516826052.78,378680676.81,294394947.91,156716077.51,669556893.67,508794273.74,329436066.31,206147746.48,610274111.43,444167563.78,237374664.65,484706566.10,405774561.39,0.0
7,支付给职工以及为职工支付的现金,70370506.99,49125714.79,27503477.84,134234601.68,95882239.64,63908653.91,33596169.85,156205371.11,119776094.13,79150360.58,39390218.26,153796588.68,107741907.21,70510370.19,32691798.72,146997964.63,103721105.48,68095888.50,37367632.26,118912764.12,86482837.81,52307353.32,23408199.02,99676104.43,68687556.58,42517519.51,17836309.72,86594553.28,58658468.44,41323214.96,16021558.78,85679457.06,56242663.54,41985626.70,18109435.53,78768501.47,45033679.23,32981394.10,15778010.72,66508977.13,48922797.61,27837590.57,13549079.13,69717588.97,51278591.79,29490831.86,16169263.69,66635698.24,46207065.85,28097847.46,53248620.52,33605890.40,0.0
8,支付的各项税费,2501683.82,2031144.01,1675042.82,8226663.25,4507499.94,3400824.66,2527806.64,17207309.27,11288795.25,11043542.73,4412559.15,9810307.42,6449396.23,5621463.96,2898917.92,23345066.61,16034094.00,14974940.61,7797537.30,9666386.28,5592070.69,5050070.45,1482781.30,12155772.07,9033415.96,7674963.06,2296473.60,9983091.32,6782621.91,5797463.08,3223986.02,11458999.96,7770405.41,6462476.61,1460460.25,7228515.99,4792126.64,5398528.75,1394695.63,12806706.19,7224334.21,5323449.60,4327555.07,11139623.45,9427503.10,7156371.70,3585359.02,22106364.17,10385436.29,7902950.06,7878702.65,2790501.19,0.0
