,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
10,经营活动现金流出小计,732085676.39,553741036.27,360802469.40,156888783.05,495441693.67,355161850.21,240785676.63,96725324.38,474380477.70,354354191.38,228656309.53,75732063.41,506900720.38,362747021.61,245185387.28,102129574.49,454658109.86,317953427.80,199591634.59,89977224.78,405555616.84,249017686.39,161777510.29,71205087.57,300454982.05,218317692.03,147188404.38,56303754.75,281540084.89,202259969.36,137051787.44,64811245.68,184499034.88,130064940.19,83711811.14,39061177.93,130393241.31,101983679.82,65625982.41,36626632.56,126954544.70,107598950.53,84804786.38,44506306.56,210776430.08,91365777.66,72910951.48,259320204.24,123196106.92,0.0
11,经营活动产生的现金流量净额,156808658.97,113406448.81,41941451.17,48047149.38,175754189.38,148391000.57,67886377.47,39363179.63,144924876.03,98408064.28,69781025.16,68954551.24,76167184.89,72539329.29,36330977.12,34533186.46,80853234.72,69444151.81,38664961.10,9103406.50,42107536.11,38410043.83,-155433.19,-16553753.37,41369951.29,8931741.69,-15067988.93,-3741229.59,22856058.75,-3447390.19,-17105293.44,-16536785.77,45726989.35,21609734.87,12823439.35,-2123334.68,37514839.65,20143002.90,13887255.22,-2468776.42,57911732.69,35289436.30,21818914.21,7795419.48,-4760928.76,-11651697.44,-22569833.48,12275853.95,19647350.58,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,430394.22,430394.22,430394.22,32000.00,0,0,0,0,92029457.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000.00,0,0,0,0,0,0,0,0,0,0,1210000.00,0.0
14,取得投资收益所收到的现金,5367731.85,3093537.44,1454394.97,383561.64,2885079.99,961079.48,868593.18,0,3038314.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160741.40,20137.00,0,0,0,0,0,0,0,0,0,0,346342.49,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,149070.00,38500.00,0,0,81000.00,36000.00,36000.00,36000.00,21572.82,0,0,0,536550.80,515000.00,515000.00,45000.00,125800.00,100000.00,100000.00,0,0,0,0,0,0,0,0,0,250000.00,250000.00,0,0,0,0,0,0,0,0,0,0,40000.00,40000.00,40000.00,40000.00,330.00,330.00,0,1588.00,550.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932985.66,2932985.66,2932985.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,1084000000.00,593000000.00,290000000.00,0,605000000.00,220000000.00,185000000.00,0,195000000.00,696633.00,696633.00,696633.00,897504.44,0,0,500000.00,0,0,0,0,0,0,0,0,0,0,0,0,19050000.00,0,0,0,14235000.00,0,0,0,0,0,0,0,0,0,0,0,79135.00,0,0,0,900235.00,0.0
18,投资活动现金流入小计,1089947196.07,596562431.66,291884789.19,415561.64,607966079.99,220997079.48,185904593.18,36000.00,290089344.90,696633.00,696633.00,696633.00,1434055.24,515000.00,515000.00,545000.00,125800.00,100000.00,100000.00,0.00,0.00,0.00,0.00,0.00,2932985.66,2932985.66,2932985.66,0.00,19300000.00,250000.00,0.00,0.00,14235000.00,0.00,0.00,0,160741.40,20020137.00,0,0,40000.00,40000.00,40000.00,40000.00,79465.00,330.00,0.00,1588.00,2457127.49,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,34986372.34,28250038.01,15552382.20,9050978.62,54055564.28,49502550.51,37094557.73,18380065.42,54995867.35,33987841.07,19806601.41,7173086.07,44206496.13,30449157.64,24508421.55,13738108.14,69233785.61,48729126.75,20057402.29,11975735.49,42985650.28,31744792.74,12111848.58,6383438.43,35480454.06,21080129.35,18723252.08,6983346.71,63467996.14,45663784.97,21081029.70,4485833.97,31872413.02,12873969.75,7703483.27,995056.03,51772494.85,50579995.25,48643790.55,42301824.45,5315831.62,1021450.62,740690.62,349908.12,976261.01,931437.01,876011.01,228498.00,1506172.00,0.0
