,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,2655954491.72,2831796239.00,2043503674.00,6227675033.02,2055512088.88,2309833589.30,2282068045.14,7567860959.92,2247109193.60,2211147762.83,2247628629.28,6494092542.86,987353188.23,716387522.31,591335077.13,6974996665.95,2152864931.00,1350977251.00,342599721.40,3980320908.63,2147500380.85,1694400050.51,668132022.74,1802093233.80,655959157.20,415149233.52,151122064.83,1821503513.79,892146682.63,828038690.10,495073371.68,2485704133.99,4142187761.63,24622503.80,20292671.18,36460859.00,33567415.40,19954086.35,5292344.64,38187949.62,59128726.71,19419198.92,6749957.86,39096813.05,48032839.34,42057302.14,23707252.72,44754293.71,86628549.88,35075268.77,16052160.85,48105143.83,34305110.77,26750385.95,15435111.86,36341431.32,17126891.49,9190553.67,5357252.70,42147668.65,25335085.19,18022112.05,14835462.02,24111183.94,18596613.32,22662083.89,0,0.0
10,经营活动现金流出小计,104123103476.42,61292189913.76,31604439283.55,87485987286.61,61927139588.14,45903713269.36,25154558083.76,97820251414.62,79146234314.62,48559630535.46,26474872123.94,86094711465.44,60511535950.85,40297069514.85,17191543854.41,77768713205.81,42879614804.27,27399800840.57,10801981837.20,45435397311.26,35302416834.23,25985030108.40,9952541225.37,36974187200.88,23766777745.10,15616256677.08,6158651580.19,19178159449.41,13771847155.16,8568829584.05,3259583537.33,16396886064.99,13575094310.74,178289882.31,81192333.95,265116278.40,171630061.76,109954022.75,38762457.04,195114385.99,150485993.89,74409770.62,22937499.09,383291700.32,234607730.95,171928992.01,97208003.53,393627490.00,322359887.29,195602333.64,87262145.48,281685669.60,183576359.06,107818555.03,58395078.88,187794279.61,134966747.98,78646929.47,41807958.40,225208088.92,177421339.13,108741141.14,59888932.68,170089477.68,121558834.26,155835461.95,0,0.0
11,经营活动产生的现金流量净额,-39554105904.67,-20501346525.92,-15453734796.32,-7427812398.92,-7660080587.83,-7818033740.92,-9603397962.94,-16227729027.49,-22431868008.77,-4269680641.22,-2414916038.90,7763064206.29,-178757232.13,-4766646360.95,-3779431653.37,7449722701.49,2424260678.57,-1661174994.06,-1573058266.37,-4954009889.56,-3808022282.92,-1576099200.92,-1885483246.41,-3474422590.73,-444086445.58,-214006582.75,-404484865.98,217530243.44,26164363.51,117232569.07,100836694.34,240939016.52,346418813.02,17513098.53,-2250292.07,47373840.27,27055560.41,12002917.29,-5267970.39,23297242.58,22035215.86,4077339.37,4288276.96,18754039.73,5391381.66,4842802.31,-13505261.48,4084643.80,-13882248.38,-4886413.97,-18212888.85,33712711.75,34023411.55,25806530.31,5411601.10,-493763.41,-2314503.02,3944381.45,-2168880.80,-19665802.84,-25064140.65,-17497987.74,-12153612.97,34529571.35,34700169.95,14167590.58,8555430.31,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,3808971491.73,1417582700.00,30000000.00,4811721913.72,6273932672.17,3596749672.17,149733400.00,6103120000.00,6390000000.00,4490000000.00,1000000000.00,12006800000.00,8607800000.00,3707800000.00,1706800000.00,12261235244.37,8750000000.00,6400000000.00,2200000000.00,10250000000.00,5300000000.00,2060000000.00,200000000.00,8061000000.00,0,0,0,0,150000.00,150000.00,150000.00,500000.00,0,2748404.61,0,5554538.03,1000000.00,1000000.00,0,2986000.00,2986000.00,2986000.00,2310000.00,3564200.00,1500000.00,1500000.00,0,3962500.00,2000000.00,2000000.00,0,180000.00,24974262.78,0,0,12442783.00,12442783.00,12442783.00,12442783.00,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,252852746.43,133251225.07,54066988.08,478167182.19,607588114.03,268351066.28,167141572.37,412240763.21,364400926.02,264562049.80,70658333.34,309847380.19,228755634.09,155366231.14,79987824.71,306141642.37,264314637.40,213357646.63,15235616.45,96663893.41,54397326.28,33604547.95,1061917.81,25511622.17,0,0,0,0,43955.04,43955.04,39821.84,51980.19,30000.00,0,0,0,0,0,0,0,0,0,0,589033.06,78000.00,0,0,0,0,0,0,0,150.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,26000000.00,26000000.00,26000000.00,55423018.00,27598150.00,15850000.00,6524149.55,29998162.00,917482.60,917482.60,132646.00,97461182.49,5327909.22,200001.22,96758.21,82784420.24,12500.00,12500.00,0,137278511.97,38950.53,32757.40,19690.00,30771.14,25646.14,4496.14,2011.03,1500.00,12270.00,2020.00,0,7575.00,7975.00,82500.00,0,68509.80,0,0,0,33424489.08,960695.85,760695.85,504000.00,9471900.32,411385.00,291385.00,291385.00,16129692.00,14694780.00,14694780.00,194780.00,18502150.00,0,0,0,919676.95,215737.42,177937.42,0,8624199.00,7055880.00,2570800.00,118800.00,28000.00,28000.00,235300.00,0,0.0
16,处置子公司及其他营业单位收到的现金净额,612934693.08,612934693.08,427934693.08,2685741670.11,51572452.99,51572452.99,9105450.00,30534647.94,0,0,0,0,0,0,0,29936616.13,29936616.13,29936616.13,0,49035118.83,53564.36,53564.36,53564.36,2644.22,0,0,0,0,0,0,0,310672516.62,310672516.62,0,0,0,0,0,1000000.00,5303142.34,-674736.66,-674736.66,0,-3445111.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,590000000.00,10000000.00,10000000.00,39733400.00,1559462142.81,825000000.00,825000000.00,805000000.00,1751000000.00,850000000.00,700000000.00,50000000.00,600000000.00,400000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80043978.52,0,321096.02,0,578019.38,0,170059.67,1600000.00,205918.02,67739.07,57387.94,0,433547.10,0,0,0,488728.71,315620.50,201281.54,3003404.77,1235467.42,0,0,0,1602263.91,0,0,0,2730897.99,0,0,0,121835.22,45098.25,117900.26,0,0.0
18,投资活动现金流入小计,4700758931.24,2189768618.15,538001681.16,8621053784.02,6970691389.19,3942523191.44,372237971.92,8135355715.96,7580318408.62,5580479532.40,1875790979.34,14165108562.68,9691883543.31,4563366232.36,1836884582.92,13280097923.11,9444263753.53,6643306762.76,2215235616.45,10532977524.21,5354489841.17,2093690869.71,201135172.17,8086545037.53,25646.14,4496.14,2011.03,1500.00,206225.04,195975.04,189821.84,391276050.33,310710491.62,3152000.63,0,6201067.21,1000000.00,1170059.67,2600000.00,41919549.44,3339698.26,3129347.13,2814000.00,10613568.61,1989385.00,1791385.00,291385.00,20580920.71,17010400.50,16896061.54,3198184.77,19917617.42,24974412.78,0,0,14964723.86,12658520.42,12620720.42,12442783.00,11355096.99,7055880.00,2570800.00,118800.00,149835.22,73098.25,353200.26,0,0.0
