,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,30822776.55,37337564.85,7037616.95,36618871.96,29188148.46,19033457.42,10042205.88,29138346.06,24482957.38,15699286.59,7421967.73,24375785.21,13631036.65,7471271.91,3545172.70,18129096.49,13303207.50,7917368.05,4664006.89,19566899.23,16544690.14,11284527.24,5767856.49,22621108.69,16420860.62,10820065.53,6843763.63,22397634.24,16833168.42,10463358.66,6701691.43,24233754.98,19427521.58,11829871.28,6065441.47,23905123.67,19046405.04,12117994.01,7382761.60,19815348.19,21646545.49,18280172.89,10576809.18,27478120.78,32522355.54,21117208.26,13495153.81,27524693.37,28445030.91,17407282.10,40768512.68,22110978.59,0.0
10,经营活动现金流出小计,390122547.71,301674937.21,142764565.09,563919516.17,435606453.96,309232028.06,152915189.50,604758096.63,451473751.69,298241111.35,144325336.97,306817275.92,219383809.65,145413169.77,67852706.07,283238967.81,208114627.98,147827058.92,80491476.20,287297471.25,213172203.70,147523459.87,63822010.64,237864108.02,168247590.17,119016099.21,68864373.33,258279365.49,197569401.45,142593403.87,67992988.52,286255043.68,214586862.93,152856873.92,75077872.13,305175190.85,221532769.25,147176395.68,71314554.30,254608251.01,186635964.78,116989649.42,56664845.60,276635857.26,216343035.54,158960686.65,87508866.79,245673560.36,175930981.43,112096391.59,211562604.71,191006696.53,0.0
11,经营活动产生的现金流量净额,23024814.37,31426811.75,11799130.32,92441212.72,77529263.97,75305002.61,63663597.80,136151046.86,60609805.29,19480264.41,30923838.06,26144517.97,21305731.28,29091538.18,7208923.58,18142703.63,25679761.00,4958830.94,-8465453.64,7084108.29,9651345.40,-10381264.38,-2715304.73,11988615.40,12745071.25,5225260.74,-13693105.04,-47218246.34,-33598899.61,-33560777.33,-21697184.01,-20958779.19,-26986426.00,-24061755.84,-22742591.17,27456255.74,9321353.76,4605680.34,-4765762.85,44908152.98,784379.23,9884358.32,5794860.01,-12214796.19,-34102478.10,-29767708.78,-28111713.20,11175386.02,-17819684.68,-29623411.02,29025453.48,-14397782.67,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,800000.00,800000.00,800000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,53678800.00,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,2739.98,2739.98,2739.98,0,461819.06,21858.75,21858.75,0,2313222.85,2313222.85,2313222.85,0,2257216.83,2257216.83,7216.83,0.00,2250000.00,2250000.00,2250000.00,0,4170299.29,4170299.29,4170299.29,1920299.29,1334383.56,1334383.56,1334383.56,0,1376917.61,1376917.61,850000.00,0,688089.44,688089.44,688089.44,1258410.03,800000.00,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,3187700.00,558900.00,0,1974220.00,1922320.00,227160.00,227160.00,1226760.00,644460.00,254460.00,42860.00,1021650.00,522450.00,495150.00,290000.00,155882.94,144200.00,144200.00,123700.00,2010400.00,1521500.00,1053700.00,255100.00,2377000.00,1790800.00,1440800.00,0,157000.00,157000.00,156000.00,0.00,2358600.00,929800.00,701200.00,0,1019746.00,750546.00,740546.00,184546.00,533640.00,196840.00,4040.00,3400.00,1461537.00,1243705.00,1243705.00,1242705.00,491132.31,61440.00,1440.00,14828.77,641907.00,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,-730988.07,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,8730000.00,5821823.00,4442280.00,80000.00,24780513.75,2368300.00,888300.00,288300.00,3570000.00,1058040.97,424440.97,0,8000000.00,2815058.59,380000.00,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,13760000.00,13760000.00,0,0,10000000.00,10000000.00,10000000.00,0,0,0,0,0,0,10000.00,0,0,0,0.0
18,投资活动现金流入小计,3987700.00,1358900.00,800000.00,10704220.00,7744143.00,4669440.00,307160.00,26007273.75,3012760.00,1142760.00,331160.00,4591650.00,1580490.97,919590.97,290000.00,8158622.92,2961998.57,526939.98,123700.00,1741230.99,1543358.75,1075558.75,255100.00,58369022.85,4104022.85,3754022.85,0.00,2414216.83,2414216.83,163216.83,0.00,4608600.00,3179800.00,2951200.00,0,18950045.29,18680845.29,4910845.29,2104845.29,11868023.56,11531223.56,11338423.56,3400.00,2838454.61,2620622.61,2093705.00,1242705.00,1179221.75,759529.44,689529.44,1273238.80,1441907.00,0.0
