,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010930,20010630,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,销售商品、提供劳务收到的现金,15368418265.18,9702852644.14,4686953326.70,22375638625.23,16548420800.24,10524545300.91,4256144276.88,15189317692.61,9615986720.82,4976080881.64,2282632697.96,10506022417.45,6260642261.89,3923995784.84,1873692491.86,8217635289.49,5324353489.61,3510589669.96,2045174532.96,6390372205.86,5698453613.80,3018499121.38,953072440.69,4795295262.07,1607630910.97,1783385205.46,690456451.70,3054099707.99,3309715434.46,2228798292.06,1007357856.39,2488086385.59,3296756777.58,1988576296.63,1092045593.33,3140802533.31,3237528893.33,1862626846.12,821310984.86,3105046921.98,2162116328.50,1380282580.87,525933575.22,3269924246.89,2311737443.31,1613227790.36,607177055.36,2046834820.04,1393171160.00,952793587.47,473254106.03,1829338185.41,1341247212.82,760142444.28,382884680.95,1698941519.88,1097808499.11,751750596.33,338433587.71,1421334783.66,947218560.81,566735559.56,305717247.11,915459098.21,639431306.64,380576881.35,200176598.98,592156337.03,250561885.24,321690121.89,236441454.92,0,368739589.11,0.0
3,收到的税费返还,373708467.45,277773273.28,192260848.51,669825193.69,645668297.74,407247910.06,167728416.38,495769899.04,315284252.92,211236310.36,91779936.84,296948888.02,157487004.25,135442586.22,79023885.45,148753445.02,51414036.89,12827051.79,4099087.39,88574454.48,35745553.93,32838880.71,10138841.16,55094315.79,51436755.94,6215422.21,2342084.45,18345035.88,11862092.09,8012287.69,5152940.47,23904196.21,45795661.72,34622289.52,12190851.05,66282690.00,38662452.21,18567996.10,2776666.69,40704034.81,15602897.46,9588428.31,4590840.16,15215182.30,11941744.45,8825314.26,4989472.25,47869054.28,19870674.92,6825292.52,3355561.85,28472668.95,19235133.52,8761239.48,6281987.13,15002546.26,14731799.28,3448585.28,2243457.13,16776560.73,8905024.97,6882220.94,1250652.90,18581395.74,10502635.45,6982045.67,2139570.22,3764665.19,2821892.82,4883305.26,3845538.09,0,2940026.37,0.0
4,收到的其他与经营活动有关的现金,542733637.42,295791542.10,281289896.38,457696804.16,650637699.14,441615763.21,225177659.51,1327708904.04,532978859.62,399938668.55,589143938.56,1031518317.19,590589500.72,591153551.99,546942654.50,1787940112.73,1213234787.03,928364366.65,876497629.39,812226025.16,483961253.46,319344661.90,99905673.16,491281132.82,138886333.76,138487160.82,116679905.80,278155498.26,117578191.46,88922073.24,10812883.42,245165776.20,9004739.56,7074564.19,12551872.80,62954586.11,13208565.35,25265612.46,67994562.29,29195167.37,14928951.28,7583401.94,4785421.85,18081144.33,0,0,0,17494200.20,0,0,0,12036853.75,0,0,0,8927728.42,0,0,574654.76,52017.85,0,0,14266.03,667071.72,0,0,303412.52,11719.43,919617.76,295370.04,299402.74,0,468821.55,0.0
5,经营活动现金流入小计,16284860370.05,10276417459.52,5160504071.59,23503160623.08,17844726797.12,11373408974.18,4649050352.77,17012796495.69,10464249833.36,5655770954.20,2963556573.36,11838594464.05,7008718766.86,4650591923.05,2499659031.81,10154328847.24,6589002313.53,4451781088.40,2925771249.74,7291172685.50,6218160421.19,3370682663.99,1063116955.01,5341670710.68,1797954000.67,1928087788.49,809478441.95,3350600242.13,3439155718.01,2325732652.99,1023323680.28,2757156358.00,3351557178.86,2030273150.34,1116788317.18,3270039809.42,3289399910.89,1906460454.68,892082213.84,3174946124.16,2192648177.24,1397454411.12,535309837.23,3303220573.52,2323679187.76,1622053104.62,612166527.61,2112198074.52,1413041834.92,959618879.99,476609667.88,1869847708.11,1360482346.34,768903683.76,389166668.08,1722871794.56,1112540298.39,755199181.61,341251699.60,1438163362.24,956123585.78,573617780.50,306982166.04,934707565.67,649933942.09,387558927.02,202619581.72,595932721.65,254303395.82,326868797.19,240586395.75,0,372148437.03,0.0
6,购买商品、接受劳务支付的现金,9851598937.77,6705587187.58,3942621338.63,15489760833.84,10496598638.62,6398084352.89,3565974816.07,10361933741.76,7769775363.16,4851054411.18,2711251784.10,7363063875.94,4705909397.04,2941172901.91,1237885345.30,5782826702.18,3637196506.63,2375365060.21,1866066323.50,3099547132.28,4471690870.25,2489901961.83,997208787.43,3391754047.11,1548018714.68,1726702769.42,637102936.42,2481095599.17,2646844106.96,1962993867.36,751865314.42,2229980901.72,3238854710.33,1828717285.45,764305879.97,2252842263.13,3062243973.55,1771195727.73,929267349.09,2396103597.21,1419005209.13,972024513.95,474565489.56,2718398787.26,1724383761.10,1284198381.18,595107186.97,2017354773.23,1069368491.33,748232661.85,529019139.84,1524716553.01,1073437838.41,634814514.46,377120449.30,1423459984.84,920549942.73,650385814.08,347802738.01,1183863498.58,763552845.46,413042755.36,239670413.84,790485597.20,530677098.66,317115091.66,167183562.62,426609846.76,185010656.22,256474954.04,189622083.96,0,296314003.27,0.0
7,支付给职工以及为职工支付的现金,1157402594.14,777392449.62,277929567.27,1415972288.96,1253511866.22,722942917.96,390569661.13,924572129.96,640225399.03,444021494.84,263160776.04,766973926.20,579089168.77,398646523.17,219288838.08,674604238.07,471141463.86,314434289.68,162558639.09,585595248.50,424769261.92,293818809.32,165052882.19,402691980.60,270886920.61,123950157.40,63569582.36,226737556.50,165700299.23,110775125.76,57536282.88,184088458.03,132729620.68,97586290.94,44991943.71,180428201.22,101078744.80,116717286.49,38778539.76,156606290.97,111622898.63,85308495.05,29729847.42,122906068.08,67624107.17,45082738.11,22541369.06,90165476.22,51635312.61,34423541.74,17211770.87,55838143.01,50953445.47,34571654.27,15502326.48,51607426.10,43357547.40,28059681.56,14444485.05,55707219.51,34415548.15,22438884.98,13523703.13,44253021.89,30234878.11,20215105.59,10618457.46,30773941.57,15202651.29,24626982.24,18141220.07,0,20729780.32,0.0
8,支付的各项税费,1813454927.03,1427069637.10,895385178.10,1726230216.43,1933273419.93,1193663797.42,549651843.85,1094799884.89,721545699.97,452291013.82,188036744.32,825796917.93,574103653.70,427426786.48,197442657.78,714689287.86,522575398.07,383275810.84,193095331.59,524685534.32,263072774.67,114815228.82,58582092.96,221329819.88,179559032.77,84835063.70,44021964.91,219471692.40,168195186.20,107119384.40,36358341.79,322231337.56,182872290.13,186797284.49,79461842.24,320241503.93,224481355.21,153484949.66,77681456.67,180252980.79,143356190.59,74734965.59,37950846.90,161351924.82,122511256.94,90535971.08,38720274.53,88216794.45,81875806.77,54583871.18,22096227.34,85324524.16,80342379.65,54576007.83,25711170.04,78832852.77,63150937.78,45075705.80,12664098.34,81525357.42,58522225.48,40204527.05,14937300.28,69130249.02,44679529.74,26374281.44,9111576.11,48409816.53,19175180.83,29509054.43,21331094.28,0,36934880.74,0.0
