,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060630,20051231,20050630,20041231,20031231,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,客户存款和同业存放款项净增加额,1977486000000.00,2344088000000.00,2013550000000.00,1348018000000.00,1880107000000.00,1909575000000.00,1441588000000.00,704395000000.00,1583634000000.00,1556281000000.00,23406000000.00,749630000000.00,1477846000000.00,1447843000000.00,1066410000000.00,759324000000.00,1361008000000.00,1425346000000.00,1748673000000.00,537079000000.00,1156688000000.00,826412000000.00,1165393000000.00,622551000000.00,994119000000.00,1060148000000.00,909664000000.00,743302000000.00,1508616000000.00,1622050000000.00,271539000000.00,595904000000.00,1308548000000.00,1135158000000.00,152702000000.00,686573000000.00,1374387000000.00,1517188000000.00,1116286000000.00,706049000000.00,1886645000000.00,1849729000000.00,1688544000000.00,1179547000000.00,1337886000000.00,999886000000.00,713033000000.00,386799000000.00,946497000000.00,992947000000.00,758124000000.00,376603000000.00,797959000000.00,512149000000.00,581427000000.00,374079000000.00,447951000000.00,536546000000.00,633755000000.00,188725000000.00,375982000000.00,0.0
3,向央行借款净增加额,534000000.00,70000000.00,749000000.00,0,32000000.00,0,0,0,0,0,0,0,335000000.00,0,170000000.00,0,0,0,0,0,0,0,21000000.00,0,0,0,0,0,1025000000.00,137000000.00,337000000.00,0,49000000.00,49000000.00,49000000.00,30000000.00,51000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19281000000.00,0,9196000000.00,-1035000000.00,0.0
4,向其他金融机构拆入资金净增加额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,收取利息、手续费及佣金的现金,1246192000000.00,936078000000.00,614955000000.00,290875000000.00,1135859000000.00,843916000000.00,556727000000.00,266023000000.00,1050032000000.00,795778000000.00,531719000000.00,250804000000.00,975432000000.00,735603000000.00,481544000000.00,235439000000.00,1026569000000.00,773029000000.00,511281000000.00,246109000000.00,983475000000.00,727896000000.00,477492000000.00,233491000000.00,891079000000.00,659541000000.00,423944000000.00,206829000000.00,824124000000.00,606494000000.00,388111000000.00,185269000000.00,679201000000.00,492317000000.00,316244000000.00,145847000000.00,527675000000.00,385318000000.00,251748000000.00,118382000000.00,458157000000.00,336802000000.00,226046000000.00,111207000000.00,471854000000.00,353627000000.00,230831000000.00,106434000000.00,365560000000.00,270345000000.00,160792000000.00,75154000000.00,277081000000.00,132202000000.00,221351000000.00,101631000000.00,196737000000.00,183632000000.00,123587000000.00,123965000000.00,130761000000.00,0.0
6,收到其他与经营活动有关的现金,135146000000.00,121222000000.00,102422000000.00,145847000000.00,186288000000.00,247619000000.00,120146000000.00,61847000000.00,144584000000.00,88739000000.00,53819000000.00,45280000000.00,122942000000.00,65257000000.00,69892000000.00,2398000000.00,88058000000.00,58368000000.00,44398000000.00,4761000000.00,27783000000.00,43795000000.00,39670000000.00,15390000000.00,32813000000.00,20711000000.00,57697000000.00,19044000000.00,23870000000.00,39986000000.00,16072000000.00,6649000000.00,15481000000.00,39465000000.00,10961000000.00,7863000000.00,14403000000.00,26271000000.00,16133000000.00,17912000000.00,11004000000.00,30735000000.00,20190000000.00,25647000000.00,39209000000.00,28515000000.00,27664000000.00,6080000000.00,6082000000.00,18419000000.00,3116000000.00,8637000000.00,58605000000.00,33898000000.00,11953000000.00,3561000000.00,17316000000.00,6555000000.00,40936000000.00,0,0,0.0
7,经营活动现金流入小计,3521010000000.00,3604961000000.00,2855067000000.00,2200172000000.00,3723910000000.00,3409504000000.00,2230790000000.00,1365445000000.00,3477693000000.00,3129646000000.00,2085369000000.00,1434297000000.00,2920006000000.00,2788343000000.00,1835743000000.00,1397387000000.00,3188098000000.00,2723872000000.00,2555686000000.00,1133567000000.00,2460708000000.00,1816818000000.00,1929876000000.00,1109335000000.00,2550623000000.00,2201336000000.00,1778829000000.00,1322879000000.00,2555110000000.00,2369115000000.00,1879326000000.00,1062848000000.00,2431213000000.00,2062323000000.00,1625196000000.00,1024700000000.00,2307021000000.00,2222646000000.00,1632009000000.00,973979000000.00,2424540000000.00,2264177000000.00,1946449000000.00,1322385000000.00,1876942000000.00,1422253000000.00,996968000000.00,522528000000.00,1534185000000.00,1326973000000.00,1005646000000.00,460394000000.00,1159114000000.00,694056000000.00,838477000000.00,492072000000.00,690673000000.00,848476000000.00,807832000000.00,489881000000.00,513254000000.00,0.0
8,客户贷款及垫款净增加额,1416849000000.00,1246351000000.00,896890000000.00,568264000000.00,1258665000000.00,879358000000.00,634484000000.00,374050000000.00,1333103000000.00,1149029000000.00,877588000000.00,544014000000.00,1119674000000.00,997888000000.00,761127000000.00,439525000000.00,924231000000.00,866897000000.00,648325000000.00,334253000000.00,1121840000000.00,948934000000.00,714006000000.00,434096000000.00,1159539000000.00,867484000000.00,649962000000.00,465042000000.00,1010592000000.00,854641000000.00,634563000000.00,370272000000.00,1036506000000.00,833607000000.00,562595000000.00,280087000000.00,1071538000000.00,855646000000.00,620246000000.00,337577000000.00,1169891000000.00,1020083000000.00,873566000000.00,640655000000.00,541025000000.00,357999000000.00,306736000000.00,163836000000.00,475760000000.00,409194000000.00,299986000000.00,171712000000.00,371658000000.00,184174000000.00,244536000000.00,166626000000.00,354970000000.00,431670000000.00,450457000000.00,258215000000.00,220011000000.00,0.0
