,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,4545019113.94,2637151097.54,1741578777.34,767833082.35,3073986350.16,2126736939.39,1252403615.62,503958085.59,1499150697.02,939398364.12,601901920.00,480662204.11,1106749381.60,607790761.40,397322382.64,180969971.68,617967192.98,528151812.79,471238490.10,171204010.69,568699603.20,483900258.54,315850792.47,112832210.09,491476158.62,310024213.31,174856214.15,99984167.26,485893094.48,273746641.62,202245209.10,49169191.56,250256452.79,150941081.85,84976330.35,41533269.97,177269988.74,112082275.69,65305871.74,33694701.58,153136901.24,108397678.23,64385646.66,25893967.61,130958391.61,61783088.46,38612406.13,17963700.33,72940113.99,37306123.58,24524086.13,18485840.16,75350361.15,54958346.75,40476618.89,17944620.78,55785857.61,63429653.33,46105398.80,19621136.47,58060815.20,56066176.14,49335087.90,64736950.73,56014851.65,0.0
10,经营活动现金流出小计,11103982229.33,7878215555.72,5261769438.94,2698884594.63,8478723913.08,6239803528.75,3895596760.26,1886912438.98,6365154004.41,4680653540.59,3305341416.14,1677390714.46,6774612808.56,1819785999.71,1181319106.66,616277317.78,2733691198.25,1897941862.37,1423968897.20,755596399.58,2840151253.86,2040659588.70,1295662911.02,648177353.69,2468673834.69,1784466613.23,1109560782.62,505567723.81,2225939821.99,1482677047.09,933271293.33,400333459.26,1677099442.58,1016697238.35,675047296.72,316611781.82,1472169393.65,984824942.49,621594270.71,293072456.70,997696410.30,797449939.55,522255980.66,178605127.23,512719940.25,461554281.13,316522972.79,152031141.44,543835394.91,416520681.05,295069145.97,158479556.84,491953795.38,365729301.21,226391561.40,134170718.91,494154703.88,377325365.49,228015499.90,106234426.72,352150543.99,209355019.01,164297792.85,425962694.72,247458678.38,0.0
11,经营活动产生的现金流量净额,1270137212.46,1071349944.61,654690406.39,-287851789.55,1669140575.90,825744301.35,268786311.87,247783653.05,2314541656.95,610326087.48,171977337.85,-2183792.98,838576838.24,175523264.97,143505496.98,23882192.61,226646450.17,167013843.35,-13324481.69,-64100224.27,258514766.29,171676079.61,194944618.43,-7236874.05,207496007.55,87106548.91,24096426.54,75572529.42,193411432.14,87001013.48,50874607.05,-1010723.34,136123080.29,118617140.44,68945205.43,48443988.68,115105986.84,53458966.87,60211266.90,16398154.34,97434742.14,119131558.85,89691766.28,18922590.52,58044425.57,44552195.85,8990045.57,-10186088.26,82308036.53,33330432.48,24835432.72,-8412814.63,73595327.59,59621502.05,32074260.69,13775067.88,57898132.76,59485246.00,45826415.39,22157452.25,17016393.71,35419819.65,14865101.90,17116951.16,7443378.97,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,420502.33,420502.33,420502.33,0,425625900.00,0,0,0,0,0,0,0,478000000.00,0,0,0,0,0,0,0,0,0,0,0,1131088.72,0,0,9708088.72,0,0,0,0,0,0,0,0,0,337500.00,337500.00,337500.00,2439417.21,0,0,0,178464.39,178464.39,0,0,0,52210389.27,20165100.00,0,-9218055.41,0,0,0,448963.50,500000.00,500000.00,0,231563.18,231563.45,0,225077.82,541787.67,0.0
14,取得投资收益所收到的现金,23099838.99,23546922.32,23546922.32,447083.33,17015614.58,10000000.00,0,0,0,0,0,0,6699740.44,0,0,0,7650000.00,0,0,0,60000.00,0,0,413333.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7640759.18,6715515.85,168167.71,0,0,0,0,0,0,0,0,0,0,0,0,753.65,1659239.32,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,2034257.65,1826640.65,1571663.59,513377.57,2252672.27,1365122.98,1208946.85,92759.00,19387641.00,7229321.10,401712.30,32630.00,6480276.09,473138.27,143599.00,107502.00,4216969.43,1017554.11,963247.43,120541.00,8723292.54,8583807.88,8455177.88,1733200.48,1282172.80,1207293.92,135591.92,71491.92,5914933.53,927300.19,174091.21,101278.21,413311.84,365162.02,332462.02,20701.41,4517152.60,1020568.44,847029.58,151134.08,716860.72,933486.32,107778.00,15000.00,92594.50,95951.88,72101.88,0,3607512.73,3655099.93,2155240.00,40.00,323296.94,587931.00,355000.00,0,30000.00,38277.00,38277.00,2277.00,304756.35,0,0,23900.00,160857.30,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7434395.22,9119705.80,9119705.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,50000000.00,50000000.00,50000000.00,50000000.00,68000000.00,45000000.00,40000000.00,0,25719453.33,29049453.33,28961120.00,10000000.00,312180657.47,0,0,0,0,0,0,0,0,7654851.73,2953583.72,7843674.72,0,18711744.93,0,0,17381223.17,37381223.17,37381223.17,328634.19,0,0,0,0,0,1446082.76,1042289.73,497324.83,0,1247543.49,639094.15,148625.11,0,0,0,0,0,443500.00,443500.00,243500.00,0,199017.84,199017.84,0,0,0,0,0,13453477.64,0,0,0,0,0.0
18,投资活动现金流入小计,75554598.97,75794065.30,75539088.24,50960460.90,512894186.85,56365122.98,41208946.85,92759.00,45107094.33,36278774.43,29362832.30,10032630.00,803360674.00,473138.27,143599.00,107502.00,11866969.43,1017554.11,963247.43,120541.00,8783292.54,16238659.61,11408761.60,9990209.01,9847656.74,29038744.65,9255297.72,9779580.64,23296156.70,38308523.36,37555314.38,429912.40,413311.84,365162.02,332462.02,20701.41,4517152.60,2804151.20,2226819.31,985958.91,3156277.93,2181029.81,746872.15,163625.11,271058.89,274416.27,72101.88,0,11248271.91,63024505.05,22932007.71,243540.00,-8894758.47,786948.84,554017.84,0,478963.50,538277.00,538277.00,2277.00,13989797.17,231563.45,0,249731.47,2361884.29,0.0
