,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,221484401.63,196470484.73,70082061.35,472480271.45,292590505.83,201476341.94,64677658.21,331792656.52,254630530.08,170506461.04,46085721.63,269592416.12,248195148.15,146863340.85,61959274.72,356623954.42,242611647.51,172554614.05,56271436.20,463474515.81,300400824.33,220849221.37,110959169.36,344351892.96,241518322.09,157728975.02,50317019.94,289315270.59,253357414.99,170993841.55,44535783.56,410571315.35,127284747.35,56609880.52,8046089.32,71833008.00,29050567.13,37306861.54,8360515.71,71749664.08,16173944.93,15304997.65,3919144.16,47368574.21,23677145.07,13242429.11,7828321.10,40440495.00,21724778.66,28041274.71,5673025.82,42813534.72,20686512.22,5821836.06,6055247.43,27402020.01,35997708.89,23093437.46,10086217.01,31238273.20,26984631.65,17949282.22,52024950.67,40748879.96,22922454.45,17369219.15,11466933.40,32381441.89,0,0.0
10,经营活动现金流出小计,3358108723.96,2444783743.37,1107921013.53,5362142552.59,2523710299.28,1517979038.76,793926919.51,3689139493.94,2727907859.80,2141222027.73,753659389.60,2707991594.49,1312266146.69,899709920.20,412187398.14,1861205262.33,1660841500.98,1365683612.04,942094156.99,3219446891.92,3002830067.46,2710305960.86,1174129326.34,4095182109.45,5416040072.20,3500343507.92,1164681611.68,1304767962.60,1301958186.02,765113846.87,548019935.02,3028623412.54,4018650247.49,1388909752.18,825127355.45,2628582992.27,1770072922.02,1516981232.74,489053733.18,1394358564.53,838639378.85,483366713.83,150207268.50,1543566171.62,1207860288.12,782543464.83,198046182.66,1390816423.53,1491653233.01,925663766.28,340049904.86,1039492654.42,1025457060.47,719229678.33,182848132.93,837395314.48,628978609.67,467491576.90,209798581.18,1753238396.68,1298735014.30,824286708.35,309648519.51,1947429280.40,1017011514.11,682529541.61,336310024.05,1241748880.45,0,0.0
11,经营活动产生的现金流量净额,641268517.05,297217608.57,-91374057.29,-394375287.21,748795924.24,538849466.46,79797356.05,46021962.60,-202467745.29,-199507726.69,-69552448.83,689192317.66,410821941.84,556450147.05,234053014.01,517680767.14,-81757789.57,-155830764.68,-521444275.63,-240853368.19,325300075.11,85784354.34,27176876.95,465858904.33,174203821.30,-242382657.94,-119493429.00,765755332.64,533844038.67,547392209.00,-123891516.12,272959279.36,-173446240.25,22580174.32,-222374762.44,312865100.65,390123665.25,153099737.65,15750080.90,616729291.28,588733309.18,407087013.72,78702894.06,15509466.58,133601887.51,153771524.32,200979036.24,-105659877.70,-40140699.24,133389706.55,100894511.79,142680586.75,127654800.00,87846318.71,74700074.73,179585125.68,100755786.79,100391904.55,22388000.59,-151616381.60,-285095458.29,-74984536.19,28687056.21,-127898324.21,88093781.54,134103587.93,28530776.77,129253496.54,122958921.49,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000.00,6000000.00,6000000.00,6000000.00,0,0,0,0,2000000.00,2000000.00,0,0,0,0,0,0,1141884.93,1000000.00,0,0,1000000.00,1000000.00,1000000.00,1000000.00,0,1600000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,取得投资收益所收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110689.60,0,0,0,141884.93,0,0,0,25393.15,0,25393.15,0,62655.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6669782.00,0,0,0,0,0,0,0,0,0,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,160796205.23,136648000.18,0,5787712.97,27168.56,27168.56,0,338595.15,250247.54,235112.26,1366.58,2467979.23,180512.91,11637.87,5738.00,853900.71,930944.90,893391.14,0,4129732.30,829508.66,829508.66,0,1244384.31,324911.00,121411.00,0,736790.68,511150.01,316556.86,59000.00,329312.98,296840.90,80000.00,89000.00,1581040.53,0,0,0,1909518.44,1334960.00,1334960.00,0,1453446.74,0,0,0,276390.00,0,0,0,0,0,0,0,0,12140.00,12140.00,0,1618789.14,99483.50,99483.50,-7941.00,0,0,0,0,0,0,0.0
16,处置子公司及其他营业单位收到的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16826351.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,39021239.39,24500368.36,7055753.83,28483094.58,23350593.30,8172450.07,1614743.68,47023031.42,20933052.61,16722939.38,3055866.79,25969026.83,15657189.45,11112535.51,1727760.17,17847966.83,10688387.78,7780052.81,3874399.55,32991297.36,26094244.73,21886530.24,14300269.46,72285751.56,10491711.50,5346326.28,2053061.81,34463191.88,14034259.56,5809767.53,1725755.03,80621031.47,6901695.15,4467573.80,2642563.69,7373250.18,4096294.40,2899839.13,1145088.06,2658114.42,1215030.20,525969.42,224368.57,8545269.64,4737591.70,2618757.19,756334.35,6990077.01,5310886.39,2658346.86,0,4555661.29,0,1399828.57,0,1865457.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,投资活动现金流入小计,199817444.62,161148368.54,7055753.83,34270807.55,23377761.86,8199618.63,1614743.68,47361626.57,21183300.15,16958051.64,3057233.37,28437006.06,15837702.36,11124173.38,1733498.17,18701867.54,11619332.68,8673443.95,3874399.55,59947381.44,32923753.39,28716038.90,20300269.46,73530135.87,10816622.50,5467737.28,2053061.81,37199982.56,16545409.57,6126324.39,1784755.03,80950344.45,7309225.65,4547573.80,2731563.69,10096175.64,5238179.33,2899839.13,1145088.06,5567632.86,3575383.35,2860929.42,1249761.72,9998716.38,6400247.32,2618757.19,756334.35,7266467.01,5310886.39,2658346.86,0,4555661.29,0,1399828.57,0,1865457.87,12140.00,12140.00,0,8288571.14,99483.50,99483.50,-7941.00,0,0,0,0,0,0,0.0
19,购建固定资产、无形资产和其他长期资产所支付的现金,386475836.31,263174308.00,93156330.49,494060310.46,144970817.25,116848466.13,91833462.05,366800378.84,50115370.87,37249224.91,39238229.40,372334409.55,23723013.05,17256410.26,47624105.29,394743626.30,169830980.65,157055567.43,89807791.89,491094021.54,543202189.88,231202011.82,161197825.20,826534253.13,491448063.11,330090635.85,76534354.31,907804052.89,639184083.85,577951409.56,31312439.81,992545936.82,314475879.68,21426442.29,1110924.70,24416914.00,8913940.38,10432272.87,364807.34,24565217.93,10342656.77,4746888.79,858009.00,51074742.04,44286489.96,18243136.13,6510730.55,89855485.08,8299487.39,7195151.13,2329410.55,13619908.28,10181164.98,4740527.53,2439186.78,14815189.29,9065102.80,6084455.15,6133120.70,24807958.52,8908474.17,8722671.33,27611904.90,96672717.18,160085273.08,135373851.12,7021206.25,111507614.30,0,0.0
