,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,支付的其他与经营活动有关的现金,10220321302.08,5861539767.51,3715199857.45,1950447512.94,6661335043.08,5561576847.18,2841702494.54,1708390723.89,6243141641.08,3592163393.55,2296042612.80,1513776369.29,5731998921.90,3405629850.33,2259234078.09,1025451368.04,3013020357.80,2229885894.36,1598065835.34,721326752.68,2790591479.79,1956158404.97,1265089153.05,718979184.19,2069551961.05,2430397018.24,1620268494.85,770564951.37,1859472930.72,2239974857.27,1460801464.17,786809845.58,2308126636.41,1694622247.12,1277306853.59,505812187.91,1911349470.63,1518086830.29,919444291.29,442915821.14,1467494123.26,940861449.99,352953877.31,124377298.46,444168859.23,529034723.71,294586811.30,185233984.20,682995090.61,515266849.35,322547786.15,261559564.52,684553149.00,341805924.75,268893553.34,201220663.53,464927500.51,321170456.38,231599626.89,181950749.76,469710061.53,485995905.34,376782292.00,200699282.68,275327763.09,332154178.87,269049571.47,154575249.69,286445932.57,362290248.89,387144812.50,252244527.36,482435995.91,212551108.60,491735509.72,489775317.36,0.0
10,经营活动现金流出小计,138360233918.65,87737876952.71,66862501927.28,38328879476.96,178302258552.75,104653588931.49,70088514555.97,36635576775.58,150112356056.81,96310140887.36,63297418548.08,31642467757.68,133789050835.99,85634289102.21,57214670574.57,24835266788.89,95125951864.76,61126912187.86,35406981999.28,18003434207.91,84076532810.96,50224395797.05,31990889994.11,16034102047.11,73565956384.26,43319666114.95,27878641211.07,13302479492.44,59191989379.80,38635493063.80,25424122616.89,12363219800.08,56888620772.74,34506275772.47,22710563811.08,10866666243.76,46759656804.59,29334429775.77,19297798611.66,9654259409.09,24042977230.40,12639523529.04,6516876685.32,1224340822.14,6085477058.48,3768024362.06,2659385115.79,1580107777.76,5417518847.38,3521569731.73,2321633370.03,1475731764.68,4270718768.87,2926416899.31,1896520689.90,1013631131.69,3390265334.04,2596812213.36,1685958106.13,942903194.40,3205075582.52,2561406280.22,1740368900.59,894614967.65,2725083946.56,2258159306.23,1500996387.37,854289298.60,2563628327.17,1449245730.37,2237260396.56,1126189903.47,2197767076.84,913948188.52,1691028035.92,1185260195.62,0.0
11,经营活动产生的现金流量净额,9656347352.17,6625028628.23,3079937443.18,255957507.80,9376138441.18,4419603154.11,3308566789.13,-295329647.34,8486118138.06,6783028069.36,3473499486.39,599490354.26,11375286829.75,8451407893.19,6336315234.10,1278628266.08,5860101553.99,5124948192.73,4597369558.43,1325134328.67,6094069740.34,4720789847.25,3187110071.31,34986318.54,6792534271.12,4623786998.90,3147514715.21,679525254.93,4826529341.93,3171609579.92,2166155012.36,464388182.07,4632871071.16,3327590990.18,1988158327.45,996043129.07,4494425674.13,2763568797.43,2181239604.78,712624763.22,3416314252.06,2184393309.94,617352961.25,57449676.41,993315161.25,653970497.31,506616665.36,43919578.17,1099646553.80,844629067.87,677321316.02,41425803.99,1035345446.31,815107009.25,545252426.78,192090152.40,1130352300.74,742150679.87,488786640.77,234646820.80,936960200.02,598772033.15,396428435.64,150458838.34,745932582.91,503643164.60,317583572.53,151556792.89,684631209.42,276682840.14,526768750.16,223631929.75,466352545.31,261696539.95,478342593.53,153051048.13,0.0
12,二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,收回投资所收到的现金,1000868462.88,826978677.55,583662181.69,738649864.56,1355279330.05,4272766274.75,1187953533.47,1063958643.78,2368579096.72,1937452472.94,1198568396.74,212223095.82,2727373285.19,2761856525.62,2034296589.44,787500000.00,2193093977.54,1680533263.04,1508360829.50,543271982.58,2838533925.26,1877865224.67,990200000.00,653000000.00,3161253775.53,2518065507.14,2339315709.14,1853897232.67,1298866942.38,1614685470.13,881874009.20,526000000.00,1778619138.32,1396419963.57,1082419963.57,577419963.57,653473350.32,423766285.00,381804970.68,0,201791852.34,19108497.31,15000000.00,15824280.38,111956757.25,107563674.65,68937162.17,1029480.00,257794462.28,108640579.15,66479035.91,24184727.97,61629358.37,22367816.94,15106971.31,8256498.68,114695755.24,88242177.10,87092614.24,76488859.99,60189327.24,73655134.94,28405444.10,16695945.02,84434884.83,104978458.34,82787707.84,55676738.76,78145918.48,70110022.11,49625119.29,69595474.08,31270770.57,2640770.57,122503333.34,45095767.26,0.0
14,取得投资收益所收到的现金,2972284020.26,1641354076.41,1038249991.00,49159349.92,2891486701.52,1568821695.99,1034255003.68,47343784.81,3040288670.60,1616490559.91,426167068.86,100061675.81,2305609178.53,1754480452.10,882731811.75,152700924.03,2141651806.90,1235861407.27,1026782991.38,55177764.77,1750409310.70,1674791491.85,941475999.24,213289218.11,1684278339.93,1338594522.88,660112816.65,228447224.48,1269156810.21,787044766.07,503519789.54,174992281.78,746587643.58,573180437.12,329934946.47,30133879.30,873504198.13,598778627.52,369173993.44,25181814.75,903267481.21,514707951.88,270611240.97,2610536.25,106220758.39,30144720.84,22135214.75,55907479.61,26503548.56,146183441.74,111569600.40,81756076.04,123069892.06,24886837.15,24713500.15,12746744.06,42197274.77,27024612.75,26687112.75,15098787.07,39930796.05,37686619.88,33756588.33,16184668.93,27243475.10,20729469.89,16887045.78,3681399.42,26186276.68,14367739.58,46296743.90,23763427.64,21042803.10,15457365.83,16667591.57,9820372.64,0.0
15,处置固定资产、无形资产和其他长期资产所收回的现金净额,582298225.47,183529798.48,117532717.42,117036397.42,62892894.58,6807679.35,3194197.21,2056324.71,252885393.17,146343066.50,144607951.78,58741896.89,370613628.04,215359250.27,202236448.32,69663937.78,183051884.33,67248567.24,64044161.10,67310126.65,259806101.21,170059681.00,166476734.34,937769.19,62004190.34,22115759.31,7467983.09,191640.69,157541215.84,23496835.03,7049887.12,694572.40,83559263.51,23622008.11,5529147.36,1933758.88,173329568.01,4723441.74,4392154.24,469588.23,288264429.52,2473576.22,574399.82,237384.60,141515882.03,39720445.76,29990116.68,14758880.76,134400664.78,64884256.94,49086728.85,15253243.03,84983460.53,57335920.84,20081170.35,3756017.64,89545227.96,58157279.64,51760562.11,10320391.73,214696797.96,109793277.66,24664244.62,11235689.65,62126838.52,37248607.93,23197173.72,12039575.84,75776472.81,52156152.03,46014823.32,122355889.41,43552714.83,31936645.40,29990794.10,4892786.12,0.0
16,处置子公司及其他营业单位收到的现金净额,140208755.54,62814468.92,62814468.92,0,0,2550000.00,0,0,0,119387865.07,119387865.07,0,11088119.00,21500000.00,21500000.00,21500000.00,22382759.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14137210.20,0,15005914.00,15005914.00,383692589.59,0,0,0,1034774747.61,58200.00,1529700.00,1529700.00,0,0,0,0,58642714.07,0,0,0,135559851.69,0,0,4421531.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,收到的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27474301.50,25024301.50,29446457.18,0,12390790.25,51931364.86,2551693.38,0,1067703777.95,1067703777.95,0,-26073809.26,186498.93,0,546498.93,22710221.04,2158103.05,0,0,105670944.44,51201615.88,51201615.88,0,0,125933.33,0,0,0,0,0,0,89658110.88,0,0,0,0,34290852.01,0,0,0,0,0,1025888.62,0.0
18,投资活动现金流入小计,4695659464.15,2714677021.36,1802259359.03,904845611.90,4309658926.15,5850945650.09,2225402734.36,1113358753.30,5661753160.49,3819673964.42,1888731282.45,371026668.52,5414684210.76,4753196227.99,3140764849.51,1031364861.81,4540180427.77,2983643237.55,2599187981.98,665759874.00,4848749337.17,3722716397.52,2098152733.58,867226987.30,4907536305.80,3878775789.33,3006896508.88,2082536097.84,2725564968.43,2425227071.23,1392443685.86,701686854.18,2622903255.61,2020696710.30,1457914272.90,653939972.93,2083999706.05,1039659144.51,807302483.22,28203096.36,2428098510.68,1604052003.36,1355419118.74,20201901.23,333619588.41,177615340.18,121062493.60,72242339.30,500051610.73,321866380.88,227135365.16,121194047.04,510913507.09,155792190.81,111103257.69,29180791.40,246438257.97,173550002.82,165540289.10,101908038.79,314816921.25,221135032.48,86826277.05,44116303.60,263463309.33,162956536.16,122871927.34,71397714.02,180108667.97,170924765.73,141936686.51,215714791.13,95866288.50,50034781.80,169161719.01,60834814.64,0.0
