,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,002961,瑞达期货,--,--,--,--,--,--
1,002621,美吉姆,50.1371,45.595,1902.4366,20.9574,98.2605,1.7395
2,002575,群兴玩具,29.0801,24.8284,1290.0321,-569.8529,98.1119,1.8881
3,000416,民生控股,40.8447,40.8443,2409.6742,324.3307,98.0445,1.9555
4,300149,量子生物,24.3442,23.275,530.1749,-12927.6135,97.0708,2.9292
5,000155,川能动力,33.1605,33.1605,2529.66,6730.5709,96.9845,3.0155
6,300223,北京君正,42.4796,38.3487,1007.411,-827.2849,96.7189,3.2811
7,300766,每日互动,27.6539,27.6481,2638.352,-3272.5137,96.522,3.478
8,300107,建新股份,16.2066,14.5604,692.2145,-408.7651,96.4929,3.5071
9,002038,双鹭药业,24.0852,22.3413,1030.8446,-2835.7387,96.2955,3.7045
10,300377,赢时胜,15.7879,15.7639,1077.6472,-1307.4631,95.7641,4.2359
11,000975,银泰黄金,4.444,3.9364,158.6095,-3600.985,95.5963,4.4037
12,300305,裕兴股份,25.5043,24.401,989.9193,-460.4105,95.5881,4.4119
13,000813,德展健康,21.1121,19.9514,1071.2776,50625.5849,95.5341,4.4659
14,002699,美盛文化,20.8261,19.782,386.3565,-1723.9332,95.4576,4.5424
15,300333,兆日科技,14.2044,13.2202,978.5237,-317.8456,95.4326,4.5674
16,002007,华兰生物,14.7971,10.515,225.9937,-5636.4636,95.3757,4.6243
17,002805,丰元股份,12.4567,9.1212,85.0231,3849.8012,95.2981,4.7019
18,002802,洪汇新材,26.3816,25.3292,261.1263,-3967.7836,95.1543,4.8457
19,002759,天际股份,3.0738,2.535,79.0493,6899.8324,95.0349,4.9651
20,688233,神工股份,14.2079,12.476,123.0458,-1536.1565,94.9978,5.0022
21,300042,朗科科技,14.7915,14.2317,710.8705,-168.6281,94.9768,5.0232
22,002495,佳隆股份,7.4736,6.782,616.3282,-1766.2918,94.9107,5.0893
23,300494,盛天网络,17.6025,17.5908,1573.931,-1586.734,94.8946,5.1054
24,000096,广聚能源,13.4903,13.1447,1179.0357,-1175.1896,94.8408,5.1592
25,002515,金字火腿,3.3994,0.6403,32.5842,-367.4349,94.8231,5.1769
26,000831,五矿稀土,14.9589,8.3084,296.2748,-631.4535,94.7675,5.2325
27,000503,国新健康,14.2376,14.2357,1178.3469,-75.0227,94.6998,5.3002
28,603336,宏辉果蔬,17.1775,11.5273,217.6704,-5459.7262,94.6723,5.3277
29,300485,赛升药业,14.0451,13.4082,883.6133,-23359.8547,94.6482,5.3518
30,300235,方直科技,13.5499,13.0095,389.819,-8000.7582,94.6475,5.3525
31,300508,维宏股份,15.0667,13.55,263.6127,-3656.6512,94.5908,5.4092
32,600506,香梨股份,26.6533,18.5627,193.3342,3106.0423,94.4988,5.5012
33,300530,达志科技,29.3384,28.3251,761.8247,-11313.0411,94.4436,5.5564
34,600576,祥源文化,7.7602,7.7589,340.824,-66731.8953,94.3865,5.6135
35,300406,九强生物,16.6142,15.3632,1017.7416,-2357.3923,94.3519,5.6481
36,300016,北陆药业,13.5024,9.9375,293.429,-2919.5576,94.3104,5.6896
37,600527,江南高纤,11.861,8.7938,505.4167,-288.4835,94.2842,5.7158
38,300346,南大光电,30.3192,27.5604,357.0078,-13.844,94.2719,5.7281
39,002348,高乐股份,7.9559,6.8741,426.433,-253.3837,94.2528,5.7472
40,603688,石英股份,12.5083,10.5971,231.0964,-2402.7469,94.1413,5.8587
41,300488,恒锋工具,12.8467,11.2862,293.2833,-7131.5288,94.0903,5.9097
42,300357,我武生物,14.7873,14.4023,645.7588,-3368.4033,94.0711,5.9289
43,002581,未名医药,11.7995,11.3019,599.0536,-7318.8576,94.0406,5.9594
44,002820,桂发祥,15.7245,14.9071,1395.3809,9152.5202,93.8971,6.1029
45,688033,天宜上佳,15.515,14.5239,274.128,-50117.6555,93.8528,6.1472
46,603189,网达软件,16.4465,16.0411,1305.9597,-2367.5962,93.7656,6.2344
47,603696,安记食品,11.3833,10.3854,806.2061,-832.5072,93.7545,6.2455
48,002413,雷科防务,9.445,8.3298,147.0968,-2232.5594,93.6626,6.3374
49,300109,新开源,7.1215,5.8893,344.7981,-2663.547,93.6391,6.3609
50,603819,神力股份,13.7602,11.4406,620.2538,-1639.741,93.5579,6.4421
51,603398,邦宝益智,12.2825,10.8686,407.6694,-6433.6822,93.5285,6.4715
52,002015,协鑫能科,10.5198,5.2876,142.3382,10483.2361,93.4675,6.5325
53,300099,精准信息,7.7054,7.016,313.0945,-867.6391,93.4393,6.5607
54,300459,金科文化,5.9692,5.7562,462.8208,-2037.6204,93.4152,6.5848
55,300127,银河磁体,13.019,11.5164,295.6001,-824.7337,93.2768,6.7232
56,300076,GQY视讯,10.9153,10.0253,651.8573,238.7527,93.2479,6.7521
57,002729,好利来,6.0448,5.0189,292.4578,6686.7884,93.2089,6.7911
58,688020,方邦股份,10.5179,10.1707,318.0437,-5981.9013,93.189,6.811
59,300518,盛讯达,36.2468,36.2462,2899.5419,-1620.1717,93.157,6.843
60,000603,盛达资源,5.7922,5.7232,555.7333,39105.1515,93.1512,6.8488
61,000722,湖南发展,12.8858,12.0328,695.4375,3310.8574,93.1455,6.8545
62,300122,智飞生物,11.3148,10.2765,654.575,-93.6526,93.0535,6.9465
63,603729,龙韵股份,11.7727,11.7727,349.3078,-1226.2475,92.9669,7.0331
64,600573,惠泉啤酒,7.7933,5.6178,544.9997,-2863.0714,92.8864,7.1136
65,300352,北信源,12.7456,12.527999999999999,866.1459,-1341.9325,92.8413,7.1587
66,603025,大豪科技,11.6399,10.7116,160.2881,-16400.5356,92.8318,7.1682
67,000623,吉林敖东,2.9926,2.5340000000000003,125.5865,17976.7432,92.7904,7.2096
68,300394,天孚通信,9.9077,9.1232,387.6492,-2198.6354,92.7807,7.2193
69,300267,尔康制药,7.3598,4.4267,293.4832,-2158.3073,92.7663,7.2337
70,603508,思维列控,11.7215,10.6536,232.6268,-2063.5966,92.7219,7.2781
71,002691,冀凯股份,16.2129,8.9692,75.7449,-538.182,92.6789,7.3211
72,002365,永安药业,8.1833,7.3893,115.4905,-808.1617,92.4436,7.5564
73,002622,融钰集团,5.2357,4.3272,95.5048,-16.6385,92.2343,7.7657
74,603036,如通股份,16.7144,14.3233,1089.9298,-913.8485,92.1994,7.8006
75,600847,万里股份,6.7677,4.7576,86.9136,13434.3919,92.189,7.811
76,300534,陇神戎发,7.0421,6.6329,310.1316,-1684.3543,92.1753,7.8247
77,300018,中元股份,8.8628,8.0792,501.3589,-861.2617,92.1422,7.8578
78,300191,潜能恒信,8.7264,8.7264,757.9917,38.2972,92.131,7.869
79,002459,晶澳科技,8.9824,7.7339,97.9049,-598.3086,92.1225,7.8775
80,300522,世名科技,10.2184,9.4109,422.142,-9848.5602,92.1222,7.8778
81,300214,日科化学,7.5401,6.5244,87.3008,-4297.0944,92.0603,7.9397
82,002762,金发拉比,9.8635,7.9863,344.575,-1080.1984,92.04,7.96
83,002553,南方轴承,6.8483,5.8995,114.7748,-2219.6129,92.0349,7.9651
84,300139,晓程科技,6.9765,5.2953,205.655,64.0486,92.0287,7.9713
85,000971,*ST高升,3.636,3.636,265.1617,-9191.3917,91.9796,8.0204
86,002776,柏堡龙,12.9548,12.5129,1014.7862,1335.3967,91.9729,8.0271
87,002247,聚力文化,3.6123,3.3435,75.6004,-27693.1052,91.9225,8.0775
88,300474,景嘉微,13.4399,12.1668,694.0079,-5634.5087,91.8574,8.1426
89,603058,永吉股份,8.1711,7.6811,391.4232,-19697.1855,91.8295,8.1705
90,300553,集智股份,9.6829,8.7475,465.1321,-3794.0252,91.8281,8.1719
91,600883,博闻科技,11.7027,11.4418,666.1483,-455.6105,91.73200000000001,8.267999999999999
92,603969,银龙股份,11.1854,9.4163,177.3932,-839.8467,91.7091,8.2909
93,300446,乐凯新材,14.2987,13.1804,303.7362,-3978.0891,91.5792,8.4208
94,300726,宏达电子,11.1479,8.7731,188.7128,-4996.2663,91.5618,8.4382
95,600206,有研新材,18.896,15.3496,209.9069,-706.7819,91.5462,8.4538
96,002224,三力士,7.3849,6.3584,474.1433,-1091.7914,91.4074,8.5926
97,603518,锦泓集团,7.352,5.0935,114.8429,-2217.1434,91.4061,8.5939
98,300519,新光药业,11.6612,10.8241,687.6603,-9987.1154,91.3708,8.6292
99,002351,漫步者,9.4833,8.3639,201.3126,-20266.5699,91.3627,8.6373
100,688058,宝兰德,11.0871,11.0871,494.6352,-6690.5643,91.2383,8.7617
101,002322,理工环科,4.1549,3.4799,192.0976,-828.3855,91.2068,8.7932
102,300529,健帆生物,11.8548,11.2559,901.7867,-3959.712,91.0905,8.9095
103,603067,振华股份,6.1515,4.7522,51.4449,1035.2181,91.0622,8.9378
104,002808,恒久科技,9.1353,8.3391,346.8901,-375.6063,91.0497,8.9503
105,002349,精华制药,4.0128,2.6671,177.5404,-1776.8087,90.995,9.005
106,000606,顺利办,5.9969,5.555,466.4079,1040.1193,90.9947,9.0053
107,300417,南华仪器,8.8124,7.4431,82.7222,-476.6638,90.9786,9.0214
108,002933,新兴装备,9.8256,6.7319,263.5585,-11086.1117,90.9505,9.0495
109,300656,民德电子,11.2578,9.8276,832.3377,-8354.5952,90.9474,9.0526
110,002148,北纬科技,5.5928,5.5387,265.9867,-3609.0546,90.9355,9.0645
111,603023,威帝股份,9.9533,8.9018,350.8582,-11594.1444,90.891,9.109
112,603040,新坐标,6.011,4.7107,216.9726,-13097.9692,90.8698,9.1302
113,300371,汇中股份,7.5115,6.2121,295.0538,-2392.2088,90.8693,9.1307
114,002320,海峡股份,8.3337,8.226,754.1825,21667.2172,90.8542,9.1458
115,300354,东华测试,13.219000000000001,10.6463,548.422,-222.2793,90.8356,9.1644
116,300570,太辰光,9.353,8.6728,786.8948,-709.9773,90.8048,9.1952
117,300535,达威股份,8.6946,7.6648,335.224,10027.305,90.7599,9.2401
118,300183,东软载波,9.5441,8.9886,554.0127,-1615.1808,90.6998,9.3002
119,600381,青海春天,23.2676,17.7261,858.4232,-7178.4182,90.6388,9.3612
120,300421,力星股份,9.346,8.2652,126.335,-2492.3744,90.6071,9.3929
121,000697,炼石航空,5.6517,5.523,276.5801,873.1117,90.5526,9.4474
122,300081,恒信东方,4.426,3.8036,244.6595,-8005.6311,90.5473,9.4527
123,603615,茶花股份,5.9667,4.4039,301.006,-5510.0148,90.5414,9.4586
124,000688,国城矿业,3.8784,3.452,231.4409,7642.2717,90.5326,9.4674
125,002141,贤丰控股,9.2004,8.3138,182.3127,-245.4891,90.5119,9.4881
126,002632,道明光学,6.1937,4.7369,347.4952,-383.3753,90.4588,9.5412
127,000752,*ST西发,6.5373,6.3662,635.5437,-394.1592,90.3648,9.6352
128,300559,佳发教育,8.3905,8.0526,181.8495,-4202.2814,90.3405,9.6595
129,300379,东方通,5.4486,5.3623,354.4966,-2379.0496,90.3346,9.6654
130,603658,安图生物,7.9213,7.2976,37.8925,-6945.9925,90.309,9.691
131,002195,二三四五,7.7296,7.7296,596.6376,-746.8889999999999,90.2991,9.7009
132,000893,东凌国际,1.8286,1.6856,73.2031,44.3986,90.2887,9.7113
133,002364,中恒电气,7.4792,6.3356,161.9136,-84573.6904,90.2625,9.7375
134,300521,爱司凯,10.4077,9.1671,235.5217,-1111.3906,90.2579,9.7421
135,600890,中房股份,6.5462,6.5239,469.6135,4279.1411,90.25200000000001,9.748
136,300403,汉宇集团,8.2235,7.3267,520.6095,-955.2607,90.22,9.78
137,002817,黄山胶囊,8.6092,7.6212,304.8538,36301.409,90.2185,9.7815
138,002546,新联电子,9.123,8.8777,589.2471,-453.9492,90.1874,9.8126
139,300250,初灵信息,4.6936,4.162,248.4438,-3558.8178,90.1863,9.8137
140,002595,豪迈科技,5.0844,3.7642,63.445,-8080.3563,90.1445,9.8555
141,300194,福安药业,3.15,2.0606,78.376,2599.4503,90.131,9.869
142,002749,国光股份,9.4433,8.193999999999999,560.3236,-1868.4868,90.0667,9.9333
143,002540,亚太科技,6.6628,5.6375,84.7801,-7541.3026,90.0106,9.9894
144,300077,国民技术,7.428999999999999,6.9232,150.3334,-1273.8403,89.9712,10.0288
145,002222,福晶科技,6.1207,3.903,255.2693,-1734.6272,89.9684,10.0316
146,600276,恒瑞医药,8.3474,7.881,359.8977,-1715.8623,89.8419,10.1581
147,600868,梅雁吉祥,2.0158,2.012,120.1436,645.09,89.8231,10.1769
148,300291,华录百纳,6.6973,6.2445,173.1619,2190.1382,89.7834,10.2166
149,603016,新宏泰,7.6592,6.9442,284.8343,-2894.6989,89.7736,10.2264
150,600212,江泉实业,3.2194,3.1757,59.5574,39585.8591,89.7504,10.2496
151,600777,新潮能源,5.0817,5.065,69.2726,-221.4985,89.7348,10.2652
152,300148,天舟文化,3.6508,3.6039999999999996,304.9263,-3680.2415,89.7263,10.2737
153,002643,万润股份,4.9077,3.1411,126.0047,-21196.6748,89.7154,10.2846
154,300120,经纬辉开,6.2958,4.921,122.5178,2703.1485,89.7067,10.2933
155,002669,康达新材,7.7860000000000005,7.381,488.0719,2383.2242,89.6168,10.3832
156,300200,高盟新材,7.7549,6.8181,133.0123,-855.4349,89.6134,10.3866
157,002198,嘉应制药,4.4027,3.7978,92.0876,4798.5801,89.5946,10.4054
158,300561,汇金科技,9.7409,8.936,205.55,-23823.513,89.4299,10.5701
159,300525,博思软件,6.35,6.2107,510.8144,-5737.8068,89.4207,10.5793
160,688039,当虹科技,8.6974,8.0277,494.5737,-4883.9712,89.4188,10.5812
161,688001,华兴源创,8.4789,7.678999999999999,661.2549,-1119.2665,89.3453,10.6547
162,603655,朗博科技,4.561,4.0736,62.2806,-10550.768,89.3023,10.6977
163,002790,瑞尔特,7.0525,6.2362,173.1148,-2013.3993,89.2836,10.7164
164,603416,信捷电气,9.5783,8.6455,735.9539,-7098.1559,89.258,10.742
165,002718,友邦吊顶,6.7583,6.4139,342.1487,-1582.3032,89.2331,10.7669
166,300314,戴维医疗,5.7271,4.9263,207.2707,-4055.4262,89.2156,10.7844
167,300364,中文在线,6.0604,6.0386,493.5704,-1617.3096,89.2099,10.7901
168,603020,爱普股份,7.9339,6.523,402.1372,-1395.4242,89.1859,10.8141
169,002235,安妮股份,4.2358,4.1611,196.0133,1713.9666,89.1412,10.8588
170,002798,帝欧家居,7.1129,5.7578,162.1425,-3654.455,89.0881,10.9119
171,000019,深粮控股,5.2747,4.047,312.2951,-9560.1756,89.0708,10.9292
172,600171,上海贝岭,9.5503,9.0572,751.4904,-10.0386,89.0559,10.9441
173,002261,拓维信息,3.9388,3.5180000000000002,150.4429,-4083.1746,89.053,10.947000000000001
174,002629,*ST仁智,6.5412,6.1831,213.4001,7016.7049,89.0252,10.9748
