,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
821,000819,岳阳兴长,7.41,3.45,11.0668,60.2998,0.2116,1745.4397,6.1263
822,603339,四方科技,7.41,11.01,23.1485,129.465,0.6145,1175.3010000000002,5.5787
823,603637,镇海股份,7.41,5.56,10.4974,57.5021,0.3302,1033.0138,5.9324
824,600688,上海石化,7.4,2.2,16.5079,2213.716,0.2045,100346.04800000001,9.2708
825,600748,上实发展,7.4,8.82,33.7428,782.0833,0.4239,8865.5559,4.8063
826,688396,华润微,7.38,6.97,,400.7555,,5744.5186,
827,601881,中国银河,7.37,30.68,40.1933,5228.4291,0.5157,17040.8173,1.681
828,688168,安博通,7.37,29.65,65.6217,73.77199999999999,1.4414,248.7318,4.8599
829,300378,鼎捷软件,7.37,7.04,83.4664,103.3632,0.3885,1466.7181,5.5135
830,300385,雪浪环境,7.36,7.23,24.2384,89.8405,0.4314,1242.5297,5.9674
831,601688,华泰证券,7.34,36.2,46.6876,9001.644,0.9917,24863.012000000002,2.7392
832,300194,福安药业,7.34,10.53,63.7365,292.8295,0.2461,2780.7406,2.3373
833,300213,佳讯飞鸿,7.32,11.43,38.2109,153.1319,,1339.4908,
834,600833,第一医药,7.31,4.27,20.0142,53.0894,0.2379,1243.1695,5.5725
835,000059,华锦股份,7.29,2.5,14.5578,992.9555,0.6208,39608.341,24.7638
836,002926,华西证券,7.28,36.35,47.5235,1431.5308,0.5453,3937.4246,1.4999
837,600088,中视传媒,7.27,10.5,25.8352,89.8924,0.226,855.8214,2.1518
838,600980,北矿科技,7.27,9.11,24.8603,45.4202,0.2926,498.5393,3.2119999999999997
839,603977,国泰集团,7.27,9.97,37.9202,143.5932,0.36700000000000005,1439.0386,3.6782
840,603979,金诚信,7.26,9.01,27.3898,309.5678,0.5306,3433.9645,5.886
841,603696,安记食品,7.24,10.15,27.0081,42.797,0.1819,421.2967,1.7912
842,002060,粤水电,7.23,2.09,10.978,234.0091,0.1946,11143.485,9.2687
843,300705,九典制药,7.22,5.95,67.4754,55.0659,0.2346,924.0612,3.9375
844,601866,中远海发,7.2,12.28,25.465999999999998,1743.1265,0.1501,14189.1728,1.2223
845,603016,新宏泰,7.2,13.53,38.2076,59.9326,0.4045,442.6481,2.9876
846,002202,金风科技,7.2,5.77,19.0139,2209.8539,0.523,38244.5539,9.0518
847,000555,神州信息,7.19,3.7,18.5716,375.6078,0.387,10146.0082,10.4556
848,002410,广联达,7.19,6.78,89.3,235.072,0.2082,3464.1514,3.0696
849,600299,安迪苏,7.19,8.91,33.9308,992.3822,0.37,11135.4898,4.152
850,002526,山东矿机,7.19,8.7,30.0875,189.5107,0.1062,2177.7233,1.2215
851,600038,中直股份,7.19,3.72,13.9207,588.2156,0.9978,15795.1742,26.7952
852,688123,聚辰股份,7.15,18.52,40.7774,95.1062,0.787,513.3719,4.2482
853,600792,云煤能源,7.15,4.19,12.9574,239.9704,0.2424,5725.8131,5.784
854,300042,朗科科技,7.15,6.01,12.5048,71.8521,0.3585,1194.1235,5.9586
855,002238,天威视讯,7.11,11.08,35.0158,188.372,0.3051,1698.6138,2.7514
856,603677,奇精机械,7.1,4.57,15.0356,76.3168,0.39399999999999996,1666.3905,8.6051
857,600120,浙江东方,7.09,7.4,9.4387,802.9848,0.5045,10843.8902,6.8141
858,600372,中航电子,7.09,6.65,30.8672,556.0203,0.316,8352.1877,4.7468
859,601107,四川成渝,7.08,16.89,38.9376,1082.6702,0.354,6407.6135,2.0953
860,002961,瑞达期货,7.07,12.7,16.7509,120.8109,0.2714,951.2515,2.1376
861,300759,康龙化成,7.04,14.56,35.5156,547.1915,0.6888,3757.1601,4.7296
862,603126,中材节能,7.04,5.41,19.6508,123.1011,0.2016,2273.1188,3.7233
863,300772,运达股份,7.02,2.12,17.1458,106.5756,0.3625,5010.2608,17.044
864,002484,江海股份,7.01,11.33,29.4155,240.5952,0.2944,2123.0327,2.5982
865,300304,云意电气,7.0,19.41,33.0491,138.6279,0.16,714.163,0.8246
866,601010,文峰股份,7.0,5.57,19.8917,334.3317,0.1809,5993.0561,3.2429
867,000790,华神科技,6.99,8.26,62.8703,61.6323,0.0999,745.3408,1.2092
868,000655,金岭矿业,6.96,13.44,25.3603,179.6265,0.3017,1335.9202,2.2439
869,002106,莱宝高科,6.95,5.86,15.5393,281.856,0.3993,4802.1714,6.8037
870,603099,长白山,6.95,16.1,35.1065,75.2594,0.2822,467.1962,1.7519
871,688028,沃尔德,6.93,23.53,48.1681,60.0216,0.7502,255.014,3.1876
872,000856,冀东装备,6.92,0.92,4.7241,23.612,0.10400000000000001,2546.4003,11.2176
873,000987,越秀金控,6.92,14.08,27.9754,1178.8879,0.4282,8371.9766,3.0411
874,002324,普利特,6.89,4.58,19.143,164.8863,0.3121,3599.9666,6.816
875,000166,申万宏源,6.89,23.32,28.2639,5735.4124,0.22899999999999998,24593.4118,0.9821
876,000552,靖远煤电,6.89,12.93,27.9684,524.7407,0.2294,4056.1504,1.7735
877,601111,中国国航,6.85,4.7,16.8415,6408.576,0.4412,136180.69,9.3757
878,300154,瑞凌股份,6.84,20.51,33.5418,113.7973,0.2496,554.7809,1.2172
879,000960,锡业股份,6.84,1.98,8.8088,849.3501,0.5089,42887.2324,25.6998
880,603901,永创智能,6.84,5.26,29.2332,98.5571,,1871.1623,
881,300636,同和药业,6.83,11.69,29.7426,48.3093,0.5967,413.0581,5.1025
882,000591,太阳能,6.83,18.17,48.0965,910.8399,0.3028,5011.0853,1.6664
883,000590,启迪古汉,6.82,13.47,53.2209,42.4423,0.1772,315.0345,1.3155
884,600684,珠江实业,6.82,7.43,31.9811,219.2667,0.2569,2947.8463,3.4539
885,601808,中海油服,6.81,8.03,18.7685,2502.238,0.5244,31135.15,6.5251
886,002886,沃特股份,6.8,5.25,16.8728,47.3307,0.3982,900.1583,7.5747
887,688366,昊海生科,6.79,23.11,77.3115,370.7788,2.0848,1604.3339,9.0209
