,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,002670,国盛金控,766.1039999999999,0.0249,9.1978,0.0378,4.2659
1,000627,天茂集团,63.7843,0.1336,14.0757,0.1605,469.3664
2,600621,华鑫股份,23.035,0.1161,61.0961,0.1668,19.2068
3,002423,中粮资本,12.1224,0.0641,3.7971,0.0932,22.2836
4,600052,浙江广厦,10.8943,0.2226,0.7318,2.3827,240.8767
5,300059,东方财富,6.1848,0.1228,4.697,0.2012,20.9049
6,300023,宝德股份,4.816,0.1484,,0.1617,16.1978
7,600605,汇通能源,4.5313,0.5669,78.8098,6.3563,640.3448
8,600061,国投资本,3.6884,0.0127,0.8132,0.0166,2.1266
9,000803,金宇车城,3.1658,0.0535,,0.0583,6.4621
10,000897,*ST津滨,3.0954,0.0698,,0.0833,8.3421
11,600864,哈投股份,3.0612,0.0595,4.1854,0.0889,10.9821
12,600155,华创阳安,2.8398,0.011000000000000001,1.4117,0.0172,2.5325
13,600830,香溢融通,2.0162,0.157,13.5564,1.4986,150.3716
14,002086,ST东海洋,1.8354,0.2164,31.3682,0.6169,77.9806
15,600106,重庆路桥,1.6428,0.0455,1.2685,0.107,26.7954
16,000046,泛海控股,1.5847,0.0149,0.9847,0.0183,2.8798
17,000809,铁岭新城,1.4656,0.0199,,0.0444,9.1922
18,600568,中珠医疗,1.4277,0.0975,,0.4169,67.426
19,600173,卧龙地产,1.4231,0.2365,5.4665,0.3591,36.0124
20,000838,财信发展,1.3383,0.0749,,0.0886,11.1291
21,000608,阳光股份,1.3079,0.0365,,0.0921,33.8043
22,000828,东莞控股,1.2947,0.1308,1.9019,0.3169,59.0682
23,000863,三湘印象,1.1602,0.1427,6.3731,0.2538,44.7712
24,600485,*ST信威,1.0928,0.0261,,0.0124,2.1207
25,002903,宇环数控,1.0889,0.0669,,0.6882,94.3164
26,600162,香江控股,1.0678,0.12,12.0426,0.1561,19.6899
27,000732,泰禾集团,1.0671,0.0981,9.8472,0.1164,18.9297
28,002358,森源电气,1.0563,0.1302,16.5659,0.3127,31.8539
29,600064,南京高科,1.0389,0.0415,0.8395,0.0696,7.566
30,000813,德展健康,1.0204,0.2434,4.2436,5.2133,560.3753
31,000514,渝开发,1.0139,0.0325,13.8563,0.0734,10.317
32,600643,爱建集团,0.9976,0.0418,1.1745,0.0663,14.2578
33,600325,华发股份,0.9875,0.0884,8.8168,0.1063,16.6899
34,002869,金溢科技,0.9527,0.3256,3.0928,0.5229,52.5531
35,601188,龙江交通,0.9364,0.0912,1.6143,0.5647,56.6477
36,603300,华铁应急,0.9338,0.1126,2.234,0.3315,43.0865
37,688222,成都先导,0.9255,0.2351,1.9378,0.986,149.0828
38,600455,博通股份,0.9095,0.1538,4.8156,0.2115,21.2497
39,000540,中天金融,0.8942,0.0768,6.1388,0.0937,24.7879
40,002344,海宁皮城,0.8773,0.0805,3.8597,0.2528,32.5801
41,600318,新力金融,0.8688,0.059000000000000004,3.102,0.1098,18.8365
42,002195,二三四五,0.8496,0.1652,2.3364,1.5817,330.9128
43,600807,ST天业,0.8415,0.1123,48.4768,0.1406,18.3618
44,002039,黔源电力,0.8251,0.0886,3.1119,0.1293,45.5831
45,600817,ST宏盛,0.8217,0.1308,15.2722,0.4504,80.2749
46,300295,三六五网,0.8038,0.1261,3.6804,0.281,29.2924
47,603797,联泰环保,0.8022,0.057,2.2403,0.0807,39.4419
48,000616,海航投资,0.7907,0.0226,,0.0789,23.1778
49,600603,广汇物流,0.7865,0.0567,3.2957,0.0927,12.6562
50,300099,精准信息,0.7848,0.0734,70.3091,0.5794,58.1823
51,000090,天健集团,0.7815,0.121,19.577,0.1563,20.8748
52,000014,沙河股份,0.7805,0.0359,,0.0668,6.8082
53,300079,数码科技,0.7732,0.1239,9.1126,1.0073,102.9097
54,300408,三环集团,0.7516,0.1809,2.2421,1.5087,338.7796
55,603578,三星新材,0.7509,0.2178,3.9637,0.7582,205.7234
56,002016,世荣兆业,0.738,0.1888,2.1346,0.2941,36.0662
57,002218,拓日新能,0.7365,0.0866,7.403,0.1639,22.8445
58,600159,大龙地产,0.7335,0.0453,24.0813,0.0965,10.5252
59,600025,华能水电,0.732,0.0717,2.301,0.1044,37.9509
60,600136,当代明诚,0.7181,0.0875,1.9351,0.1445,22.0607
61,000429,粤高速A,0.7169,0.0963,1.2833,0.23399999999999999,122.62899999999999
62,600900,长江电力,0.6886,0.08900000000000001,1.4697,0.1761,42.5878
63,603032,德新交运,0.6865,0.0633,6.2738,0.3591,154.5463
64,601985,中国核电,0.6829999999999999,0.0674,3.438,0.0907,56.9917
65,300144,宋城演艺,0.6764,0.1283,1.1483,1.0409,163.6609
66,600393,粤泰股份,0.6756,0.1703,8.4845,0.2854,32.9062
67,688188,柏楚电子,0.6719,0.0877,0.9779,5.1085,744.8902
68,600777,新潮能源,0.6709999999999999,0.1025,2.9369,0.2376,116.9133
69,600236,桂冠电力,0.6699,0.1073,2.1268,0.1725,50.3897
70,000755,山西路桥,0.6682,0.0502,3.9864,0.057999999999999996,18.949
71,600516,方大炭素,0.6586,0.2027,1.8975,1.4864,180.6149
72,600350,山东高速,0.6586,0.0476,1.6097,0.0799,29.592
73,600012,皖通高速,0.6573,0.0961,1.7405,0.3781,86.8494
74,600094,大名城,0.6474,0.1059,6.847,0.153,20.8989
75,000926,福星股份,0.6448,0.0706,7.962000000000001,0.0926,16.1324
76,002930,宏川智慧,0.6437,0.0799,1.9974,0.2247,76.6702
77,300093,金刚玻璃,0.6435,0.1753,23.7821,0.3696,46.0187
78,688233,神工股份,0.6423,0.2772,1.4226,3.9958,638.7883
79,000791,甘肃电投,0.6365,0.0602,2.0869,0.0972,75.1337
80,002951,金时科技,0.6346,0.1651,2.1321,1.2219,124.4947
81,603718,海利生物,0.6304,0.0745,13.3195,0.1699,18.5266
82,600868,梅雁吉祥,0.6287,0.065,2.8056,2.908,303.21
83,002244,滨江集团,0.6219,0.0537,3.3648,0.066,8.3261
84,300033,同花顺,0.6176,0.1524,1.5577,0.6302,63.2349
85,300518,盛讯达,0.6136,0.0571,3.3678,0.1757,23.0135
86,601518,吉林高速,0.6134,0.0507,2.4116,0.1253,64.1096
87,002818,富森美,0.6034,0.1166,1.1686,0.5689,57.5335
88,600371,万向德农,0.6012,0.1371,2.2518,0.395,41.0932
89,300215,电科院,0.6009,0.0936,2.9745,0.2104,52.9767
90,601698,中国卫通,0.5957,0.0601,2.3722,0.2899,38.9603
