,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,601518,吉林高速,1640.1973,0.1646,16919.6504,0.016,0.5389,501.0206
1,300071,华谊嘉信,2.7776,97.2062,5147.9220000000005,0.0524,1.9295,139.9326
2,002400,省广集团,7.3714,36.628,4621.2461,0.0584,1.5022,179.7364
3,002357,富临运业,66.3165,4.0714,3846.2365,0.0702,0.6031,447.68699999999995
4,000088,盐田港,11.4689,23.5419,2176.5991,0.124,0.2289,1179.5544
5,300178,腾邦国际,2.0555,131.3549,2016.6047,0.1339,0.2398,1125.9383
6,600131,国网信通,34.2572,7.8816,1292.6929,0.2089,2.9476,91.5999
7,600897,厦门空港,4.4551,60.6047,1270.5599,0.2125,0.8113,332.7992
8,300113,顺网科技,2.6739,100.9761,871.4024,0.3098,0.2565,1052.6316
9,300347,泰格医药,2.9498,91.5316,565.7048,0.4773,0.47100000000000003,573.2484
10,601598,中国外运,5.2789,51.147,492.5261,0.5482,2.2469,120.1656
11,000672,上峰水泥,4632.2939,0.0583,467.4634,0.5776,8.0311,33.6193
12,000089,深圳机场,5.5316,48.8105,347.4053,0.7772,0.9331,289.3581
13,603056,德邦股份,24.8301,10.8739,343.5861,0.7858,5.2399,51.5277
14,300013,新宁物流,3.3574,80.4194,330.3183,0.8174,0.8117,332.6352
15,600995,文山电力,39.5158,6.8327,295.8499,0.9126,4.1569,64.9522
16,600548,深高速,8.1325,33.2001,280.8821,0.9613,0.9405,287.0813
17,601828,美凯龙,13.0632,20.6687,266.866,1.0117,0.7954,339.4518
18,002148,北纬科技,2.7802,97.1153,239.1445,1.129,0.5268,512.5285
19,002039,黔源电力,11.3774,23.7313,232.9838,1.1589,2.9930000000000003,90.2105
20,002492,恒基达鑫,6.6341,40.6988,169.0478,1.5972,0.4473,603.6217
21,600505,西昌电力,21.2869,12.6839,165.1398,1.635,1.8512,145.8513
22,600012,皖通高速,,,163.0365,1.6561,2.1893,123.3271
23,603000,人民网,3.4957,77.2377,157.6912,1.7122,0.3078,877.193
24,600221,海航控股,37.9816,7.1087,151.9676,1.7767,0.7832,344.7395
25,000058,深赛格,25.0124,10.7946,138.2901,1.9524,0.39,692.3077
26,002081,金螳螂,1.7702,152.5251,133.4387,2.0234,1.1193,241.2222
