,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,601518,吉林高速,12035.0009,0.015,11964.4679,0.015,0.3497,514.7269
1,300071,华谊嘉信,1.8946,95.0069,3075.131,0.0585,1.2673,142.0342
2,002400,省广集团,5.2056,34.5781,2606.7744,0.0691,0.9721,185.1661
3,002357,富临运业,49.7567,3.6176,1801.7247,0.0999,0.4159,432.7963
4,600817,ST宏盛,4.9921,36.056999999999995,1728.7969,0.1041,2.0107,89.5211
5,000088,盐田港,7.7898,23.1071,915.5185,0.1966,0.172,1046.5116
6,600131,国网信通,13.2355,13.5998,863.6969,0.2084,1.6724,107.6298
7,600897,厦门空港,3.3567,53.6241,698.1632,0.2578,0.5554,324.0907
8,300347,泰格医药,2.1913,82.14299999999999,678.8044,0.2652,0.7958,226.1875
9,300052,中青宝,3.9131,45.9993,644.7551,0.2792,0.1208,1490.0662
10,300113,顺网科技,1.6561,108.6891,474.8698,0.3791,0.1523,1181.8779
11,600715,文投控股,3.1322,57.4676,286.5859,0.6281,0.818,220.0489
12,002148,北纬科技,1.9997,90.0135,253.7854,0.7093,0.3439,523.408
13,000089,深圳机场,3.5460000000000003,50.7614,247.0176,0.7287,0.5491,327.8091
14,603056,德邦股份,17.5522,10.2551,227.6749,0.7906,3.2710000000000004,55.028999999999996
15,600548,深高速,5.0806,35.4289,220.5919,0.816,0.5984,300.8021
16,600995,文山电力,26.2016,6.8698,204.1575,0.8817,2.8508,63.1402
17,300013,新宁物流,2.2501,79.9964,185.0727,0.9726,0.5286,340.5221
18,601828,美凯龙,8.54,21.0773,162.5608,1.1073,0.5355,336.1345
19,000058,深赛格,18.9318,9.5078,121.6484,1.4797,0.2642,681.302
20,000409,ST地矿,8.9872,20.0285,117.7948,1.5281,2.0821,86.4512
21,600505,西昌电力,15.4227,11.6711,117.7736,1.5284,2.47,72.8745
22,002492,恒基达鑫,4.1301,43.5825,110.3122,1.6317,0.293,614.3345
23,600012,皖通高速,,,100.8062,1.7856,1.2857,140.0016
24,603000,人民网,2.5964,69.3268,98.2037,1.8329,0.2017,892.4145
25,002039,黔源电力,3.4389,52.3423,92.1148,1.9541,1.575,114.2857
26,600221,海航控股,26.4483,6.8057,91.2559,1.9725,0.5598,321.5434
27,002467,二六三,3.7142,48.4627,91.0511,1.9769,0.1522,1182.6544
28,002315,焦点科技,100.0229,1.7996,86.6323,2.0777,0.1289,1396.4313
29,002081,金螳螂,1.1509,156.3993,80.9733,2.2230000000000003,0.7099,253.5568
30,600009,上海机场,2.03,88.67,79.2423,2.2715,0.4679,384.6976
31,000672,上峰水泥,21930.6994,0.0082,79.2288,2.2719,1.281,140.5152
32,002195,二三四五,6.001,29.995,76.8299,2.3428,0.698,257.8797
33,600652,*ST游久,14.2213,12.6571,68.8129,2.6158,0.9886,182.0757
34,600033,福建高速,3.6795,48.9197,62.7158,2.8701,1.8891,95.2835
35,300144,宋城演艺,38.9994,4.6155,62.4356,2.883,0.1321,1362.6041
36,000507,珠海港,3.2771,54.9266,61.6275,2.9208,0.2982,603.6217
37,002325,洪涛股份,1.2928,139.2327,56.9991,3.1579,0.6519,276.116
38,300284,苏交科,0.366,491.8033,55.1651,3.2629,0.2004,898.2036
39,603128,华贸物流,4.4753,40.2208,55.1015,3.2667,1.9247,93.5211
40,002238,天威视讯,12.2783,14.66,55.0175,3.2717,0.7181,250.6615
41,000503,国新健康,14.2662,12.6172,52.2195,3.447,0.0757,2377.8071
42,300104,乐视网,2.3987,75.0406,51.8273,3.4731,0.7574,237.6551
43,600640,号百控股,7.4673,24.1051,48.8855,3.6821,0.6649,270.7174
44,000722,湖南发展,9.208,19.5482,45.2776,3.9755,0.4988,360.8661
45,600814,杭州解百,40.8368,4.4078,45.2595,3.9771,2.5389,70.8968
46,002267,陕天然气,13.2986,13.5353,43.6933,4.1196,1.9914,90.3887
47,600452,涪陵电力,39.8605,4.5157,42.95399999999999,4.1905,2.4184,74.4294
48,000430,张家界,72.0405,2.4986,42.6505,4.2203,3.3960000000000004,53.0035
49,300170,汉得信息,1.9606,91.8086,39.5748,4.5483,0.2896,621.547
50,600258,首旅酒店,36.4831,4.9338,38.5505,4.6692,2.1921,82.113
51,600190,锦州港,4.3648,41.239,37.9239,4.7463,0.616,292.2078
52,601008,连云港,5.8989,30.5142,36.2279,4.9685,0.9986,180.2524
53,601111,中国国航,15.6098,11.5312,35.6822,5.0445,2.2924,78.5203
54,000516,国际医学,75.94800000000001,2.37,35.2556,5.1056,2.0074,89.6682
55,600397,安源煤业,8.5324,21.0961,35.2405,5.1078,3.2238,55.8347
56,600348,阳泉煤业,12.4939,14.407,34.9645,5.1481,1.8842,95.5313
57,002586,ST围海,1.0148,177.3749,34.9427,5.1513,0.4672,385.274
58,000582,北部湾港,32.1969,5.5906,34.6009,5.2022,3.1199,57.6942
59,600203,福日电子,14.8447,12.1255,33.0653,5.4438,1.8001,99.9944
60,600515,海航基础,9.0577,19.8726,32.8393,5.4812,0.8842,203.5739
61,601001,大同煤业,8.4133,21.3947,31.9371,5.6361,1.7959,100.2283
62,600004,白云机场,3.1858,56.5007,31.8061,5.6593,1.163,154.7721
63,600969,郴电国际,10.9666,16.4135,31.7317,5.6726,0.7208,249.7225
64,600856,ST中天,52.9779,3.3976,30.363000000000003,5.9283,2.0353,88.4391
65,600547,山东黄金,1294.1797,0.1391,29.6373,6.0734,7.3005,24.6558
66,600917,重庆燃气,21.9161,8.2131,27.5748,6.5277,1.0564,170.39
67,603167,渤海轮渡,21.9181,8.2124,26.8445,6.7053,2.3119,77.858
68,600705,中航资本,55.8351,3.2238,26.5717,6.7741,0.0446,4035.8744
69,000819,岳阳兴长,364.9761,0.4932,26.229,6.8626,2.7083,66.4624
70,600029,南方航空,20.0451,8.9798,25.3092,7.112,2.4941,72.1703
71,600693,东百集团,227.3122,0.7919,24.8634,7.2396,1.2307,146.2582
72,002561,徐家汇,59.0887,3.0463,24.1803,7.4441,1.2687,141.8775
73,600694,大商股份,58.3611,3.0842,23.9876,7.5039,2.5332,71.0564
74,300017,网宿科技,4.4944,40.0498,23.1307,7.7819,0.5673,317.2924
75,002405,四维图新,3.18,56.6038,22.8199,7.8879,0.1745,1031.5186
76,600751,海航科技,1.1818,152.31,22.4717,8.0101,0.185,972.9730000000001
77,600859,王府井,83.1268,2.1654,21.6321,8.321,1.5488,116.219
78,600115,东方航空,15.9944,11.2539,21.3342,8.4372,2.7195,66.1886
79,600826,兰生股份,38.2095,4.7109,20.1734,8.9226,1.2049,149.39
80,002368,太极股份,1.5241,118.1025,20.1056,8.9527,0.6686,269.2193
81,601598,中国外运,,,19.6412,9.1644,1.4799,121.6298
