,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,000831,五矿稀土,224.6378,0.272,462.2085,8.7214,906.8564
1,300397,天和防务,135.9499,,,,
2,000668,荣丰控股,77.8082,0.1172,,0.2248,49.0687
3,600291,西水股份,36.0049,0.1209,14.9502,0.1621,17.1012
4,600545,卓郎智能,9.3014,0.0519,,0.0704,7.7949
5,300156,神雾环保,9.1969,0.0224,,0.0512,5.3279
6,600759,洲际油气,6.6749,0.018000000000000002,,0.0282,4.7092
7,600715,文投控股,5.4618,0.0076,,0.0078,1.9579
8,600696,ST岩石,5.4352,0.0514,229.1456,0.1149,11.515999999999998
9,600215,长春经开,3.9537,0.0266,,0.0569,6.4099
10,000609,中迪投资,3.7009,0.0186,,0.0477,4.7919
11,600603,广汇物流,2.752,0.026000000000000002,,0.0306,3.9151
12,600606,绿地控股,2.6724,0.0184,,0.0292,4.4434
13,300164,通源石油,2.1822,0.0238,,0.1113,17.6452
14,600393,粤泰股份,2.031,0.0503,52.0141,0.073,9.0875
15,000534,万泽股份,1.9637,0.0539,8.0217,0.0997,15.8291
16,000952,广济药业,1.8885,0.1105,,0.2075,23.366999999999997
17,300450,先导智能,1.8406,,,,
18,002322,理工环科,1.7035,0.0353,63.3007,1.1595,115.9503
19,600643,爱建集团,1.5832,0.0134,0.8326,0.0574,11.0354
20,000037,深南电A,1.5634,0.0469,,0.069,7.0549
21,000546,金圆股份,1.5462,0.0405,,0.1631,20.8092
22,000711,京蓝科技,1.5454,0.0263,,0.0396,8.1911
23,000691,亚太实业,1.5223,0.0157,12.9006,0.0377,4.5325
24,002629,*ST仁智,1.4852,0.114,,0.4304,43.0429
25,600053,九鼎投资,1.3637,0.0368,18.3067,0.0517,5.9239999999999995
26,600598,北大荒,1.2984,0.22399999999999998,3.0189,0.4789,50.8866
27,603636,南威软件,1.2558,,,,
28,600773,西藏城投,1.2527,0.0575,38.0581,0.0672,17.4459
29,600751,海航科技,1.2049,0.1538,,0.1593,15.9349
30,600892,大晟文化,1.1448,0.2441,,0.2779,28.7882
31,000766,通化金马,1.0807,0.0438,2.5186,0.1063,11.2836
32,000547,航天发展,1.0611,0.038,1.8554,0.102,20.5694
33,002140,东华科技,1.0545,0.0657,13.8018,0.0969,9.6879
34,002166,莱茵生物,1.0327,0.0615,64.4736,0.0747,15.6077
35,600193,ST创兴,1.0135,0.0161,,0.0391,7.6514
36,600791,京能置业,0.9728,0.0501,7.0239,0.0695,14.4838
37,000151,中成股份,0.9389,0.0865,9.2735,0.1358,13.6202
38,300382,斯莱克,0.8997,0.0656,2.9931,0.2403,24.1836
39,300369,绿盟科技,0.8762,0.0463,,0.1694,16.9378
40,000651,格力电器,0.8562,0.1545,9.2826,0.2132,21.6538
41,600025,华能水电,0.8508,0.0246,2.5259,0.0313,7.7302
42,600506,香梨股份,0.8324,0.0677,,1.1503,289.37
43,002287,奇正藏药,0.7953,0.0738,2.3656,1.2291,244.7375
44,002487,大金重工,0.7722,0.021,4.0841,0.102,16.1016
45,600020,中原高速,0.7679,0.0151,4.7107,0.0189,6.8729
46,000415,渤海租赁,0.7615,0.0197,4.3916,0.0246,7.2387
47,600543,莫高股份,0.7272,0.0445,3.2653,0.3306,37.1383
48,600658,电子城,0.7264,0.1228,1.9394,0.3925,39.942
49,600503,华丽家族,0.7008,0.0301,191.8173,0.0873,10.9576
50,000900,现代投资,0.6953,0.0209,3.8043,0.0336,10.7189
51,000429,粤高速A,0.6849,0.0176,2.1008,0.0297,14.9167
52,600766,园城黄金,0.6796,0.0206,1.5407,0.0229,2.3304
53,603333,尚纬股份,0.6749,0.0385,,0.2048,24.3039
54,600012,皖通高速,0.6629999999999999,0.0323,1.5526,0.0923,14.3205
55,600900,长江电力,0.6609,0.016,3.7042,0.0341,4.7917
56,601158,重庆水务,0.6529,0.0322,2.3069,0.0893,29.986
57,601872,招商轮船,0.6473,0.0245,2.3326,0.0593,12.6613
58,300144,宋城演艺,0.6459999999999999,0.0255,1.7628,0.4,40.0026
59,600318,新力金融,0.6407,0.0975,3.8985,0.2029,35.9784
60,300135,宝利国际,0.639,0.0245,9.4816,0.0459,5.0360000000000005
61,603300,华铁应急,0.6306,,2.0439,,
62,600035,楚天高速,0.6124,0.0134,2.4155,0.0195,6.1906
63,300183,东软载波,0.6061,0.0315,1.3988,0.7706,94.314
64,000061,农产品,0.6042,0.0184,15.5774,0.0369,4.9039
65,601828,美凯龙,0.6031,0.0357,3.3068,0.0474,11.3691
66,000923,河钢资源,0.6019,0.0335,54.923,0.0496,5.0553
67,600870,ST厦华,0.5972,0.1586,,0.1675,17.9207
68,601518,吉林高速,0.5936,0.0219,1.0783,0.0579,11.8269
69,002354,天神娱乐,0.5897,0.0497,,0.1026,10.2627
70,000568,泸州老窖,0.5848,0.0656,1.7407,0.3283,33.2603
71,601199,江南水务,0.5836,0.0232,2.8937,0.0585,6.4293
72,603077,和邦生物,0.5826,0.0406,7.3638,0.0992,12.6329
73,300084,海默科技,0.5814,0.0324,6.462999999999999,0.1211,31.3786
74,600962,国投中鲁,0.5751,0.0529,,0.1008,10.0907
75,600986,科达股份,0.5715,0.0095,,0.0117,1.3731
76,300494,盛天网络,0.5644,,1.5495,,
77,300071,华谊嘉信,0.5644,0.1746,35.3451,0.5101,57.7137
78,002113,ST天润,0.564,0.0198,3.136,0.0943,9.432
79,002447,晨鑫科技,0.5633,0.0091,3.8075,0.0255,8.8214
80,000722,湖南发展,0.5629,0.0116,0.8329,0.0512,6.5398
81,001896,豫能控股,0.5545,0.0977,3.9193,0.1365,42.6505
82,000890,法尔胜,0.5454,0.0565,54.9108,0.0854,8.7986
83,601188,龙江交通,0.5401,0.0133,0.7047,0.0697,7.2236
84,600844,丹化科技,0.5379,0.0265,,0.0467,6.8518
85,000791,甘肃电投,0.5338,0.0086,,0.0118,7.0415
86,600368,五洲交通,0.5258,0.0197,3.7851,0.0258,8.4914
87,002326,永太科技,0.524,0.0473,7.5486,0.1045,10.9947
88,002252,上海莱士,0.5228,0.0375,2.0194,0.2378,79.7568
89,600548,深高速,0.5213,0.0194,1.6571,0.0394,21.4741
90,600007,中国国贸,0.5167,0.0292,2.0506,0.062,32.82
91,000628,高新发展,0.5144,0.0548,,0.0581,6.0654
92,600269,赣粤高速,0.51,0.0133,2.1762,0.025,6.9628
93,002132,恒星科技,0.5092,0.0534,107.0158,0.0823,8.9673
94,601016,节能风电,0.5061,,3.1873,,
95,002357,富临运业,0.5058,0.047,1.4227,0.129,12.9365
96,002568,百润股份,0.503,0.0256,1.3364,0.3918,41.8534
97,601969,海南矿业,0.5017,,1.4284,,
98,603005,晶方科技,0.5015,0.033,1.6191,0.1141,14.1
99,002750,龙津药业,0.5004,,1.7739,,
100,600886,国投电力,0.4996,0.0226,2.4526,0.0289,17.2496
