,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,600291,西水股份,1248.9986,0.3246,5398.5769,0.3496,36.0706
1,000668,荣丰控股,160.9871,0.0901,,0.1472,39.1679
2,000567,海德股份,38.5595,0.0624,6.6299,1.7926,179.2564
3,000036,华联控股,19.0018,0.1158,9.7271,0.1801,31.3734
4,000548,湖南投资,8.7524,0.1568,,0.45399999999999996,45.5379
5,600643,爱建集团,8.5972,0.0808,7.0381,0.1947,34.2078
6,002679,福建金森,8.3106,0.0017,,0.003,1.4499
7,000056,皇庭国际,5.6258,0.0444,18.2738,0.1105,51.5512
8,002016,世荣兆业,4.9872,0.0398,,0.0572,6.8646
9,000011,深物业A,4.4755,0.1646,1520.8061,0.2717,29.6772
10,000638,万方发展,4.0993,0.0878,27.9637,0.0991,23.1244
11,002828,贝肯能源,3.6087,,,,
12,600275,ST昌鱼,3.5826,0.0503,,0.0992,9.9694
13,600325,华发股份,3.1763,0.0318,176.9291,0.0392,8.8844
14,600598,北大荒,2.8388,0.1771,18.8265,0.4964,49.9733
15,000831,五矿稀土,2.7316,0.0764,,2.4313,271.3738
16,000968,蓝焰控股,2.5808,0.0361,,0.0373,7.3735
17,000892,欢瑞世纪,2.4909,0.495,17.2355,1.2936,129.3589
18,000975,银泰黄金,2.4004,0.0524,7.8038,2.7665,287.4531
19,600503,华丽家族,2.3019,0.0622,33.7958,0.1883,18.8327
20,300132,青松股份,2.1406,0.3842,66.149,3.0541,326.9066
21,000820,*ST节能,2.0578,0.0396,,0.062,19.9063
22,300023,宝德股份,2.0173,0.0406,15.2246,0.0534,6.3396
23,600371,万向德农,1.6482,0.1816,13.0005,0.3824,41.7178
24,600202,哈空调,1.6297,0.0491,,0.075,8.7446
25,000615,京汉股份,1.6157,0.0721,45.111999999999995,0.0947,11.0392
26,600532,宏达矿业,1.5809,0.0381,,0.1346,16.2814
27,000505,京粮控股,1.5598,0.0709,,0.0614,7.3483
28,000631,顺发恒业,1.5428,0.0527,13.8484,0.0752,9.4117
29,000718,苏宁环球,1.5413,0.0317,33.7275,0.0516,5.9622
30,600892,大晟文化,1.4576,0.0199,2.8459,0.0457,4.6521
31,000736,中交地产,1.4375,0.0249,,0.0362,9.4003
32,603960,克来机电,1.4255,,6.1864,,
33,000006,深振业A,1.371,0.040999999999999995,10.5027,0.0637,13.9038
34,000571,*ST大洲,1.3478,0.0482,11.5687,0.1155,14.1974
35,002633,申科股份,1.3259,0.0543,,0.1621,17.5996
36,603595,东尼电子,1.2957,,7.6166,,
37,002401,中远海科,1.2185,0.1724,11.4219,0.4658,46.5818
38,600977,中国电影,1.1577,,7.0607,,
39,300175,朗源股份,1.1439,0.1331,23.4533,0.3934,40.7978
40,600737,中粮糖业,1.1333,0.1215,,0.2057,24.4316
41,603558,健盛集团,1.1008,0.0732,3.5374,0.3343,39.9576
42,600077,宋都股份,1.0772,0.048,,0.0669,10.5325
43,000517,荣安地产,1.0545,0.0294,94.0298,0.0518,7.7899
44,600262,北方股份,1.0083,0.038,,0.0585,6.5246
45,600641,万业企业,0.9979,0.0643,6.1376,0.1545,16.215
46,002039,黔源电力,0.9916,0.0306,4.7805,0.0403,33.8971
47,603817,海峡环保,0.988,,3.302,,
48,000415,渤海租赁,0.9728,0.0293,12.0611,0.0359,14.1099
49,002501,*ST利源,0.9099,0.0487,4.4430000000000005,0.0905,12.8665
50,300350,华鹏飞,0.9063,0.0637,6.8159,0.414,48.5116
51,600350,山东高速,0.9018,0.0268,2.4315,0.0577,16.8589
52,603955,大千生态,0.8741,,35.9731,,
53,000722,湖南发展,0.8685,0.0265,2.2451,0.3338,87.00200000000001
54,002861,瀛通通讯,0.8540000000000001,,6.3728,,
55,000828,东莞控股,0.8207,0.0274,1.2393,0.0631,9.0214
56,600252,中恒集团,0.81,0.0471,2.0127,0.3053,45.1663
57,002515,金字火腿,0.8078,0.036000000000000004,4.2664,1.2654,170.2791
58,600318,新力金融,0.7967,0.0161,0.9281,0.0252,8.4419
59,002113,ST天润,0.7942,0.0314,4.4446,0.1693,16.929000000000002
60,600665,天地源,0.7908,0.0213,,0.0248,5.4631
61,002244,滨江集团,0.7883,0.0756,6.2454,0.1066,13.9627
62,002750,龙津药业,0.7882,0.0486,2.1961,0.3259,44.5599
63,002428,云南锗业,0.7857,0.0627,,0.324,35.1619
64,600106,重庆路桥,0.7689,0.0089,1.311,0.0166,17.9261
65,000518,四环生物,0.7652,0.044000000000000004,,0.1073,11.1715
66,002552,宝鼎科技,0.7558,0.0238,,0.0712,7.6562
67,002858,力盛赛车,0.7542,,,,
68,000038,深大通,0.7516,0.034,3.4737,0.0824,8.3232
69,600162,香江控股,0.7497,0.0322,5.586,0.0456,6.1375
70,600674,川投能源,0.7471,0.0065,0.1767,0.0288,11.5019
71,600519,贵州茅台,0.7444,0.08199999999999999,1.4267,0.3765,37.6821
72,600020,中原高速,0.7441,0.0136,4.0655,0.0182,5.5379
73,600025,华能水电,0.7441,0.0136,3.7124,0.0174,5.1928
74,600962,国投中鲁,0.7236,0.1236,31.4215,0.3018,30.8062
75,000429,粤高速A,0.7147,0.0227,1.8218,0.0461,16.0174
76,601016,节能风电,0.7078,0.0155,2.7565,0.0261,10.7313
77,600377,宁沪高速,0.7045,0.0398,1.8124,0.1008,15.4475
78,601872,招商轮船,0.6997,0.0363,1.6474,0.0885,51.7691
79,002480,新筑股份,0.6965,0.0271,,0.0508,6.5216
80,600900,长江电力,0.6938,0.0224,1.6736,0.0654,19.1662
81,600035,楚天高速,0.6913,0.0274,1.7865,0.0524,32.5716
82,002052,同洲电子,0.6838,0.0329,,0.0743,7.4778
83,300033,同花顺,0.6813,0.0555,1.2688,0.1289,13.0577
84,300519,新光药业,0.6794,0.1611,1.619,1.2391,159.2972
85,600067,冠城大通,0.6752,0.0399,55.5351,0.0711,9.9712
86,600012,皖通高速,0.6717,0.0356,1.8289,0.126,56.1609
87,002619,艾格拉斯,0.6678,0.0176,2.2771,0.1388,14.4122
88,002220,ST天宝,0.6624,0.0353,7.8899,0.0732,21.6632
89,000791,甘肃电投,0.6586,0.0071,,0.0094,4.577
90,601216,君正集团,0.6524,0.0399,2.8176,0.1037,17.3704
91,002314,南山控股,0.6498,0.1214,4.2107,0.2772,34.147
92,002451,摩恩电气,0.6386,0.031,11.3966,0.048,6.4108
93,600568,中珠医疗,0.6176,0.0137,3.0961,0.0445,6.308
94,600368,五洲交通,0.6149,0.0161,2.1689,0.0219,4.2814
95,002133,广宇集团,0.6149,0.0121,,0.0181,1.9844
96,603258,电魂网络,0.6115,,1.0543,,
97,000688,国城矿业,0.6082,0.0548,10.470999999999998,0.2935,32.4178
98,603167,渤海轮渡,0.6046,0.0378,1.1567,0.1661,26.3102
99,300251,光线传媒,0.6012,0.0334,1.2906,0.2376,28.5272
100,300443,金雷股份,0.5886,0.0643,1.3475,0.5151,51.9595
101,002635,安洁科技,0.5868,0.0819,2.9537,0.3873,43.3024
102,600187,国中水务,0.5760000000000001,0.0121,,0.0385,7.5886
103,600221,海航控股,0.5759,0.0446,3.7101,0.0661,19.5074
104,002445,ST中南,0.5751,0.0215,5.4109,0.0519,5.1888
