,name,order_book_id,start_date,end_date,strategy_file,annualized_returns,sharpe,max_drawdown,trade_times
368,out-mybollinger_strategy-510710.XSHG-20-100,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.055,0.254,0.174,33
526,out-mybollinger_strategy-510710.XSHG-20-85,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
660,out-mybollinger_strategy-510710.XSHG-20-80,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
838,out-mybollinger_strategy-510710.XSHG-20-95,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
860,out-mybollinger_strategy-510710.XSHG-20-65,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
707,out-mybollinger_strategy-510710.XSHG-20-70,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
928,out-mybollinger_strategy-510710.XSHG-20-75,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
31,out-mybollinger_strategy-510710.XSHG-20-90,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
781,out-mybollinger_strategy-510710.XSHG-20-60,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.248,0.174,110
397,out-mybollinger_strategy-510710.XSHG-25-100,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.055,0.248,0.185,33
,name,order_book_id,start_date,end_date,strategy_file,annualized_returns,sharpe,max_drawdown,trade_times
368,out-mybollinger_strategy-510710.XSHG-20-100,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.055,0.254,0.174,33
397,out-mybollinger_strategy-510710.XSHG-25-100,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.055,0.248,0.185,33
526,out-mybollinger_strategy-510710.XSHG-20-85,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
925,out-mybollinger_strategy-510710.XSHG-20-55,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.246,0.174,110
639,out-mybollinger_strategy-510710.XSHG-25-80,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.243,0.185,108
660,out-mybollinger_strategy-510710.XSHG-20-80,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
253,out-mybollinger_strategy-510710.XSHG-25-75,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.241,0.185,108
707,out-mybollinger_strategy-510710.XSHG-20-70,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.249,0.174,109
781,out-mybollinger_strategy-510710.XSHG-20-60,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.248,0.174,110
791,out-mybollinger_strategy-510710.XSHG-25-90,510710.XSHG,2017-01-03,2020-03-13,mybollinger_strategy,0.054,0.244,0.185,107
