,name,order_book_id,start_date,end_date,strategy_file,annualized_returns,sharpe,max_drawdown
9559,results/out-dema_strategy-510710.XSHG-10-12.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.067,0.759,0.067
8941,results/out-dema_strategy-510710.XSHG-12-14.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.064,0.703,0.061
5837,results/out-dema_strategy-510710.XSHG-8-16.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.081,0.688,0.11
6867,results/out-dema_strategy-510710.XSHG-8-14.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.068,0.56,0.073
1081,results/out-dema_strategy-510710.XSHG-40-56.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.06,0.518,0.085
2697,results/out-dema_strategy-510710.XSHG-8-12.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.052,0.513,0.067
8829,results/out-dema_strategy-510710.XSHG-12-88.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.076,0.491,0.14
6787,results/out-dema_strategy-510710.XSHG-14-64.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.067,0.479,0.13
3482,results/out-dema_strategy-510710.XSHG-30-126.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.058,0.455,0.107
4687,results/out-dema_strategy-510710.XSHG-26-62.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.063,0.428,0.127
,name,order_book_id,start_date,end_date,strategy_file,annualized_returns,sharpe,max_drawdown
5837,results/out-dema_strategy-510710.XSHG-8-16.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.081,0.688,0.11
8829,results/out-dema_strategy-510710.XSHG-12-88.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.076,0.491,0.14
1629,results/out-dema_strategy-510710.XSHG-72-126.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.076,0.399,0.201
575,results/out-dema_strategy-510710.XSHG-20-56.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.069,0.415,0.126
6867,results/out-dema_strategy-510710.XSHG-8-14.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.068,0.56,0.073
6787,results/out-dema_strategy-510710.XSHG-14-64.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.067,0.479,0.13
9559,results/out-dema_strategy-510710.XSHG-10-12.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.067,0.759,0.067
8941,results/out-dema_strategy-510710.XSHG-12-14.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.064,0.703,0.061
4687,results/out-dema_strategy-510710.XSHG-26-62.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.063,0.428,0.127
5211,results/out-dema_strategy-510710.XSHG-28-48.pkl,510710.XSHG,2017-01-03,2020-03-13,dema_strategy,0.06,0.299,0.164
