,name,order_book_id,start_date,end_date,strategy_file,annualized_returns,sharpe,max_drawdown
5786,results/out-dema_strategy-510500.XSHG-24-30.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.04,0.235,0.06
9138,results/out-dema_strategy-510500.XSHG-6-22.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.038,0.159,0.089
2044,results/out-dema_strategy-510500.XSHG-24-38.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.036,0.146,0.072
4981,results/out-dema_strategy-510500.XSHG-14-26.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.035,0.131,0.072
2096,results/out-dema_strategy-510500.XSHG-16-26.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.033,0.094,0.135
9519,results/out-dema_strategy-510500.XSHG-22-32.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.032,0.09,0.057
953,results/out-dema_strategy-510500.XSHG-26-32.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.031,0.073,0.106
7840,results/out-dema_strategy-510500.XSHG-18-26.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.031,0.071,0.108
237,results/out-dema_strategy-510500.XSHG-10-80.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.029,0.049,0.1
4829,results/out-dema_strategy-510500.XSHG-22-80.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.029,0.043,0.085
,name,order_book_id,start_date,end_date,strategy_file,annualized_returns,sharpe,max_drawdown
5786,results/out-dema_strategy-510500.XSHG-24-30.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.04,0.235,0.06
9138,results/out-dema_strategy-510500.XSHG-6-22.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.038,0.159,0.089
2044,results/out-dema_strategy-510500.XSHG-24-38.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.036,0.146,0.072
4981,results/out-dema_strategy-510500.XSHG-14-26.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.035,0.131,0.072
2096,results/out-dema_strategy-510500.XSHG-16-26.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.033,0.094,0.135
9519,results/out-dema_strategy-510500.XSHG-22-32.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.032,0.09,0.057
953,results/out-dema_strategy-510500.XSHG-26-32.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.031,0.073,0.106
7840,results/out-dema_strategy-510500.XSHG-18-26.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.031,0.071,0.108
237,results/out-dema_strategy-510500.XSHG-10-80.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.029,0.049,0.1
4829,results/out-dema_strategy-510500.XSHG-22-80.pkl,510500.XSHG,2017-01-03,2020-03-13,dema_strategy,0.029,0.043,0.085
