,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,11060490774.12,7348666615.14,3634310612.28,14307433720.22,10734038306.48,6790390113.51,3034150518.90,12596539031.75,8870453509.31,5418063576.92,2316822224.86,8836907481.65,6792290591.45,4257698466.36,1771713554.84,6803657913.74,5941745377.44,3830226501.65,1607402370.21,6132747502.42,5344232850.16,3647407547.33,1590592388.46,6240127587.74,4674567659.87,3313654224.96,1507739363.05,5732429340.60,4093490004.71,2791576585.69,1225278105.00,5107235342.18,3855297844.95,2815282526.09,1413924912.01,4783105445.35,3614098776.45,2289215936.58,869220372.56,3196502478.46,2464674271.39,1589341283.50,63621353.85,231534812.58,186226410.10,97089395.88,37073927.42,431310559.23,331764514.56,245157210.53,119853782.95,483026641.43,371472735.97,245832298.29,112714225.37,424861953.75,317592317.14,210709633.87,97136135.58,416790818.39,311252383.35,203560348.76,99352831.77,364821744.21,324335904.22,0.0
2,营业收入,11060490774.12,7348666615.14,3634310612.28,14307433720.22,10734038306.48,6790390113.51,3034150518.90,12596539031.75,8870453509.31,5418063576.92,2316822224.86,8836907481.65,6792290591.45,4257698466.36,1771713554.84,6803657913.74,5941745377.44,3830226501.65,1607402370.21,6132747502.42,5344232850.16,3647407547.33,1590592388.46,6240127587.74,4674567659.87,3313654224.96,1507739363.05,5732429340.60,4093490004.71,2791576585.69,1225278105.00,5107235342.18,3855297844.95,2815282526.09,1413924912.01,4783105445.35,3614098776.45,2289215936.58,869220372.56,3196502478.46,2464674271.39,1589341283.50,63621353.85,231534812.58,186226410.10,97089395.88,37073927.42,431310559.23,331764514.56,245157210.53,119853782.95,482590642.16,371157124.65,245557368.74,112661154.18,424646098.91,317430502.93,210611507.17,97067685.48,416170264.60,310713204.53,203337693.96,99288730.93,364279052.42,324226660.46,0.0
3,二、营业总成本,11105745233.77,7191783125.48,3542694610.32,13981837882.14,10288449213.97,6392909250.82,2927328151.71,12203514914.19,8331043686.36,5054109851.29,2195359126.93,8697074150.28,6602988600.96,4108599462.76,1707562446.76,6709973769.19,5816419842.23,3740801948.34,1597968876.04,6191757260.76,5284700618.63,3585207345.39,1585538780.13,6154403621.69,4608027037.30,3248897539.77,1502908306.26,5857504688.38,4132671585.64,2787001047.70,1187290471.03,4673834222.68,3506481912.57,2534755409.60,1282183933.40,4391296915.59,3346642072.20,2109042025.36,787500323.70,2971189572.47,2286375897.02,1476391792.38,66724587.22,312349017.70,241423880.66,135250244.27,63319205.52,490594784.51,364250784.61,259200048.08,124473110.23,496131950.82,379176557.49,247245253.18,117488201.31,415762723.81,304722262.60,199971307.59,91451786.80,393071176.67,295059050.87,194204396.02,95816994.24,336833739.53,296006825.04,0.0
4,营业成本,10229199281.91,6623634191.49,3254753101.89,12802476284.43,9576573689.32,5925221588.42,2671450441.03,11187026853.69,7715370085.34,4657099590.16,2000023059.73,7803174531.98,5985538025.04,3691309031.57,1534538368.23,5871418494.59,5201872516.92,3334525842.77,1404504069.00,5313268648.41,4680097260.25,3181479136.37,1403515933.26,5359911444.19,4014246190.39,2863629761.41,1332008781.19,5115111159.64,3600716440.80,2439756359.92,1022175895.26,4093334043.53,3092163295.39,2256056431.63,1102856712.17,3839849627.55,2941198493.96,1858787191.05,685001065.46,2609476369.66,2026424577.32,1316833469.49,66135902.58,249695360.56,204553898.83,105848796.65,40784763.21,445144132.44,327142543.84,235135143.56,113150516.43,453058675.50,347088874.49,227308557.91,106630536.76,378288578.51,277578556.35,182381702.48,82688069.65,362670529.36,272486654.53,178090933.13,87813453.70,306016453.94,265682318.81,0.0
5,营业税金及附加,57590273.10,37316470.48,19527597.71,89061454.29,61746265.17,41565269.52,19721220.78,84511955.23,60874446.57,40143348.49,18858910.20,63267586.41,24001999.45,15681014.29,5416756.04,30872877.69,24663261.90,15991585.51,5500350.31,27772979.47,19707392.28,12991199.58,5476283.65,36259626.48,28663480.62,19281301.49,7308064.37,21776146.91,13577190.31,7921087.57,4645614.97,22194849.22,13859263.20,8236811.62,2886605.87,11180367.84,8375189.80,5564595.80,3237920.45,4902094.78,3441556.95,1820733.18,56633.50,1401365.50,1303541.09,754549.31,458664.20,2046586.45,1484569.42,1251201.32,549217.28,2862997.92,2358083.44,1457443.97,549573.19,2540308.72,1881346.21,981346.51,434145.26,2261187.24,1770594.48,852347.60,176354.49,1814422.40,1914974.71,0.0
6,销售费用,177558231.17,118397801.86,55666004.02,240286408.52,184018600.93,130339428.33,55238331.98,272217646.42,200744250.92,122264141.99,67413497.49,256037599.88,188169682.94,125160955.47,56515578.27,258743342.01,203301984.52,139220901.68,64646629.43,309705160.04,230589049.87,144741344.11,57800602.13,272432771.67,207894626.76,134479447.80,58310714.90,222271427.29,147481724.06,99067717.87,44626382.54,174121070.27,133613572.30,93439049.77,43418987.54,214039224.16,161842268.40,90447125.34,31258857.61,122678353.08,95581782.28,60032273.42,478390.18,4422304.27,3214935.74,1863574.78,811524.63,5285554.89,3041385.17,1728358.50,752635.10,2754153.30,1766733.92,1186157.57,695882.08,2499070.38,1896759.52,1190411.38,547943.90,1863966.74,1331871.03,962000.04,435075.05,1893910.79,2084528.02,0.0
7,管理费用,337072828.36,233937438.69,103178247.89,397569645.95,273723537.15,200978653.49,108451095.53,421792634.03,288246935.85,181167270.64,81820006.58,349593643.73,263144501.92,175452163.08,78459702.45,313627299.16,226604892.83,152290027.97,72615461.61,320808642.32,220202944.49,147526094.58,71461814.61,274841117.00,209419031.80,138922007.71,64480653.44,258051282.88,206598066.54,143694551.80,71492985.01,237866843.51,168935458.54,105573200.84,86110975.45,195916579.38,140330672.43,85186428.89,38543339.07,140549000.92,97207506.71,64630466.84,3187738.57,34665123.13,29598131.36,24843920.93,19926998.58,16408792.51,23184132.38,14881641.75,6520397.12,27036295.36,20444905.10,12942351.24,7267066.55,24140920.59,18215207.69,12011925.01,6143161.43,19531568.71,13658594.52,10315621.73,4988165.48,21089158.43,20120238.50,0.0
8,财务费用,216269112.66,134362447.77,94110134.75,303149005.70,124359884.71,92397033.80,68240709.37,231842110.25,71487290.94,56148855.59,34768954.71,209125537.06,145723415.64,101673157.61,40913599.66,229349341.02,153270625.10,90098389.63,48536933.55,208591720.46,145813412.92,101412813.70,54063340.20,195198944.52,150471456.11,92585021.36,46420952.58,238947848.07,156504346.40,92720412.92,55952953.69,138496065.89,99781333.81,62566285.38,33390588.02,124492577.26,78694805.07,54949062.07,21220822.87,83810615.31,60404712.68,40472340.11,857008.01,9788976.02,8233398.15,5660312.49,3035994.30,12158811.02,9102520.55,6361368.71,2868575.25,10419828.74,7517960.54,4350742.49,2345142.73,8293845.61,5150392.83,3405922.21,1638466.56,6743924.62,5811336.31,3983493.52,2403945.52,6019793.97,6204765.00,0.0
