,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20121231,20120630,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
16,加:营业外收入,79074.24,73970.00,73970.00,200.00,34693.13,436885.35,249096.70,30000.00,246582.49,18670355.02,12325162.57,6106750.72,34085471.15,18850155.34,12729380.84,6079033.02,38293804.78,20198239.72,16423175.20,4259106.47,27185953.78,16641912.18,11663912.16,3485815.97,17104528.42,10457736.15,27217582.50,16389527.89,21542839.55,12296831.22,23408788.29,0.0
17,减：营业外支出,46457.24,37537.30,10595.14,953.21,107493.38,980312.46,957041.40,355.82,615262.07,579277.75,394794.69,22284.37,4688.10,4220.70,4220.70,0,491575.51,460618.76,374272.34,374268.02,191709.74,194563.09,188725.00,1328.82,1934312.39,1028152.63,192252.24,74189.35,2409294.04,1975998.68,153092.85,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,10882.80,10194.76,596.46,1688.10,1220.70,1220.70,0,371509.10,369075.42,365184.02,365184.02,188725.00,0,188725.00,0,25401.42,0,45653.85,39687.15,1480242.96,1627295.07,126938.54,0.0
19,四、利润总额,153760508.54,99333638.91,82501469.98,52259690.53,117455917.84,87651154.48,73786726.26,42597007.74,144116564.79,119657940.64,94257436.80,40862532.78,112980518.06,68501897.79,44458063.64,12637018.29,52415206.03,39564226.53,34702523.07,7492435.93,124680737.37,88979602.77,65423685.04,16346889.70,156712852.88,101984537.07,146322149.67,84976983.36,197522924.84,169304905.14,89711262.29,0.0
20,减：所得税费用,11516061.47,12066230.60,9302578.26,6037595.62,5336135.18,8119559.02,6552066.55,3952205.41,8021959.11,13916753.70,11946399.66,5819430.41,11847080.92,9800040.33,6420255.35,1463234.96,2132018.90,4151908.86,4132096.25,563956.23,15384538.87,13363319.85,10332031.00,2074056.38,20950505.36,15831736.43,17211842.73,12216705.46,26720416.77,14243770.96,5887723.34,0.0
21,五、净利润,142244447.07,87267408.31,73198891.72,46222094.91,112119782.66,79531595.46,67234659.71,38644802.33,136094605.68,105741186.94,82311037.14,35043102.37,101133437.14,58701857.46,38037808.29,11173783.33,50283187.13,35412317.67,30570426.82,6928479.70,109296198.50,75616282.92,55091654.04,14272833.32,135762347.52,86152800.64,129110306.94,72760277.90,170802508.07,155061134.18,83823538.95,0.0
22,归属于母公司所有者的净利润,142244447.07,87267408.31,73198891.72,46222094.91,112119782.66,79885824.44,67451032.84,38644802.33,136094605.68,105741186.94,82311037.14,35043102.37,101133437.14,58701857.46,38037808.29,11173783.33,50283187.13,35412317.67,30570426.82,6928479.70,109296198.50,75616282.92,55091654.04,14272833.32,135762347.52,86152800.64,129110306.94,72760277.90,170802508.07,155041925.57,83993839.07,0.0
23,少数股东损益,0,0,0,0,0,-354228.98,-216373.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19208.61,-170300.12,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.240000,0.150000,0.120000,0.077000,0.190000,0.130000,0.110000,0.065000,0.230000,0.180000,0.140000,0.060000,0.170000,0.110000,0.070000,0.023000,0.120000,0.080000,0.070000,0.016000,0.280000,0.190000,0.140000,0.037000,0.350000,0.220000,0.330000,0.190000,0.440000,0.400000,0.220000,0.0
26,稀释每股收益(元/股),0.240000,0.150000,0.120000,0.077000,0.190000,0.130000,0.110000,0.065000,0.230000,0.180000,0.140000,0.060000,0.170000,0.110000,0.070000,0.023000,0.120000,0.080000,0.070000,0.016000,0.280000,0,0,0.037000,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,142244447.07,87267408.31,73198891.72,46222094.91,112119782.66,79531595.46,67234659.71,38644802.33,136094605.68,105741186.94,82311037.14,35043102.37,101133437.14,58701857.46,38037808.29,11173783.33,50283187.13,35412317.67,30570426.82,6928479.70,109296198.50,75616282.92,55091654.04,14272833.32,135762347.52,86152800.64,129110306.94,72760277.90,170802508.07,155061134.18,83823538.95,0.0
29,归属于母公司所有者的综合收益总额,142244447.07,87267408.31,73198891.72,46222094.91,112119782.66,79885824.44,67451032.84,38644802.33,136094605.68,105741186.94,82311037.14,35043102.37,101133437.14,58701857.46,38037808.29,11173783.33,50283187.13,35412317.67,30570426.82,6928479.70,109296198.50,0,55091654.04,14272833.32,135762347.52,0,129110306.94,72760277.90,170802508.07,155041925.57,83993839.07,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,-354228.98,-216373.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19208.61,-170300.12,0.0
