,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,1043075021.54,673423171.37,312140430.13,1404668841.96,878310496.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,145601.42,131080441.10,-2324599.35,3696909.71,-429474.50,13660980.71,8267238.61,11972254.42,-1289053.48,4137919.14,2017396.16,2126630.91,-24792.32,123993607.72,7528961.03,8130811.03,0,5196031.88,5117407.89,5117407.89,0,-6184194.06,-5063006.51,-5063006.51,-9510165.54,9188781.71,6910673.25,6909340.90,-446451.67,8315525.99,4699383.90,4693383.90,18474.53,4094898.96,3126095.70,3196064.52,31021.05,2705563.59,2646567.55,2986414.35,1073165.19,198443.69,1931399.94,1754910.34,351034.90,4741569.08,2683604.75,2645504.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,178693107.41,399431236.41,361268394.90,-23399263.14,-10118880.35,-9024873.96,-4346463.58,-21451956.21,897936.94,365593.99,233314.61,-6501329.53,-6460573.57,-4230635.03,-3719752.16,-1824177.73,-5474344.55,640354.88,-1387389.56,12482267.18,3396757.37,1532340.70,-1161345.23,712132.65,997188.62,42929.80,645682.67,630632.91,304570.86,899003.89,549861.20,-7685416.79,-5644752.31,-3248810.28,-816803.74,-8203757.76,-5585093.52,-13020455.28,-1912423.16,12110138.20,-1950819.52,404712.28,1327977.31,-28928138.49,-56616014.12,-56423985.53,-28180621.35,8705551.56,8709242.92,42974.93,5983216.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,390985947.93,99225519.59,49494743.35,256697645.34,150465538.52,102241626.36,42183017.85,270625731.49,261569776.79,146395268.99,33197980.85,119019217.20,86476262.21,38725528.28,3177890.52,164007889.38,95042898.04,64441965.43,19545455.16,122563741.47,89492867.76,50928135.63,11886386.32,103852662.69,43017800.44,13624730.56,-766559.64,80691575.18,31584859.80,18825679.66,2443757.86,34732071.14,4849599.40,5533920.46,2265916.93,15989395.89,4773481.34,4311764.22,324905.88,25197274.83,17004963.23,9429065.96,7232095.99,19385061.92,41541304.78,39680524.04,23066287.31,51450143.24,44695360.24,32185426.43,4871054.68,27618449.18,4272513.23,2465989.09,-613027.29,4715403.29,1599380.18,910786.03,328328.15,1997731.79,1613290.89,1084541.44,312387.13,2721919.02,2618596.81,1776058.40,-831.33,-28104.95,1285335.16,426675.56,0.0
13,其中:对联营企业和合营企业的投资收益,18441220.19,25216061.89,10834991.50,59531955.70,-11878960.09,-5236246.74,10377669.09,-30906135.56,95157443.14,38798153.12,21241741.74,39490620.78,17437396.46,-11556018.43,-11965886.56,24293039.19,24754748.83,-3124318.53,-7033042.01,33235878.59,12619118.22,-7209867.93,-9474849.63,44447797.33,8876704.00,-9130946.74,-6476863.75,21457741.78,15822471.83,5435325.72,2212130.97,2212130.97,-3312149.33,-599283.83,-331414.96,2184937.81,4112508.86,3280625.60,-395132.04,7246549.12,3364808.56,-598659.79,0,8133198.99,0,0,0,-3054681.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,881975543.52,734392188.27,441541892.79,701060945.15,436478293.84,344273089.34,57105826.68,463436404.23,313502709.75,233032665.18,-1528370.92,140904221.08,60576866.86,64803486.88,7066798.40,428327695.30,44616437.75,184296220.45,27399907.85,292323779.74,104298441.26,74565813.27,23987637.31,288449050.34,111368548.02,56777128.23,21967780.63,136089542.08,41480126.92,32382780.66,9776277.51,216711946.13,68847263.96,48665701.15,32957714.93,155899601.36,99705289.22,33487084.07,20163068.38,185400210.67,109243586.18,61229700.94,26870512.38,101630349.81,50346781.78,22468875.17,19890543.30,117603823.85,86092820.85,41010668.05,14137520.92,49702385.95,18278704.71,3460311.12,131116.55,7825100.89,1748439.77,2507090.75,257414.97,18142184.43,4740145.29,2130987.95,65080.06,37442064.89,19957933.22,13467748.15,3412722.83,43231120.55,36240392.22,28148007.65,0.0
16,加:营业外收入,1109293.42,375320.75,290300.00,2224306.07,1011404.42,501428.13,112323.52,8792659.50,23653412.90,14347864.68,42921722.26,189520731.84,121379124.06,78504831.01,49745872.85,147867131.72,107545925.33,70258011.33,50872757.33,96084215.12,66025995.48,43903345.89,35363017.31,81322557.96,53990467.26,33434940.33,18589640.13,86628236.68,57305670.86,36138958.65,24541260.38,70610957.08,46652690.61,30553741.64,10644536.97,88838361.18,36150024.39,27081355.43,16255103.02,48230159.73,30104944.32,18750457.72,9531225.58,35957973.46,20996214.07,13676110.17,8200992.76,25770824.58,8838171.40,4817001.14,1682799.66,690146.07,69555.95,24469.39,1320.80,385104.49,144888.31,143202.91,100.00,5205633.35,2124309.40,2254.54,1050.00,66641.02,27901.51,23301.51,2320.00,48189.58,42162.73,250700.79,0.0
17,减：营业外支出,414846.58,373152.78,5215.78,3639967.42,3238522.56,884461.61,651226.53,3963004.77,1548547.65,818481.73,312566.78,390411420.78,-900224.11,-16115764.03,-13328352.78,61014509.92,2065857.21,1125322.94,172695.04,2284118.00,1365536.30,474535.51,132699.92,1553235.31,722853.41,434303.59,125474.61,1504560.33,794401.33,426694.55,130317.57,1477462.66,913709.53,455947.15,254616.28,1089819.61,608824.78,367332.79,96789.29,949504.98,434860.85,269696.14,118318.60,1104124.06,748794.49,579965.80,77914.09,1453729.34,65742.23,-88941.10,-208227.21,3483803.45,236331.34,92538.76,38017.99,218250.91,210465.82,-99606.61,10350.00,746884.62,648343.46,512049.41,65300.16,259854.79,298323.74,46931.03,23678.52,1153321.36,2346848.60,598791.51,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,120264.80,0,0,723196.82,420600.72,403447.09,1089810.13,891283.49,889592.05,92992.89,471577.60,325698.64,323769.04,70343.50,211873.77,85741.58,35290.55,0,203734.84,118353.00,91747.86,0,321874.61,229421.89,86490.75,25226.04,417938.41,410176.90,86399.89,57600.88,110129.50,67430.67,7046.54,0,149280.66,85082.56,-45638.43,0,153330.86,91338.31,91338.31,6565.60,884008.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,882669990.36,734394356.24,441826977.01,699645283.80,434251175.70,343890055.86,56566923.67,468266058.96,335607575.00,246562048.13,41080784.56,-59986467.86,182856215.03,159424081.92,70141024.03,515180317.10,150096505.87,253428908.84,78099970.14,386123876.86,168958900.44,117994623.65,59217954.70,368218372.99,164636161.87,89777764.97,40431946.15,221213218.43,97991396.45,68095044.76,34187220.32,285845440.55,114586245.04,78763495.64,43347635.62,243648142.93,135246488.83,60201106.71,36321382.11,232680865.42,138913669.65,79710462.52,36283419.36,136484199.21,70594201.36,35565019.54,28013621.97,141920919.09,94865250.02,45916610.29,16028547.79,46908728.57,18111929.32,3392241.75,94419.36,7991954.47,1682862.26,2749900.27,247164.97,22600933.16,6216111.23,1621193.08,829.90,37248851.12,19687510.99,13444118.63,3391364.31,42125988.77,33935706.35,27799916.93,0.0
20,减：所得税费用,83425619.09,58471372.89,52906077.31,21285068.08,59963973.95,34931886.02,1736526.39,34971955.77,24363021.23,14023329.83,25446.13,-7750126.69,-8508820.79,15039171.17,5442037.18,66388456.88,25390891.14,19008096.05,5900008.24,31103018.77,37176816.10,8892359.00,5378445.05,28136563.57,34418420.34,11638710.22,3266167.77,8963577.69,9830128.69,10061853.90,1366597.46,23835399.20,7096097.04,7084626.34,2800130.88,21969448.53,12085867.69,6303557.71,2766869.17,22723728.87,11089217.15,8417823.19,2918087.81,3890909.93,-6968974.54,-7483944.12,6249183.93,11473050.55,13578972.84,7278969.52,2890286.61,5150021.62,1981140.46,-29935.98,159235.21,2133152.67,519017.06,485816.81,322944.99,2029512.83,1432237.72,402890.65,89856.33,3448890.38,2537765.30,2186291.91,630574.69,2681299.23,5606985.91,4773893.17,0.0
21,五、净利润,799244371.27,675922983.35,388920899.70,678360215.72,374287201.75,308958169.84,54830397.28,433294103.19,311244553.77,232538718.30,41055338.43,-52236341.17,191365035.82,144384910.75,64698986.85,448791860.22,124705614.73,234420812.79,72199961.90,355020858.09,131782084.34,109102264.65,53839509.65,340081809.42,130217741.53,78139054.75,37165778.38,212249640.74,88161267.76,58033190.86,32820622.86,262010041.35,107490148.00,71678869.30,40547504.74,221678694.40,123160621.14,53897549.00,33554512.94,209957136.55,127824452.50,71292639.33,33365331.55,132593289.28,77563175.90,43048963.66,21764438.04,130447868.54,81286277.18,38637640.77,13138261.18,41763873.95,16130788.86,3422177.73,-64815.85,5871264.46,1163845.20,2264083.46,-75780.02,20571420.33,4783873.51,2398352.41,-89026.43,33799960.74,17149745.69,11257826.72,2760789.62,39444689.54,28328720.44,23026023.76,0.0
22,归属于母公司所有者的净利润,803691630.63,678342155.59,397844979.33,645370439.29,360630870.29,300348340.63,57354459.11,471218989.46,289848787.48,228624105.24,42249123.57,18291370.84,205354559.25,164050300.48,71700196.96,453733512.62,160297248.20,211057577.00,70770435.24,360520485.09,133815979.45,113948511.90,56626304.76,323317900.98,131467827.71,79701637.41,39490888.73,199819678.50,86254680.99,57974306.95,32309411.25,254410470.99,106666454.70,68923420.72,40874996.95,218666875.87,120697263.20,53817585.39,35051397.33,205611275.22,123582435.42,69977434.26,33151668.77,134088844.40,81405074.74,47315116.67,24611695.23,126418103.18,78547121.37,37605234.80,13166492.47,41910035.08,16106705.57,3511399.17,191962.00,5876909.71,1412986.51,2575299.03,120751.32,22394113.84,6438802.81,2398352.41,75210.97,36324964.30,18732731.18,12226485.93,2986509.57,39602254.36,27912020.86,22736543.77,0.0
23,少数股东损益,-4447259.36,-2419172.24,-8924079.63,32989776.43,13656331.46,8609829.21,-2524061.83,-37924886.27,21395766.29,3914613.06,-1193785.14,-70527712.01,-13989523.43,-19665389.73,-7001210.11,-4941652.40,-35591633.47,23363235.79,1429526.66,-5499627.00,-2033895.11,-4846247.25,-2786795.11,16763908.44,-1250086.18,-1562582.66,-2325110.35,12429962.24,1906586.77,58883.91,511211.61,7599570.36,823693.30,2755448.58,-327492.21,3011818.53,2463357.94,79963.61,-1496884.39,4345861.33,4242017.08,1315205.07,213662.78,-1495555.12,-3841898.84,-4266153.01,-2847257.19,4029765.36,2739155.81,1032405.97,-28231.29,-146161.13,24083.29,-89221.44,-256777.85,-5645.25,-249141.31,-311215.57,-196531.34,-1822693.51,-1654929.30,0,-164237.40,-2525003.56,-1582985.49,-968659.21,-225719.95,-157564.82,416699.58,289479.99,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),1.000000,0.840000,0.640000,1.040000,0.580000,0.490000,0.090000,0.760000,0.470000,0.370000,0.070000,0.030000,0.330000,0.270000,0.120000,0.730000,0.260000,0.340000,0.110000,0.580000,0.220000,0.180000,0.090000,0.520000,0.210000,0.130000,0.060000,0.320000,0.140000,0.090000,0.050000,0.410000,0.171000,0.110500,0.065500,0.350000,0.193500,0.086300,0.078700,0.460000,0.280000,0.160000,0.110000,0.450000,0.270000,0.160000,0.130000,0.680000,0.420000,0.200000,0.092200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),1.000000,0.840000,0.640000,1.040000,0.580000,0.490000,0.090000,0.760000,0.470000,0.370000,0.070000,0.030000,0.330000,0.270000,0.120000,0.730000,0.260000,0.340000,0.110000,0.580000,0.220000,0.180000,0.090000,0.520000,0.210000,0.130000,0.060000,0.320000,0.140000,0.090000,0.050000,0.410000,0.171000,0.110500,0.065500,0.350000,0.193500,0.086300,0.078700,0.460000,0.280000,0.160000,0.110000,0.450000,0.270000,0.160000,0.130000,0.680000,0.420000,0.200000,0.092200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,6282279.57,1378359.84,-3372569.89,-51149753.86,-94299229.07,-29357602.95,17922103.84,91195506.41,69598660.98,24021579.32,32044634.12,378782.67,-25603087.64,-28137963.03,-36924874.90,101367893.42,44642597.83,79502381.10,42773197.90,11883210.22,20769918.74,-9356220.57,6349725.09,36235771.85,32881988.36,31784506.67,24054802.68,-41571401.13,-6228091.02,-18492777.63,-14634549.11,13457425.05,-8020953.83,-8815264.88,-166203.80,962295.77,-5394533.78,-14867128.45,-252654.12,1099927.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,805526650.84,677301343.19,385548329.81,627210461.86,279987972.68,279600566.89,72752501.12,524489609.60,380843214.75,256560297.62,73099972.55,-51857558.50,165761948.18,116246947.72,27774111.95,550159753.64,169348212.56,313923193.89,114973159.80,366904068.31,152552003.08,99746044.08,60189234.74,376317581.27,163099729.89,109923561.42,61220581.06,170678239.61,81933176.74,39540413.23,18186073.75,275467466.40,99469194.17,62863604.42,40381300.94,222640990.17,117766087.36,39030420.55,33301858.82,211057064.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,809440727.57,679348920.81,394580799.25,589902172.87,263562770.29,270229541.85,75147390.63,564065845.42,359320784.20,252513119.43,74293757.69,17850607.18,178851638.51,135028264.35,34775322.06,554617482.98,205041949.99,290662062.06,113543633.14,373071848.84,154739545.51,104745938.65,62976029.85,360186250.53,164907556.75,112043884.76,63545691.41,158713691.25,80026589.97,39481529.32,17674862.14,269278218.90,98645500.87,60108155.84,40708793.15,219629171.64,115302729.42,38950456.94,34798743.21,206696412.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-3914076.73,-2047577.62,-9032469.44,37308288.99,16425202.39,9371025.04,-2394889.51,-39576235.82,21522430.55,4047178.19,-1193785.14,-69708165.68,-13089690.33,-18781316.63,-7001210.11,-4457729.34,-35693737.43,23261131.83,1429526.66,-6167780.53,-2187542.43,-4999894.57,-2786795.11,16131330.74,-1807826.86,-2120323.34,-2325110.35,11964548.36,1906586.77,58883.91,511211.61,6189247.50,823693.30,2755448.58,-327492.21,3011818.53,2463357.94,79963.61,-1496884.39,4360651.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
