,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,7105943359.42,4907202460.82,3128668372.35,1403129462.12,7012943583.71,5001977644.13,3398215174.97,1609599792.75,6143781781.29,4054506750.63,2506103181.22,1192176285.18,4798571558.85,3450845995.39,2392675798.85,997431346.77,5929105971.84,4366836869.21,2954636615.20,1413072766.39,6582527007.96,4805743707.31,3129227316.92,1440083267.20,6609562076.70,4823467667.29,3196421759.45,1453653959.30,6542479738.75,4865013855.40,3356361201.44,1583088545.41,6965011407.95,5105839990.02,3435706164.91,1718248579.42,4768228803.68,3368219382.22,2177552498.12,794242963.35,3038538728.98,2340300122.82,1486624822.06,600556553.53,3272287588.77,2595647728.51,1763897691.77,805410996.14,2965004098.27,1501235534.85,936873192.44,350180393.33,1908357963.30,1300205144.24,866047352.87,399063215.34,1869448785.37,1341371965.24,898458729.81,434228858.40,1181007920.89,723921736.33,349410988.81,705906076.66,639433202.21,508491493.81,0.0
2,营业收入,7105943359.42,4907202460.82,3128668372.35,1403129462.12,7012943583.71,5001977644.13,3398215174.97,1609599792.75,6143781781.29,4054506750.63,2506103181.22,1192176285.18,4798571558.85,3450845995.39,2392675798.85,997431346.77,5929105971.84,4366836869.21,2954636615.20,1413072766.39,6582527007.96,4805743707.31,3129227316.92,1440083267.20,6609562076.70,4823467667.29,3196421759.45,1453653959.30,6542479738.75,4865013855.40,3356361201.44,1583088545.41,6965011407.95,5105839990.02,3435706164.91,1718248579.42,4768228803.68,3368219382.22,2177552498.12,794242963.35,3038538728.98,2340300122.82,1486624822.06,600556553.53,3272287588.77,2595647728.51,1763897691.77,805410996.14,2965004098.27,1501235534.85,936873192.44,350180393.33,1872841583.44,1285092250.41,856612652.66,395594273.49,1856544156.25,1332826896.65,893113809.07,431649441.55,1156082104.47,698513170.92,329152566.85,686088993.57,635362931.15,488698530.70,0.0
3,二、营业总成本,6713535443.14,4787761159.67,3106084321.55,1453944111.03,6613467457.71,4624837986.12,3052677818.01,1427355614.42,5757912398.81,3837320367.84,2412341407.44,1173458320.37,4886306624.22,3450407492.25,2387218373.98,998773875.77,6523158844.34,4688052477.26,3148850713.99,1515037729.08,6898610896.14,5002967549.58,3244073038.39,1494419639.29,6794952329.61,5003410110.93,3348626971.48,1560785903.96,6880798696.96,4938415493.09,3346580707.77,1576973882.55,6872051178.57,5013237976.32,3335042918.04,1654342437.35,4641370039.82,3233174574.79,2098544891.26,760911810.67,2957230357.77,2288104085.11,1468822793.03,612598757.07,3111641615.64,2372754706.22,1613171613.83,756245827.81,2816563790.09,1417497229.43,893683658.13,334902870.93,1832096003.50,1237338460.06,832592575.10,384779180.06,1758064734.11,1253964619.14,838324223.18,409666733.04,1098175446.62,665971777.50,316229991.34,634878006.58,561694296.41,434713038.62,0.0
4,营业成本,5762286928.02,4096059692.38,2669363303.44,1251479365.06,5554997008.58,3860033375.05,2566590224.82,1235830875.30,4677339791.55,3144315786.23,1926454013.58,937457675.10,3993084728.39,2881783531.32,2009797445.34,810771906.40,5123388037.99,3859260216.21,2592086385.39,1225964758.57,5690954588.86,4142283265.07,2674373864.73,1234736399.06,5616889463.54,4163755008.46,2802808308.38,1300710552.09,5557075749.09,3959101790.98,2711843893.47,1276256462.02,5647497104.67,4131461958.07,2762256011.32,1375603063.75,3942175014.78,2719649441.80,1758416274.91,640223691.72,2465937870.85,1943799426.39,1244556088.69,507878937.28,2634517454.67,2051293824.26,1391694191.94,654675188.64,2426965144.09,1229425556.55,772718462.83,278834642.21,1568385866.65,1044036922.74,706521389.41,328558751.05,1482941726.63,1068606651.39,718628606.72,351125542.89,921215475.84,550727077.30,259523946.66,531612342.86,474038977.75,387385173.69,0.0
5,营业税金及附加,46375002.48,33821030.75,20982805.70,10312830.49,49506047.40,37753213.58,31851503.11,10809411.36,64897292.59,43961160.94,29517897.55,13291051.35,37738061.01,16526703.35,9920159.80,1533781.50,28757211.50,18647243.71,15373966.76,7684113.47,27118628.51,16749575.51,14805099.60,6415282.96,32349125.67,22805382.31,15177978.99,5676936.22,28276973.42,17010832.57,10761779.31,6584965.60,39562063.29,25626994.95,20271452.21,10137969.55,11293529.19,5134496.53,3651310.07,1884430.95,6301190.79,5354547.05,3702102.62,1682159.76,19257814.28,17598292.97,12413258.58,6455513.95,15482726.25,7373476.06,4547180.82,1039689.64,12946593.64,9830014.53,7244757.02,3212789.90,10689636.24,9095240.63,6037267.76,3171396.74,6025955.64,3385215.27,1765803.84,4899438.76,4862152.74,4324467.82,0.0
6,销售费用,316894390.64,235294028.12,146158008.97,68812956.00,310147609.44,222545916.13,149746636.62,72940781.55,268574193.56,189361226.80,119434725.82,57992409.38,202231056.58,144770347.20,98487112.85,43908369.79,259485295.06,203441660.42,135284259.57,69081547.65,275585758.15,183539493.52,117777581.07,52536401.85,271364154.77,189872252.61,130434440.15,62835966.72,275267154.81,187227759.73,114223540.61,55287692.78,235734633.58,165175584.59,114016008.45,53527231.69,179119779.10,129297723.44,92209119.42,31787396.67,134020314.64,102328476.31,64185462.50,31202064.30,131427165.60,96421974.18,68345318.14,29371195.89,119918188.22,64939484.10,36594875.64,18575387.43,77358700.72,54617886.94,34043748.61,16639105.40,85437989.76,49043631.39,32642414.82,17200613.66,51917143.56,38311528.18,21324392.59,34668543.64,31486182.70,11266095.51,0.0
7,管理费用,259091566.07,184040168.65,136990908.95,68903519.87,268861548.27,382106019.46,260111017.47,107436484.89,429073430.25,295550353.08,206075773.64,106546753.75,374783392.90,236220646.55,153453994.64,92394570.35,620028559.64,270900414.98,178790908.38,99739553.56,375028466.43,283352389.90,177853147.01,82581749.71,367729708.16,289721384.82,189742303.65,89745253.77,388986237.98,319789177.19,207565127.82,96705148.44,452585843.78,330768410.33,201731951.62,101277356.93,289094611.18,209621069.04,130105035.08,46574317.85,217297286.11,137138545.66,86232140.45,33909326.40,151815856.51,82112758.48,56778983.65,25524642.52,142712984.51,48255518.13,30910419.58,15801076.17,88047277.85,56640511.99,37884228.41,15058860.39,92741182.12,59672707.20,37850707.28,16963941.23,71577470.19,45969066.97,24009634.54,52497486.55,41838214.10,25888641.04,0.0
8,财务费用,103854047.09,82627553.81,56875549.87,20131201.28,147734980.56,122895221.35,44628898.44,-183504.99,142948645.49,168498515.77,138289184.87,58170430.79,202810746.10,172324388.92,112898204.80,50165247.73,443761199.97,339916062.57,220977985.96,112567755.83,521277474.07,377246754.31,259471562.48,118149805.71,505315718.43,356258281.63,229466139.21,122036940.44,609615689.19,452829328.54,299729762.48,142139613.71,522196862.49,359450138.00,236012604.06,113796815.43,210183688.28,150111615.52,100180034.43,33300431.30,147234241.66,103984678.46,72648587.53,37926269.33,153484089.23,124685519.26,83472038.99,40219286.81,115455712.81,67126428.75,48912719.26,20652075.48,85357564.64,72213123.86,46898451.65,21309673.32,86254199.36,67546388.53,43165226.60,21205238.52,47439401.39,27578889.78,9606213.71,11200194.77,9468769.12,5848660.56,0.0
