,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,6077903715.74,3917834481.51,2580418763.02,1244511681.58,6655646451.69,4008861138.18,2794615792.53,1534341213.48,5893494037.93,3744267592.94,2380465109.62,1010355245.59,6322693627.11,4102141574.49,2715435662.94,1176357769.41,5518758979.90,3073141415.40,1613407478.32,716286274.45,6226241818.11,2900522585.19,1965125813.12,915225004.22,6224573653.65,2661653586.22,1196728964.26,533970533.68,4185324358.74,1616223587.05,1007925602.08,499741278.82,3705924862.21,1496454132.35,1100302027.17,444039194.55,3919346217.43,1712236929.63,708288294.33,340134189.50,1751740418.21,942745183.24,521196807.32,223388646.40,2030543562.48,960659126.52,681302011.31,323185828.85,2262535300.74,946198042.59,631958733.12,350446880.82,1414741771.04,1058213872.94,692714085.48,353300894.73,1372472821.36,598421532.37,397854159.39,215578425.97,898943294.03,601930100.90,390267256.89,200021012.22,651229328.81,463383276.13,278334468.37,139391527.59,1060897108.60,516921137.53,352576323.21,178942490.64,660115301.66,310629945.49,857791130.80,386211421.77,719690768.33,324163463.05,681568095.10,301725490.71,587032698.96,287090982.90,455748018.57,210735218.56,292132166.07,164292486.57,286718413.62,113808782.87,287263806.17,84273489.83,66378577.23,0.0
2,营业收入,6077903715.74,3917834481.51,2580418763.02,1244511681.58,6655646451.69,4008861138.18,2794615792.53,1534341213.48,5893494037.93,3744267592.94,2380465109.62,1010355245.59,6322693627.11,4102141574.49,2715435662.94,1176357769.41,5518758979.90,3073141415.40,1613407478.32,716286274.45,6226241818.11,2900522585.19,1965125813.12,915225004.22,6224573653.65,2661653586.22,1196728964.26,533970533.68,4185324358.74,1616223587.05,1007925602.08,499741278.82,3705924862.21,1496454132.35,1100302027.17,444039194.55,3919346217.43,1712236929.63,708288294.33,340134189.50,1751740418.21,942745183.24,521196807.32,223388646.40,2030543562.48,960659126.52,681302011.31,323185828.85,2262535300.74,946198042.59,631958733.12,350446880.82,1408948469.55,1055618441.89,690447271.16,351337533.33,1367353441.21,596103090.05,396432899.18,215238120.93,896067252.04,600647445.34,389339694.32,199426251.63,650302366.53,463269786.23,278249209.32,139350273.26,1060764941.66,516822337.32,352503030.17,178922408.71,659549929.88,310510370.10,856358645.16,385914458.35,719080995.53,324001585.33,680467467.29,300919328.75,586601910.57,286942664.82,450986412.69,208509405.35,286187046.72,161733447.58,282808513.35,113808782.87,286311934.67,84273489.83,66378577.23,0.0
3,二、营业总成本,5691691019.50,3716688084.54,2430979135.40,1179983097.63,6702643314.97,3880477811.53,2596144766.91,1418991454.92,6344306464.67,3699512624.33,2441063802.46,1065435677.79,6671014604.43,4225369616.43,2798466176.00,1351231273.07,5545220028.19,3263519595.25,1730494529.11,789169430.17,5975746147.29,3000839219.30,2026146480.44,936322799.11,5691435768.55,2608535729.01,1229601656.00,571943399.29,3901822694.25,1625622640.68,989362642.74,501544540.46,3243881617.62,1412893900.83,1030203665.08,445966827.05,3542790853.31,1596773496.00,689568925.17,323049995.44,1678804786.66,904759337.21,482017230.18,223002657.49,2009173169.95,949329848.76,656260376.21,303895135.60,1939764671.20,894584927.56,603432855.75,333412954.47,1280314018.86,976894488.23,626260319.37,325818075.47,1251463496.92,566385687.29,377581306.38,203173389.33,857492658.82,562294295.35,370929448.82,189522031.33,611196516.41,444582473.86,269709835.04,132867164.95,1025586351.35,494077857.14,337690090.58,172507867.56,780914648.16,298589601.03,823874026.77,371701891.82,696126442.05,309291435.22,660396774.71,287402211.32,539362644.91,0,413044005.94,0,256402977.67,0,226063195.30,62248089.40,243523066.59,0,0,0.0
4,营业成本,4968170383.57,3168938473.24,2052145559.29,980864599.66,5348442301.77,3116656809.90,2161223076.82,1201151283.29,4642370157.00,2914362828.37,1888798660.94,784856100.42,5046643527.82,3266958893.51,2137991508.18,1000848448.05,4183853544.23,2378664470.01,1168895319.23,517384242.23,4527963928.95,2090156500.10,1406571760.34,640845879.22,4346476725.57,1975395170.33,849688601.39,383266650.33,2863609273.50,1086487093.66,625974504.55,307616107.27,2320876110.15,907063036.33,640238807.45,283058807.59,2697611515.35,1136156305.40,442445139.47,198124556.67,1188459839.27,575618327.28,279475713.09,124960229.47,1502915720.15,671459672.24,476357531.74,222795475.72,1443070204.72,677989784.02,460680225.94,263062452.85,1000487152.17,817224699.21,528886655.75,279885292.74,1034699217.37,465047588.66,308418872.26,169830474.98,719372171.59,471709735.02,312601830.17,159870880.61,504648836.48,372163003.17,223778529.22,109926976.53,869741756.21,426416998.35,287072009.50,146370635.88,501202120.86,236135288.26,717365784.23,303854795.31,590498159.45,245286106.45,553233749.23,216397060.89,453233063.66,0,319087730.04,0,171894527.47,0,148619052.35,56371905.31,193474199.67,0,0,0.0
5,营业税金及附加,16074449.09,50307196.65,37110708.09,17326107.24,239980150.68,153560100.02,59410499.01,23456659.92,201643328.20,110160647.43,83693498.84,35938078.78,380802599.64,255723326.54,177624449.57,71948681.47,444862419.35,235412290.72,135332778.18,59063331.28,553193987.14,244817549.38,175187275.50,71900361.63,591092306.80,206268749.29,87492752.97,41237277.97,383610074.87,169158197.03,122964562.67,62110572.44,401991958.22,121946495.94,104358089.00,28065220.93,279841254.18,112729247.28,45730679.55,23299039.16,92598881.44,51149018.70,26335876.82,10999554.80,81739142.25,26066416.98,18001626.24,8894314.89,164289704.28,20174167.75,12685944.27,6126494.82,66563191.65,26127405.75,16870984.56,7563528.65,42348324.44,10143956.74,6912141.03,3344053.01,14432319.52,8791489.47,5746046.28,2862481.14,9753163.76,5238842.81,3336455.34,1938512.83,28588673.12,6702281.25,4488881.16,2163688.62,12986578.81,4816661.93,14953961.40,6084115.11,12699412.57,5430933.60,14860851.57,6846521.37,12142852.10,0,9421947.95,0,7002551.01,0,6246483.21,0,9140411.84,0,0,0.0
6,销售费用,75017764.88,50440112.70,34526179.66,17055214.33,111028394.18,81301161.89,54591697.48,24274958.30,139771022.81,95112553.89,63797680.24,26853473.58,321263507.26,166534017.58,106115748.45,60639153.30,203613360.04,137240479.06,89359419.62,45011042.12,189606555.07,132139101.03,85496909.77,36413041.07,170070602.38,48190415.77,25926532.35,12890563.02,142193810.08,45665384.70,23428993.21,12482473.87,205936778.74,141266731.95,117458746.15,50574931.38,258524779.69,160481669.38,94999042.31,47279204.09,187560302.96,137747893.92,84333545.14,37349689.23,175226580.12,105710062.76,71878115.16,34546668.82,150674441.11,93504268.66,62472893.39,31943585.38,96708697.01,62640164.36,33910010.96,15120417.26,63481546.45,36551896.29,23893793.28,11490310.79,41216947.95,29125263.88,18392819.77,8882109.68,42583692.69,30147385.96,16698122.45,8266925.12,53881201.87,29915942.58,20873539.98,10294977.99,64691617.66,25398222.74,23978887.02,26330122.50,26818017.16,26525589.06,22223473.61,30174641.02,16458512.78,0,24285911.45,0,25011419.07,0,26626313.78,0,6773757.08,0,0,0.0
7,管理费用,379109973.07,260268403.64,182331774.63,101082373.54,383604534.88,295853072.77,170828214.67,92862249.88,433835450.79,312514761.30,214022643.81,115745331.50,339954529.47,250116593.04,176652954.75,100522623.26,338226152.59,251765890.47,182284648.35,101812683.11,375646122.18,280767864.39,199548885.15,119151246.83,291326935.72,192328321.32,135715653.24,75766985.30,252153183.85,173780047.59,117052848.47,63189271.28,240933999.37,191451106.49,136305354.90,70040122.85,217568031.91,141509026.46,94782812.50,49052650.43,191531873.93,136578629.30,87590994.74,46377181.94,191606939.54,126441000.15,80891167.19,36088735.31,147070750.20,91983419.68,58744138.01,28462795.55,102704838.85,62404533.67,40746149.28,19888870.01,104683371.35,51338361.70,36465202.52,17359123.33,75272656.71,46754259.57,31337412.99,16583424.46,45188224.31,33114231.70,22013662.20,10716910.05,59871509.05,30900580.52,23017687.53,11201070.88,184687816.81,31877158.56,53368698.24,29868599.59,58747047.37,29188504.59,54735796.64,25097120.16,51857852.46,0,47079053.68,0,42779631.27,0,38124588.24,0,24288595.64,0,0,0.0
8,财务费用,235791601.59,175999509.02,118267995.21,60442884.89,279734292.69,219175712.35,150088085.14,77242266.63,374742578.28,267377979.31,190749189.03,102041128.15,443769057.44,286036785.76,200081515.05,117272366.99,373335302.74,260461774.65,154647673.39,65898131.43,328046520.75,253196662.43,159582107.71,67927173.00,271575063.80,186353072.30,130778116.05,58781922.67,229822004.26,149688774.38,99363400.00,55879443.18,69112874.56,50307701.85,31230085.73,13926823.87,69852977.74,45312861.35,11076849.20,4982883.67,11135782.12,2804483.75,3657777.55,3004340.63,32169101.90,19029675.61,8820576.28,1569940.86,20131688.78,10933287.45,8849654.14,3817625.87,13850139.18,8497685.24,5846518.82,3359966.81,6251037.31,3303883.90,1891297.29,1149427.22,7198563.05,5913547.41,2851339.61,1323135.44,9022599.17,3919010.22,3883065.83,2017840.42,13503211.10,142054.44,2237972.41,2477494.19,17346514.02,362269.54,14206695.88,5564259.31,7363805.50,2860301.52,15342903.66,8886867.88,5670363.91,0,13169362.82,0,9714848.85,0,6446757.72,5876184.09,9846102.36,0,0,0.0
9,研发费用,17526847.30,10734389.29,6596918.52,3224332.30,14622697.37,7087739.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,0,325230943.40,6843215.26,3193.79,4036.90,551943927.59,-16145.97,2129.60,1565.36,138581382.80,0.00,0,0,1329249.24,-25309.66,-25309.66,0.00,1289033.20,-238458.03,-240458.03,85097.36,20894134.28,0.00,0.00,0.00,30434347.69,843143.32,578333.84,266672.42,5029896.58,858828.27,612581.85,300920.43,19392294.44,584386.13,534402.14,311661.42,7518106.94,860984.26,623322.84,311661.42,25515685.99,623021.02,311359.60,0,14527882.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,-12851850.89,0,0,0,11825547.49,-47280424.00,0,0,709931216.76,-7501340.12,-7501340.12,0,251563047.40,0.00,0,0,391046535.50,0.00,0,0,217651564.55,3498010.21,8687875.26,0,27343474.13,0,0.00,0,382808805.96,303958749.41,3420876.51,0,233212491.59,0,0,0,54257601.00,0,0,0,31691306.40,0,0,0,-20316361.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
