,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,0,0.00,0,0,43604669.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,8877545.89,866614.19,866668.91,0,-1781130.49,-2310840.97,-2308481.74,0,15494531.69,12782154.55,1049716.64,0,1439828.45,-68783.04,-61287.34,2083.45,1012490.32,236745.65,286813.52,138916.92,199086.03,102617.60,321323.85,0,1587269.33,0,0,0,405928.57,0,0,0,302470.35,0,0,0,7114.12,-56761.65,793800.15,-56761.65,955445.34,262034.81,262034.81,262034.81,3202283.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,-2160837.37,490912.88,478596.49,4250752.63,3517802.56,3120248.44,2532279.88,4942744.54,6557139.13,4855823.20,3279804.35,1379439.72,609057.18,-953819.47,1207605.64,5632728.94,4013241.76,0,0,0,0,0.00,0.00,391731.55,0,0,0,753441.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,170855638.76,110923985.71,47406273.82,223838276.07,186959048.07,112684410.14,49259697.24,215059614.85,154685215.33,84747164.42,31246532.27,220078198.86,157873120.48,109787921.78,50530878.49,209159707.49,172810253.41,49832794.35,26877223.93,87320890.23,54978598.02,30528697.00,18210358.41,94790161.24,23523761.71,16649216.20,5560511.19,62914755.39,10065427.06,2137537.21,169459.80,11644438.70,10220363.00,6614039.32,1802734.90,-3359834.86,-1314399.46,-4804370.62,197035.44,7428659.21,1076911.33,-4075935.78,-1587531.19,18216904.50,19833852.32,13676535.67,8165852.55,19650098.78,14653636.16,5978524.28,2454917.89,20122534.74,14385193.17,9047465.09,5071746.37,16180162.92,15205113.09,9233286.50,8965542.86,40566459.19,31273605.77,20163752.24,10939188.38,46839851.24,34458420.53,21372610.64,44248136.22,41395785.87,0.0
16,加:营业外收入,34607175.57,463081.80,304155.45,837023.34,537301.16,392978.49,237920.14,4626258.30,10816673.00,7939898.36,2459161.49,30061446.23,28801723.22,612665.61,389943.26,9149071.43,4443751.54,4206693.56,1334804.85,4650708.69,3629391.50,3098988.41,2556984.08,24967726.39,24137234.01,23561828.51,21171932.68,11163924.86,5243768.12,4502732.76,3378678.56,4053577.88,750377.63,558358.17,29498.00,582078.30,437659.95,69624.24,36103.26,1551664.83,748546.28,712618.09,351421.83,5452592.86,6294947.97,6179282.88,48978.31,186975.92,159006.14,111759.14,24771.50,254173.87,225086.38,118724.25,23554.10,82712.38,72310.44,56289.97,10898.57,264574.22,235486.05,108183.67,8925.88,196362.67,191405.05,174772.34,274787.93,170949.59,0.0
17,减：营业外支出,273923.04,226362.46,166606.83,1352470.87,275827.48,246440.04,64308.80,7184768.21,4708874.76,3827094.48,77450.07,1024913.25,811078.22,481649.94,285996.49,294567.60,251914.97,176528.48,145156.20,872003.00,693410.82,141014.32,122022.88,1551696.10,99177.00,13790.00,12490.00,1049948.20,197489.23,180580.03,154938.21,134655.96,88352.64,59169.64,57771.64,42807077.07,65645.45,40155.01,1327.09,757479.50,68789.18,53093.88,13138.09,1610431.54,2942413.49,2989339.80,153149.57,1115669.73,196075.58,134869.65,39717.96,459975.71,423550.40,403886.01,168904.15,2758752.89,2394847.17,2382245.95,14996.95,907717.48,198454.49,181940.78,157591.00,190498.07,141830.95,50110.95,1387363.73,279202.72,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,738023.22,0,0,0,153311.52,0,0,0,170471.04,0,0,0,0,0,0,0,140497.32,0,0,0,38770.72,0,14835.55,14835.35,34135585.33,0,0,0,685965.48,0,0,0,1264759.83,0,0,0,842206.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,205188891.29,111160705.05,47543822.44,223322828.54,187220521.75,112830948.59,49433308.58,212501104.94,160793013.57,88859968.30,33628243.69,249114731.84,185863765.48,109918937.45,50634825.26,218014211.32,177002089.98,53862959.43,28066872.58,91099595.92,57914578.70,33486671.09,20645319.61,118206191.53,47561818.72,40197254.71,26719953.87,73028732.05,15111705.95,6459689.94,3393200.15,15563360.62,10882387.99,7113227.85,1774461.26,-45584833.63,-942384.96,-4774901.39,231811.61,8222844.54,1756668.43,-3416411.57,-1249247.45,22059065.82,23186386.80,16866478.75,8061681.29,18721404.97,14616566.72,5955413.77,2439971.43,19916732.90,14186729.15,8762303.33,4926396.32,13504122.41,12882576.36,6907330.52,8961444.48,39923315.93,31310637.33,20089995.13,10790523.26,46845715.84,34507994.63,21497272.03,43135560.42,41287532.74,0.0
20,减：所得税费用,40805531.78,20535342.11,7408425.20,62488142.94,42724662.51,27400947.27,13153634.57,56075721.53,41528326.12,23389069.72,8885258.54,64830002.47,38629844.14,25046984.64,9900861.89,51768781.81,41391436.84,11752653.24,6296551.07,19809736.79,13295148.62,7104592.91,2694773.54,27577252.74,8235394.05,8235394.05,5264156.00,14839552.43,0,0,0,835292.20,0,0,0,-12180079.67,344084.26,344084.26,344084.26,3359339.08,3411447.95,1936418.96,1097013.18,2665996.31,7127810.02,4767398.37,2720722.05,-711104.55,491779.85,315236.71,92258.97,2198149.67,1711145.22,1059474.20,1108439.17,3349683.19,2898579.68,2017417.17,2017417.17,8857255.04,6856760.52,4520248.91,2427867.73,10272799.87,10509756.96,6779818.71,6626035.39,6358438.63,0.0
21,五、净利润,164383359.51,90625362.94,40135397.24,160834685.60,144495859.24,85430001.32,36279674.01,156425383.41,119264687.45,65470898.58,24742985.15,184284729.37,147233921.34,84871952.81,40733963.37,166245429.51,135610653.14,42110306.19,21770321.51,71289859.13,44619430.08,26382078.18,17950546.07,90628938.79,39326424.67,31961860.66,21455797.87,58189179.62,15111705.95,6459689.94,3393200.15,14728068.42,10882387.99,7113227.85,1774461.26,-33404753.96,-1286469.22,-5118985.65,-112272.65,4863505.46,-1654779.52,-5352830.53,-2346260.63,19393069.51,16058576.78,12099080.38,5340959.24,19432509.52,14124786.87,5640177.06,2347712.46,17718583.23,12475583.93,7702829.13,3817957.15,10154439.22,9983996.68,4889913.35,6944027.31,31066060.89,24453876.81,15569746.22,8362655.53,36572915.97,23998237.67,14717453.32,36509525.03,34929094.11,0.0
22,归属于母公司所有者的净利润,160041095.59,86718895.50,38802675.14,160392854.00,144495859.24,85430001.32,36279674.01,156558045.89,119352860.02,65525512.41,24770401.43,184743226.22,147334665.89,84939197.23,40767568.14,166380400.38,135712123.89,42178276.81,21804722.24,71427615.67,44735865.97,26449984.42,17996843.75,90769234.87,39326424.67,31961860.66,21455797.87,58342756.44,15111705.95,6459689.94,3393200.15,14728068.42,10882387.99,7113227.85,1774461.26,-33404753.96,-1286469.22,-5118985.65,-112272.65,4863505.46,-1654779.52,-5352830.53,-2346260.63,19393069.51,16058576.78,12099080.38,5340959.24,19432509.52,14124786.87,5640177.06,2347712.46,17718583.23,12475583.93,7702829.13,3817957.15,10154439.22,9983996.68,4889913.35,6944027.31,31066060.89,24453876.81,15569746.22,8362655.53,36572915.97,23998237.67,14717453.32,36509525.03,34929094.11,0.0
23,少数股东损益,4342263.92,3906467.44,1332722.10,441831.60,0,0,0,-132662.48,-88172.57,-54613.83,-27416.28,-458496.85,-100744.55,-67244.42,-33604.77,-134970.87,-101470.75,-67970.62,-34400.73,-137756.54,-116435.89,-67906.24,-46297.68,-140296.08,0,0,0,-153576.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.200000,0.110000,0.050000,0.200000,0.180000,0.100000,0.040000,0.190000,0.150000,0.080000,0.030000,0.230000,0.180000,0.100000,0.050000,0.200000,0.165800,0.080000,0.041300,0.140000,0.084700,0.070000,0.044300,0.220000,0.140800,0.114393,0.076800,0.140000,0.054090,0.023120,0.012100,0.050000,0.038900,0.025500,0.006350,-0.120000,-0.004600,-0.018300,-0.000400,0.020000,-0.005900,-0.020000,-0.010000,0.070000,0.057000,0.040000,0.020000,0.070000,0.051000,0.020000,0.010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.200000,0.110000,0.050000,0.200000,0.180000,0.100000,0.040000,0.190000,0.150000,0.080000,0.030000,0.230000,0.180000,0.100000,0.050000,0.200000,0.165800,0.080000,0.041300,0.140000,0.084700,0.070000,0.044300,0.220000,0.140800,0.114393,0.076800,0.140000,0.054090,0.023120,0.012100,0.050000,0.038900,0.025500,0.006350,-0.120000,-0.004600,-0.018300,-0.000400,0.020000,-0.005900,-0.020000,-0.010000,0.070000,0.057000,0.040000,0.020000,0.070000,0.051000,0.020000,0.010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,164383359.51,90625362.94,40135397.24,160834685.60,144495859.24,85430001.32,36279674.01,156425383.41,119264687.45,65470898.58,24742985.15,184284729.37,147233921.34,84871952.81,40733963.37,166245429.51,135610653.14,42110306.19,0,71289859.13,44619430.08,26382078.18,17950546.07,0,39326424.67,31961860.66,21455797.87,58342756.44,15111705.95,0,3393200.15,14728068.42,10882387.99,7113227.85,0,-33404753.96,-1286469.22,-5118985.65,-112272.65,4863505.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,160041095.59,86718895.50,38802675.14,160392854.00,144495859.24,85430001.32,36279674.01,156558045.89,119352860.02,65525512.41,24770401.43,184743226.22,147334665.89,84939197.23,40767568.14,166380400.38,135712123.89,42178276.81,0,71427615.67,44735865.97,26449984.42,17996843.75,0,0,0,0,0,0,0,0,0,0,0,0,0,-1286469.22,-5118985.65,-112272.65,4863505.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,4342263.92,3906467.44,1332722.10,441831.60,0,0,0,-132662.48,-88172.57,-54613.83,-27416.28,-458496.85,-100744.55,-67244.42,-33604.77,-134970.87,-101470.75,-67970.62,0,-137756.54,-116435.89,-67906.24,-46297.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
