,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,8685132538.49,5679165517.27,2580588969.84,10692135480.69,8409742783.69,5329893133.23,2506607919.10,1318536288.07,937438718.21,633111906.47,337469156.05,1916603168.71,1367296887.49,1070878002.27,433378767.78,1338484248.30,1042950232.04,749318145.62,467187026.05,1640196211.89,1302846673.79,991477323.03,667963769.21,1791138476.61,1245231723.98,875333869.04,489217070.44,2768737380.38,1260622053.63,769963008.39,421557642.62,1556030206.16,1088302675.29,737508794.10,406521244.70,1376798712.48,983480430.33,656089270.53,363856819.40,1241811717.09,825239266.19,518774065.85,290338548.52,1176223122.02,832370083.23,596819940.48,314305862.34,1144263812.25,677798644.67,453349197.24,241783232.01,1197839406.62,579808339.93,403688170.70,207517585.99,854987287.64,659445330.84,436403824.68,228198676.85,846205887.67,546449315.52,394759472.08,240839226.11,690924195.33,473795816.67,332140232.70,171598858.16,578415612.31,441234480.45,294404409.56,161928503.46,631995537.82,316874012.68,745860107.85,403028305.17,941842184.28,467230156.63,762659025.08,379999011.79,670939054.42,400476100.00,499957628.26,245953348.54,433412366.78,197707573.57,403797799.45,200966208.40,472376568.54,0.0
2,营业收入,8685132538.49,5679165517.27,2580588969.84,10692135480.69,8409742783.69,5329893133.23,2506607919.10,1318536288.07,937438718.21,633111906.47,337469156.05,1916603168.71,1367296887.49,1070878002.27,433378767.78,1338484248.30,1042950232.04,749318145.62,467187026.05,1640196211.89,1302846673.79,991477323.03,667963769.21,1791138476.61,1245231723.98,875333869.04,489217070.44,2768737380.38,1260622053.63,769963008.39,421557642.62,1556030206.16,1088302675.29,737508794.10,406521244.70,1376798712.48,983480430.33,656089270.53,363856819.40,1241811717.09,825239266.19,518774065.85,290338548.52,1176223122.02,832370083.23,596819940.48,314305862.34,1144263812.25,677798644.67,453349197.24,241783232.01,1186400872.85,572158117.52,398663497.14,205137589.76,841184401.25,648700335.47,429355137.23,225796557.76,833058302.60,536724635.53,387671723.95,237198875.71,678864424.20,467198895.71,326188249.45,170816321.73,567882993.95,437298485.42,291598374.60,160594283.59,623569233.02,315174526.71,742194887.88,402046447.33,936811151.71,460262306.75,758343148.95,379569123.96,664131187.30,400184300.00,499233531.39,245892557.58,432738669.20,197607573.57,401400871.02,200724467.31,471547470.29,0.0
3,二、营业总成本,7840389079.16,5175952331.98,2356822141.12,9758868457.28,7649393066.92,4798797868.52,2281959282.49,1231301130.92,898660051.87,603356665.27,320710449.92,1863419837.22,1331346709.43,1030840014.47,423635988.28,1350226913.09,1049849305.87,747413507.51,456665112.21,1603616324.46,1223627470.35,895804017.26,552302572.01,1715039390.57,1244854976.03,844927296.77,463772662.04,2583283415.45,1215600776.37,752498394.15,406025529.03,1518681132.02,1063480306.09,715567671.00,390685166.33,1364682746.71,968640237.00,637061095.30,344494256.60,1252595075.37,813556450.95,512788725.93,283736249.00,1212960931.93,811994203.20,566772494.52,298089296.74,1031186177.73,659843931.36,438751402.13,235123064.17,1137967393.95,584223085.41,403396089.87,205920374.31,865032822.06,657055650.49,433504770.17,228868780.17,812818639.73,538502382.81,385907127.80,234623425.07,687867253.35,465753192.87,324523711.00,168780647.52,698426845.74,470357276.38,315386669.67,171111962.61,747570508.55,335577199.63,831804486.06,426752526.90,953129160.13,492665466.20,765075365.46,384566143.30,652951044.28,0,479891689.15,0,408824184.96,0,363790430.70,0,433872191.48,0.0
4,营业成本,6060166540.78,3977646646.55,1772665236.26,7463563854.33,5910218451.95,3623769062.75,1750480527.34,883415504.20,652182295.38,436139980.58,236648752.70,1460302764.04,1032007253.68,813913731.11,318989911.85,943039241.90,725353575.01,517890611.35,331995490.40,1032558416.96,793862952.30,575612662.37,370824692.77,1118559094.83,801743186.44,568880263.15,327335015.63,1977356945.17,829340706.20,507020587.50,288393601.24,1077878362.89,781239196.24,533860234.92,304267736.43,1007700800.73,723104175.65,487627608.99,276742515.50,953413363.67,619238680.33,393145405.56,223678903.56,930445247.43,621434307.46,438518069.62,238345335.15,815287358.49,520364099.58,350954945.46,193225640.08,927793158.52,463359068.67,321910310.84,168472153.12,682016996.56,529609790.24,353159567.46,190518661.18,666786629.90,441198096.78,320024111.75,199186081.97,574881468.78,391236817.48,274102348.19,145724556.26,488975989.92,374879970.33,250293405.12,138446223.55,517365757.26,269709769.64,631635594.49,341664602.25,776242462.44,402262306.75,645719135.84,332891720.35,556417074.85,0,416716492.37,0,355915847.66,0,329652686.41,0,388405084.84,0.0
5,营业税金及附加,57487330.80,40871295.57,18106252.90,77873194.87,79601081.14,58291077.54,21221769.98,41809494.10,23387731.94,15275359.30,7622229.03,87318057.43,64211529.48,57998552.60,23500466.51,44612138.22,32258408.10,23612438.21,15334129.50,78726032.36,56949350.46,47303270.34,36339574.79,75174152.48,54993609.41,30164187.90,15309384.22,126670255.30,42047427.58,22842746.66,11230148.25,43773750.60,21471013.64,14393479.81,7406489.15,32704664.55,21953876.33,13724417.06,7147632.17,34726260.06,14690050.70,7577080.46,4233568.42,29444546.40,13241209.33,10729746.89,5362938.28,17326711.18,7802714.03,4253438.67,1746499.83,27657737.39,5025552.27,3508649.21,1476104.59,9258071.03,7070830.42,3297165.15,1335960.22,11479560.83,3029242.03,2036078.34,1331219.73,6190042.25,4203166.29,3586148.63,932767.64,3119629.82,2168987.37,1616599.56,863972.78,6179813.22,1449783.38,4990811.72,2675597.60,9062113.07,3453590.99,5761035.64,2518649.89,4656864.29,0,3302794.73,0,3891934.78,0,1192286.98,0,18850526.53,0.0
6,销售费用,681521049.32,464197626.91,214723823.86,970724966.08,692768897.19,470961411.13,172796173.83,142295981.26,99993230.88,68106148.50,36161333.94,157383451.53,126851366.97,85662862.67,42821438.03,81990831.56,60459968.85,41326073.60,24157018.14,142588022.77,117735548.63,96409409.82,56618177.36,204470363.70,147367362.72,91823524.97,47071077.63,157500975.65,111618583.32,70706560.76,37377606.19,129096370.09,90123243.80,57462263.28,27984810.89,111483656.94,72770739.25,46224705.21,21640058.14,82558805.90,62368446.28,36580672.82,17809989.91,71499934.63,51778180.37,34815624.33,19348511.51,66905790.80,43099380.43,26533411.65,13903731.71,65802222.21,41203201.73,26256712.54,10478501.05,44504221.11,32715190.36,20468518.41,8963392.69,27152070.50,16925786.22,12043132.50,6968760.59,15456935.02,9201575.70,5887980.97,3069824.28,18383483.53,9321667.15,5254079.42,3800228.44,21175107.34,7560808.60,21697648.91,13198682.13,34104532.92,10489405.68,18558293.56,5827937.10,13111133.40,0,5080471.71,0,4785996.43,0,2891181.39,0,2197786.79,0.0
7,管理费用,895036463.86,584985222.91,296670101.76,1031297214.51,843779388.98,559382551.69,297095956.64,91251518.06,68402520.32,46146917.94,21908446.79,101496873.65,74358643.90,55461485.47,32527416.76,233310897.63,176253951.10,118529688.61,56071842.23,225107859.31,162270649.38,110777950.29,57173146.62,216162214.66,158210517.36,98833921.27,49005720.91,224707699.05,155688112.82,99419843.78,45953855.81,197364567.86,128665837.47,82501255.12,38379263.09,169442146.22,116806881.77,72513436.22,32896602.80,146087851.51,91828785.60,58332387.21,30284520.89,141997496.64,102400897.50,68002936.35,30281725.57,114094910.48,76907756.08,49316239.62,22459600.73,101347230.77,62778414.93,43920309.93,21335070.42,113376340.33,77481327.68,49984811.20,24577160.11,90720636.43,65261250.37,43016172.80,22478854.22,72930258.83,47364615.80,31924248.06,12781059.24,143530025.86,51799652.11,36461610.03,17432490.00,171849585.66,40593118.88,138195140.16,47154601.89,96330507.84,48965665.97,65658872.84,30849364.12,65911982.42,0,53840587.89,0,46224750.60,0,34229900.96,0,23048712.71,0.0
8,财务费用,146177694.40,108251540.04,48232855.47,170878226.15,122029426.29,76652954.62,39649720.04,71445686.46,52915341.53,35909243.62,19179687.46,53096000.48,31349044.86,15232554.53,5796755.13,47956083.90,54397273.37,41533015.12,29056488.65,121824660.72,89105245.40,60940168.11,31417779.17,102302334.78,80785167.57,54292918.40,25061508.61,93242958.32,70945753.67,46448698.49,23094487.44,70071988.94,39933798.22,25295176.21,12649866.77,40480465.56,27957618.46,13708136.50,6104344.22,32543809.73,23294599.73,14306591.06,7729266.22,37186059.84,22705491.99,14272000.78,4750786.23,16950837.79,11872067.83,7920412.38,3787591.82,15367045.06,11856847.81,7800107.35,4158545.13,15877193.03,10178511.79,6594707.95,3473605.97,16679742.07,12088007.41,8787632.41,4658508.56,18408548.47,13747017.60,9022985.15,6272440.10,44417716.61,32186999.42,21760975.54,10569047.84,31000245.07,16263719.13,34269027.66,22059043.03,36115592.64,27494496.81,29378027.58,12478471.84,12853989.32,0,951342.45,0,-1994344.51,0,-4175625.04,0,1370080.61,0.0
