,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20010630,20001231,19991231,19981231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3416030256.19,2087535591.11,1438182385.94,760226734.01,3520948298.14,3077889475.72,1873298418.25,812565327.99,3805117860.02,2802159389.94,1817038782.66,750863536.12,3689413794.69,2409062563.53,1593363819.13,698046705.58,3384159403.87,2370446752.60,1498233577.49,640424710.21,2783375754.31,1963657383.99,1194742419.33,576754352.41,1960017527.88,1485823113.75,948626181.98,454277231.18,1676204581.59,1197422381.52,737345969.41,358096318.17,1666512334.90,1019844445.44,706319928.69,330505101.79,1562143789.99,1089799190.14,713003211.19,320471793.67,1443317147.30,1060140980.90,727705125.00,337083423.27,1615328947.03,1149678687.12,739542016.52,322442659.43,1383339352.45,944797796.10,602955723.85,281005725.69,1354980136.84,864416858.92,557620898.03,260158650.16,1250769017.72,773208663.29,495477377.36,216316150.50,952395763.09,616879675.41,378489201.85,161361633.96,526170901.58,345730722.03,217546387.72,108544460.93,329036968.17,236401623.04,156794611.33,268945206.15,150757479.05,204988421.69,167204352.61,156716077.13,0.0
2,营业收入,3416030256.19,2087535591.11,1438182385.94,760226734.01,3520948298.14,3077889475.72,1873298418.25,812565327.99,3805117860.02,2802159389.94,1817038782.66,750863536.12,3689413794.69,2409062563.53,1593363819.13,698046705.58,3384159403.87,2370446752.60,1498233577.49,640424710.21,2783375754.31,1963657383.99,1194742419.33,576754352.41,1960017527.88,1485823113.75,948626181.98,454277231.18,1676204581.59,1197422381.52,737345969.41,358096318.17,1666512334.90,1019844445.44,706319928.69,330505101.79,1562143789.99,1089799190.14,713003211.19,320471793.67,1443317147.30,1060140980.90,727705125.00,337083423.27,1615328947.03,1149678687.12,739542016.52,322442659.43,1383339352.45,944797796.10,602955723.85,281005725.69,1342814562.99,862005213.84,555773762.95,259300351.30,1242393212.26,770027292.69,494099798.28,215858852.28,947475672.23,614964890.59,376985619.49,160916433.51,523701038.32,343946711.53,216753700.19,108239718.56,327580241.38,235560737.03,156163825.72,267780825.82,150265879.39,203607252.12,166884753.95,155717405.31,0.0
3,二、营业总成本,3332512136.16,2124609771.21,1469975669.16,798658701.81,4001016445.32,3072318438.39,1874265773.28,806614840.72,4043778402.01,2760465214.90,1781351730.19,730453736.83,3604481330.95,2344258258.69,1550034414.59,676231836.73,3284178319.88,2288863329.17,1440380678.43,612822124.68,2722784329.18,1919420145.04,1160722516.76,557229883.70,1913727638.23,1461576383.20,932773823.13,447309059.91,1654845548.02,1184572835.72,730936132.67,352527162.65,1647287254.98,1015517001.87,702002263.54,323976467.24,1548431511.33,1087524362.29,710459304.70,317701626.69,1428597474.52,1053490832.53,721662302.70,332275960.23,1606637980.64,1143519348.02,740685127.14,317137229.39,1364910555.33,926005384.06,594813620.89,273512062.78,1323257098.16,842273507.63,544218409.13,250237256.71,1191773243.64,745842256.74,482574613.02,206785055.87,873350218.07,562930211.81,353940808.02,149576464.67,495066308.73,320015398.03,201158378.19,100651929.73,290034332.18,209842744.23,140533180.38,233184941.56,130845470.77,180787127.31,148980238.81,143142588.14,0.0
4,营业成本,2845293734.66,1787232129.90,1219195474.96,648925406.70,3263314045.00,2617757083.24,1549652175.09,662080494.30,3263668221.57,2325678961.93,1506097727.76,601227799.85,3057797530.66,1986531460.46,1324543717.03,562449159.04,2818859424.05,1960235333.31,1235523230.04,516652819.16,2351777360.10,1660128678.22,1002370664.64,478467991.55,1645878007.03,1268317495.40,807880213.88,383619823.44,1411256098.96,1018960405.92,623250488.06,298592151.70,1404199477.96,871538286.79,603546578.76,274574539.84,1345700209.26,953358904.08,621829286.13,268797975.38,1229086650.82,916691579.20,631421446.18,281649270.51,1412192840.50,1009092806.46,656060005.03,268765007.38,1196549275.11,807672474.73,510862930.74,229724542.03,1164641752.91,748152413.05,478133174.40,220436112.93,1059496275.26,660394759.03,423959598.34,181736661.65,793005797.52,510606465.06,318076487.64,135683294.72,443385913.79,289879456.55,180781318.44,88959983.07,257956251.39,183654793.81,121543173.68,207095087.99,118068339.87,160755963.64,127015192.17,122303344.56,0.0
5,营业税金及附加,27001586.38,17050778.01,11703654.03,5134197.87,43200988.42,24334080.03,19421248.89,7225830.41,32598372.74,20120930.39,18150849.01,6282390.08,33303312.51,12981199.49,9457254.45,2847191.97,14677277.05,10212841.65,6315286.68,1674436.97,6512073.87,5672074.30,4403454.86,3027028.05,9849448.59,9194504.98,4098773.61,1600858.69,6056066.24,2503514.67,1329392.51,1799736.01,5865901.63,2400690.35,1568615.65,2197986.85,5694024.30,3888543.42,3606521.35,2685754.48,8777360.05,5094490.67,3989661.16,4336612.72,9321093.93,5031453.54,2808660.87,1362351.76,5724341.00,3608567.44,2207448.43,1909463.66,7100572.65,1976700.43,1179549.44,461289.23,4365299.94,2250569.28,1896015.29,860029.40,4052243.25,1702221.09,1092435.12,733182.16,1326922.45,1042409.73,529007.34,330468.54,1964637.84,1647763.99,1151787.64,1501512.81,1133826.70,468215.88,750782.57,229130.90,0.0
6,销售费用,59356719.06,46293889.61,37670535.95,26599079.48,89390417.13,64982233.54,45520918.13,30890484.69,104327562.95,74105763.64,49331762.60,23338292.83,97175336.98,72038648.61,41509093.89,24487822.55,72230469.31,55625829.98,31888788.25,13594488.38,66095520.34,52292390.27,30811472.54,16629758.70,54267050.02,39940982.50,24877709.89,12604129.91,47387369.18,31398677.07,22264068.37,11905538.60,45649777.79,24933362.77,17995279.96,11562787.92,38801587.79,20776790.21,10505698.02,11581715.74,30714214.90,21710093.52,9941102.77,11825922.49,28556312.39,14398717.23,8847258.36,4595035.69,25121838.04,15468373.10,9554046.02,5194723.37,24615574.96,19414794.65,13540952.29,5603554.36,15733949.96,14807292.15,10173620.78,4612760.65,11425306.23,11376362.73,7964525.70,3267032.49,6359381.52,6023283.92,2825543.97,1630928.91,4369857.59,4378545.23,2912611.09,4165145.87,2987326.88,5110012.84,3019069.19,5184642.36,0.0
7,管理费用,239073616.30,160581574.91,122567493.66,77754934.01,297848361.18,224435547.15,168317857.88,82612046.71,338349854.06,260663103.07,166354323.11,79755727.27,312039497.98,225320124.00,144122996.12,71413012.22,290120798.79,214016085.40,135584193.30,63570529.45,216300413.50,152922006.65,97643296.10,49241686.94,156019579.97,107753346.86,69895988.90,38654978.82,133567075.73,95418109.12,62693378.48,27706196.25,131701267.28,82589313.44,58392965.81,24852318.16,113374595.13,77870181.10,51058256.71,24345462.11,109727405.24,78068187.46,51892721.06,24388759.81,106726179.64,82506608.08,55308536.32,30413849.06,96383725.32,74479537.09,53429713.50,27540598.79,97737376.31,53802896.08,39486323.03,19536045.53,94298552.01,56194780.87,39588112.20,16524211.68,58289613.28,34544372.27,24019028.04,8651073.25,43947086.35,23975452.19,17722240.77,10179548.57,25060107.69,19303600.05,14103818.46,19829987.67,8150086.21,14006137.73,16995086.26,14614323.63,0.0
8,财务费用,111910492.89,91154295.27,67793279.63,36802405.54,133917747.76,103302253.98,69743812.81,25906704.23,96922655.92,62275048.31,38518244.31,22702336.20,52503187.65,47247250.74,26932846.20,13406707.90,49748709.14,40563735.78,28750658.38,21543342.43,58712824.54,40011465.55,24896723.28,9864653.27,28258747.17,22313233.82,18001482.73,10611013.20,52717200.33,38814125.16,25317761.18,12397520.74,49415156.42,34276973.25,20279219.23,9491371.90,37625511.60,29294427.28,20324026.29,8832012.73,38376771.87,29410799.04,19032531.20,7542653.78,41939455.71,32420324.46,21315253.70,9610093.65,33954014.43,25935081.71,18004738.39,9142734.93,29161821.33,18926703.42,11878409.97,4200254.66,17879166.47,12194855.41,6957266.41,3051392.49,6577257.79,4700790.66,2788331.52,1241882.05,47004.62,-905204.36,-699732.33,-448999.36,683477.67,858041.15,821789.51,593207.22,505891.11,446797.22,1200108.62,811146.69,0.0
