,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3338486786.06,2082285204.70,890744785.62,5701051765.85,3324576718.09,2192278598.55,1104724487.16,5098802144.03,3355371729.61,2286816062.97,1104216616.06,6613713691.58,4213245853.87,2690117117.13,1196201860.68,6515669221.19,4237240534.28,2775176309.64,1404993855.67,6862486669.30,3480391197.01,2112792477.68,983730126.76,5233792977.43,3873880866.11,2639185074.03,1217044434.38,5555033560.07,3908593193.52,2190583136.25,1097958052.58,6221835725.56,4388628600.81,2866465928.45,1402288719.95,8167792848.77,6271793331.25,4354741081.39,2166091641.28,7789562698.27,5778821443.70,3602112023.06,1626176930.62,7275268708.21,5599521446.04,3589496046.30,1867996928.53,8418350975.45,5711139476.66,3777987410.92,1743719015.79,7920130140.58,5351448782.41,3506976855.47,1599293877.34,7426941770.29,5096345272.52,3094285580.29,1240057710.04,6223076798.18,4237312624.51,2577409237.47,1062717817.84,5256463557.99,3864986989.33,2269342568.19,984387801.51,4515043441.23,3311587580.52,2038356002.88,860827198.80,3695075734.53,1720818598.54,3186830213.51,1110041203.08,1652968532.70,661102884.44,312311163.32,99098490.99,211382066.96,131697751.98,187025255.24,89440635.70,81811683.05,25651300.00,57852000.00,15220664.20,26322353.30,8022827.92,13877603.65,5570133.72,7485674.81,3563537.60,6212054.27,2078492.06,0.0
2,营业收入,3338486786.06,2082285204.70,890744785.62,5701051765.85,3324576718.09,2192278598.55,1104724487.16,5098802144.03,3355371729.61,2286816062.97,1104216616.06,6613713691.58,4213245853.87,2690117117.13,1196201860.68,6515669221.19,4237240534.28,2775176309.64,1404993855.67,6862486669.30,3480391197.01,2112792477.68,983730126.76,5233792977.43,3873880866.11,2639185074.03,1217044434.38,5555033560.07,3908593193.52,2190583136.25,1097958052.58,6221835725.56,4388628600.81,2866465928.45,1402288719.95,8167792848.77,6271793331.25,4354741081.39,2166091641.28,7789562698.27,5778821443.70,3602112023.06,1626176930.62,7275268708.21,5599521446.04,3589496046.30,1867996928.53,8418350975.45,5711139476.66,3777987410.92,1743719015.79,7868832326.58,5314691945.55,3489527295.04,1597989472.42,7385277951.41,5085924165.81,3090480003.82,1238391134.46,6217467773.81,4233267607.96,2576259711.05,1062571158.56,5252064701.89,3861251846.49,2267106907.21,984308785.00,4512535486.05,3309584582.75,2037394897.10,860432692.93,3692870125.54,1719090207.51,3185531699.96,1109663708.34,1652792891.02,661048112.14,296921739.59,82627476.36,187476214.63,118927060.10,175728953.65,81991230.23,78053908.78,22918900.00,52404000.00,15194608.27,26235274.38,8022827.92,13877603.65,5570133.72,7479493.90,3561076.15,6212212.54,2055161.04,0.0
3,二、营业总成本,3712040329.00,2338472383.00,1042708206.18,6062112721.46,3608021005.12,2384044523.28,1179040949.44,5940162743.45,3583010149.95,2447088440.00,1217378056.95,6582206333.06,4339962048.77,2802900157.18,1262068378.72,6410219905.70,4223596802.55,2773889278.06,1375682785.04,6563398599.14,3329201903.33,2034590742.33,968245932.57,5154329841.26,3814164978.59,2612774788.43,1204265562.51,5492710261.18,3875253314.98,2172069151.46,1094642301.34,6155873210.15,4333793069.46,2827522886.88,1395544896.99,8096340060.60,6182985326.55,4308266623.95,2136334351.65,7710063256.44,5739908152.33,3543233453.55,1613937158.35,7125564318.55,5467626920.07,3475954717.61,1811255542.03,8178490070.00,5533801523.28,3663862851.43,1686455615.25,7687582829.21,5184560292.37,3401479808.90,1551136769.64,7206030686.24,4951658959.66,3011285600.41,1199290167.41,6037570714.07,4113226040.51,2513296440.29,1028944842.86,5112654761.90,3766360511.07,2207328213.11,972957622.40,4383290742.99,3223228991.38,1972912218.65,864474994.82,3631516526.08,1657820832.74,3091407846.12,1047998202.31,1621575392.12,637824820.56,292215711.83,94899012.23,185832068.58,0,174226529.92,0,71376099.98,0,0,0,24806948.50,7482952.17,12932859.83,4890855.16,6229388.62,3454123.01,5136352.35,2244602.73,0.0
4,营业成本,2837144652.57,1775093365.56,760373911.93,4747646564.53,2804806186.76,1832433044.12,898953494.82,4225727785.99,2757828864.93,1900094247.53,951399317.34,5530668304.85,3593166306.47,2320404915.98,1036804214.48,5555814948.66,3635458782.02,2392464998.84,1202802557.88,5839382266.60,3125635500.94,1906987384.34,905593051.05,4844754549.09,3600835375.91,2466575273.04,1135162256.77,5159928000.35,3647259354.05,2019258584.32,1019513117.68,5759096571.98,4080925420.73,2652438394.87,1313463131.58,7548217866.70,5786327001.64,4042927885.08,2010771276.83,7165309320.11,5362372211.72,3284978784.85,1495949774.64,6612650663.68,5063391713.33,3226372476.31,1703442614.36,7766902856.51,5228708432.57,3444822629.25,1572570299.35,7293305999.69,4871544478.16,3178453767.64,1443902066.19,6845185386.64,4678351170.26,2818081054.31,1117813486.51,5723749361.37,3884185536.96,2371629384.91,974671958.68,4834461017.07,3548594681.10,2059164059.84,899426397.26,4059237442.66,2958881238.46,1795485208.31,764243274.78,3324956844.01,1537897296.02,2811059305.34,948256866.05,1448516005.72,581450735.30,246750255.08,62891938.06,136148470.26,0,124548341.33,0,56770883.60,0,0,0,22198141.58,6635891.01,11766979.91,4795699.04,6083619.60,2770571.32,4981216.52,2136923.57,0.0
5,营业税金及附加,27486601.94,16982479.39,8346645.58,47516951.90,30517395.56,19651849.99,8395231.25,39114084.55,25511889.90,15380612.28,7969459.35,40062004.91,15100935.18,9888942.16,5181522.02,27589675.87,16763460.40,10872242.94,5583491.92,30134837.48,12165113.44,6000732.32,2813188.84,11273700.15,7939962.44,4430414.71,2210469.35,8526096.35,6310666.15,3387271.36,1729471.42,19360202.93,10454487.69,6897284.14,3279838.62,7304768.37,3262315.16,2418647.34,1011909.96,6345317.06,4023382.63,2352674.93,1130629.33,6675060.43,4285163.69,3532130.15,512588.68,7802435.99,3268901.95,2181225.29,537697.30,3441786.87,1821136.01,1067456.41,558248.74,2115793.08,1439519.50,779507.96,403016.55,2104433.08,1431839.05,1093422.40,740483.44,6182400.19,5875497.01,3158846.47,2183483.22,8247143.82,8251068.73,6744130.08,3870358.39,8499643.49,3829626.42,5825470.47,2350882.37,1328860.63,217909.58,276911.57,164724.99,264739.17,0,312897.23,0,81663.69,0,0,0,553847.31,183789.14,240292.55,95156.12,145769.02,73245.32,155135.83,107679.16,0.0
6,销售费用,285490960.78,177817971.19,89481894.05,356113733.59,273222808.44,183857067.86,87334012.28,387248412.06,297580396.25,187776468.30,93659416.33,370713808.78,292000625.40,185883117.46,89864081.14,319141282.76,239209873.87,153012679.93,74730637.24,317860963.22,62460249.74,39339262.03,18030704.70,85541028.28,63713212.30,43361179.05,18902296.79,75453975.50,50633149.24,31860098.53,15697444.86,74324556.71,54437339.60,36108549.99,18593313.72,192151492.93,140536557.32,94789264.19,44279478.29,223842852.42,151461441.62,105458447.56,47660530.45,169520829.48,171453736.59,83474988.66,35928450.18,135291950.82,135014683.00,106292797.82,57281834.42,201972240.46,178908313.97,141652061.66,71878778.97,185690198.37,147588661.18,106811519.79,43326240.58,169889999.89,129551874.49,78524451.05,22722512.64,156987763.93,137017284.90,94680740.64,48403338.26,173239776.15,157638085.85,93750501.84,52315574.99,194602125.25,83181633.43,196888801.48,72662171.16,96879185.45,26151885.01,9565768.06,10190143.47,14445088.15,0,10594709.22,0,4816429.56,0,0,0,974190.89,311494.83,532921.18,0,0,610306.37,0,0,0.0
7,管理费用,200443400.33,129884216.57,62669389.41,284473074.22,176546491.46,239114028.85,121264168.12,516040377.66,350952872.53,236275539.49,117589464.18,437270586.62,307918498.89,197275929.50,96359208.37,391401120.84,262104423.85,170303516.81,68062642.92,286851621.35,106538594.05,68504033.45,36119729.55,152114093.42,110333189.23,72971097.18,41676892.87,192961530.02,149985830.58,101171538.99,48691791.65,213999587.32,158057090.25,108776646.38,49677103.38,254053009.88,193843856.90,127974812.81,61242229.87,226945530.84,164811689.33,109958115.42,53495885.55,242901396.49,165820494.83,117343777.02,53212804.07,195262804.88,128380505.85,83258435.30,45863559.40,151482607.14,105435734.72,68968375.39,28903631.73,138469957.98,97303835.10,69136309.86,30550529.33,124872221.96,85122445.44,55941107.73,27194985.72,102884029.96,63154185.72,41045897.30,19307361.01,106856100.73,67501587.11,55021085.74,30261358.87,70077190.32,19275914.19,51445553.90,12254701.93,40959913.79,18987646.29,15336369.37,10065903.11,15758389.45,0,16464255.42,0,7612813.43,0,0,0,3912111.18,667822.43,361647.14,0,0,0,0,0,0.0
8,财务费用,149963013.28,101727021.24,60079053.20,218143250.37,150573364.12,105234133.04,63517011.53,198280283.57,126193512.98,76447566.47,39332988.76,117041369.36,93456817.54,56751462.90,29750191.45,118213625.30,87928050.20,61200537.62,29378714.16,66928696.04,10323318.62,3965438.51,5761400.04,25665026.78,22165220.77,16083234.34,6980210.43,37415035.83,25670354.19,16725246.05,8342554.73,40474760.62,31078240.51,20129781.72,9935151.46,78168610.25,54519136.02,35118271.74,15407850.15,77473562.19,53575979.47,34576174.86,15463461.29,79539309.01,56089022.55,38644556.39,17614066.12,51978232.47,32819098.04,21694299.46,9455125.47,37380195.05,26850629.51,11338147.80,5894044.01,34569350.17,26975773.62,16477208.49,7196894.44,16954697.77,12934344.57,6108074.20,3614902.38,12139550.75,11718862.34,9278668.86,3637042.65,35710279.63,30957011.23,21911292.68,13784427.79,33380723.01,13636362.68,24423349.79,10522817.28,25018568.58,11016644.38,20286407.75,11586302.60,19215381.55,0,22306326.72,0,2094309.70,0,0,0,-2831342.46,-316045.24,31019.05,0,0,0,0,0,0.0
