,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业收入,7968795586.85,6247164542.32,3879881169.27,2275771875.87,6780105834.67,4137173805.98,2056700776.11,945476451.54,4926111998.63,3559863779.97,2114401719.76,1065593378.18,4481628728.45,3098792339.00,1751777986.92,941937603.81,6745760224.97,5009469869.28,4021557653.76,1210132183.22,3090984262.41,1846617833.57,1082820354.90,566697923.96,1767040160.70,1392391601.11,942910593.47,523540854.42,1200272711.34,867299201.78,609809077.80,262302769.45,809643896.26,677592524.50,577894071.94,374589339.97,1699940255.38,1052099898.09,510386517.42,454124713.17,1993074402.96,1370346000.53,950215925.12,405543867.21,1116090283.86,860425653.65,714108734.60,382015195.10,2548110160.87,2051227251.69,0.0
2,手续费及佣金净收入,1559389122.28,1172725903.83,811218574.90,366127285.48,1320757381.40,973660401.26,660652414.71,348515334.08,1650568226.47,1229422445.65,776717023.04,406690382.16,2455891777.14,1777119940.79,1133463614.04,568482666.08,3709178866.41,2727608355.93,1990256145.09,647207835.66,1603234237.90,945669091.31,531968041.37,307760263.42,1089200577.15,783752091.93,493805471.72,253333513.68,808418924.12,617153474.20,465803776.31,216102926.70,845086776.03,685926686.35,496243612.51,273885075.04,1387097266.32,914712105.06,598316040.79,346476928.20,1445582141.21,1045928777.89,619835894.05,272487369.11,931441046.68,763437015.53,589020561.58,322617611.16,1663863101.99,1379755440.41,0.0
3,代理买卖证券业务净收入,751094209.19,615315170.79,426843237.08,233908687.71,674919683.29,534824454.90,362145448.85,183202886.34,753804757.74,587235363.87,365265514.13,187505248.66,938036127.45,712495091.63,479422453.83,231286801.66,2400078216.02,1965985639.24,1465439334.73,483484097.16,1052197413.96,608800552.21,332829113.06,178986608.15,783149412.19,537516253.40,328541084.17,173806443.89,492514403.28,382405814.88,272626521.94,138638649.69,688064018.14,577169937.65,418703333.93,236827829.71,1109946723.35,724085330.94,494355694.41,263333879.54,1401780753.11,1018784112.02,608372954.04,271022898.21,838196991.49,685334311.38,541844138.45,312617611.16,1627419118.05,1371635440.41,0.0
4,证券承销业务净收入,330572470.77,245383896.02,179260795.35,41781335.10,226568661.11,141888459.25,90371496.39,59129206.67,320033091.06,215394990.46,116945049.51,54736943.69,668292898.18,488652805.59,299003168.23,182521530.33,537854044.09,297412295.89,230162308.00,69517654.00,227746568.76,178037131.17,103395000.00,70425000.00,120629112.31,67041950.00,47091950.00,33210150.00,198270950.00,153085750.00,136807000.00,47762000.00,41736937.89,24300694.00,19290694.00,4858000.00,145058427.13,126408427.13,71641150.00,70252450.00,13403111.41,2445183.41,0,0,81826000.00,77406000.00,40710000.00,10000000.00,29428009.02,8120000.00,0.0
5,受托客户资产管理业务净收入,163212215.34,85037262.17,57692908.61,24215584.87,168736236.47,109625269.68,79523333.13,40163575.05,208102386.88,146515177.10,100047720.33,56619593.88,347667384.97,196987317.56,114349937.13,66284118.72,186897243.07,77628421.84,54789053.22,17976849.43,115530429.66,34237891.74,19807918.04,9661307.70,54166838.71,121998893.42,81819529.16,29033004.09,34553607.28,25777904.79,16368212.63,8227205.37,46536195.93,34492614.77,23933437.23,13288023.76,60214187.20,19025375.78,9031612.62,4286431.74,2103304.57,3731873.03,0,0,0,0,0,0,0,0,0.0
6,利息净收入,-80174252.56,-129913057.02,-78980542.56,-44028411.14,78300570.72,16044766.35,31212809.33,34393432.94,-127385705.57,-91174838.90,-52807998.17,43737.36,-194775996.29,-136466991.92,-73605727.32,-40759473.69,306945178.15,295104873.66,269670718.01,74739610.96,367102328.74,252072895.93,161100536.63,64895394.54,166870824.48,129320128.04,64974788.68,32184445.39,134664912.39,94846295.17,57125406.71,27765804.62,99195548.00,73549607.02,44066912.68,21108290.80,100323538.18,76459521.74,50178162.79,23814598.75,101564553.81,70172996.37,45863712.59,21144754.72,95318011.57,69150791.56,49283941.24,24958448.52,73379331.92,51586792.34,0.0
7,其中:利息收入,1378257088.28,999383802.24,655476966.60,240407282.04,1542700655.27,1093986751.63,731853299.46,0,1545542253.30,0,770133379.32,0,1493967284.50,0,735261368.53,0,1809818340.06,0,915222118.73,0,838024415.53,0,361184900.33,0,415300938.95,0,155359965.85,0,264112693.00,0,133914175.46,0,255617201.15,0,122026485.30,0,211210324.28,0,92158875.49,0,159526750.09,0,61834347.36,0,150490032.47,0,83490481.45,0,149716251.43,0,0.0
8,利息支出,1458431340.84,1129296859.26,734457509.16,284435693.18,1464400084.55,1077941985.28,700640490.13,0,1672927958.87,0,822941377.49,0,1688743280.79,0,808867095.85,0,1502873161.91,0,645551400.72,0,470922086.79,0,200084363.70,0,248430114.47,0,90385177.17,0,129447780.61,0,76788768.75,0,156421653.15,0,77959572.62,0,110886786.10,0,41980712.70,0,57962196.28,0,15970634.77,0,55172020.90,0,34206540.21,0,76336919.51,0,0.0
9,投资收益,1170696405.25,825601712.94,462223680.71,117256971.28,1402866099.75,711831695.04,455089652.83,159645503.02,1556422958.74,1056144933.75,506882319.01,237439119.12,2138396891.10,1520612030.49,819033548.22,392361485.49,2678676098.29,2153698179.63,1768434809.57,582131940.23,887309534.38,392318808.63,187026923.46,112988603.87,618504603.06,506656126.54,378686795.70,204803509.36,150319416.79,78834361.15,17583160.31,-28182903.82,-69465502.98,14213783.06,40257158.04,55730891.74,269266563.08,88293470.38,77286099.30,138011408.03,291830456.69,184632043.62,103607308.90,18826147.43,150531452.14,83997959.05,148276639.39,61647208.68,660354406.70,463680057.92,0.0
10,其中:对联营企业和合营企业的投资收益,130347253.29,86961032.58,51732553.33,31071761.57,72902464.55,64462342.70,51142042.39,27215755.09,71943558.65,63537681.81,41361919.51,19367170.74,65088864.02,53068403.30,28362177.01,21243100.48,112589942.49,90050689.70,90950205.13,21280505.83,68235082.25,39537230.59,19947228.94,4828129.18,62722253.23,49717683.43,30599058.15,15128970.28,51224341.83,40611541.92,23965046.15,7747704.65,42877176.11,42995748.23,29011333.07,12416687.01,85191028.94,60682580.57,40828341.96,21745165.83,73899608.99,67722379.55,36632251.78,21172104.39,50357162.02,59586175.09,52871580.15,21248092.03,136986676.43,95314256.80,0.0
11,公允价值变动损益,1099753919.50,992313755.53,768647790.01,970058046.41,237695202.22,153412134.22,95327615.63,92100915.81,8180718.47,20462303.80,-10475531.59,-30244831.30,-233641620.92,-77227880.03,-133253716.56,18152934.88,33546262.31,-179221785.67,-15055152.86,-97591287.55,219197296.93,216312263.28,175396779.54,67692030.88,-118471333.67,-38246008.45,-1697621.59,29043487.56,88340658.40,62764322.50,60713124.30,41989553.40,-78653937.28,-105372682.84,-7657989.38,21421036.64,-65894375.68,-34681372.09,-220498744.38,-57777336.48,140130515.29,27980867.99,158663468.80,81599306.77,-129792665.70,-112969816.64,-112434085.89,-42471328.85,65008528.11,107701933.92,0.0
12,汇兑损益,1478464.68,670837.35,48799.87,-415912.09,-625407.62,-643990.77,-1007870.70,-777929.56,-1261603.34,-940369.73,-515858.59,-119785.92,1322524.95,540465.85,401198.74,-97612.95,1020276.60,659851.56,-14838.78,56239.09,46989.41,124189.52,129103.90,125712.88,-417365.14,-301155.79,-233311.32,-38748.23,-27673.92,88204.66,53322.74,-11490.38,-630916.71,-528805.99,-290193.13,-125386.17,-372353.48,-221956.13,-70367.60,-5292.78,-6637.37,-4493.74,6615.29,1376.67,-431927.76,-428198.98,0,0,-890225.16,0,0.0
13,其他业务收入,4189633271.10,3382429548.62,1914469207.24,865686475.12,3721684601.08,2278050623.89,814025946.08,310461562.94,1839283824.29,1345949305.40,894601766.06,451784756.76,314435152.47,14214773.82,5739069.80,3797604.00,16393543.21,11620394.17,8265972.73,3587844.83,14093875.05,40120584.90,27198970.00,13235918.37,11352854.82,11210418.84,7374470.28,4214646.66,18556473.56,13612544.10,8530287.43,4638878.93,14111929.20,9803936.90,5274571.22,2569431.92,9519616.96,7538129.13,5175326.52,3604407.45,13973373.33,41635808.40,22238925.49,11484912.51,69024366.93,57237903.13,39961678.28,15263255.59,86395017.31,48503027.10,0.0
14,二、营业支出,6691373081.59,5131788537.52,3111912626.17,1511917539.21,6530996042.67,3818214839.00,1761591327.64,780669204.40,4171203799.79,2779031183.84,1741799483.26,818509441.40,2882228889.67,1668935029.30,1010904475.49,437415098.56,3348296850.86,2128201370.73,1652485118.90,481817215.12,1709266030.62,1053744994.10,652343785.17,330515882.27,1200164426.94,856387252.30,576275364.23,309568660.31,1044876245.28,719435740.14,479882255.04,205234420.21,988001263.76,717833927.89,470183451.69,238378207.76,1015932213.43,633703196.26,383137849.34,194081407.80,802784110.50,556260563.58,333892468.24,128020058.44,599280673.90,422386996.66,295605404.68,150857516.84,869353656.86,551956056.40,0.0
15,营业税金及附加,28542736.00,22429720.03,14666943.21,7382405.87,27836518.97,20288600.61,11537599.14,5685199.80,26891746.34,23400803.04,13642524.98,6706493.25,132822994.51,112826485.69,105665783.07,70679521.41,431641558.17,322581897.79,240304417.12,83634115.35,178810879.64,104075503.57,61902202.93,31764127.88,105535363.67,73035645.59,48380325.24,25543251.06,51466317.32,39459463.29,29546095.76,12475606.15,48394785.76,39075488.37,31528124.63,17587902.50,86175917.75,51345366.87,34410813.53,24386251.90,92798852.36,65606741.91,38627981.64,15306826.56,58510427.22,45660271.04,38024067.44,19019604.74,125284798.94,99282420.19,0.0
16,管理费用,2311565293.39,1624832254.14,1098768143.14,666267362.07,2099924593.28,1402977283.56,889068538.51,447976068.66,2084689579.53,1399215160.60,835947640.84,383365783.04,2352892145.28,1519465307.48,893312178.41,376573488.90,2770247982.13,1775461014.01,1411480099.72,397808717.60,1528989788.86,937976606.59,581307994.48,297733438.07,1062899476.41,778111688.73,524200914.70,282896361.84,993380722.50,680903149.58,452253559.23,195586043.26,932392351.81,678720835.93,438674481.48,220807515.44,917011624.18,582944837.19,348800901.51,169695155.90,694704184.85,480981400.80,285592065.73,112713231.88,538927685.75,379165341.66,257699394.19,131727501.56,706993429.06,396133213.01,0.0
17,研发费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,资产减值损失,0,0,0,-17777493.74,681125085.08,115450569.85,50939942.01,26978136.26,231045482.53,14431538.84,-11593688.75,-17672625.46,120018459.62,31411889.25,11558069.40,-9988754.55,145587568.08,29720628.56,413726.18,231951.38,767786.66,-5029106.71,8847794.18,875885.53,31159863.70,5239917.98,3694124.29,385217.21,-3139525.31,-3378093.61,-3584790.63,-3586885.60,4850729.17,37603.59,-19154.42,-17210.18,12744671.50,-587007.80,-73865.70,0,15281073.29,9672420.87,9672420.87,0,1842560.93,-2438616.04,-118056.95,42967.49,37075428.86,56165731.56,0.0
19,其他业务成本,4109161447.51,3377986951.98,1924007174.68,874294254.78,3722109845.34,2279498384.98,810045247.98,300029799.68,1828576991.39,1341983681.36,903803006.19,446109790.57,276495290.26,5231346.88,368444.61,150842.80,819742.48,437830.37,286875.88,142430.79,697575.46,16721990.65,285793.58,142430.79,569723.16,0,0,743830.20,3168730.77,2451220.88,1667390.68,759656.40,2363397.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67443.05,0,374691.64,0.0
20,三、营业利润,1277422505.26,1115376004.80,767968543.10,763854336.66,249109792.00,318958966.98,295109448.47,164807247.14,754908198.84,780832596.13,372602236.50,247083936.78,1599399838.78,1429857309.70,740873511.43,504522505.25,3397463374.11,2881268498.55,2369072534.86,728314968.10,1381718231.79,792872839.47,430476569.73,236182041.69,566875733.76,536004348.81,366635229.24,213972194.11,155396466.06,147863461.64,129926822.76,57068349.24,-178357367.50,-40241403.39,107710620.25,136211132.21,684008041.95,418396701.83,127248668.08,260043305.37,1190290292.46,814085436.95,616323456.88,277523808.77,516809609.96,438038656.99,418503329.92,231157678.26,1678756504.01,1499271195.29,0.0
21,加:营业外收入,8752611.45,21541549.66,15562667.31,1287494.44,57584883.22,25861746.20,22646442.94,9764167.96,32122506.98,23500542.70,14947067.19,6935958.59,57040707.87,43126117.54,33449083.14,4752181.59,21412340.76,15648711.75,9768972.15,247637.47,15344571.73,14697703.91,8927344.97,3017246.97,12848285.31,11373754.83,2067945.81,486302.43,24860247.19,15685189.79,12485654.88,5569750.91,19098216.05,7160829.04,6288123.08,51579.58,10579519.57,9346190.17,8265340.39,548617.56,1881338.97,1209023.46,168712.95,27239.93,2159438.15,1883958.48,1790300.73,774938.53,9180740.17,6157761.53,0.0
22,减:营业外支出,10436455.75,2161167.10,698623.13,515383.36,7391615.48,3943718.84,3069081.45,1535573.91,6458135.16,3229609.76,969829.57,370660.43,3543914.16,4674165.58,4096715.47,82513.00,4428275.87,1841423.59,1118832.54,423899.96,6155524.96,3373152.06,400748.73,254133.86,1985628.75,620921.24,260337.42,66933.29,607103.80,403532.27,323396.42,159629.46,8742270.86,4891169.11,4653369.09,58660.74,8714879.74,7416460.95,1107158.01,243815.79,1957010.00,1571119.14,703244.65,89539.03,4793684.80,3089473.72,973841.31,482751.37,3247930.49,3017055.10,0.0
23,四、利润总额,1275738660.96,1134756387.36,782832587.28,764626447.74,299303059.74,340876994.34,314686809.96,173035841.19,780572570.66,801103529.07,386579474.12,253649234.94,1652896632.49,1468309261.66,770225879.10,509192173.84,3414447439.00,2895075786.71,2377722674.47,728138705.61,1390907278.56,804197391.32,439003165.97,238945154.80,577738390.32,546757182.40,368442837.63,214391563.25,179649609.45,163145119.16,142089081.22,62478470.69,-168001422.31,-37971743.46,109345374.24,136204051.05,685872681.78,420326431.05,134406850.46,260348107.14,1190214621.43,813723341.27,615788925.18,277461509.67,514175363.31,436833141.75,419319789.34,231449865.42,1684689313.69,1502411901.72,0.0
24,减:所得税,232392754.23,249984251.03,178693694.91,181997865.75,-12651504.02,59859881.26,56194805.83,33496599.49,77869582.06,134947969.47,60489265.45,56355353.16,290807126.89,282862998.01,170619196.67,105336430.83,722303083.24,628180096.83,524945585.82,175419012.09,316261174.72,196652537.77,104258854.91,58936052.82,94575688.92,99975566.70,59669557.49,27518956.88,28419242.19,20049622.48,18619785.26,13209932.83,-16996826.18,-19925844.91,20222164.89,30936668.91,158338029.00,90455678.35,23942715.25,59035476.54,277329745.48,180914194.49,139336863.33,64068585.59,104201123.38,92227781.01,75959780.66,52016100.10,570875951.64,452004828.04,0.0
25,五、净利润,1043345906.73,884772136.33,604138892.37,582628581.99,311954563.76,281017113.08,258492004.13,139539241.70,702702988.60,666155559.60,326090208.67,197293881.78,1362089505.60,1185446263.65,599606682.43,403855743.01,2692144355.76,2266895689.88,1852777088.65,552719693.52,1074646103.84,607544853.55,334744311.06,180009101.98,483162701.40,446781615.70,308773280.14,186872606.37,151230367.26,143095496.68,123469295.96,49268537.86,-151004596.13,-18045898.55,89123209.35,105267382.14,527534652.78,329870752.70,110464135.21,201312630.60,912884875.95,632809146.78,476452061.85,213392924.08,409974239.93,344605360.74,343360008.68,179433765.32,1113813362.05,1050407073.68,0.0
26,归属于母公司所有者的净利润,1007080243.05,867914612.97,589740750.22,567906600.98,301352976.41,270941359.35,248576087.92,132905501.51,666946558.98,640900585.78,310946599.50,193357411.04,1314941187.90,1159404761.59,588109937.06,400359882.54,2630058890.07,2232487040.09,1829376943.09,548682537.34,1060025355.59,602322029.04,331717288.11,178198552.44,480057377.95,444733094.52,307688100.33,186112958.18,150595137.38,142616281.43,123124511.07,49027417.80,-151553964.49,-18409606.76,88874046.37,105093415.61,527133155.88,329646692.39,110403898.09,201315346.93,912875912.84,632727289.32,476411709.69,213413230.69,409952307.03,344592438.48,343340146.07,179258428.55,1113823250.40,1050348914.09,0.0
27,少数股东损益,36265663.68,16857523.36,14398142.15,14721981.01,10601587.35,10075753.73,9915916.21,6633740.19,35756429.62,25254973.82,15143609.17,3936470.74,47148317.70,26041502.06,11496745.37,3495860.47,62085465.69,34408649.79,23400145.56,4037156.18,14620748.25,5222824.51,3027022.95,1810549.54,3105323.45,2048521.18,1085179.81,759648.19,635229.88,479215.25,344784.89,241120.06,549368.36,363708.21,249162.98,173966.53,401496.90,224060.31,60237.12,-2716.33,8963.11,81857.46,40352.16,-20306.61,21932.90,12922.26,19862.61,11287.07,-9888.35,58159.59,0.0
28,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,基本每股收益(元/股),0.430000,0.370000,0.250000,0.240000,0.130000,0.120000,0.110000,0.060000,0.280000,0.270000,0.130000,0.080000,0.580000,0.520000,0.270000,0.200000,1.340000,1.140000,0.930000,0.280000,0.540000,0.310000,0.170000,0.091000,0.490000,0.450000,0.310000,0.190200,0.200000,0.210000,0.190000,0.076700,-0.240000,-0.030000,0.140000,0.160000,0.820000,0.520000,0.170000,0.310000,1.430000,0.990000,0.750000,0.370000,0.710000,0.590000,0.590000,0.310000,2.360000,1.810000,0.0
30,稀释每股收益(元/股),0.430000,0.370000,0.250000,0.240000,0.130000,0.120000,0.110000,0.060000,0.280000,0.270000,0.130000,0.080000,0.580000,0.520000,0.270000,0.200000,1.340000,1.140000,0.930000,0.280000,0.540000,0.310000,0.170000,0.091000,0.490000,0.450000,0.310000,0.190200,0.200000,0.210000,0.190000,0.076700,-0.240000,-0.030000,0.140000,0.160000,0.820000,0.520000,0.170000,0.310000,1.430000,0.990000,0.750000,0.370000,0.710000,0.590000,0.590000,0.310000,2.360000,1.810000,0.0
31,七、其他综合收益,-33258250.47,19726741.05,8278078.41,17973861.61,-678711081.71,-545146069.57,-445565729.73,-211163093.40,-349135047.85,-203006294.50,-158775878.82,47465554.27,-51683613.41,31214809.89,-194202170.16,-191212153.09,202159612.64,-92437954.12,57693286.59,193945277.48,260312118.50,224435309.69,139188544.22,44904647.07,-55701228.50,-40433177.93,-50811505.89,-5345276.28,13104064.54,-819255.39,11020592.82,-3829154.05,-98993055.67,-50861467.38,-73561335.92,-42820799.55,-23463216.72,-62769470.03,-85717592.26,-37201443.56,60876769.16,31144736.63,24124793.98,0,0,0,0,0,0,0,0.0
32,八、综合收益总额,1010087656.26,904498877.38,612416970.78,600602443.60,-366756517.95,-264128956.49,-187073725.60,-71623851.70,353567940.75,463149265.10,167314329.85,244759436.05,1310405892.19,1216661073.54,405404512.27,212643589.92,2894303968.40,2174457735.76,1910470375.24,746664971.00,1334958222.34,831980163.24,473932855.28,224913749.05,427461472.90,406348437.77,257961774.25,181527330.09,164334431.80,142276241.29,134489888.78,45439383.81,-249997651.80,-68907365.93,15561873.43,62446582.59,504071436.06,267101282.67,24746542.95,164111187.04,973761645.11,663953883.41,500576855.83,0,0,0,0,0,0,0,0.0
33,归属于母公司所有者的综合收益总额,973297363.66,887647704.02,598025178.63,585880462.59,-391447846.05,-272889616.64,-196589049.03,-78302231.24,318565915.05,437562554.17,151710787.14,240563562.42,1264105431.85,1191350455.85,394711148.71,210142221.35,2831255056.05,2140445213.68,1885702051.29,742299738.83,1320340710.86,826767363.76,470920712.55,223103469.52,424351622.94,404299916.59,256876594.44,180767681.90,163699201.92,141797026.04,134145103.89,45198263.75,-250547020.16,-69271074.14,15312710.45,62272616.06,503669939.16,266877222.36,24702505.83,164113903.37,973752682.00,663872025.95,500536503.67,0,0,0,0,0,0,0,0.0
34,归属于少数股东的综合收益总额,36790292.60,16851173.36,14391792.15,14721981.01,24691328.10,8760660.15,9515323.43,6678379.54,35002025.70,25586710.93,15603542.71,4195873.63,46300460.34,25310617.69,10693363.56,2501368.57,63048912.35,34012522.08,24768323.95,4365232.17,14617511.48,5212799.48,3012142.73,1810279.53,3109849.96,2048521.18,1085179.81,759648.19,635229.88,479215.25,344784.89,241120.06,549368.36,363708.21,249162.98,173966.53,401496.90,224060.31,44037.12,-2716.33,8963.11,81857.46,40352.16,0,0,0,0,0,0,0,0.0
