,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,42912228077.77,27082179845.06,19652982119.90,8106065900.37,33777196692.20,19842611340.47,9889736749.76,5644419633.31,17111246826.64,13554050450.62,9185424609.98,5479906826.39,15643053237.36,12418594463.07,8787419595.71,5292775804.10,17551480428.02,14054037760.06,9511542880.25,5500399245.96,19152893460.27,14267920367.25,10038204228.66,6209143296.52,22522773896.36,19139551824.05,13437667409.64,6567835007.64,20297704083.44,14581251814.80,10252672308.33,5971367633.51,16604035743.06,13452742715.10,9196970952.09,5318720154.84,12070233754.12,8951919520.28,5670158773.43,2862504682.41,8256199697.32,6512688844.95,4496905470.74,2518114573.77,7855576932.03,6215815445.16,4344228104.72,2604650595.61,5636180726.69,4077294063.92,2743389747.04,1484145339.51,4467640489.07,3428272902.19,2489894425.14,1299743197.10,3860029130.41,2864628147.37,1909693480.93,1058389289.93,3492832565.46,2549583331.40,1723457139.57,896122106.18,2739657541.24,1836211748.34,1187029728.84,652444523.34,2659555428.64,1976369779.84,1427602963.73,1072296900.75,3271840744.69,1892218985.11,3653330922.81,1847260408.13,3600205939.84,1891391859.36,3295903861.14,1656798007.72,2727474765.39,1227104826.17,2145417000.46,1119154537.05,1803768027.56,883452900.00,1248038450.00,562664505.02,945978056.20,462262702.77,261668088.13,288394763.75,146644276.02,225075996.51,109184900.26,0.0
2,营业收入,42912228077.77,27082179845.06,19652982119.90,8106065900.37,33777196692.20,19842611340.47,9889736749.76,5644419633.31,17111246826.64,13554050450.62,9185424609.98,5479906826.39,15643053237.36,12418594463.07,8787419595.71,5292775804.10,17551480428.02,14054037760.06,9511542880.25,5500399245.96,19152893460.27,14267920367.25,10038204228.66,6209143296.52,22522773896.36,19139551824.05,13437667409.64,6567835007.64,20297704083.44,14581251814.80,10252672308.33,5971367633.51,16604035743.06,13452742715.10,9196970952.09,5318720154.84,12070233754.12,8951919520.28,5670158773.43,2862504682.41,8256199697.32,6512688844.95,4496905470.74,2518114573.77,7855576932.03,6215815445.16,4344228104.72,2604650595.61,5636180726.69,4077294063.92,2743389747.04,1484145339.51,4379295262.38,3367110268.39,2449284104.67,1282241002.25,3806199541.69,2825916057.37,1885136470.97,1047723850.22,3422135990.96,2500527301.87,1692330428.12,882427353.21,2679446772.33,1794134262.12,1158004498.12,636658972.89,2598247566.63,1934591550.11,1397669244.51,1062339414.60,3219833920.78,1867087736.21,3615991439.69,1831824381.50,3570293910.25,1876501218.06,3278749878.10,1647137779.44,2710101223.23,1219280044.09,2126994945.96,1109890612.80,1781883159.86,873874200.00,1237928060.00,559526309.61,940946803.44,461597092.97,261668088.13,288335355.00,146625959.81,225053837.86,109139544.63,0.0
3,二、营业总成本,38094681010.19,24862064757.00,17830716707.09,7752252689.60,29813074340.43,18653546833.67,9728075857.53,5463605335.32,16651264404.49,13142889187.66,8915788065.16,5215128822.78,15182019067.83,11870615438.78,8388374340.80,5056294367.39,17137073022.21,13734584524.87,9272311748.43,5328617702.98,18647573393.33,13753742429.21,9607518278.14,5923443646.90,22172947556.74,18856746156.82,13325988505.64,6450791983.82,19944395441.53,14245144552.62,10059537044.93,5843065249.00,16149625104.34,12920890007.31,8857139605.66,5157487434.30,11576669081.40,8506982440.50,5339387846.43,2681888880.91,7949210573.43,6262246894.97,4306105045.16,2414910159.07,7654995495.37,6035201892.24,4191737960.87,2488085040.40,5419185893.47,3928527978.66,2637653016.66,1426667985.46,4308594213.57,3306086509.32,2409513820.01,1250397646.08,3767992110.36,2805482371.77,1855326344.48,1018570345.02,3385944001.34,2483285902.29,1661448901.86,862652565.26,2653597396.95,1777266596.92,1149330691.89,623014292.16,2532701596.60,1899375863.85,1361747400.10,1043694037.07,3178015638.63,1848988581.43,3551112968.97,1794010582.09,3502974890.71,1834183328.13,3175869900.10,1582970591.23,2614774676.97,0,2054099497.28,0,1709151927.25,0,0,0,893736702.16,444018024.52,243926743.46,258852213.33,132414371.31,200915980.06,96706561.92,0.0
4,营业成本,31400217677.60,20646454239.65,14916976422.82,6641931851.99,25089457910.82,15850209138.37,8481117755.33,4773382483.91,14370713746.34,11607566827.68,7904420385.93,4724823585.63,13177645271.78,10465809344.64,7491111306.87,4564549962.40,15529482078.10,12538069338.72,8465625832.98,4903857451.21,17178192120.82,12736782502.71,8928386594.21,5554406207.24,20641082804.02,17729604378.89,12520331260.99,6069092939.60,18626495308.04,13343156269.03,9476989553.69,5545984166.44,14774885508.46,11961837875.45,8266977113.60,4861277223.20,10358877473.52,7662770209.88,4795091783.03,2420812835.71,7011012794.88,5579750968.92,3865005792.78,2182770337.22,6706833499.48,5352892943.05,3728382010.20,2242146082.18,4639428044.02,3382959992.62,2274947732.13,1238409412.96,3646405332.18,2814803507.69,2054912394.49,1072320355.01,3125893949.05,2335963778.60,1540444769.04,862700840.89,2795989626.28,2046041482.57,1371761793.10,715239091.92,2165976840.83,1438931178.36,921743898.01,496265758.94,2051272448.70,1523186819.78,1099751282.67,907364371.29,2743535108.65,1639223540.73,3100669929.51,1550966037.35,3099122776.60,1635416882.45,2801048870.65,1394229053.33,2301343567.64,0,1817022186.46,0,1474636528.41,0,0,0,790068288.91,394033889.29,222366593.50,251460040.76,128771442.70,194915107.86,93814153.48,0.0
5,营业税金及附加,2161624817.06,1136455982.72,819688011.20,80907709.14,1636587912.89,696915663.13,90693702.48,50176636.45,225403033.15,105052500.86,72487743.77,39105775.11,171120192.04,112101948.80,85784500.47,52554124.73,205079679.09,156124318.62,105077727.10,56468809.97,178916763.98,129988017.35,93577729.00,59124418.61,226734703.02,173534802.71,127036046.20,56279284.69,164205060.68,118659956.40,81095764.41,40580702.45,168505371.57,129791810.39,85462449.31,44798676.68,159207632.38,121901863.65,84004214.36,45087522.71,123038270.46,92646223.37,64627723.22,34351174.35,133878040.09,94069917.56,62310749.86,33610653.24,109561415.76,76907609.46,52012017.33,26838890.10,70350334.80,53220443.59,35980101.69,18846799.88,66897090.62,48299969.68,34038940.44,17499828.38,63457772.77,46734017.95,33225710.60,17083649.12,50276524.13,35597643.16,23960682.92,13038883.37,53729916.46,41875360.79,32453896.09,19891626.05,37411607.70,17912458.83,42577604.14,24140523.46,37037983.93,20113830.14,39684815.32,22465656.85,41586327.88,0,39429644.93,0,40980002.16,0,0,0,32899895.65,12593884.38,6801573.59,7392172.57,3642928.61,6000872.20,2892408.44,0.0
6,销售费用,1524357173.44,1046712849.91,682898137.87,281190912.06,1207539835.89,796493884.52,421576230.93,222420644.31,749340756.47,494380242.12,331069913.43,161615234.44,712778020.57,501087733.77,343444811.68,186194124.22,631685528.66,454219814.57,316047756.75,164260376.36,556620292.65,383955673.06,265764746.64,137807069.97,579286170.37,399864841.96,290787240.20,126150551.70,461323175.29,311354193.91,186584969.05,94010109.02,432745214.04,302125437.16,183685371.67,93712962.45,372492125.43,260171525.90,160798858.80,81105548.09,267483961.35,208898091.11,130632547.29,66264183.22,258568969.27,189207070.29,135286053.29,73351706.18,227775922.86,167729036.07,119347134.00,61507220.56,199495955.34,147487154.64,105860970.99,53461249.85,185278506.34,132874554.27,92312393.45,47795798.60,168035233.64,124477417.84,87599961.49,45424054.97,146035039.82,99576156.99,69112134.11,39694075.76,140854811.08,100580826.74,70715818.83,37372841.49,130826675.34,66707579.44,136254472.53,79395968.55,138301556.32,68688222.66,124528704.00,64607492.23,112946286.03,0,81363831.46,0,86378594.93,0,0,0,40040686.81,18001456.78,14758576.37,0,0,0,0,0.0
7,管理费用,2283304299.39,1591688182.29,1072802076.96,525383331.38,1542070130.26,1020434736.03,544887604.70,306842539.87,970758886.54,678827501.62,447206973.62,228390433.13,1000310535.41,719384642.06,476729884.75,224863615.07,571137664.12,375374324.38,254160652.53,120177224.38,505438210.26,337226795.54,216261078.26,108117445.08,507365074.09,387925226.50,269979829.40,133125070.23,484934712.44,307353750.74,203747471.94,96325785.36,510923219.12,365287566.02,227942160.03,103209755.21,514892087.12,342244785.41,208549495.50,89656456.14,379954447.87,253809802.40,164032622.37,80625223.38,350381788.95,237707444.68,162082316.31,87239156.29,304657903.14,215988059.53,138674013.17,75212707.01,316378633.04,233581485.58,177439286.49,88260735.17,318104635.72,238188996.38,154901641.20,73743358.60,305749217.54,227006606.66,145154425.38,75250304.43,256590436.53,178183100.70,117790638.27,65774661.17,241734852.82,186577421.07,125788884.55,60879936.51,230878864.04,99470677.86,233828538.31,118660426.12,190977839.34,93077420.53,189995246.27,93279549.75,153380326.93,0,107925218.11,0,105206668.20,0,0,0,37123560.25,20268610.10,0,0,0,0,0,0.0
8,财务费用,725177042.70,440753502.43,338352058.24,215941058.28,377411803.87,246193888.21,167139592.91,107644069.60,338635365.21,251003352.53,155745585.68,54344449.56,116345209.15,36921528.05,-13870499.15,21141671.38,188613116.52,176564355.38,127882668.94,77565419.00,189128797.64,144719578.86,98635499.06,52832701.99,206835576.41,161633681.07,111616352.19,58136207.64,215773787.24,157395056.13,114633322.42,58803311.67,218218844.83,160841861.12,94969338.86,45582120.84,169614573.45,118126441.85,89669115.42,42479565.71,156642088.15,120486561.83,79705599.86,49651583.20,205662929.09,157679006.82,104042260.09,48820233.05,114529690.42,82462736.91,52609689.63,22939771.90,75963958.21,56993917.82,35321066.35,17508506.17,71817928.63,50155072.84,33628600.35,16830518.55,52712151.11,39026377.27,23707011.29,9655464.82,34718555.64,24978517.71,16723338.58,8240912.92,45109567.54,47155435.47,33037517.96,18185261.73,35363382.90,25674324.57,37882064.15,20599388.61,36828752.56,16886972.35,19125562.04,8388839.07,5518168.49,0,8358616.32,0,1950133.55,0,0,0,-6395729.46,-879816.03,0,0,0,0,0,0.0
