,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19931231,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,288261745.20,249527140.11,152331830.35,43782854.58,222805922.57,170157978.72,94346227.97,39316001.82,242681410.08,189547552.61,115999575.78,45671798.81,363485808.06,270605436.25,181248000.68,76000161.71,248499724.84,197886424.10,127448585.12,43907138.65,400196109.78,337610088.17,208845403.05,65500860.21,486234543.99,370744586.99,209295764.59,74561378.97,599771392.77,475258337.59,313518816.79,116102591.37,655629693.81,478521992.36,304319227.11,113969745.17,655831637.77,479231616.03,273031736.91,104450019.05,490216507.90,392203980.31,255584742.09,85477206.56,661618584.47,545905464.81,356614225.66,157809361.18,806023905.74,591824901.29,353036503.28,144036875.11,732959511.45,559084887.02,351270441.14,146113004.63,702520615.50,577910834.88,409374955.75,160829724.95,1014654963.33,887896887.15,701959239.98,362195430.89,1260248576.78,920088996.31,586470043.30,301692741.36,990426491.11,688205660.26,410384588.61,182321291.48,664849618.54,370034776.70,515261325.96,254567010.60,542812390.90,243530344.32,476032935.73,201686334.73,355820347.25,159757402.21,267244128.12,127974633.65,209552309.66,108625279.78,198177632.39,148076102.91,64362952.00,31109448.00,0.0
2,营业收入,288261745.20,249527140.11,152331830.35,43782854.58,222805922.57,170157978.72,94346227.97,39316001.82,242681410.08,189547552.61,115999575.78,45671798.81,363485808.06,270605436.25,181248000.68,76000161.71,248499724.84,197886424.10,127448585.12,43907138.65,400196109.78,337610088.17,208845403.05,65500860.21,486234543.99,370744586.99,209295764.59,74561378.97,599771392.77,475258337.59,313518816.79,116102591.37,655629693.81,478521992.36,304319227.11,113969745.17,655831637.77,479231616.03,273031736.91,104450019.05,490216507.90,392203980.31,255584742.09,85477206.56,661618584.47,545905464.81,356614225.66,157809361.18,806023905.74,591824901.29,353036503.28,144036875.11,731263268.40,555788225.56,349921173.02,145210633.80,698070959.58,571198238.32,402958378.85,153187990.01,1003682072.44,876339367.67,695408289.52,352029692.16,1245675681.67,897519181.75,572288622.81,297040601.23,983881494.40,677219748.96,407076967.90,174038591.15,663997470.29,369767630.20,515212972.96,254518657.60,542479643.24,243357549.72,470189609.43,198875127.01,350270782.59,156694119.88,267244128.12,127974633.65,209552309.66,108625279.78,198177632.39,148076102.91,64362952.00,31109448.00,0.0
3,二、营业总成本,213435879.63,179168700.46,116208351.17,41576533.08,191732900.10,143100296.42,83838320.45,37102601.97,209885913.14,165146473.63,106156939.13,40541263.16,278183129.51,172325747.97,117842522.16,51685852.30,314709890.90,232448793.59,171268188.35,85172769.71,476662739.42,330945541.26,201718077.31,83178891.57,468810236.45,351590138.89,206726783.14,103866769.68,650261441.78,507180175.35,338337946.47,148826540.10,727645991.16,527521920.34,338979377.59,151987795.49,709521710.97,516557242.93,332441634.86,165227030.21,703031593.48,501408204.34,319988639.01,121941996.14,1180357429.23,800015189.08,482700392.72,223567163.36,1032108627.29,559763308.18,312067647.86,136751401.25,1184357387.20,542204302.64,344225146.37,178847727.31,752118994.83,566798211.37,392167477.75,171836037.32,935320980.23,786788093.07,589706508.06,308846627.59,1029477460.87,735579212.25,458836908.63,246738708.19,780037517.13,569444607.84,349750411.96,157921214.16,553738501.42,305128448.48,390929751.12,175254177.64,349530938.03,152881479.26,293310113.77,129911153.35,209299592.50,0,189370518.81,0,167639472.73,0,0,119007784.43,0,0,0.0
4,营业成本,172810638.39,143542549.89,91795624.11,30015549.08,149497947.49,107964648.44,63757324.82,28903401.39,150394559.47,114624588.33,71715114.81,25672580.24,127915537.10,96067103.87,66058192.58,29681790.48,176473604.94,133014977.75,101487594.11,50414509.83,302483305.61,235056943.02,140349932.57,56600967.84,335666525.84,250913145.87,149381446.86,72326860.95,490543882.17,377311320.84,247426444.57,106558474.50,558745691.88,398340532.33,249762243.03,105497382.02,512273322.96,377492038.13,232869493.43,102345500.19,416787304.68,305340418.63,197574478.30,73412485.52,455759618.24,366712895.83,246694940.75,118521916.38,561161406.22,383591419.73,235835282.82,104876918.33,510035373.87,320704168.50,216334549.84,113676589.72,536561427.93,419142624.17,298765467.97,135631081.77,734089633.21,615672930.44,487170555.08,257380860.56,840097486.38,599735872.88,359647827.73,200485042.06,619534482.71,450903313.00,273087704.51,121899165.83,426546750.55,235267878.44,295543841.82,146766263.13,285980554.78,133895999.66,249447799.15,106601418.25,181316870.37,0,163953086.67,0,141974914.14,0,0,119007784.43,0,0,0.0
5,营业税金及附加,8811127.89,7544789.06,4583859.87,1355401.26,7157036.30,5832539.99,3324137.34,1191186.87,8863273.90,7158603.93,4473829.29,1857439.90,13255969.14,8794628.41,5908949.67,2473464.93,7630835.45,6355160.48,3428756.56,798140.04,9684363.00,8650552.79,5789826.73,1563846.67,12859652.05,10227332.00,5693572.43,1075164.66,13136936.35,11522415.92,7629618.11,2403783.35,12360880.87,9280649.73,6298355.71,1642093.97,9385162.10,7044839.27,4097788.84,1226286.28,20471605.36,12167330.69,4512370.66,1390834.27,11894407.99,9920905.36,6527799.44,2793400.89,18196619.83,9741391.16,7556738.83,1817892.45,13142542.78,8966891.07,5718074.25,2515829.03,15256283.46,12362437.33,9126924.20,3004092.45,25766459.26,22151281.94,18369728.53,9399171.40,37521869.45,27462506.29,19031231.71,9916836.35,33368712.06,21145085.39,13079066.75,5474437.41,23305723.87,14365709.64,17276247.30,7660675.67,28921966.83,5553363.24,10361628.43,4281708.08,6274420.86,0,6927225.52,0,5315005.81,0,0,0,0,0,0.0
6,销售费用,0,0,0,0,0,0,0,0,0,0,0,0,1448520.29,1261245.80,1261245.80,604329.77,3035422.38,2216262.36,1445295.56,741226.98,1665701.54,2343091.09,0,0,0,0,0,0,2665245.92,1993420.74,1373510.51,598823.90,1974864.65,1362531.43,948530.35,500020.17,2705228.30,2110879.36,1202213.44,549073.16,2091745.50,1496621.41,963939.50,379651.02,2335545.43,1607099.14,1075129.44,509672.13,3584444.75,2390455.79,1569916.33,1256971.73,4846347.07,3284555.44,1991999.06,707277.49,2766684.36,2754027.74,2023682.25,1148860.47,6042400.80,4954074.16,3589257.07,2065460.18,6984115.54,5240614.80,3369601.67,1890278.74,6618037.49,5369822.16,4060313.85,2121958.02,4937476.36,2210419.14,3152607.13,3157428.04,5046854.44,2414562.15,4184148.25,2321136.86,3005465.79,0,2762353.61,0,2869791.16,0,0,0,0,0,0.0
7,管理费用,34548859.51,30078880.57,20900467.23,10559896.91,38281957.18,32584609.76,19653638.16,9245612.18,68360592.33,42170908.74,29087341.55,11190385.13,100527381.49,61288828.09,41393546.62,16685219.56,88543854.48,69568937.05,49948970.28,26070350.64,79504575.33,59795854.67,38164026.30,16349743.89,79848323.44,59454172.27,30567882.46,19429228.58,69732981.80,54290931.46,36584444.52,18162266.76,57635032.94,51894009.08,35849693.81,22043837.30,62466663.37,47702134.66,35554606.18,23729134.96,78567214.73,55888597.16,34907536.81,20004518.15,127509530.70,87612110.35,59009060.87,22710797.48,53917409.31,26819924.83,10279128.25,-9436745.63,333384448.90,48598114.35,30718339.20,14358535.56,87261829.17,65256563.45,54168022.72,15514488.14,60488659.11,55150771.95,28139907.88,15564535.84,69314348.05,49667245.90,36857196.42,16250163.28,61198107.45,48746470.92,29940514.48,14567637.53,59755895.69,32497270.35,51950580.33,10051617.85,27692499.85,13674484.47,25655205.67,12498837.07,19559332.09,0,17748170.15,0,20079584.24,0,0,0,0,0,0.0
8,财务费用,-2734746.16,-1997519.06,-1071600.04,-523187.48,-2433082.70,-1954907.66,-1484029.88,-850167.64,-16751281.00,1794813.10,2091239.11,1783117.55,12801035.04,10650618.39,7772497.82,4318662.52,26237470.44,21136181.27,14458908.90,7212370.75,33566506.96,25190517.86,17226021.59,8696940.02,41059741.90,31927787.03,21895407.38,11063420.44,76383672.74,64348004.44,44330125.45,21524872.22,87736252.80,66084540.40,44035962.87,22364898.39,105737442.46,84096689.17,59881703.59,37525035.62,199363680.98,148439025.09,110076876.38,56200226.38,334462829.22,278285653.10,208287473.19,90664430.46,326433524.19,229482641.33,149089525.73,77391443.88,322948674.58,160650573.28,89462184.02,47589495.51,110272769.91,67282558.68,28083380.61,16537514.49,108933827.85,88859034.58,52437059.50,24436599.61,75559641.45,53472972.38,39931051.10,18196387.76,59318177.42,43279916.37,29582812.37,13858015.37,39192654.95,20787170.91,22969216.40,7607361.53,1844137.13,-2656930.26,3661332.27,4208053.09,-856496.61,0,-2020317.14,0,-2599822.62,0,0,0,0,0,0.0
