,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,23136187919.43,16346504849.47,9772994736.07,4607668459.17,16910307369.13,11198126334.39,7638195344.24,2964141175.43,16691101409.65,12269831047.18,8537329508.52,4108580064.11,21457070448.01,17386884266.74,11796918629.17,5852266473.25,27763846309.46,21875888564.68,14241074249.16,6741818987.54,28323665892.27,20739033124.51,13823020513.36,5949585535.48,22198153818.17,15002953977.05,7798366310.20,3807915297.54,24276483662.97,18850678797.03,13142486097.89,6237684201.13,28699373976.51,20882937685.10,14444824842.28,6767079506.41,29855368783.49,20962635701.14,13037780245.47,5632498844.76,25237536170.71,19026409372.09,12619467045.12,5458768621.93,27655900291.87,18389251661.82,10749332009.38,3983511721.35,17876152039.42,12964339886.06,1345635492.44,698942183.07,2262614483.41,1606905664.37,1027518498.51,521445229.89,1426448555.76,1026479578.91,690426641.35,350222795.74,1155323875.06,863021790.22,503823516.12,208136837.07,964243149.70,589065981.64,382449162.68,176978528.68,868202075.13,574404250.62,390508167.35,193476203.14,802838473.52,522081286.18,313735109.05,724052291.45,197680293.72,549276072.10,188029727.80,721539235.38,211839540.21,815399340.30,534424796.56,467881187.46,0.0
2,营业收入,23136187919.43,16346504849.47,9772994736.07,4607668459.17,16910307369.13,11198126334.39,7638195344.24,2964141175.43,16691101409.65,12269831047.18,8537329508.52,4108580064.11,21457070448.01,17386884266.74,11796918629.17,5852266473.25,27763846309.46,21875888564.68,14241074249.16,6741818987.54,28323665892.27,20739033124.51,13823020513.36,5949585535.48,22198153818.17,15002953977.05,7798366310.20,3807915297.54,24276483662.97,18850678797.03,13142486097.89,6237684201.13,28699373976.51,20882937685.10,14444824842.28,6767079506.41,29855368783.49,20962635701.14,13037780245.47,5632498844.76,25237536170.71,19026409372.09,12619467045.12,5458768621.93,27655900291.87,18389251661.82,10749332009.38,3983511721.35,17876152039.42,12964339886.06,1345635492.44,698942183.07,2258599960.05,1604728089.74,1026413149.92,520526941.70,1423284248.36,1024646076.53,689225804.23,349957213.73,1151747404.20,860183048.74,501702065.14,206678164.61,957789911.44,585641987.24,380717294.94,176621679.65,866287162.60,573051297.15,388355860.01,191764045.35,800317422.75,520273952.23,312418972.97,722811838.45,197258262.42,548002669.17,187488954.28,719061067.46,210776626.44,813812649.24,532803264.70,466673471.66,0.0
3,二、营业总成本,22739211195.96,16265248966.19,9769744801.89,4700253863.91,17109509162.91,11441839505.91,7903735075.34,3296023801.51,19919862701.25,13083136645.96,8811246351.46,4273348520.88,24157843023.84,18015641845.68,11903437912.33,5726976439.15,28184013196.26,21927643392.87,14192932465.98,6670782955.61,28537889533.54,20749098031.45,13720909027.35,5957737065.38,22625596538.89,15438054468.59,7767667519.74,3752311958.81,24136053574.59,18052270548.21,12452696921.31,5894950361.98,25870456771.04,18582644375.94,12905694453.18,5915145320.32,26726221360.29,18329796866.39,11224698949.46,4775720736.32,22558929830.28,16670358224.42,11155194538.47,4695644720.68,22991745852.27,14537287976.89,8332700463.71,2755551392.82,13715536855.35,9629201258.32,1112339593.62,581336696.39,1955631042.46,1436793024.45,903093245.20,452293974.38,1268166614.25,930886758.38,627703534.72,322651007.94,1067370595.62,811490051.73,476017668.76,200885252.20,919111359.94,580542230.29,378692240.98,173633992.18,847724632.86,568043324.25,386786790.00,191964591.63,793060566.72,518132412.06,311315012.62,771109376.77,222470703.97,579329726.96,186924964.87,668187272.37,196508461.67,749324885.37,476550835.99,432403069.16,0.0
4,营业成本,20689944204.82,15008998643.46,8977955075.77,4247356784.08,14657444343.34,9988347175.26,6790352266.50,2660443756.23,13743481328.88,10568751385.92,7385570636.14,3674731135.96,17650537153.32,15709883320.03,10535052858.09,5266653550.03,25405573458.90,20501691559.15,13344910318.67,6304119668.05,25544034967.23,19151264725.23,12649876046.26,5490977942.92,19633358043.78,13472639743.49,6738518208.17,3345929172.36,21120480757.04,16426429065.46,11196940812.53,5660216579.31,22749263813.65,16690261867.02,11389068278.77,5594255738.81,23928126810.27,17348625907.78,10690266755.81,4573550251.37,21567554200.12,16225223925.18,10855412105.90,4584142079.31,21843367932.41,14146558649.98,8154033471.67,2799503079.95,12899913102.16,9339451575.65,1033833254.59,538656562.11,1805592035.03,1344630227.52,845325270.51,423780428.74,1166169775.30,868835697.31,590623461.61,297578893.54,976588482.21,757857299.80,440731002.91,184907175.09,848619851.45,530178175.74,345552004.50,159384066.56,764095693.29,507036922.58,349130313.28,172538227.31,710870315.84,464049039.51,274168942.02,655313785.41,193399319.14,499481574.83,154975879.33,605607300.24,167379437.30,701523900.52,447751483.48,407964786.36,0.0
5,营业税金及附加,60585757.82,40289145.09,27899269.33,11458980.81,119909077.21,88609850.01,76602769.93,17590205.54,94336133.23,60439169.26,38488020.32,10009567.09,97746914.26,44321221.89,30705821.05,18937446.99,60899527.98,42573164.27,29510564.88,14831742.99,64686803.88,48993943.62,37621965.99,17135216.77,40062254.52,26100684.05,19987581.54,12812117.59,41254934.51,29112222.96,19718583.53,7184127.69,42079247.42,33461790.15,18639700.14,11970887.05,70546364.70,45268878.68,25440681.33,10184400.70,62184765.15,37551073.28,24025498.85,6532492.16,59499838.03,32052636.31,21643968.23,9978333.53,53185985.59,23184019.69,14027496.35,7364285.82,20793295.17,15693772.34,10558381.04,5569229.23,12066608.50,8966322.15,6440062.43,3486663.04,10232330.37,7751825.16,4647213.77,1821299.44,7966074.52,4927885.81,3419850.64,1371124.74,8267578.95,5762117.33,3860051.23,1975126.06,5231122.02,2603474.80,1728853.00,4092572.25,795077.04,2983211.20,240321.30,808428.01,293708.18,5344841.79,2792935.75,2663843.31,0.0
6,销售费用,198752129.63,199824257.64,88145412.07,30855739.92,121369550.19,110791629.48,73865673.32,4153547.51,88402966.27,172686211.01,119967240.51,77792160.55,204713964.43,145488561.02,90740987.10,23162315.98,170223943.00,103732313.72,66313879.72,20283910.02,118791868.62,104790031.28,64779283.19,-3216917.64,55873483.75,34836486.87,33951010.92,23319955.84,98435399.33,146439748.01,100155397.42,35903996.34,157620813.69,251969819.96,151364642.48,87545561.51,228140673.04,239525968.65,142991140.59,61053563.97,265455502.49,282440645.37,173473231.11,76298352.14,295640991.60,155164493.70,91814264.10,47214196.16,201058066.60,37088828.71,0,0,151000.00,151000.00,151000.00,151000.00,84245.00,54300.00,800.00,0,30920.00,30920.00,30920.00,19620.00,65580.00,34580.00,7580.00,7580.00,112970.75,64710.75,46410.75,46410.75,86550.53,52574.60,47774.18,111543.38,99451.88,603743.16,351559.68,1050028.23,347825.37,427021.94,373249.07,506022.39,0.0
7,管理费用,932896072.92,663476444.36,417616589.30,193522017.28,991912538.49,637064353.21,706592526.63,352549901.67,2073821161.82,1189426120.11,730533873.87,313274846.43,1987244467.21,1184173199.71,794192670.94,372517295.48,2111019754.27,1223454837.45,782781152.76,355570697.71,2154596994.02,1337127537.17,862978630.69,379950722.85,1795835915.87,1274283968.17,677478245.24,345188190.15,1430605622.76,948970072.66,600425040.38,246833307.83,1528912505.34,964832263.00,614036299.96,246984260.01,1611977003.47,879915259.66,546244047.23,233548889.36,1242305121.92,724617773.92,474871390.61,228061052.42,1165968779.72,734739534.49,449142496.28,161148185.70,758787546.93,409048937.28,74115697.34,38233093.25,145246202.63,85301363.19,53932950.15,24221638.75,99141741.24,58251727.49,36030167.44,22766339.31,83003586.62,46751231.26,30008102.26,13575766.47,59695377.09,42144327.15,27010683.36,11361888.94,63196941.71,45716911.28,27024537.72,14087644.96,59997027.52,37839029.54,26326308.61,99886306.71,20012220.66,49383580.26,21632642.20,40456589.73,16625977.72,21420179.41,17864154.87,12018689.68,0.0
8,财务费用,-200180114.60,-217137951.55,-89515005.37,41543814.47,-72372241.39,-111157551.09,71598936.86,352681970.00,1227337518.93,959946664.71,516828221.66,192590045.27,461296008.33,403854671.85,192342723.38,61234012.88,141759982.33,105017284.18,-4556250.88,-26721896.24,-50516786.05,103943555.72,110656676.08,77784336.11,-114181893.30,47147827.60,50855910.05,28800309.45,-437292659.08,-308017434.56,-224278691.06,-57380641.03,-476466761.20,-358355645.90,-188725510.82,-99158011.49,-592500758.91,-460167512.14,-317618030.83,-102828764.10,-629082817.39,-600019046.26,-406476777.63,-230021609.69,-845539737.83,-666462350.99,-496533595.84,-261212305.83,-315478746.31,-177542803.37,-9064638.83,-2482951.16,-16151490.37,-8983338.60,-6874356.50,-1428322.34,-9295755.79,-5221288.57,-5390956.76,-1180887.95,-2484723.58,-901224.49,600429.82,561391.20,2764476.88,3257261.59,2702122.48,1509331.94,12051448.16,9462662.31,6725477.02,3317182.55,16875550.81,13588293.61,9043134.81,19722279.12,11156042.64,18988864.78,9724562.36,20264926.16,11861513.10,20608941.71,7769012.82,9249727.42,0.0
