,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990331,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1729708056.47,1083070419.18,410524635.16,2420302582.38,1775746455.17,1056611721.20,402020977.86,2150841213.13,1598021309.43,993033023.27,363106187.47,2092172271.84,1559940587.03,1020924593.61,434100499.53,2049556352.03,1502246179.31,952584219.07,368661201.11,2265201877.00,1686061205.60,1073611563.34,439893992.65,2342008104.40,1743007176.84,1122767097.09,494033010.10,2828923978.13,2216953810.83,1518845858.18,744824143.36,3872874298.63,2933057243.70,1929649364.51,873715045.74,3106315615.90,2207744789.35,1374921053.41,679506735.28,2588934101.02,1860179535.92,1161029315.62,570397294.69,3304130068.21,2448660438.46,1694175306.15,693941066.52,3059113949.34,2122468233.70,1300774190.23,504758232.94,2450785545.16,1862835484.34,1236367422.02,568875849.21,2519599193.45,1807683163.79,1144075993.98,539993625.07,2074587653.17,1348629037.97,871710019.89,417178967.70,1465560899.08,1016312717.01,672527275.92,261407147.32,932788383.94,627863466.22,388725227.62,183010012.52,809125463.34,360662690.25,511906109.17,277283636.62,523544549.66,114130630.48,540500104.81,503916400.91,355148013.01,0.0
2,营业收入,1729708056.47,1083070419.18,410524635.16,2420302582.38,1775746455.17,1056611721.20,402020977.86,2150841213.13,1598021309.43,993033023.27,363106187.47,2092172271.84,1559940587.03,1020924593.61,434100499.53,2049556352.03,1502246179.31,952584219.07,368661201.11,2265201877.00,1686061205.60,1073611563.34,439893992.65,2342008104.40,1743007176.84,1122767097.09,494033010.10,2828923978.13,2216953810.83,1518845858.18,744824143.36,3872874298.63,2933057243.70,1929649364.51,873715045.74,3106315615.90,2207744789.35,1374921053.41,679506735.28,2588934101.02,1860179535.92,1161029315.62,570397294.69,3304130068.21,2448660438.46,1694175306.15,693941066.52,3059113949.34,2122468233.70,1300774190.23,504758232.94,2427069118.90,1844063785.78,1224834301.04,561460065.18,2500296031.56,1797208425.87,1137544735.61,537858015.96,2073833524.40,1346780476.61,873436268.05,415622378.54,1458778144.16,1008392081.73,667295531.09,259273808.48,925470808.40,621910099.42,382831994.23,181410766.38,804157342.63,360097508.29,511728606.18,277068477.92,521844563.66,113451415.77,538309388.01,503745521.29,355148013.01,0.0
3,二、营业总成本,1609106739.80,1017484283.98,411931517.76,2251517219.26,1646309490.32,1003051847.21,416644674.81,2038031929.27,1486327313.83,943584567.85,361586284.55,1908336153.32,1392378424.31,919274558.06,392322072.08,1933764671.59,1422279807.49,914529928.52,361731766.07,2163582631.88,1618638984.45,1029629829.34,429284571.75,2203914683.47,1660812184.24,1074038194.45,478668791.10,4209451439.94,2337204150.92,1625208624.03,786970538.50,3863453461.25,2888152663.34,1873428997.72,836978740.32,3022380989.81,2158337892.42,1321197520.26,647684699.30,2448774592.06,1746944909.13,1088850590.03,530031893.96,3214929515.45,2316199853.93,1596594148.20,653369212.74,2879673491.02,2009190277.77,1225352463.42,475637593.54,2349712859.11,1771010164.07,1168204183.78,523262685.93,2489490230.74,1803763185.99,1126719741.01,526471476.13,1998610107.24,1259079730.98,786108354.33,341633983.87,1306115036.34,865424962.73,554650396.14,210448332.72,756970576.75,498712252.51,298368748.03,137696291.73,652060581.29,271553547.33,367523154.39,179617007.19,388244481.42,86978743.85,421998178.38,420775130.50,296278237.12,0.0
4,营业成本,1347876839.79,842568076.19,325024146.74,1900498546.38,1384115730.35,834438245.74,325185751.76,1664103372.12,1218580901.07,767913767.52,288370971.72,1558766124.81,1131707399.98,744049838.19,307439387.37,1592904960.21,1175880750.74,750971391.45,292218214.99,1808713379.38,1359582249.89,865008932.70,357930633.33,1893435888.56,1413146907.87,918104601.09,410148629.04,2497611696.84,2001577754.40,1408733272.58,689705395.04,3429171692.65,2574029293.59,1682877334.78,746102135.07,2645130937.94,1879277914.94,1156903371.02,568147931.71,2158360174.25,1534278978.15,949539560.49,467623196.23,2833430622.08,2074073592.44,1443885866.00,575448397.91,2568753085.54,1786765788.93,1090529211.97,413329733.02,2070830001.43,1567502269.08,1040115106.10,477438422.74,2224881471.27,1601140443.60,1002844941.99,467123153.60,1801910332.67,1130123686.12,701115409.35,309530412.60,1172046727.08,773684133.12,492017147.41,177503469.77,639311968.90,432213283.29,259911441.41,118827192.95,554921776.73,227078209.52,326371353.23,166123645.13,341546139.16,72658048.65,341093122.64,327113008.58,246678732.92,0.0
5,营业税金及附加,16757495.64,10568318.91,4785023.62,27611101.34,18069256.56,10986696.13,5480475.94,24498373.01,17664155.84,11112488.35,3868649.77,30014640.01,15254184.38,9664033.13,4376821.02,16779343.61,11507619.10,6235468.55,2122075.08,21294587.98,15785463.32,10606287.12,3867124.61,23883707.31,18316565.85,12848972.24,4266097.93,19115260.99,15119224.59,10464845.38,4804944.84,20852210.42,6411160.38,4573779.29,2605253.91,16389514.25,11194482.62,8478653.08,3640312.44,17939283.09,14105902.80,9953666.96,4680676.81,21512083.12,15122070.03,10874619.17,5170045.96,20348177.24,13578489.36,7264773.17,2381832.11,13889982.91,10779284.99,6764112.81,3353547.04,13313354.60,10816273.72,7372133.57,3135049.23,12521274.94,8744218.20,6011613.05,2926438.85,10357446.86,6991285.09,4724443.36,2171628.70,8744894.51,6100884.15,3796828.97,1658577.00,9341183.78,3311154.05,4646370.86,2628226.88,4356039.68,1285970.89,5490808.37,5845912.53,2788116.01,0.0
6,销售费用,12342583.52,9120255.31,3503394.03,20908532.36,11118866.27,8480311.27,1183141.12,18550262.06,11305411.53,8442339.00,1638946.61,22331269.53,13779287.80,10703658.95,4796013.19,21013333.33,10539845.34,7003815.58,2707932.71,18613332.15,12595779.54,7421671.38,1630235.70,19667730.15,11801555.10,6697126.72,3998877.87,33958287.12,22255106.42,15559660.23,7410239.97,41727710.31,29922186.01,19862275.81,9625749.24,48172242.83,31870459.43,14313064.31,7247567.89,37909552.03,19552995.90,10855437.06,6200358.01,56711171.32,38241969.18,23173815.22,7502662.01,58258263.09,40667533.74,24843777.61,12447097.26,68048539.95,53007097.59,29208960.22,10039831.05,64269124.22,43577011.90,22126718.13,12505762.26,54335031.57,21822731.05,14728860.33,4606405.85,28659457.09,17616730.43,11136331.88,6078427.36,14024242.39,10666176.01,6257946.94,2018028.42,21686706.76,9022015.10,15184319.09,6970103.49,21322443.93,4458010.31,30069916.63,26711058.78,18983142.72,0.0
7,管理费用,145450627.86,95876214.88,40787069.57,194701850.04,143629022.17,88540158.26,38411569.06,195591633.85,136082253.89,84567149.71,39674832.10,188108207.09,142289858.54,90548665.83,40925161.34,201047055.98,145672519.00,94406903.43,44014103.53,191836101.73,134900346.50,82507439.10,36131240.94,180719660.48,131790197.94,80383496.57,32993754.47,327662213.98,201654244.10,125206718.28,51310324.80,225293522.24,166365763.85,105320919.04,53772289.15,216143515.81,159069799.35,85538193.30,40334290.79,158182393.67,115819641.38,70306511.61,31058508.58,159159948.78,95877434.27,61953909.86,24921673.15,139503109.36,102118290.73,62157741.56,27923223.49,131383564.85,96625681.71,63739786.75,21605500.14,122069307.64,100253327.60,62363503.70,28597827.93,103680809.40,67670509.39,45267035.47,16800099.07,80506461.77,60024479.25,44322750.41,21619341.97,75959182.36,45587213.05,26974011.84,14739725.29,64796311.73,31223820.21,25949706.67,8406271.05,20756464.27,4866093.13,29293918.49,37106833.36,23535876.98,0.0
8,财务费用,74996831.75,51869877.24,34709134.76,85758743.33,67278258.71,58162777.83,41491452.45,140823628.19,105498593.33,68440525.33,26583841.36,103503037.40,84389791.76,56739923.29,29814868.02,109780607.12,83352306.88,55542368.37,22889382.72,115781262.81,88556603.35,58133861.36,29927770.37,108776103.86,79078029.45,54565561.70,28488017.73,128904360.56,100622902.68,71087791.79,35901672.09,126758530.31,103020079.48,56103173.01,22429919.18,96246000.05,70898305.75,46130256.59,21540381.77,85242094.55,68979212.35,49708059.11,21967412.09,131668250.56,88727567.60,54505976.31,35043870.20,95499184.74,64403241.72,37218792.30,19555707.66,65560769.97,43095830.70,28376217.90,10825384.96,64956973.01,47976129.17,32012443.62,15109683.11,26162658.66,30718586.22,18985436.13,7770627.50,14544943.54,7108334.84,2449723.08,3075464.92,18930288.59,4144696.01,1428518.87,452768.07,1314602.29,918348.45,-4728419.08,-4693321.13,1756916.50,2255295.64,14370202.46,23998317.25,4292368.49,0.0
