,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3280374575.99,2100280632.99,1155958562.68,4435713892.78,3361704535.32,2204992558.09,999901651.17,4149684213.89,3034370577.41,1845869744.76,977315378.22,2844228368.43,1957732516.87,1224485978.92,579990057.64,2547361902.85,1889867806.28,1219273255.47,518789499.73,2361537482.91,1746003000.08,1186800913.61,537771859.14,2372442215.00,1792904095.85,1138384397.72,487901931.36,1727313773.90,1224717753.06,764188301.40,343993343.47,1414125413.81,1052676762.25,697622680.83,399800219.55,1627850608.97,1183964171.53,825287713.04,418588687.94,1195881538.81,854964833.93,514863684.73,192590795.46,1015677181.86,823571209.94,539711156.40,263140391.42,1433510728.24,1064191065.90,707950791.12,332396642.49,763736603.11,519306969.28,295083511.98,107280884.80,540783082.62,406008217.16,292086568.29,620201884.25,535010250.35,0.0
2,营业收入,3280374575.99,2100280632.99,1155958562.68,4435713892.78,3361704535.32,2204992558.09,999901651.17,4149684213.89,3034370577.41,1845869744.76,977315378.22,2844228368.43,1957732516.87,1224485978.92,579990057.64,2547361902.85,1889867806.28,1219273255.47,518789499.73,2361537482.91,1746003000.08,1186800913.61,537771859.14,2372442215.00,1792904095.85,1138384397.72,487901931.36,1727313773.90,1224717753.06,764188301.40,343993343.47,1414125413.81,1052676762.25,697622680.83,399800219.55,1627850608.97,1183964171.53,825287713.04,418588687.94,1195881538.81,854964833.93,514863684.73,192590795.46,1015677181.86,823571209.94,539711156.40,263140391.42,1433510728.24,1064191065.90,707950791.12,332396642.49,763032662.08,518807561.59,294726217.96,107280884.80,540086758.13,405624572.15,291893562.31,619704694.37,535010250.35,0.0
3,二、营业总成本,2885314213.23,1842020406.80,1042112113.85,3980703282.49,2962002812.05,1925457359.78,875844344.57,3767996283.66,2726791865.10,1635487393.83,868759078.80,3150158111.86,2312156206.73,1632719503.51,551133134.83,2243256102.50,1593176679.69,1000438876.42,411071672.03,1898059710.04,1394853025.63,942844628.15,430640981.42,2071169095.83,1605473188.36,1054586401.71,468590154.47,1749971953.09,1255420441.37,800073896.54,372878847.95,1367628114.49,962825950.02,589476670.09,314971866.67,1269679997.59,910453865.69,621934103.42,333933026.97,1090046576.50,796147813.21,514017786.53,221729557.95,945570680.45,693188563.18,415286676.49,191795996.00,890747243.50,642229713.18,430248208.52,218637970.30,681742260.96,470210536.92,275682968.65,107043546.18,475670832.92,348003784.88,236317780.04,440159089.11,360822410.51,0.0
4,营业成本,2530534642.66,1596513092.23,901849151.44,3422208201.49,2588891654.14,1674552249.29,764788186.29,3292087035.99,2429350400.38,1447442389.07,779943975.27,2345616262.68,1623600360.44,1020476378.77,472531755.33,1874778158.76,1342947391.20,847081891.54,344919222.49,1614235687.98,1203961319.00,815774443.87,368885876.83,1827992181.50,1428831006.84,945152333.15,415808138.02,1554711596.32,1115992728.88,709005856.71,334944326.03,1200937952.87,851293598.14,513643747.96,279075142.01,1102515063.40,799301655.75,547105604.03,298142151.20,966940731.07,734014626.05,482247783.86,207197355.95,831991292.25,636148215.97,377770616.60,174200666.51,794620957.28,583212533.04,390543333.68,201633868.32,630454663.33,437849088.22,254776733.06,97088473.01,437296936.17,312713367.79,211407502.76,398366652.55,311086218.83,0.0
5,营业税金及附加,20649793.53,16940486.12,6898390.67,30882933.66,23168807.42,9507658.41,1920417.98,23143654.79,16844955.61,10047805.54,3285091.88,19607268.03,6431602.01,4435715.16,1596508.24,15605508.74,12213090.84,8254358.21,2728931.90,17448937.39,12176010.64,8747841.03,3037031.46,14847694.67,11876295.29,7580809.11,1964082.85,3117325.58,1100805.02,120053.42,130743.71,3450442.27,3242882.66,3228519.26,2795372.57,10101758.80,7151728.44,5790199.89,2548780.67,5705538.89,3069500.53,2038470.69,1137887.06,6867267.44,5286301.40,4168091.24,2084558.38,9024280.99,6021619.50,4949547.14,2313915.54,3770965.44,2351603.03,1374143.99,3844.07,3056946.02,2188988.71,1531433.76,4116112.18,4211737.60,0.0
6,销售费用,70299313.00,47063872.66,23102437.67,88652322.17,62346914.95,40295570.77,17886676.67,82715128.78,58723445.66,42155803.49,22537465.48,88608910.12,53022504.48,36596876.69,14836097.74,57334803.32,29408319.32,15224972.27,6298937.84,36776197.28,23353239.91,13612315.41,7896170.48,32741340.55,20933520.93,14842791.87,8209776.18,26287860.28,18811035.80,11792186.64,6966823.99,22435710.74,15484116.16,9602055.50,4947000.97,25864136.34,16645400.78,11104486.61,5589435.51,24187822.21,15050532.20,8292722.88,3941041.01,20266819.25,12921276.27,8913893.59,4083558.01,19082803.69,11213666.18,8223288.60,2532887.25,12870258.84,7863756.47,4270944.83,2385595.90,7984887.22,5140832.49,3180643.73,7053080.55,5858289.18,0.0
7,管理费用,115409380.15,75845189.90,38108780.64,159930737.33,116742944.07,154400862.37,64199699.60,263332680.29,173896330.56,106766215.27,52824554.10,211390760.19,155208815.05,95969230.26,45192790.53,233232419.20,166333373.31,104337330.39,46706169.58,207694628.69,128507401.01,80983467.52,39887994.65,174957922.68,124107782.17,72180842.03,34626931.85,135134889.64,94022216.57,63738538.72,29421896.73,110132253.32,74578441.15,50190555.87,27637319.94,122709524.71,79715782.19,51450297.62,25273796.74,76840083.43,47779897.81,28642959.69,12611203.34,77002360.86,45196536.81,30050183.50,13231431.73,55475610.27,33605016.29,20991206.01,10999002.41,24743164.60,14692557.07,10190986.03,5574104.17,31916699.85,20337426.71,13824507.34,27347911.14,28635483.73,0.0
8,财务费用,24190523.07,19993659.91,17724382.26,50217227.21,45122710.44,31300883.82,18687975.35,69106909.90,40218651.09,23579018.92,9481931.12,47674321.43,34197212.91,23181944.25,12976893.39,40258206.59,27038889.75,15076147.45,6987933.15,23567088.11,23011118.45,17544489.28,7890256.15,21353177.34,15786671.99,11417101.85,7683581.65,28299191.05,22790703.21,13404259.20,2933207.92,20678378.31,15574586.35,11486633.31,173286.14,6556588.02,5368441.20,4257447.60,2681158.41,13869391.08,11787833.79,8631166.56,4850605.72,-4316218.87,-4882047.09,-3542351.13,-1804218.63,9003147.60,6667045.61,4031000.53,1158296.78,9903208.75,7453532.13,5070160.74,1991529.03,-4584636.34,7623169.18,6373692.45,3275332.69,11030681.17,0.0
9,研发费用,124230560.82,85664105.98,40391627.61,170397674.10,116159576.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,14037343.56,58414186.53,9570204.65,15400135.12,8361388.68,37610873.91,7758081.80,5496161.54,686060.95,437260589.41,439695711.84,452059358.38,3999089.60,22047005.89,15235615.27,10464176.56,3430477.07,-1662829.41,3843936.62,6182071.04,3043651.85,-723220.91,3937911.14,3412523.70,297643.92,2421090.22,2702951.89,2013001.85,-1518150.43,9993376.98,2652325.56,1325158.19,343745.04,1932926.32,2270857.33,2226067.67,-302295.56,2503009.82,-15554577.17,-15835317.15,-8008535.13,13759159.52,-1481720.18,-2073757.31,0,3540443.67,1509832.56,1509832.56,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,553723.45,553723.45,553723.45,0,-553723.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,35995114.25,24407061.39,11207039.11,30740430.81,24065516.46,14481322.63,6473770.49,20525524.32,17295425.02,12237330.43,6962310.99,10237720.39,5452495.08,3715558.05,451152.44,3523019.64,973323.96,604167.95,1485479.46,946917.82,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,35995114.25,24407061.39,11207039.11,30740430.81,24065516.46,14481322.63,6473770.49,20525524.32,17295425.02,12237330.43,6962310.99,10237720.39,6435573.11,3715558.05,451152.44,2037540.18,-512155.50,-881311.51,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,419811734.31,276408885.32,130389611.48,504671557.00,426781029.83,294208469.70,130582906.54,421321136.41,329594384.11,225520078.14,115518610.41,-295692023.04,-348971194.78,-404517966.54,29308075.25,307628819.99,297664450.55,219438547.00,109203307.16,464978414.14,351703697.90,244510008.91,107130877.72,300719395.72,187430907.49,83797996.01,19311776.89,-22658179.19,-30702688.31,-35885595.14,-28885504.48,46497299.32,89850812.23,108146010.74,84828352.88,358170611.38,273510305.84,203353609.62,84655660.97,105834962.31,58817020.72,845898.20,-29138762.49,70106501.41,130382646.76,124424479.91,71344395.42,542763484.74,421961352.72,277702582.60,113758672.19,83024342.15,50096432.36,20400543.33,237338.62,65112249.70,58004432.28,55768788.25,180042795.14,175418839.84,0.0
16,加:营业外收入,2000597.65,1172654.52,839503.34,2159343.22,292429.44,119122.26,13665.42,24424853.58,187188.99,15280.18,1020000.00,17506370.83,4313217.29,814110.50,401958.31,11782834.76,3067450.81,1722124.10,1416236.10,12804540.25,7281678.83,5663266.86,3053488.39,15569355.57,10077449.99,7866646.62,3862981.47,54716977.02,50761383.80,5692322.03,1913271.87,10241861.78,7351751.58,6319074.08,210500.00,19037748.44,8666462.44,7055336.44,7010144.13,19293427.28,14154662.56,9144846.60,3238378.19,7009055.80,4142566.64,1537916.00,0,14168469.57,2511663.00,1315000.00,0,2099073.20,69073.20,0,0,2000000.00,0,0,63162.40,0,0.0
17,减：营业外支出,2275873.71,212850.56,183741.52,3280929.28,2351529.55,223475.04,146221.55,354596.91,203740.38,119930.94,5923.18,2366307.86,1053741.01,739390.31,426218.16,3143797.17,2562955.47,2030257.69,475131.05,3371177.33,3965221.50,1188869.61,539453.06,4258036.49,3616473.27,1152690.65,498102.44,5561206.74,246667.75,803247.56,381562.77,320301.60,-43327.49,722271.68,422244.04,5885544.21,2061115.44,561115.44,32082.66,1510536.00,1025316.80,5316.80,0,1033935.83,1520000.00,1500000.00,1500000.00,2144396.35,1944396.35,1050000.00,1020000.00,30000.00,20000.00,0,0,545000.00,545000.00,500000.00,570000.00,33519.32,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,86356.85,6340.12,1280.34,14281.13,10107.96,8246.21,2085.00,20888.91,18277.41,9052.41,4967.68,5795.33,0,2068.70,0,19546.56,0,4302.50,0,3646.53,0,2561.33,0,22728.96,0,0,0,31722.11,0,0,0,5604.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,419536458.25,277368689.28,131045373.30,503549970.94,424721929.72,294104116.92,130450350.41,445391393.08,329577832.72,225415427.38,116532687.23,-280551960.07,-345711718.50,-404443246.35,29283815.40,316267857.58,298168945.89,219130413.41,110144412.21,474411777.06,355020155.23,248984406.16,109644913.05,312030714.80,193891884.21,90511951.98,22676655.92,26497591.09,19812027.74,-30996520.67,-27353795.38,56418859.50,97245891.30,113742813.14,84616608.84,371322815.61,280115652.84,209847830.62,91633722.44,123617853.59,71946366.48,9985428.00,-25900384.30,76081621.38,133005213.40,124462395.91,69844395.42,554787557.96,422528619.37,277967582.60,112738672.19,85093415.35,50145505.56,20400543.33,237338.62,66567249.70,57459432.28,55268788.25,179535957.54,175385320.52,0.0
20,减：所得税费用,62458934.06,40209029.69,19855693.57,58328562.09,65905971.86,45971923.33,20071341.18,59895830.87,48814092.26,32882471.39,18151432.82,23256812.84,15941065.44,8762095.22,5681730.86,62141339.54,44420433.52,32084475.27,15622658.58,63741534.95,53331064.13,38447476.16,16609172.33,35268343.06,26378771.93,10297812.46,3819206.66,8094682.21,-274102.27,-274102.27,4290.39,5632688.98,17061421.98,17061421.98,12692491.33,51516109.17,42017347.94,31477174.60,13745058.37,16252261.98,6240054.27,1497814.20,0,-87555599.26,-58561033.71,-31657577.17,17419002.63,174325175.56,139622801.08,91917658.95,37345009.58,25671488.29,16218016.82,6402179.29,78321.74,16491371.13,18961612.65,18238700.12,54661623.27,41513955.60,0.0
21,五、净利润,357077524.19,237159659.59,111189679.73,445221408.85,358815957.86,248132193.59,110379009.23,385495562.21,280763740.46,192532955.99,98381254.41,-303808772.91,-361652783.94,-413205341.57,23602084.54,254126518.04,253748512.37,187045938.14,94521753.63,410670242.11,301689091.10,210536930.00,93035740.72,276762371.74,167513112.28,80214139.52,18857449.26,18402908.88,20086130.01,-30722418.40,-27358085.77,50786170.52,80184469.32,96681391.16,71924117.51,319806706.44,238098304.90,178370656.02,77888664.07,107365591.61,65706312.21,8487613.80,-25900384.30,163637220.64,191566247.11,156119973.08,52425392.79,380462382.40,282905818.29,186049923.65,75393662.61,59421927.06,33927488.74,13998364.04,159016.88,50075878.57,38497819.63,37030088.13,124874334.27,133871364.92,0.0
