,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,10705885364.52,6978594253.90,3300515008.62,12250038568.54,9862883554.91,6562771259.94,2848051407.16,10572630725.94,7743380349.35,4578249476.74,2097973075.81,7288538386.03,5022009865.61,3064743736.45,1384814649.03,4392227658.28,2983504384.20,1958985069.91,848322930.34,2874269599.64,1949911599.17,1236102098.57,435538271.84,1841272919.82,1339687413.07,953826600.15,445110366.23,1620323237.92,1183442876.49,844675433.52,417778577.67,1289424864.91,982505269.38,686646236.89,341670210.43,1195106945.87,888128213.75,600440063.23,247565718.46,848333072.24,608308058.81,420344047.01,218713511.32,1041596027.49,828429355.23,591755464.13,274558656.56,783027675.40,619255787.50,423357339.01,185727099.15,618087467.27,473409734.73,281950137.95,138726797.62,462095933.31,242948924.69,0.0
2,营业收入,10705885364.52,6978594253.90,3300515008.62,12250038568.54,9862883554.91,6562771259.94,2848051407.16,10572630725.94,7743380349.35,4578249476.74,2097973075.81,7288538386.03,5022009865.61,3064743736.45,1384814649.03,4392227658.28,2983504384.20,1958985069.91,848322930.34,2874269599.64,1949911599.17,1236102098.57,435538271.84,1841272919.82,1339687413.07,953826600.15,445110366.23,1620323237.92,1183442876.49,844675433.52,417778577.67,1289424864.91,982505269.38,686646236.89,341670210.43,1195106945.87,888128213.75,600440063.23,247565718.46,848333072.24,608308058.81,420344047.01,218713511.32,1041596027.49,828429355.23,591755464.13,274558656.56,783027675.40,619255787.50,423357339.01,185727099.15,618087467.27,473409734.73,281950137.95,138726797.62,461038135.72,242513171.30,0.0
3,二、营业总成本,10424417913.00,6770587990.00,3239107513.07,14209217655.12,9653188129.34,6418861813.92,2742035760.98,10257636765.27,7285314904.36,4254728937.02,1924368225.51,6684033363.49,4510224730.57,2738548921.94,1234170794.46,4131759834.26,2799124062.68,1813547937.25,787701365.92,2772844402.59,1843743983.54,1146401744.32,394470821.50,1807545646.47,1304204375.20,914088539.14,428929838.07,1557359565.99,1120286079.62,784814972.95,377643115.59,1193517946.00,905318367.72,628218337.32,313052782.91,1081623658.42,796447707.28,538454095.50,224715339.60,742568188.57,520724648.03,355011678.55,187349522.52,953039942.15,763439275.83,550669660.81,252196180.18,721412576.25,564067597.68,388296579.18,166887930.92,567280942.10,427973617.89,253237224.42,123257510.77,432454841.60,227555937.31,0.0
4,营业成本,9625812119.62,6233572684.80,2945600598.68,10840156019.06,8781831286.89,5846980416.84,2490121669.34,8934743317.95,6515752824.48,3777898050.68,1718467400.70,5738414105.91,3879205349.68,2347688673.78,1063530874.28,3383805188.79,2295482441.20,1484744035.77,648111590.20,2211675366.33,1488923525.21,926456114.23,323837338.26,1393962027.70,1015175109.58,721112998.54,339505543.78,1235223494.11,913403859.16,648481351.60,325925594.30,1027538783.01,790071478.39,556064151.30,278735844.25,935714495.61,690155225.91,471764937.88,196516751.33,637088110.02,448020875.29,307250225.98,160411039.45,832450580.26,675638255.22,486303852.85,223227361.57,633224765.34,498898889.08,343117850.20,148427633.34,500938948.94,381185836.21,222800277.17,110511605.03,382097329.68,200436919.99,0.0
5,营业税金及附加,28595247.80,21018191.91,12881736.48,37928815.34,33232415.49,24290958.61,11392533.29,35024082.82,28394753.92,21962770.41,9200373.05,34866497.81,18978898.55,18131010.53,9607101.41,32891664.87,23771290.77,12967245.41,6062213.88,15800924.36,11052812.75,6255223.53,2218509.52,9335659.59,6899745.89,4302971.39,1930488.76,8165527.89,6296826.45,4266773.85,1462797.07,4799196.98,3754862.46,2212241.78,1789380.08,3744850.34,3173973.38,1173130.34,613729.96,3692649.06,3174427.95,2027086.05,986942.30,4212703.05,3079030.08,1142054.31,293534.65,2550720.65,2433226.71,992367.17,709395.80,1753126.38,1435646.29,1008407.25,296809.93,1119526.29,43713.19,0.0
6,销售费用,316020861.14,212000434.72,107139210.05,477044170.38,298550700.69,188575838.91,94552075.96,439201201.09,309205867.24,179331263.90,78366024.13,341156370.05,227833457.41,146490020.77,65559162.63,298273509.39,202170369.40,130415045.56,50536640.39,205911655.74,122465391.80,73467607.35,21550852.60,141053074.25,94381389.69,62941105.49,25469373.30,98590172.58,64066496.37,39795872.87,14666933.22,42855778.94,39162562.12,20298860.81,10357377.90,38128973.19,28782700.98,19357916.29,9545848.96,29198064.68,21012967.10,12890123.76,6067130.73,59023806.98,43676527.41,31962046.25,14596454.83,46719056.36,33396868.74,22224057.65,8608861.46,28541170.02,20377198.20,12924571.78,6094117.45,25389573.90,15279175.67,0.0
7,管理费用,280970150.19,186384575.57,97276768.52,464631332.75,278751035.14,244290607.54,116293343.96,551269626.45,353171081.98,226839771.13,113709353.70,432548019.98,308698001.62,186881599.04,86856272.28,361626872.51,249403958.31,159095519.71,78323200.20,267986002.39,189775761.63,119003121.21,49551693.18,210296556.10,145968764.43,100540385.97,45931656.03,182385519.81,121311973.75,85315104.50,33103111.93,108573957.55,66398442.18,46803016.29,20320051.70,84489023.74,60335807.78,36439756.82,15718276.18,65607092.72,44359242.13,29663772.10,14214058.39,47549168.39,31713680.20,20510587.88,9828161.01,28325883.65,22258093.40,14554236.47,7486873.94,28921141.19,19519671.29,12145577.51,5416753.84,20324393.10,9943239.02,0.0
8,财务费用,55771587.28,40689478.54,35287594.37,186438391.64,128151988.54,93372221.86,41379550.68,85694131.42,55402919.99,29011393.04,13318483.39,25666315.28,25105429.48,13407383.93,7012120.14,10620156.36,5265491.15,10580757.97,6170035.06,16778195.06,10750552.30,5520509.25,-2739430.33,27220381.20,21880764.03,16956069.59,8538344.26,22945868.71,14680492.43,5441614.53,957131.37,7530574.37,6868771.25,2163220.90,272743.92,8465586.80,7719388.34,4404621.98,1015398.58,2687189.79,2403540.79,1977672.70,2850272.00,-1305823.33,-45262.44,537191.62,-682375.41,7389036.46,6036174.21,3994060.60,1655166.38,5641656.50,3540570.44,2443695.25,938224.52,3524018.63,1852889.44,0.0
