,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,397400798.05,248621011.58,122712536.58,580909530.71,407355869.74,262017873.23,105727215.52,452687981.19,314569592.20,163649854.22,68724414.27,351861318.74,180420335.87,93619221.09,34186572.13,248876496.47,181487556.96,95111777.73,34743359.10,236012845.52,142193151.54,74863713.44,30617060.32,139940815.12,98129203.23,71300419.38,39064971.75,144448812.02,102408209.67,78508515.79,41926346.72,124382807.76,74044682.09,48829287.42,24156782.87,93365757.36,53883386.77,45171972.26,23126704.03,103998074.84,67735762.34,41434438.47,15214464.87,42123712.02,27239735.89,17054116.57,6557078.89,63166355.57,54897739.79,43605738.76,18942219.34,117115650.33,79438249.51,52381627.69,30688930.13,106077610.46,83745734.79,61269375.80,33732024.98,119725122.23,84244110.40,54659427.79,25755663.27,99742671.69,72593442.73,48684337.39,25212726.75,119376240.95,89592812.22,58547648.01,27567181.28,112203063.53,82705467.06,55736914.94,102670552.37,48768817.75,91596330.37,47525848.89,102236757.17,49875251.82,122194357.87,63438521.44,130679416.82,63715913.13,138380561.40,74655400.00,131861790.00,65869719.28,158864876.98,125914493.00,105380255.00,94125008.00,0.0
2,营业收入,397400798.05,248621011.58,122712536.58,580909530.71,407355869.74,262017873.23,105727215.52,452687981.19,314569592.20,163649854.22,68724414.27,351861318.74,180420335.87,93619221.09,34186572.13,248876496.47,181487556.96,95111777.73,34743359.10,236012845.52,142193151.54,74863713.44,30617060.32,139940815.12,98129203.23,71300419.38,39064971.75,144448812.02,102408209.67,78508515.79,41926346.72,124382807.76,74044682.09,48829287.42,24156782.87,93365757.36,53883386.77,45171972.26,23126704.03,103998074.84,67735762.34,41434438.47,15214464.87,42123712.02,27239735.89,17054116.57,6557078.89,63166355.57,54897739.79,43605738.76,18942219.34,117030445.75,79381741.06,52342203.68,30682386.65,105858062.35,83652864.86,61229822.23,33693667.39,119671610.82,84186885.87,54633759.74,25750495.98,99673270.62,72571467.74,48638923.11,25211730.92,119313779.20,89547611.63,58491450.24,27569756.41,111123068.02,81587162.47,54671171.87,97054802.92,43170011.75,85806255.44,47535125.84,102131156.22,49927864.83,121840299.60,63391437.41,131102951.30,63723269.85,138066716.77,74587900.00,132274800.00,66298375.83,157631373.46,126264161.00,105191981.00,93980775.00,0.0
3,二、营业总成本,400448931.53,256980927.42,124274650.50,609031391.51,410945674.98,259165182.23,103454716.64,461403794.78,317360440.34,167336723.99,71348730.97,392825980.46,183839438.01,101746729.18,38040980.14,267832831.31,180114132.17,98735170.93,33174013.36,229164454.43,136283924.51,72438002.87,29441467.28,151399705.42,97610575.05,70554397.61,38597216.72,141209502.50,98240996.84,74684858.56,38787496.85,124232227.52,74369533.03,50174674.68,25248977.42,99614025.36,56125722.53,46752937.14,24767540.79,107668472.01,69010207.86,43284001.18,14741560.27,49008633.47,26063159.72,14808099.23,9835282.93,93911880.42,66829623.67,51625911.01,23280336.98,135023058.42,85787169.87,58494375.37,33739226.75,127253756.52,95092811.66,68645993.81,37421714.07,118936835.95,89690665.97,59255302.84,29648744.16,115287251.18,81719845.30,55536340.02,28172184.50,143088058.55,89453767.40,58343897.64,27529447.64,111159550.68,79892103.23,52434422.34,103353885.25,48625269.87,98723749.13,52759211.74,134067600.00,56311886.10,132669046.90,0,128872346.26,0,135637918.57,0,0,0,135372065.10,107090159.00,90273413.00,77320313.00,0.0
4,营业成本,346617489.81,221689361.84,107839827.98,516575988.14,357128155.61,225530020.71,90103672.70,398274292.02,277473306.52,143980456.00,60421634.38,340651548.57,157035664.67,85278515.75,31984269.36,230260455.09,157759465.36,81747710.16,28983184.48,201750054.34,121893781.97,63016981.85,25026056.82,121822931.22,81870826.36,61034081.12,34398414.95,115571217.31,83021487.15,64594089.43,34645888.32,100503984.94,63288276.95,42972001.64,20568182.91,85697126.18,50433497.86,42517275.99,22194764.37,96281603.26,62246346.66,38754075.75,13325453.81,36823952.08,25501893.89,16289053.34,6162040.26,60888405.42,52318499.00,42088363.46,18199905.79,107720823.98,71560071.34,47288729.36,27614279.74,97190449.18,77258064.84,57389185.43,31875811.27,106183928.70,74902783.39,49057951.54,23683055.98,78684912.42,58050680.78,38833456.57,20714423.46,90662184.65,68098413.27,44372152.45,20908832.00,83309897.90,61132194.97,40318443.20,74295008.18,34771899.88,70641781.13,37720824.81,86488346.67,41588451.07,101213467.94,0,116314052.51,0,120061022.25,0,0,0,91671466.33,70906478.00,60220230.00,54223559.00,0.0
5,营业税金及附加,19784627.10,12531468.29,6285349.35,30266977.51,18687524.25,11888108.49,4421953.42,22526957.54,14892011.22,7609708.10,3423906.99,13272865.87,5225533.28,3171516.04,1129957.78,62361.74,0,0,0,31454.35,0,0,0,537987.74,362449.50,161584.55,160872.87,478801.82,144268.55,143257.75,0,172098.26,48384.00,0,0,71838.32,33489.68,33489.68,27625.38,527553.05,278360.96,162520.79,69.08,90187.12,74697.99,31717.59,31717.59,133915.62,72475.93,19299.87,510.87,400544.42,215400.69,141348.80,57451.39,277067.94,205916.44,106387.57,105579.87,608186.40,390484.21,286221.86,173198.18,780516.85,550666.44,333215.30,153342.48,1070507.19,823838.22,556820.81,262820.03,887664.06,715981.51,492690.41,909485.86,455328.70,1030813.10,562094.49,1004915.01,471713.80,924260.32,0,852069.67,0,752846.60,0,0,0,15287484.87,17767570.00,17251747.00,15469233.00,0.0
6,销售费用,18895261.17,12543134.21,4659915.65,27394495.85,15390122.49,8185354.90,2935256.43,17558354.67,13099773.80,8055780.24,3542008.58,18273910.93,10879578.06,6491920.02,2105379.09,17667532.42,10792413.51,8067804.08,2324770.04,9828715.07,6618709.61,3596124.14,1260187.98,7747901.46,4208550.55,1941738.62,1006482.53,3827813.39,2992022.35,1748832.07,859419.52,3586807.75,2700334.67,1604146.90,2138801.84,2448476.29,1917471.86,1302603.53,614197.50,2556919.93,1916444.98,1298979.89,500870.86,2291400.78,1813874.92,1260794.53,339689.22,5259261.57,3716228.07,2844457.98,1410165.34,7877692.87,3862103.29,2691541.91,1513327.86,8795677.83,3765473.46,2724225.22,1470513.08,7497891.80,3883210.92,2576447.99,1310684.28,11208729.75,5276450.14,3736084.41,2134024.37,11249866.63,6074923.90,3540378.90,2128610.89,9105154.34,4990472.66,3341212.91,9649924.75,3362038.11,3924562.41,2053846.50,6613407.81,2150667.63,2957658.02,0,3260703.65,0,3193106.61,0,0,0,3308678.25,4575126.00,2617137.00,3317589.00,0.0
7,管理费用,13272683.00,8810754.81,4798691.66,20171990.96,13533220.26,9073514.11,3897586.81,16425755.04,11035696.18,7431797.69,3575119.62,18041645.41,11249177.30,7879544.06,3568397.51,18787778.39,12350366.59,9457438.03,2430026.39,21010941.25,11449022.39,8501748.22,3778078.13,15262613.15,6020285.60,4392843.20,1506319.39,11686116.47,6565671.94,4314799.04,1772451.33,9896345.62,6499095.14,4267076.94,2089487.01,8572536.17,4695869.54,3225498.03,1913003.33,7818589.18,4677088.91,2954658.20,1042304.04,7182445.71,-2499378.88,-3570623.82,2844491.73,17674265.16,7758194.61,4821423.31,2716230.68,15241565.20,7234052.66,5873779.93,3298039.82,18098227.81,11787828.27,7635453.69,3406849.09,2636974.20,9150648.99,5898646.45,3762844.01,21934611.06,15662475.43,11151704.06,4519379.97,37297711.11,12390870.88,8549799.64,3610318.68,15432749.03,10727186.91,6764633.56,15330568.84,8974428.98,18016100.51,9347108.43,34095409.54,8979770.26,20721553.08,0,10693488.87,0,11459374.78,0,0,0,22246553.72,12263370.00,8152864.00,2070862.00,0.0
8,财务费用,462901.85,485087.03,272500.84,7412875.16,6008008.64,4289540.29,2096247.28,3537301.68,731383.24,130712.58,-139890.45,-320343.91,-550515.30,-1074766.69,-747023.60,-650632.65,-1045220.02,-195322.34,-327817.55,-4994591.54,-4210645.76,-3209907.64,-646022.33,6335006.88,6384769.42,3702055.14,1522138.25,9485377.89,5164388.98,3447819.96,1509737.68,9599897.02,3700475.78,2292173.49,1413229.95,1435627.23,658671.59,580379.13,17950.21,674610.47,591966.35,513766.55,272862.48,2868327.00,1145541.97,782724.73,457344.13,4742315.01,3263051.52,2151191.85,953524.30,3782431.95,2915541.89,2498975.37,1256127.94,2892333.76,2075528.65,790741.90,562960.76,2009854.85,1363538.46,1436035.00,718961.71,2678481.10,2179572.51,1481879.68,651014.22,2807788.97,2065721.13,1324745.84,618866.04,2424085.35,2326267.18,1517442.26,2929900.47,1061574.20,4924183.21,3075337.51,5865520.97,3121283.34,6852107.54,0,-2247968.44,0,171568.33,0,0,0,2857881.93,1577615.00,2031435.00,2239070.00,0.0
9,研发费用,1415968.60,921121.24,418365.02,1750251.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,5458812.04,198643.73,198643.73,0,3081133.83,128269.38,128269.38,525951.85,2906353.59,0,0,0,1705336.32,257106.73,-342459.00,-236150.00,1537880.96,533056.30,533056.30,23166.68,-306735.03,-1236306.38,-677905.02,2988.73,160175.62,353157.87,436060.31,0,473093.93,-1867033.51,-960724.29,-960724.29,1388421.17,-1613278.00,-906309.22,0,-190803.88,-700000.00,-400000.00,-400000.00,-247679.22,26529.83,14432.86,0,5213717.64,-298825.46,-298825.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238997.15,0,186308.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,-647013.70,0,0,0,874113.70,227100.00,-556700.00,149225.00,-227100.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91290.09,-102794.71,-102794.71,0,81330.54,64677.30,67197.30,67197.30,-1434049.24,-2180325.16,-1368014.51,-463115.77,1418754.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,0,0,0,-130386287.16,-1451543.79,-747327.08,170978.24,23497627.44,5227244.78,2444394.24,1564315.07,-1677068.18,1833068.18,1084561.32,973767.10,-1086342.96,1359573.32,-281628.83,-675137.55,-4164508.95,506712.33,0,0,0,0,0,0,0,1.00,1.00,0,0,0,0,0,-1201384.36,-1189879.74,-1189879.74,-723083.80,3365263.35,2551302.92,2261695.00,1061695.00,-3376614.20,-3890397.81,-5972903.37,-106659.49,638959.47,0,0,0,0,0,0,0,0,0,0,0,411000.00,0,0,0,-251760.81,22239.19,22239.19,0,-712187.92,0,0,0,-408480.00,0,0,7632785.19,0,2961647.20,0,134876.16,17956.16,668608.20,419841.20,389804.40,0,423550.55,307000.00,2567870.00,2602117.40,6466.57,-24000.00,18096.00,-293273.00,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,-25383003.92,0,0,0,4638372.89,2104135.19,0,0,-3917807.59,0,0,0,-2680423.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,663570.33,-6707712.05,-1473529.21,-156104841.72,-3264417.93,3041988.32,2599016.82,15319608.47,2848140.74,-914316.13,-1060001.63,-43288743.60,-1586033.96,-7042946.77,-2880640.91,-19168564.10,2960098.11,-4461722.03,1043433.19,2456782.14,6415939.36,2425710.57,1175593.04,-11458890.30,518628.18,746021.77,467755.03,3239309.52,4167213.83,3823658.23,3138849.87,150580.24,-324850.94,-1345387.26,-1092194.55,-7540942.45,-3535010.21,-2873639.33,-2363920.56,-223803.28,1341534.70,479329.59,1601796.90,-11695584.89,-4894146.80,-5094900.54,-3847979.30,-28687810.88,-11931883.88,-8020172.25,-4338117.64,-17907408.09,-6348920.36,-6112747.68,-3050296.62,-21176146.06,-11347076.87,-7376618.01,-3689689.09,1295286.28,-5350555.57,-4595875.05,-3893080.89,-15796340.30,-9104163.38,-6829763.44,-2959457.75,-24424005.52,139044.82,203750.37,37733.64,635032.85,2813363.83,3302492.60,7188449.46,143547.88,-165867.02,-5233362.85,-31695966.67,-6418678.12,-36801185.30,-2497454.77,2196874.96,-7456029.22,4793631.75,8534600.00,23072550.00,8376167.95,23499278.45,18800314.00,15124848.00,10511422.00,0.0
16,加:营业外收入,22605.53,22605.53,0,8292.57,15103.16,11408.33,3894.76,210030.08,195505.72,150.00,83584.70,1168077.86,586627.10,353971.40,83584.70,483834.80,7290123.10,7192169.40,83584.70,490480.01,327376.51,224103.51,83584.71,560207.01,121551.75,121551.75,121551.75,410307.51,0,0,0,2416668.87,24000.00,0,0,8148027.97,3356779.56,1883766.25,1231890.70,3295177.65,3603482.38,3180260.00,30260.00,63795.86,1300.00,1300.00,0,40974957.73,0,0,0,24728848.66,666895.52,666895.52,671541.07,25400.00,25400.00,25400.00,25400.00,102350.00,80350.00,80350.00,0,93644.49,85000.00,85000.00,22000.00,188645.00,1300.00,1300.00,0,91501.42,34664.77,17150.00,393060.77,0,6030871.26,61000.00,914965.41,612857.13,98744.28,0,84062.67,0,812406.94,0,0,220153.92,341701.06,260935.00,176890.00,164209.00,0.0
