,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,2913737598.34,1832406721.36,907183232.90,14018181636.91,12203869501.94,8195676054.80,4374862763.04,19032259081.76,14092520084.92,8560315103.42,4710570641.60,20512979131.55,15027884359.95,8843015364.45,4880312601.28,18714408612.67,14139244775.75,8302536993.48,4554987499.24,17472107070.19,13145307989.00,7631404240.69,4240642697.39,15914655250.34,11997129175.64,7245962926.89,4031158436.44,14247716901.66,11062138175.88,6892533518.83,4176984102.27,13492893181.43,10486943673.16,6372813111.55,3824269331.20,11310542161.40,8840603155.06,5168211846.15,2901191773.06,10752482021.50,7900714056.50,4833180671.55,2873123514.66,8242457540.54,7188016484.29,4667564253.81,2269735983.76,6139424592.45,4004448794.81,2605301668.76,1149345078.71,4461148772.27,3376737399.91,1934980171.52,965982279.69,3544292698.65,2489267146.78,1495448739.88,720246878.86,3045193623.61,2159573373.57,1262995243.67,604425349.44,2962213649.00,1944884296.67,1162766226.30,510686075.20,2235865265.20,1484162815.95,742830873.02,309764241.74,2009633996.87,729316091.37,1172855231.69,519701379.34,766095243.42,228342842.84,396742333.11,128996335.23,327573431.84,304827581.18,202637105.30,0.0
2,营业收入,2913737598.34,1832406721.36,907183232.90,14018181636.91,12203869501.94,8195676054.80,4374862763.04,19032259081.76,14092520084.92,8560315103.42,4710570641.60,20512979131.55,15027884359.95,8843015364.45,4880312601.28,18714408612.67,14139244775.75,8302536993.48,4554987499.24,17472107070.19,13145307989.00,7631404240.69,4240642697.39,15914655250.34,11997129175.64,7245962926.89,4031158436.44,14247716901.66,11062138175.88,6892533518.83,4176984102.27,13492893181.43,10486943673.16,6372813111.55,3824269331.20,11310542161.40,8840603155.06,5168211846.15,2901191773.06,10752482021.50,7900714056.50,4833180671.55,2873123514.66,8242457540.54,7188016484.29,4667564253.81,2269735983.76,6139424592.45,4004448794.81,2605301668.76,1149345078.71,4395819213.15,3331675408.03,1904067956.57,958153116.31,3467156806.60,2466148603.83,1484345190.34,700840007.41,3009290178.32,2147021334.55,1255345369.58,601230934.56,2933206393.78,1929089298.69,1150555262.75,502963510.40,2210151999.79,1474082377.17,737129685.96,308399037.58,2004814826.89,723732277.06,1171988152.38,519213824.28,765870061.01,227623534.39,395836418.55,128698484.00,323619008.27,302088341.94,201276203.24,0.0
3,二、营业总成本,3338988935.21,2112832363.83,1055431187.56,16322555442.93,12743393438.88,8172607987.26,4279750295.84,18645997449.92,13882712764.94,8459233414.15,4639690517.32,20156037432.03,14777807766.93,8759713280.34,4815793967.20,18429657496.60,13930034205.96,8211986550.17,4483409964.21,17085018642.85,12910431812.77,7514703288.03,4154805806.18,15552605308.23,11817702599.58,7130687089.46,3948603424.02,13946164127.18,10847350859.62,6763271872.84,4079807527.23,13220283158.14,10287697832.89,6256617156.24,3740273016.21,11095232526.01,8686456903.42,5085394037.40,2846872281.37,10494556463.61,7790962412.72,4778824622.19,2828171403.39,8119021984.34,7060138440.66,4586286857.00,2234005652.20,6054020826.56,3950127421.08,2586615477.71,1148375603.26,4424134663.95,3351002505.02,1910755490.03,962786161.43,3505069584.35,2469002760.33,1478370962.56,719779100.75,3000586176.16,2137101526.01,1249702199.91,599795960.49,2920221168.68,1923795859.82,1155747756.22,508317282.26,2199600838.48,1461463290.12,737913774.98,313027568.10,1956188755.89,723656978.03,1111479469.81,486091933.93,722944283.76,225189729.49,366161719.38,121903456.84,289004799.99,269874155.33,172712580.41,0.0
4,营业成本,2724224479.41,1696942929.65,845340672.95,13940605688.24,11767468869.55,7518100345.67,3955051355.68,17228224573.98,12848358394.56,7769445110.63,4299256621.34,18855561906.57,13811519420.78,8116442067.27,4484074838.44,17125769918.34,12990015625.55,7593391672.92,4164916044.43,15872303003.99,12054682065.09,7010325000.47,3895560793.02,14320684168.42,10936495401.93,6537926382.45,3655815519.96,12636712777.14,9920988539.37,6153435473.27,3754112454.51,12076364170.73,9478593841.21,5742889074.53,3504828422.14,10285548051.00,8143080445.45,4745539750.98,2685067439.94,9767503346.59,7260961655.48,4434255021.72,2655139327.18,7567099359.90,6664112732.41,4329604366.13,2107388549.16,5545642602.20,3556612469.47,2321244942.73,1007459566.83,3890378461.65,2967292125.01,1672280070.87,844102104.71,3064747209.83,2170531991.61,1300797763.60,633301699.72,2668005114.63,1909922812.99,1103042599.20,525787372.17,2607543283.75,1712880396.01,1020447844.81,444010927.71,1949948504.73,1301719589.71,640091277.10,265291539.28,1763279419.37,645542323.33,998080621.69,439081173.46,638854903.89,186833625.15,324832858.22,104070225.69,251323016.45,233646845.66,147279679.93,0.0
5,营业税金及附加,7234280.79,5319670.54,3186493.57,29176229.17,25531684.09,18456593.76,8664420.19,54828548.19,36566897.77,25695178.15,13925380.02,64940924.28,32804893.26,23843704.55,12358974.91,128278218.51,110401902.65,68911709.56,59347415.55,220520085.78,134272637.34,21134293.42,9415094.88,78678231.13,29282263.98,18714894.36,9787895.43,62600884.31,32249125.87,19818145.07,10333091.69,41254293.37,28797055.57,18880161.70,9685489.04,28054747.49,16164017.73,9001910.19,4409475.61,45036866.70,16789282.15,10461118.49,5452188.18,19740816.64,14177487.33,9705912.50,4701526.83,15372097.41,10168361.34,6395571.87,1019534.52,6164416.27,4922588.11,3361509.09,1580443.16,19626770.47,8239200.65,6304529.61,3354228.53,16104206.78,7184856.37,4828534.39,2340473.58,15540366.90,3796560.99,1990495.18,341279.37,7194594.91,3164097.61,1460338.15,264176.19,5660353.59,3366520.10,8911682.86,3627894.94,4364518.63,1242724.34,1138001.68,288092.75,1466833.47,1514006.57,1059897.18,0.0
6,销售费用,178095830.19,126611109.40,61430291.37,512465105.98,372221860.61,235608753.63,117142898.93,580859699.15,419493897.93,281815805.42,142165250.56,541805108.97,403757828.69,269348977.33,142519400.52,517929576.37,368395798.20,237555656.77,109663163.61,463667504.11,348869372.16,237248251.43,119358193.92,633542539.09,345337519.70,239120809.17,126735648.41,793917232.93,451177711.18,315490174.90,165660811.60,711065102.72,421872921.66,265131688.01,116544151.45,481744825.46,244360058.05,147899213.15,71448928.76,418274662.04,232828071.97,147350939.83,76166678.59,259778726.55,116318297.44,74830721.20,38973905.04,244769823.67,120567594.73,86850254.01,44922267.05,270233784.62,191583786.39,118895247.67,60903168.98,191485584.88,125564213.53,66429950.56,33045332.62,136784172.43,90976903.05,56902481.82,27409511.53,121279732.55,87763256.57,55777230.70,27208650.53,82891008.67,46532730.70,27263935.50,12530188.35,56821721.94,16834632.32,20348107.62,8954927.18,23264184.59,10318276.02,13647171.03,5111367.92,15870456.42,13187168.38,9311711.14,0.0
7,管理费用,148361066.41,106276064.69,64032909.02,294318461.53,271256848.83,189147676.33,100604752.42,377484461.46,284730626.62,192133765.62,96615264.06,332422377.08,270097826.28,184806957.56,95340550.08,341344409.73,254917524.70,157967892.30,73816592.26,259707162.02,197804046.09,130777029.63,65928105.07,252645712.62,313439724.84,213104076.07,107233772.76,246878325.95,304518019.05,203281771.20,107811364.75,224658916.96,248931547.06,156217078.80,74903158.11,171512321.40,193926325.32,126196365.81,59037871.19,150837357.15,198812645.93,133277294.14,68738732.38,150460317.56,182398639.56,118394087.84,57534548.69,132535520.71,176975813.35,118004181.22,69947746.79,160070765.71,120320701.91,78738477.32,36754212.21,156942024.16,105993215.26,69430753.00,34322235.52,118933130.02,80940939.26,53453168.05,27602486.71,116953589.06,76400461.70,48762576.02,22409308.96,105779937.30,67485213.28,41090488.30,20803170.18,74196132.16,37950146.66,49992621.20,22345217.04,40034796.87,18857623.91,21883992.23,11004802.43,12967470.07,15838511.13,10748623.20,0.0
8,财务费用,256704627.55,162003122.02,77373194.58,363215229.01,274748314.42,202098174.56,97993375.93,392362660.73,295353586.51,191169771.45,85526470.75,350521687.00,254196210.00,160937780.33,81575235.86,299630385.35,207160094.42,153551787.47,75654147.04,270864075.49,176436727.07,117044906.90,64367500.33,257737366.94,187722063.37,116386990.12,49050281.57,208802305.04,151873651.66,84681127.22,41894740.64,165364014.73,108240767.84,72237453.65,34277804.22,123803343.48,87154737.90,54946484.61,26910007.63,112546014.15,80537752.35,53182724.97,22652364.49,114358841.62,82170431.55,53003898.02,25597822.67,114096835.32,86832010.52,53528476.59,26473514.69,97287235.70,66883303.60,37480185.08,19446232.37,72267995.01,58674139.28,35407965.79,15755604.36,60759552.30,48076014.34,31475416.45,16656116.50,58904196.42,42955184.55,28769609.51,14347115.69,53786792.87,42561658.82,28007735.93,14138494.10,56231128.83,19963355.62,32532110.97,12540344.46,15219007.48,7937480.07,4659696.22,1428968.05,7377023.58,5687623.59,4312668.96,0.0
9,研发费用,24368650.86,15679467.53,3769771.89,40052511.54,19051824.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,297854.18,1142722217.46,13114037.15,9196443.31,293492.69,12237506.41,-1790638.45,-1026217.12,2201530.59,10785428.13,5431587.92,4333793.30,-75032.61,16704988.30,-856739.56,607831.15,12601.32,-2043188.54,-1633034.98,-1826193.82,176118.96,9317290.03,5425625.76,5433937.29,-19694.11,-2747398.19,-13456187.51,-13434818.82,-4935.96,1576659.63,1261699.55,1261699.55,33991.25,4569237.18,1771318.97,1810312.66,-1441.76,358216.98,1033004.84,297523.04,22112.57,7583922.07,960852.37,747871.31,-190700.19,1603947.25,-1028828.33,592051.29,-1447026.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1614325.47,-457623.15,1206872.30,0,0,0,0,0,0,0.0
