,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1929077368.48,1288432884.75,605153578.14,3626490672.52,2913042606.17,2174678852.45,1525752742.68,2969164707.63,2237943223.20,1440868506.46,659186781.86,3434062036.16,2300831170.73,1333378446.58,700658966.09,1976164283.31,1090675355.89,676130302.21,219138310.34,1155598595.24,1289543623.96,895417897.18,446361864.89,2103789679.17,1526215247.49,1024764776.70,528329088.55,2019670053.56,1503348534.49,1009733995.81,495145455.03,1321538600.37,956659126.33,645198380.24,330700564.86,1155722162.10,895048830.75,591708582.01,286963743.19,1218188207.96,869452116.26,538055771.78,232231715.73,1349389268.18,1071519959.25,735503586.06,364346351.48,1491923213.13,1054277605.86,724154227.76,340335628.04,1432097167.52,1077166707.90,710506346.66,352146059.06,1243426400.62,860076369.01,555896546.08,229081602.14,772574158.37,589543437.97,390228528.15,186413164.72,908160698.45,676535555.56,415657105.22,173063430.21,594921163.46,461606290.33,291929452.79,118342073.37,451125584.56,213389277.46,551927604.20,236970527.99,543572357.32,249478178.11,501838454.94,221820450.84,435722271.66,199929399.22,312875839.55,134782186.18,316854352.40,61095100.00,266601000.00,58291174.15,154454421.57,36265450.29,62740796.23,30372232.57,55228269.31,30949498.31,50661259.11,26082105.22,0.0
2,营业收入,1929077368.48,1288432884.75,605153578.14,3626490672.52,2913042606.17,2174678852.45,1525752742.68,2969164707.63,2237943223.20,1440868506.46,659186781.86,3434062036.16,2300831170.73,1333378446.58,700658966.09,1976164283.31,1090675355.89,676130302.21,219138310.34,1155598595.24,1289543623.96,895417897.18,446361864.89,2103789679.17,1526215247.49,1024764776.70,528329088.55,2019670053.56,1503348534.49,1009733995.81,495145455.03,1321538600.37,956659126.33,645198380.24,330700564.86,1155722162.10,895048830.75,591708582.01,286963743.19,1218188207.96,869452116.26,538055771.78,232231715.73,1349389268.18,1071519959.25,735503586.06,364346351.48,1491923213.13,1054277605.86,724154227.76,340335628.04,1432097167.52,1077166707.90,710506346.66,352146059.06,1231982801.42,853503249.83,550820642.36,226678333.58,771479823.99,587842130.03,388347528.67,185031590.86,905541814.60,675495672.77,415623790.47,172388651.74,590333724.63,457097796.75,288924978.07,117921254.47,450910083.02,213379642.43,545757112.57,231556905.78,532683982.01,248558738.94,499159324.65,220191886.20,419840569.70,194133744.03,301604644.07,129299436.84,303668539.48,60862600.00,265742000.00,58264612.64,153886483.74,36262423.89,62740796.23,29383736.04,54260018.72,30915849.99,50658361.63,26016468.28,0.0
3,二、营业总成本,2058307390.43,1380548601.30,649055799.18,5335905471.90,3031318544.91,2266307578.87,1575704479.87,3691109687.93,2324602688.26,1519960490.80,695598063.43,3325587025.76,2133935270.22,1257296751.78,630183378.27,1661077509.61,925585550.19,569368204.72,198579127.56,935752617.33,1335313554.55,926929773.90,458890413.56,2177978231.41,1561763811.80,1057980087.61,535660514.60,2017623519.59,1507106365.58,1013450452.01,492566140.09,1341230697.19,963651251.41,649218718.44,335394840.73,1267620446.06,945610912.27,624131537.86,303459001.63,1292892750.50,923992482.27,564896393.27,247395481.42,1371001150.91,1102718300.63,762667822.61,381727194.47,1819362698.70,1115817794.82,767392555.10,357410600.19,1486494568.74,1103902774.68,723449808.98,355754369.12,1240718840.42,866558728.01,557258618.03,230686066.03,859999326.60,630171646.68,415997915.01,196469238.17,976854787.66,725548705.91,448770353.31,182096148.55,626931510.06,484585481.25,306369475.64,121655370.55,496898622.75,253235151.84,539800469.60,224141324.27,451148113.78,198627515.97,421518319.02,192888412.78,411503000.07,0,290364212.89,0,293855010.30,0,0,0,135768824.16,27367647.90,55838796.99,27230595.39,51025155.34,29252172.03,48808184.21,24963982.54,0.0
4,营业成本,1572690729.77,1056463632.65,486934695.63,3113086417.51,2485426857.68,1897517363.19,1375609960.39,2279764600.67,1692567078.00,1090030056.30,496816710.52,2671013708.99,1681912916.62,976077939.41,497374653.85,1347225822.52,725339543.33,449083458.55,150186419.07,750965412.06,1142310028.90,800902330.75,391062318.65,1872971514.55,1337319798.58,896473404.41,459403928.83,1728732060.72,1280827949.13,866577938.62,429099218.45,1112714776.05,811573559.68,545048047.43,280110441.25,980291537.78,754614693.27,500501456.23,242200865.01,987979794.12,699808689.78,422967792.41,181104315.22,1082672863.16,860546571.79,595265769.08,296583958.37,1223221606.00,873478085.12,608745863.63,278655052.21,1149689245.85,866124403.59,570312759.15,280770994.00,935512109.61,630842974.82,404317964.50,158289652.55,620415754.47,480377056.85,314869744.79,148667546.45,767493155.55,580235727.24,354320571.15,137087173.25,451876951.12,357805009.72,225310625.52,89528134.96,377977755.55,194443203.64,375104971.90,145683751.26,309528988.66,144076078.33,316581605.09,141956246.79,316995673.86,0,222778519.60,0,240226605.36,0,0,0,119580776.73,26491983.03,39114112.24,26321455.67,50384540.79,28761414.29,48027356.89,24300204.08,0.0
5,营业税金及附加,6674597.53,5154352.95,1242668.13,17816692.65,16321197.70,13805634.31,10009596.83,16102987.24,7421348.73,7089910.34,662285.02,-15222842.96,8086835.39,8273264.42,11163153.67,32028856.82,20404421.26,12333898.25,7434833.96,23920365.58,3935720.86,2753010.65,1268035.98,5180784.32,3930576.22,2318399.91,1275003.48,5624793.50,3993762.20,2335303.32,1018903.07,3851677.55,2920280.23,2128800.36,974258.30,3564260.29,2665142.50,1637289.14,646180.36,5817985.73,3953741.10,2540104.56,1139026.33,5858989.36,4546727.45,3183097.65,1656324.78,5963496.10,3877900.11,2552048.53,973484.53,5840827.74,4304840.20,2973719.26,1476126.02,6544926.34,4639665.02,3134429.46,1467291.87,5130010.99,3384350.74,1821155.56,878445.14,14784828.42,9406351.60,5112640.51,965506.03,3650581.42,2816225.12,1668793.92,782284.29,2384201.81,833936.38,1009934.89,431405.72,1665082.60,538140.40,1294555.97,494706.62,1183799.03,0,1525744.32,0,104054.34,0,0,0,1217115.66,1053016.15,1379243.06,548860.61,640614.55,490757.74,780827.32,663778.46,0.0
6,销售费用,34463462.06,22141923.94,12550557.53,60857933.34,46634580.86,31074895.74,16424049.86,76127689.41,59475688.77,39050988.00,19370553.75,62385635.64,47580607.27,30378552.68,13802984.14,51482715.55,33417880.89,18543173.46,6343397.79,24611032.00,26277229.75,17427782.76,8110737.17,47053357.62,34691994.60,23481875.38,11158409.31,49639198.27,33793463.03,21531947.49,9851263.52,38028468.26,25905007.92,17860664.16,9926599.73,37564913.10,30971609.44,20763388.70,10685977.36,69261300.82,48190154.66,31883844.84,14966139.56,72400998.92,56403925.72,36652722.79,18928921.53,80229894.92,54608523.94,36722865.56,18745212.96,79688590.40,56977698.95,38050995.48,19132422.27,68320677.32,49374199.84,31193216.42,15638865.29,30367887.21,20992639.19,14014240.20,7727542.81,24910002.80,16760262.47,10917876.94,5241698.53,24050210.92,19262856.50,13684900.23,6582954.82,11643025.67,4996438.71,35779440.21,18395175.07,36297932.00,14743512.68,20476711.30,7948821.49,13897502.90,0,11639813.61,0,10347418.65,0,0,0,8327081.94,1564468.37,650410.86,360279.11,0,0,0,0,0.0
7,管理费用,272891715.45,179285474.08,93823592.38,430094807.82,281353012.59,217223408.58,107419805.54,576787235.00,359488470.41,238863595.81,120335269.00,425418261.15,269675086.90,167336474.25,69480005.09,212526597.70,125894777.73,78742734.06,26035862.85,86312416.05,147839736.32,96451145.06,52762270.61,227270029.02,175692017.96,127409818.70,57465259.14,221502790.98,175672891.82,113683200.19,47241425.12,159980661.76,105293570.07,69809367.45,30026346.22,185442128.06,124157982.01,79764558.18,35918141.68,189029017.56,139240915.28,88517466.32,40151466.73,164571957.81,143808768.64,98829319.90,49066635.19,239122383.76,146404123.67,96456807.36,48977087.73,205127535.82,141111903.71,91180197.54,42703922.49,191763892.61,155261886.39,101493403.61,47825494.86,174684960.99,103520859.71,71197263.47,33271291.64,142500075.96,97225526.45,63829235.89,31410420.08,122210619.39,83721933.70,52143531.35,19501213.87,82306375.30,37723098.66,95561400.14,43962435.98,84709639.39,30226280.52,68743281.37,32615122.68,63939734.11,0,44680807.03,0,34577647.46,0,0,0,11621414.72,3473683.22,12134285.61,0,0,0,0,0,0.0
8,财务费用,127015269.10,86243249.11,46006032.47,182499206.07,133179217.55,90160703.53,67821402.65,301234837.58,176640306.41,117787077.26,64684199.18,147122364.68,83182914.75,47345582.73,21047494.33,6343132.13,6662802.66,3732049.45,3918248.03,22912812.53,5984941.37,1957704.99,1034363.30,7820282.24,5780222.74,4369741.18,2723734.56,8967199.57,7366273.22,4981855.20,2483175.85,7745877.73,5239716.46,1513757.63,524384.85,14247578.51,12388279.17,9683144.02,5361238.92,31540191.27,25307872.06,17771685.36,10371257.29,44948173.37,33992716.56,25102657.83,10479893.91,39530926.49,29367958.37,18831016.25,8654205.33,39452508.73,30257487.36,19395289.26,9041772.15,38577234.54,26440001.94,17119604.04,7464761.46,29400712.94,21896740.19,14095510.99,5924412.13,27166724.93,21920838.15,14590028.82,7391350.66,25143147.21,20979456.21,13561624.62,5260782.61,22587264.42,15238474.45,31337828.57,14557619.95,19143383.90,9043504.04,14422165.29,9873515.20,15486290.17,0,9739328.33,0,8599284.49,0,0,0,-4977564.89,-5215502.87,2560745.22,0,0,0,0,0,0.0
