,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,56557960.10,34474494.38,11546400.66,84658925.46,58882160.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,-50000.00,51752657.11,17818765.85,17258569.62,-1274380.82,17019488.95,16078133.16,5761864.27,0,12241114.79,10284663.02,10284663.02,0,5947931.25,999470.86,999470.86,0,4514285.97,4314947.33,4464664.27,0,1407438.48,477412.97,477412.97,0,42458.60,531810.92,565170.92,0,1097664.18,1736860.20,1733199.80,0,3074724.41,2715.65,2715.65,0,174330.19,189125.00,189125.00,0,235722.83,442949.20,527564.81,0,192053.32,309948.73,-8591.35,-549797.03,282538.40,-276358.80,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,14195740.68,13472707.80,0.00,23202350.37,9167431.15,2071545.96,420582.89,206042.20,0,0,0,0,0.00,0,0,147076.37,147076.37,0,0.00,-607919.02,-607919.02,-607919.02,-607919.02,-3115449.81,-845498.46,-551604.39,-160456.60,-3689.43,173109.88,171693.47,-114237.25,-1894909.28,-893565.07,-509283.93,0,-655357.53,0,0,0,-235346.44,0,0,0,10958.90,10958.90,10958.90,0,0,0,0,0,0,0,0.0
13,其中:对联营企业和合营企业的投资收益,0,0,0,1205096.91,154677.43,0,0,0,0,0,0,0,0,0,0,0,147076.37,0,0.00,-607919.02,-607919.02,-607919.02,0,0,0,0,0,-3689.43,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,116122510.92,81313661.44,6252358.27,139703412.08,85655045.79,68430900.24,-6284543.81,119425804.47,69581977.74,29917350.84,9918822.57,90852989.82,76274121.25,42373796.83,8608255.99,48762513.15,37282417.95,21032421.47,3468497.70,50902189.69,36792088.98,23041402.00,8835521.50,33211686.91,24389913.71,6859434.37,811502.39,17622965.79,11424841.84,5783852.53,39523.12,37005849.86,33481773.24,31337791.80,13024616.24,23592252.28,13487747.18,3053825.87,157902.92,16335487.11,12530607.15,4512368.82,719490.45,31547204.84,23734032.27,20520592.38,8201795.44,56968091.18,32037698.10,26215569.92,9740622.97,61472244.69,44330437.50,0.0
16,加:营业外收入,5690500.45,5549800.79,3768054.86,5719267.31,5248339.21,4332219.40,1896341.91,16974811.18,14575881.84,4285473.08,2119017.55,12889328.46,9500193.29,6388087.56,2071282.40,18707727.60,11842583.12,6756617.14,4292818.25,40050970.07,25809453.07,17536267.13,8246484.01,43405729.54,22092877.00,549978.88,277458.00,2722649.39,1673815.37,1331496.79,487878.95,4773082.70,1747220.13,485985.55,16842.50,2719205.91,1003417.75,272345.89,113611.74,6032128.99,2724541.16,2087344.86,5000.00,2000929.15,1841254.35,269865.18,1200.00,5186022.11,540830.66,397950.00,10.00,210888.30,2421.27,0.0
17,减：营业外支出,1395768.06,2367572.05,750006.61,532745.77,284816.20,35398.38,30000.00,5132754.26,4367778.88,225625.97,17217.31,1476725.04,841007.26,712661.69,500.00,134053.62,105419.77,39142.37,21760.05,757940.69,356915.91,345691.18,119366.11,1203938.67,464151.44,326740.25,50517.75,225251.07,18173.92,12283.19,12183.17,2755062.75,35386.87,4753.84,0,300010.81,25715.31,19772.37,57.75,48037.64,27154.75,14404.75,14354.75,977068.02,221903.70,139539.26,12256.76,801623.73,798138.62,713952.46,0,1478659.16,796198.32,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,3889792.05,25625.97,17217.31,610910.87,582607.26,555761.69,0.00,102354.21,73597.64,7742.96,6859.56,724407.94,301216.02,290295.87,0,1105854.53,375435.69,325452.16,0,17173.38,0,12083.17,0,2717683.69,0,0,0,0,0,0,0,0,-773410.26,0,254.75,783933.24,-221838.26,-248215.18,0,544813.72,564034.17,562533.17,0,115848.11,65621.77,0.0
19,四、利润总额,120417243.31,84495890.18,9270406.52,144889933.62,90618568.80,72727721.26,-4418201.90,131267861.39,79790080.70,33977197.95,12020622.81,102265593.24,84933307.28,48049222.70,10679038.39,67336187.13,49019581.30,27749896.24,7739555.90,90195219.07,62244626.14,40231977.95,16962639.40,75413477.78,46018639.27,7082673.00,1038442.64,20120364.11,13080483.29,7103066.13,515218.90,39023869.81,35193606.50,31819023.51,13041458.74,26011447.38,14465449.62,3306399.39,271456.91,22319578.46,15227993.56,6585308.93,710135.70,32571065.97,25353382.92,20650918.30,8190738.68,61352489.56,31780390.14,25899567.46,9740632.97,60204473.83,43536660.45,0.0
20,减：所得税费用,13848586.03,12747734.30,4417750.07,20544416.46,15028882.33,12487384.18,557579.52,22026403.07,12370479.64,6792826.30,1184796.43,14497370.90,13412411.67,7809844.67,1051350.41,7550234.32,5835227.10,3308729.96,883474.00,9663897.79,8621523.68,6467761.27,2356073.19,11388166.74,6693266.22,1990800.44,376881.32,6281853.00,3866177.72,2010871.87,295690.77,5952278.73,8001496.64,8070748.51,1819976.30,4098580.82,2650590.73,768119.36,118975.49,1299776.13,878099.67,878099.67,171480.03,4717862.14,3317614.45,2866655.86,1491320.77,9966071.86,4878341.28,3916012.05,1628138.07,8358607.91,6048221.05,0.0
21,五、净利润,106568657.28,71748155.88,4852656.45,124345517.16,75589686.47,60240337.08,-4975781.42,109241458.32,67419601.06,27184371.65,10835826.38,87768222.34,71520895.61,40239378.03,9627687.98,59785952.81,43184354.20,24441166.28,6856081.90,80531321.28,53623102.46,33764216.68,14606566.21,64025311.04,39325373.05,5091872.56,661561.32,13838511.11,9214305.57,5092194.26,219528.13,33071591.08,27192109.86,23748275.00,11221482.44,21912866.56,11814858.89,2538280.03,152481.42,21019802.33,14349893.89,5707209.26,538655.67,27853203.83,22035768.47,17784262.44,6699417.91,51386417.70,26902048.86,21983555.41,8112494.90,51845865.92,37488439.40,0.0
22,归属于母公司所有者的净利润,108176714.96,73233730.30,5973364.21,123679724.13,75069617.02,61020493.75,-2930903.47,108480949.42,66906613.00,25689050.67,10253601.39,83972382.26,68783992.68,38693211.51,8967184.08,54864865.59,39556615.34,22100806.92,6139786.43,72889698.29,47971064.64,29805778.29,12914268.16,48521094.74,25733172.89,3290850.92,139871.51,12117702.83,7967175.78,4683518.78,128651.41,32490796.82,26781376.45,23646964.31,11114729.43,21636963.51,11709136.51,2494429.00,145753.13,21118967.23,14373964.63,5702656.05,581163.52,27845831.29,22064870.99,17850419.22,6691015.36,49954204.50,25581676.84,20549553.64,8001736.11,50168941.90,36513006.59,0.0
23,少数股东损益,-1608057.68,-1485574.42,-1120707.76,665793.03,520069.45,-780156.67,-2044877.95,760508.90,512988.06,1495320.98,582224.99,3795840.08,2736902.93,1546166.52,660503.90,4921087.22,3627738.86,2340359.36,716295.47,7641622.99,5652037.82,3958438.39,1692298.05,15504216.30,13592200.16,1801021.64,521689.81,1720808.28,1247129.79,408675.48,90876.72,580794.26,410733.41,101310.69,106753.01,275903.05,105722.38,43851.03,6728.29,-99164.90,-24070.74,4553.21,-42507.85,7372.54,-29102.52,-66156.78,8402.55,1432213.20,1320372.02,1434001.77,110758.79,1676924.02,975432.81,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.197000,0.130000,0.010900,0.230000,0.136700,0.110000,-0.005300,0.210000,0.130500,0.060000,0.024800,0.200000,0.166300,0.090000,0.021700,0.130000,0.096000,0.050000,0.020000,0.180000,0.116000,0.070000,0.050000,0.200000,0.110700,0.015600,0.000700,0.061200,0.040300,0.023700,0.000700,0.164200,0.135300,0.119500,0.056200,0.110000,0.060000,0.010000,0.000700,0.110000,0.070000,0.030000,0.002900,0.160000,0.130000,0.110000,0.045000,0.340000,0.170000,0.140000,0.055000,0.340000,0.250000,0.0
26,稀释每股收益(元/股),0.197000,0.130000,0.010900,0.230000,0.136700,0.110000,-0.005300,0.210000,0.130500,0.060000,0.024800,0.200000,0.166300,0.090000,0.021700,0.130000,0.096000,0.050000,0.020000,0.180000,0.116000,0.070000,0.050000,0.200000,0.110700,0.015600,0.000700,0.061200,0.040300,0.023700,0.000700,0.164200,0.135300,0.119500,0.056200,0.110000,0.060000,0.010000,0.000700,0.110000,0.070000,0.030000,0.002900,0.160000,0.130000,0.110000,0.045000,0.340000,0.170000,0.140000,0.055000,0.340000,0.250000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,106568657.28,71748155.88,4852656.45,124345517.16,75589686.47,60240337.08,-4975781.42,109241458.32,67419601.06,27184371.65,10835826.38,87768222.34,71520895.61,40239378.03,9627687.98,59785952.81,43184354.20,24441166.28,6856081.90,80531321.28,53623102.46,33764216.68,14606566.21,64025311.04,39325373.05,5091872.56,661561.32,13838511.11,9214305.57,5092194.26,219528.13,33071591.08,27192109.86,23748275.00,11221482.44,21912866.56,11814858.89,2538280.03,152481.42,21019802.33,14349893.89,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,108176714.96,73233730.30,5973364.21,123679724.13,75069617.02,61020493.75,-2930903.47,108480949.42,66906613.00,25689050.67,10253601.39,83972382.26,68783992.68,38693211.51,8967184.08,54864865.59,39556615.34,22100806.92,6139786.43,72889698.29,47971064.64,29805778.29,12914268.16,48521094.74,25733172.89,3290850.92,139871.51,12117702.83,7967175.78,4683518.78,128651.41,32490796.82,26781376.45,23646964.31,11114729.43,21636963.51,11709136.51,2494429.00,145753.13,21118967.23,14373964.63,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,-1608057.68,-1485574.42,-1120707.76,665793.03,520069.45,-780156.67,-2044877.95,760508.90,512988.06,1495320.98,582224.99,3795840.08,2736902.93,1546166.52,660503.90,4921087.22,3627738.86,2340359.36,716295.47,7641622.99,5652037.82,3958438.39,1692298.05,15504216.30,13592200.16,1801021.64,521689.81,1720808.28,1247129.79,408675.48,90876.72,580794.26,410733.41,101310.69,106753.01,275903.05,105722.38,43851.03,6728.29,-99164.90,-24070.74,0,0,0,0,0,0,0,0,0,0,0,0,0.0
