,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20071231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,7062735038.19,4584043268.23,3012768880.67,1559319100.54,6016098403.66,3883998123.85,2696055246.11,1424863578.68,5299588469.95,3618069973.53,2372610146.00,1288897395.60,5164075575.87,2985726990.32,2201993314.30,1176450811.93,4829487170.53,2520094907.16,1640152831.68,846600554.83,4255622147.28,2826546877.44,2008779336.93,907470821.82,3366376084.61,2190099946.39,1451068495.40,677634234.28,2888276885.17,1831056488.70,1164268826.24,508411738.16,2284304666.95,1602881583.07,991370891.27,428086480.92,1962375846.90,1248844070.00,845164538.36,333656906.38,1680221993.76,1065494268.19,755658320.91,361322081.65,1333413833.85,1197016128.79,0.0
2,营业收入,7062735038.19,4584043268.23,3012768880.67,1559319100.54,6016098403.66,3883998123.85,2696055246.11,1424863578.68,5299588469.95,3618069973.53,2372610146.00,1288897395.60,5164075575.87,2985726990.32,2201993314.30,1176450811.93,4829487170.53,2520094907.16,1640152831.68,846600554.83,4255622147.28,2826546877.44,2008779336.93,907470821.82,3366376084.61,2190099946.39,1451068495.40,677634234.28,2888276885.17,1831056488.70,1164268826.24,508411738.16,2284304666.95,1602881583.07,991370891.27,428086480.92,1962375846.90,1248844070.00,845164538.36,333656906.38,1680221993.76,1065494268.19,755658320.91,361322081.65,1333413833.85,1197016128.79,0.0
3,二、营业总成本,6638110937.77,4473680196.79,2975816579.57,1545651022.29,5756927877.01,3871643116.52,2693389841.99,1411563329.90,5046521973.75,3596183650.71,2386708708.19,1277178624.37,4890276605.23,2955041862.14,2214986269.55,1164414719.04,4648769211.21,2468611341.30,1636579381.91,834641713.71,4077222461.43,2730273790.38,1937811344.97,894333016.19,3206196617.25,2090499401.90,1378291794.91,657026787.42,2750962192.83,1735281157.87,1093315206.42,490433458.64,2157994768.41,1514895288.72,931459522.98,411184464.12,1867790644.64,1184023585.64,806036438.75,321673889.66,1607895072.39,1033394802.33,723927348.53,356734815.99,1290715379.92,1145274720.18,0.0
4,营业成本,5331098447.37,3488901834.13,2304959659.01,1186996384.54,4679606448.24,3069522929.67,2188516332.63,1167817064.30,4132356125.50,2991782289.14,1955312895.13,1097478178.74,4151927592.24,2408548685.27,1848592007.42,998883168.62,4014689740.69,2056549785.74,1364219000.03,727171554.77,3552336013.70,2377182535.23,1701994274.38,791521184.99,2788463318.04,1831033278.43,1212240410.07,585700763.18,2447517149.41,1545322726.83,962739827.43,417529287.40,1884734527.73,1321992281.45,797451962.25,356804665.83,1651718485.93,1033853574.71,706796643.13,278890226.74,1418504561.70,905766048.49,632681384.47,317809461.41,1132693228.79,1027618891.98,0.0
5,营业税金及附加,26980950.97,14012367.65,8369989.96,2334298.44,27243888.09,10648361.53,8690552.75,3059712.08,19087358.09,5300804.13,2404690.33,1195107.61,4389338.29,-427779.51,-3888035.57,3814337.08,28234232.92,13109414.73,7502687.53,3148705.45,24526369.65,13677221.34,9291233.92,4085991.44,26710539.89,14953384.64,7849736.85,2298904.70,36436206.52,18637345.21,15394697.21,7066444.99,35004192.93,23700246.35,15199433.06,4596087.66,30249948.56,18818909.58,12516149.73,5084868.96,24474145.34,13358064.51,12045986.61,4621423.80,22068738.46,17394620.30,0.0
6,销售费用,190330323.78,140527731.17,91883043.69,27186238.73,108318839.01,76668817.24,41516418.93,22509762.39,98629428.35,59415034.49,41222390.24,17095473.02,66219554.97,47309950.95,32242538.75,15221965.91,63897607.24,42239375.71,27623419.23,11270664.85,67818308.79,48767710.16,31906618.50,13375408.19,45360469.47,29998885.88,18503312.80,9747650.20,64415958.66,44791428.05,29497508.34,14537541.57,53561562.57,38136088.08,26009167.66,11317053.44,46070188.37,32844013.51,20965885.23,8764774.22,46392167.20,31589733.33,23605027.66,7871873.89,43949491.17,37062614.75,0.0
7,管理费用,862110504.42,679688731.82,475472444.04,281925637.75,696050689.90,555592816.22,403435159.23,202183030.92,719252795.77,475843596.24,348237770.28,146904927.01,600460786.14,434734229.22,294244355.63,142423349.65,492456586.91,335647334.52,223211683.36,92594280.50,405131552.43,285513409.21,189718540.53,87409139.66,322711349.03,207609401.55,130990816.47,61622622.15,195202200.87,131911956.70,88254308.96,56876265.84,185790958.97,133675797.75,90012603.94,42225482.56,137957287.22,99090236.72,63298573.14,30365546.59,109391301.30,81596386.00,51494896.98,26403107.68,83007646.96,47723084.12,0.0
8,财务费用,24597981.52,30717179.25,17941331.89,6945100.55,13902364.32,29343801.98,16950140.30,7778678.48,14573415.87,27737883.42,15954071.13,8478662.76,17869377.76,16667999.73,8992501.33,4071524.30,7795637.40,5922921.52,581651.74,372838.39,-959570.47,-1642162.19,-2505042.34,-2058708.09,-7635441.51,-6293902.24,-4490834.92,-2343152.81,-12990663.86,-10883438.65,-8072275.25,-5547753.13,-18653842.37,-13898750.46,-8556051.72,-3758825.37,-11384709.13,-7278874.89,-4236538.49,-1414362.12,700897.56,526911.43,524080.04,28949.21,653550.83,3260269.92,0.0
9,研发费用,202992729.71,119832352.77,77190110.98,28331417.94,163139797.46,63130009.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,11931944.34,68665849.99,66736380.75,34281238.15,8215081.73,62622850.17,36104043.29,23576891.08,6026275.23,49409955.83,48208776.48,34802901.99,373.48,41695406.05,15142509.08,13440940.02,83669.75,28369787.33,6775076.63,7405719.98,0,30586382.33,13198353.64,13198353.64,0.00,20381341.23,5501139.73,5501139.73,-28328.03,17557368.58,11289625.55,11342407.79,0,13179443.69,6695726.01,6695726.01,-17164.73,8431999.29,557658.57,3575972.77,0,8342723.71,12215239.11,0.0
11,公允价值变动收益,-35615.07,-39572.30,27700.61,98930.75,-83101.83,-146417.51,-47486.76,63315.68,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0,0.00,0,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,1678020.63,-291356.88,1071496.23,582535.43,1387473.14,-2016358.76,-1819965.25,-1849182.23,593389.99,-3223218.55,-3430658.99,-1410302.82,-46298.98,-9698760.18,-6652598.74,-2319883.63,1478746.25,-4353194.04,-2815659.88,-471059.44,2096792.19,-3203477.57,-2077946.32,-254824.78,1923465.34,-1381475.93,-1942194.88,-309056.45,1002666.77,129841.62,-38766.01,295067.53,3501231.16,1158056.12,525683.71,0,1604299.48,858819.17,1611875.86,-127755.71,-494334.19,-262884.36,-262884.36,0,-697229.39,9388214.55,0.0
13,其中:对联营企业和合营企业的投资收益,-754376.37,-461284.49,901568.62,412607.82,1217545.53,-2016358.76,-1819965.25,-1849182.23,-1689882.52,-3223218.55,-3430658.99,-1410302.82,-188778.20,-9698760.18,-6652598.74,-2319883.63,1115132.58,-4353194.04,-2815659.88,-471059.44,1993544.51,-3519785.16,-2383831.99,-405161.45,1826062.69,-1381475.93,-1942194.88,-309056.45,1793192.78,487299.14,318691.51,295067.53,2406437.38,1158056.12,0,0,1604299.48,0,0,0,-494334.19,0,0,0,-758929.39,5890.09,0.0
14,汇兑收益,0,0,0,0,0,0,0.00,0,0,0,0.00,0.00,0.00,2231165.92,1666712.44,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
