,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,522537970.63,283124252.34,108524821.52,648200560.82,503611185.45,266811256.99,109670074.96,539440636.97,393842834.08,214866324.32,91969428.86,451356538.90,354394534.84,201536192.45,91974525.19,428640675.90,330189432.67,171835656.44,70478186.74,386299350.50,289947955.59,154049194.95,61515389.96,342795432.43,267927987.66,141274398.62,50536192.99,369832444.93,284638709.42,145641774.51,42984272.18,375442678.81,291988396.89,153428363.17,42333051.36,338991561.60,249609137.17,152090556.34,38242508.15,247895139.40,186925894.30,92745449.41,33774518.50,181568775.23,127719616.89,71038779.55,28981360.69,169779630.94,126567963.69,69412349.29,22679150.90,184119694.53,136861410.79,73408304.61,161981709.72,159285702.60,0.0
2,营业收入,522537970.63,283124252.34,108524821.52,648200560.82,503611185.45,266811256.99,109670074.96,539440636.97,393842834.08,214866324.32,91969428.86,451356538.90,354394534.84,201536192.45,91974525.19,428640675.90,330189432.67,171835656.44,70478186.74,386299350.50,289947955.59,154049194.95,61515389.96,342795432.43,267927987.66,141274398.62,50536192.99,369832444.93,284638709.42,145641774.51,42984272.18,375442678.81,291988396.89,153428363.17,42333051.36,338991561.60,249609137.17,152090556.34,38242508.15,247895139.40,186925894.30,92745449.41,33774518.50,181568775.23,127719616.89,71038779.55,28981360.69,169779630.94,126567963.69,69412349.29,22679150.90,184119694.53,136861410.79,73408304.61,161981709.72,159285702.60,0.0
3,二、营业总成本,426057166.94,279817403.66,139890805.24,560605595.45,406577538.71,261169844.78,124669669.66,497283393.93,346001166.17,227060091.08,112864319.85,442773312.64,314272441.86,202712081.05,98249486.02,392731010.36,290092981.91,183395062.18,87718098.88,381752852.24,282471972.83,174537976.63,85682739.35,339264528.92,257289102.28,162040157.57,79366771.77,342442274.76,256327834.45,154877054.77,70615953.29,296669375.96,219872716.54,134275889.03,54488395.35,278912995.45,205005766.79,136511239.16,45800348.62,194897575.16,143759936.96,79786654.06,32546547.34,149651681.78,103851423.62,61782049.25,30052459.36,134709291.16,96886717.32,57397683.84,25168226.33,150017591.09,114475625.58,66453120.26,137347480.37,127025942.99,0.0
4,营业成本,217622145.07,132439195.64,60738902.58,287710793.61,220898124.81,135164127.59,60954220.80,254517479.22,180767538.29,112941464.60,54229955.54,220300272.38,161370167.27,100031166.19,46870161.57,205959988.53,157147705.40,95007095.43,43692325.49,193683962.64,144284278.50,89156014.36,38803795.23,179873200.37,138629042.59,83959740.84,37306829.24,182421204.27,134783817.18,78321838.02,30640459.37,165319153.50,122526391.75,69058831.32,21954690.62,164098274.52,119926349.46,79122939.98,20185323.94,103493573.20,75349006.96,38348023.77,13744431.53,80898066.41,57551797.97,34627539.37,14617990.04,73636024.20,52186598.98,30286982.09,9835053.28,100985496.19,78871108.20,42281561.22,86635804.73,74103308.13,0.0
5,营业税金及附加,4239229.72,2686435.77,1173062.96,6170065.41,4355961.19,2611712.27,1290416.47,5990227.26,3479709.91,2040235.08,871101.89,8976740.49,7432492.16,6849300.89,4381224.88,21760880.29,16650283.15,8534838.56,3332720.44,20725191.83,15525892.39,8077711.55,3177194.86,17440556.97,13676305.65,7169429.72,2429369.33,19110132.68,14754324.33,7331025.95,2070034.19,20271097.21,15368269.81,8067198.07,2123669.87,18061238.11,12910932.38,8007425.97,1844427.59,12897744.73,9306900.51,4563933.88,1658927.74,9382657.30,6504383.80,3592308.39,1447370.17,8838805.52,6544658.74,3485950.89,1119864.40,7424005.44,5145634.50,2954016.52,6888205.22,6613385.53,0.0
6,销售费用,21489118.85,13905771.74,3107662.98,37546631.37,19646398.60,12496011.41,3682381.67,27655610.12,17640116.60,12231406.17,5148054.88,31235459.52,24027199.21,15199496.27,4802422.09,26614366.38,18462588.84,10111659.92,3266792.60,22939458.73,16343590.38,10462495.11,3543850.13,20288078.65,14538111.81,8853143.54,3198523.03,22190459.62,15790944.02,9226051.55,3695073.62,19966773.14,14439753.64,8037102.39,3293089.77,19555393.58,15070253.66,9854337.14,3293870.90,14169906.27,10516955.22,5291087.89,1823017.41,11800763.53,4151404.46,3105137.98,1515208.41,6778403.46,5480905.64,3243012.76,1578742.60,5321683.39,3763234.29,2626158.09,4717109.27,8691118.31,0.0
7,管理费用,101142253.76,75374877.68,48568228.36,128705603.95,96371225.50,68812757.27,39078288.74,130721009.92,95780432.82,68366022.19,41119094.85,125392647.55,84488015.85,59342905.64,30389614.33,92172354.19,69079958.65,45831254.98,24957643.43,81060390.33,62048002.12,41144032.62,24323382.87,73224028.54,57478981.75,40231469.92,25267042.71,71054113.30,53163157.03,36944550.44,22205926.30,55906973.18,42868969.39,28079557.90,15910612.34,49974812.64,37062933.97,25937942.67,13410678.45,44223300.37,33878633.18,20623466.08,10147016.03,33517362.07,24041843.10,15128429.59,8318669.15,25349852.80,17992402.21,11858974.54,6854074.21,21624619.31,15642242.54,11109811.44,23280934.77,22726992.96,0.0
8,财务费用,81564419.54,55411122.83,25039785.96,88038455.64,60753239.71,40254480.24,18173373.70,73704028.02,47210765.97,31062366.13,13987004.09,56274513.50,38486825.68,25534880.30,11286360.25,49291061.78,36658219.69,23663021.82,11638614.33,55224880.04,41771396.49,26101296.55,11885594.15,44684413.98,33710332.18,22811060.69,11376661.02,45597390.66,34424469.53,23112336.30,12070577.10,36657253.45,26975442.98,17351420.05,7608682.46,25195954.99,18381507.32,11860256.32,5596342.88,18919594.83,14066000.47,10181752.41,4363443.92,16408235.11,13331626.54,8722202.82,4413892.48,18916202.34,13310365.76,8522763.56,3971286.89,14411478.19,11053406.05,7481572.99,14890961.47,14258652.42,0.0
