,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20011231,20010630,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3098589147.60,1803596554.74,799358553.33,3593748474.73,2619605479.02,1810606829.09,807235699.98,10017096584.81,8937436137.93,7602005086.46,4706750585.35,7038031575.41,5637602573.06,4296050841.95,1110844021.38,5698189844.82,2613595339.74,1685548440.11,851329625.45,3843282174.87,2971554422.45,1965194138.37,912917783.06,3654653388.78,2710149857.21,1776936178.32,826448579.30,3611827711.15,2674360387.26,1652084553.10,755214353.52,3396335506.95,2408867159.52,1527547977.87,650981235.89,3169507833.62,2339035693.73,1528560869.92,727507892.85,3762565048.97,1981627909.37,1223381655.54,563847183.83,2640024151.48,1766824671.71,1325707126.86,419692741.56,2906188617.22,1293455647.85,817572692.59,369741492.17,1871346227.81,1219396273.45,813918875.94,339339044.46,1570746319.64,932413362.44,602193287.57,237846002.44,1361450879.09,939560272.31,634765791.22,351569112.84,1137967897.57,662187027.52,412414513.02,141372989.92,763060881.39,317862886.96,188940631.02,394044012.85,168428776.41,417993149.21,274007461.65,0.0
2,营业收入,3098589147.60,1803596554.74,799358553.33,3593748474.73,2619605479.02,1810606829.09,807235699.98,10017096584.81,8937436137.93,7602005086.46,4706750585.35,7038031575.41,5637602573.06,4296050841.95,1110844021.38,5698189844.82,2613595339.74,1685548440.11,851329625.45,3843282174.87,2971554422.45,1965194138.37,912917783.06,3654653388.78,2710149857.21,1776936178.32,826448579.30,3611827711.15,2674360387.26,1652084553.10,755214353.52,3396335506.95,2408867159.52,1527547977.87,650981235.89,3169507833.62,2339035693.73,1528560869.92,727507892.85,3762565048.97,1981627909.37,1223381655.54,563847183.83,2640024151.48,1766824671.71,1325707126.86,419692741.56,2906188617.22,1293455647.85,817572692.59,369741492.17,1837446256.11,1189810266.83,798069953.54,331734634.27,1544001783.13,909604696.67,587364277.32,231656898.91,1346203067.23,928625666.73,627801471.20,348852702.27,1126901569.54,654994668.59,407976081.83,139130916.36,752686000.23,310859394.24,184358580.06,385376532.06,164653800.00,408079556.59,267756095.70,0.0
3,二、营业总成本,1838484001.84,989226948.18,522626233.79,3312443025.87,1964248371.64,1335782010.59,606987003.19,8003365645.38,7227792537.79,6231172143.53,3830307482.05,5356665053.35,4557354011.59,3505789224.71,827947654.08,4749071590.52,2203307193.92,1401396113.74,693796210.15,3331819623.51,2513970274.07,1673040320.42,754804308.88,2754374756.74,1941155248.18,1267316700.80,553259321.33,2735195190.25,1936748619.07,1185724908.28,486293040.80,2582127317.61,1700693411.90,1041855205.51,384387528.93,2092757100.50,1443724296.30,935469451.40,421944540.56,2512392376.56,1179705765.60,718148025.09,302344436.24,1819918248.31,1185707580.98,924993707.76,239544374.14,2349302738.97,956037825.32,606521951.03,266737126.19,1425895781.79,878866813.68,601241142.60,265013702.08,1276221090.69,724275674.47,462983666.72,186969044.91,1208835136.27,819151248.83,544818823.55,301809668.27,1037105237.70,581857232.26,361526681.28,119580586.54,705078202.13,280805067.48,165922109.91,351539157.33,143028351.50,376196202.03,243724194.77,0.0
4,营业成本,1157941468.20,642682794.18,293815708.33,1819996958.47,1301385812.22,878927921.28,401004807.94,6755473474.95,6223715096.72,5457202331.81,3424233086.35,3982078762.34,3329921119.41,2544516008.48,562287971.94,3362324662.95,1306105215.20,837145192.06,396462980.11,1992563236.05,1542081728.69,964147935.86,419915171.67,1815874669.60,1325742720.68,863987858.52,368271780.09,1888640773.02,1382454416.39,813642223.25,330181472.76,1770307399.22,1198105240.49,742840417.33,292790811.77,1596001829.59,1140144124.46,735394796.24,329200295.67,1992703643.79,897637093.96,524558555.29,205487273.36,1327661119.70,882513433.35,725509114.29,158714622.31,1830774819.32,641924023.80,371493972.51,133623807.37,1030287861.80,603616451.16,406944615.75,162627496.19,971220856.82,565278845.82,356879357.25,120000792.55,978352980.51,664887409.41,440460186.89,243133077.69,719563051.16,366972120.73,225666548.77,75450398.26,530434905.61,192962519.82,106118094.05,231822560.27,83228154.63,255742002.06,149988610.54,0.0
5,营业税金及附加,183761704.82,89069721.05,39356917.53,238554820.77,166566714.56,108520658.97,57775225.27,560334712.39,491696304.95,415208741.36,267446034.04,524186064.56,318226224.18,263288798.07,65919641.14,384529910.62,123505453.42,80490833.78,41035399.95,191807453.79,150165925.98,98629835.27,47874322.82,155677171.87,112794298.04,75297308.86,37350713.58,155514832.85,112181202.66,75732593.27,36720082.79,152167720.92,109830578.17,68474575.26,30711545.23,136885750.13,107878172.68,72609924.28,35023200.88,197553571.59,89858720.15,58205717.88,29940644.88,148935723.51,105634936.40,84752739.88,20844002.02,132867194.85,51718705.62,34723620.27,17888248.59,79341697.44,53041943.16,37449700.10,15919082.28,58118065.56,33263040.37,21430632.56,10135197.27,40963816.18,30048308.30,23785930.18,17614223.99,25230466.08,17904456.62,11929902.72,5997568.37,22238555.92,7634211.06,5095466.54,11370927.43,6370668.51,10097466.07,8015191.65,0.0
6,销售费用,85646445.83,47375102.54,23670598.25,120312847.63,75191744.82,55854074.13,15220784.84,147967961.03,111781975.05,74915762.86,27273421.46,176647263.01,140433991.60,77151899.02,29668082.70,240245769.93,149000728.95,98993536.33,48082896.26,195540179.09,163993832.89,128935804.65,62366063.24,110846931.46,74993466.11,45592836.80,18435136.85,155218158.12,123546096.80,81910962.68,37797520.78,130461748.36,84734652.87,47923709.87,22912178.63,121125949.48,78907662.61,52574796.91,27080538.53,118867793.24,61801157.83,38160080.77,26951879.54,119752129.07,91851351.52,39771255.80,30113693.13,166998280.04,107101978.29,83973486.73,48434752.83,134838431.78,98753647.07,59003055.52,36011500.00,104466584.29,55543448.97,33907863.15,21925714.10,86910919.58,61045852.39,38518699.18,14878402.87,200941963.59,126508404.19,86005281.90,19534128.64,82959663.25,42871294.15,28323812.46,66764833.77,29179935.10,45026037.30,36886646.24,0.0
7,管理费用,227624638.20,116426201.46,58866163.26,290861850.74,222904360.58,165739505.32,67411808.06,313999321.94,223507773.86,159075402.86,63604473.36,280577712.16,355772537.76,252639490.35,98291974.84,382851945.12,290710423.93,146100789.21,88557160.42,472892331.29,316933890.84,265079684.23,123665387.17,446873392.22,275883666.82,193855092.52,90680308.64,331714683.68,181427686.07,131796911.89,45959982.70,311282258.74,164239811.55,122058313.97,36083983.00,200714080.58,119655849.41,78863508.46,31643898.75,205509422.97,132158346.72,98285920.42,38356432.67,213364218.96,113525503.10,76563693.59,33300386.53,224192785.80,157963942.63,119536037.86,68397826.58,182207524.77,123218648.60,96881222.96,50051304.47,127851405.52,62670562.26,44366264.48,32394138.91,97476700.78,53039427.42,33705396.62,21835811.97,94468114.76,72403752.76,42410081.95,18066743.05,66035431.33,36921451.71,23737390.95,36228867.38,21383740.54,61909187.21,46107708.66,0.0
8,财务费用,175349383.66,87705461.59,100702338.51,271010189.76,203808071.45,132767726.67,71029168.45,194452446.81,158444812.00,105744854.56,47763601.05,114102133.93,130857748.76,86502846.92,47093924.66,360523918.32,334896697.97,239608662.48,119658910.41,470689214.18,338501172.91,213962867.14,100997425.69,226263594.30,150401460.71,87289270.32,38520782.17,202669511.05,137358647.45,83361503.97,35633981.77,216876735.77,143246224.96,60551666.04,1889010.30,36794044.34,-3029585.51,-2630204.83,-1003393.27,-2558087.31,-1812700.95,-1128008.10,1609919.41,11157836.26,-7822510.56,-2832608.43,-3428329.85,-3713492.16,-2670825.02,-3205166.34,-1607608.18,-779734.00,236123.69,962548.27,404319.14,14564178.50,7519777.05,6399549.28,2513202.08,5130719.22,10130251.31,8348610.68,4348151.75,-3098357.89,-1931502.04,-4485134.06,531748.22,3409646.02,415590.74,2647345.91,5351968.48,2865852.72,3421509.39,2726037.68,0.0
