,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,11476895744.21,8013035019.72,4169227565.29,13055465761.55,9262895777.44,6420333520.43,3369965694.45,10394867493.46,7280027497.06,5116014346.10,2670359546.20,8303996837.62,5880861432.27,4269518789.20,2214524802.62,6900156926.63,5013670235.76,3696125200.11,1908910825.07,5353442161.34,4773854159.57,3637050521.08,1564804733.50,10431124740.82,8156317445.94,5255761162.90,3084890795.34,11556353850.89,8009254739.23,5192584203.75,3191989318.54,8427910004.45,5628271589.15,3564508740.06,2071112219.24,5370871771.66,3764932558.53,2451139643.79,1453994397.21,4370422479.87,3210702797.19,2203660711.55,1283797982.21,3798378737.77,3076885486.90,2110244730.97,1266763473.94,2926854519.88,1997676786.89,1294011990.72,680312976.43,1897205509.82,1365704211.13,1001591146.52,592534619.18,1467042382.55,1087765025.68,762767686.68,472685310.27,1288466244.89,965204552.21,685605766.54,398017312.70,1186241546.94,776951615.87,537422878.36,349391675.03,1053277131.41,782589020.59,546088926.21,334821980.40,995361198.25,498935374.28,943096890.75,467640771.87,1008432593.57,534959365.97,828386529.00,333427685.61,1070995622.80,420390442.34,964701975.31,417494500.00,719031083.47,384659900.00,319250679.06,140617000.00,225174056.00,216158013.17,142108020.76,0.0
2,营业收入,11476895744.21,8013035019.72,4169227565.29,13055465761.55,9262895777.44,6420333520.43,3369965694.45,10394867493.46,7280027497.06,5116014346.10,2670359546.20,8303996837.62,5880861432.27,4269518789.20,2214524802.62,6900156926.63,5013670235.76,3696125200.11,1908910825.07,5353442161.34,4773854159.57,3637050521.08,1564804733.50,10431124740.82,8156317445.94,5255761162.90,3084890795.34,11556353850.89,8009254739.23,5192584203.75,3191989318.54,8427910004.45,5628271589.15,3564508740.06,2071112219.24,5370871771.66,3764932558.53,2451139643.79,1453994397.21,4370422479.87,3210702797.19,2203660711.55,1283797982.21,3798378737.77,3076885486.90,2110244730.97,1266763473.94,2926854519.88,1997676786.89,1294011990.72,680312976.43,1869375513.31,1349827095.59,990825285.89,588017118.34,1456644363.84,1084786921.69,760972912.84,474083291.26,1282250695.61,955341829.37,678352635.11,394025641.34,1177030672.87,774262690.55,534881374.15,348836426.38,1044804516.22,778800052.24,544183235.30,334386647.14,996675472.04,500095937.79,944976323.53,469220122.35,1014072119.87,535447520.13,826734355.17,333076500.47,1069550692.50,419629860.91,964352944.48,417325500.00,717142808.10,384040500.00,317112158.82,140616800.00,225141651.87,212678384.30,138756657.06,0.0
3,二、营业总成本,6572402883.75,4458613035.17,2172319134.09,8500077705.30,5636877318.92,3769912238.95,1902507960.50,7127810215.67,4684567415.18,3242249037.89,1589363525.87,5989074605.75,4026093553.41,2823557366.20,1422818142.37,5264795359.91,3573963688.34,2584286036.84,1204132082.66,4306501366.48,3144276029.59,2363220668.17,885690580.68,5846117190.34,4542706069.52,2815833281.01,1552852783.04,5845344808.12,3998256423.83,2483864813.96,1408391052.71,4433952669.96,2856713520.10,1773122160.75,924607479.86,2805018445.98,1937688216.39,1241269014.34,635515546.02,2572681701.14,1867795060.35,1270015407.10,696268905.22,2294054865.90,1824174906.84,1230898785.65,660541751.09,2023014070.69,1361128430.45,892009764.33,450238427.61,1411428332.64,1015133988.48,725907487.81,433438731.71,1315113189.48,956961996.45,641313723.30,377715666.92,1192689416.62,880406180.39,612845460.75,313669944.30,1082230200.15,703328671.43,461661332.29,269075794.05,986395153.29,715479568.82,482404383.19,265900317.10,880959251.33,422266360.18,730869987.05,366824437.20,840242203.31,440275136.03,621996483.78,260114965.22,694152127.85,0,664757894.15,0,477161827.70,0,316321564.48,0,209717349.04,181249743.61,109872692.06,0.0
4,营业成本,2172654981.84,1626443132.19,869158458.20,2934001858.91,2137312682.91,1610563692.10,853714667.66,2917815056.52,2013930592.42,1608122176.70,794321420.15,3119542278.93,2229026417.25,1740459925.61,943670270.99,3491746368.56,2319785949.32,1749297496.88,814741732.97,2804473426.42,2351520369.05,1808255549.68,679944366.74,4487145192.31,3522976365.86,2131583003.59,1201774644.36,3969533936.29,2803455394.86,1731889686.81,1008146577.60,2846009311.66,1862042983.58,1158350159.34,617037010.36,1643185783.51,1131665786.38,731841517.63,393367891.08,1457580348.60,1104916841.61,781632818.41,475631570.60,1288926156.68,1073610033.38,743069451.58,395796222.56,1260625606.13,845242582.74,541815312.43,281508880.66,814670744.42,571706872.66,423629886.78,254458767.23,673613474.95,485236978.36,340159736.38,213688100.03,595131743.49,452617311.20,325288609.16,182154114.77,555328924.81,359387301.17,234794045.41,152708321.18,439397367.44,334355807.62,204434214.22,128122512.42,361073019.38,168486695.22,321020405.54,173217593.86,373546579.87,204561379.83,333284100.88,135903741.55,367824472.37,0,385496425.23,0,287838366.47,0,230924053.05,0,122007542.16,88647501.72,52913028.53,0.0
5,营业税金及附加,1370467012.89,1027010927.88,480635489.75,1605835052.97,1059359353.25,720150367.44,343676887.54,1335106291.77,851776160.37,534732857.92,227799358.29,844638245.32,570039454.43,310197547.44,119005674.47,517981045.97,352105932.28,268946155.40,115395237.60,343613603.48,246447423.93,191450185.85,38883901.94,422696292.47,337577532.96,231696697.61,135738640.63,716616772.83,467458182.60,319058936.25,193300286.95,695230132.81,473613101.67,263993349.68,145218294.69,437864126.52,312814743.93,188233606.37,93749867.71,323762857.15,198016778.04,117579470.32,56926578.57,263437524.53,217569814.94,142247776.40,76302477.76,216580333.94,143418115.87,88495931.90,39450098.36,150477490.34,111987090.96,82566858.66,54718185.90,140778280.02,100738383.10,67142105.35,42264017.00,98857715.17,75677671.99,53892688.80,30233546.78,107356905.42,70779265.91,50115364.74,34166629.48,144044956.21,107440631.60,85116360.25,54791506.99,151530004.35,66245250.45,131879703.08,65380889.82,126369454.84,70212547.29,95415693.06,36823549.98,130744295.92,0,161984524.50,0,112366458.18,0,56902083.79,0,56716770.80,61427199.48,38032995.31,0.0
6,销售费用,2604722662.38,1538501721.21,705681656.98,3392721432.33,2082699374.83,1191394040.90,613479475.43,2411884522.31,1462500453.61,859888919.13,442424014.38,1539282364.18,931219194.57,594942505.35,286655519.55,873874602.76,634731899.78,398706265.65,194266810.11,579235957.08,300628633.29,203829309.12,89777647.11,679982283.84,446517812.24,266664479.78,128245107.97,664880001.14,397390298.07,243892758.58,112314175.69,389549268.39,202261803.89,135702542.16,66751157.14,323368124.96,225809213.14,148575472.61,77456224.35,499371204.14,351762643.10,253339139.77,110003374.32,512788495.96,377061604.63,242156703.25,146866260.67,352412250.41,233772770.55,177510181.63,92723522.78,294169553.35,214566407.34,139636686.65,88270586.76,348865766.53,278897505.81,178015628.71,97864778.03,320787404.48,236581272.67,153921868.32,69429815.88,258130614.63,172659684.44,106076136.61,54461504.55,235333484.64,176613473.81,125483611.23,55344005.92,233375675.93,122424658.21,165173605.59,70254076.94,192141019.32,111670587.56,95770916.97,37241633.94,98100898.24,0,34501698.00,0,7224799.96,0,8983658.26,0,8462054.37,9983108.79,6876269.69,0.0
7,管理费用,537770434.28,340569422.14,152353125.64,722448972.80,488729037.60,354865104.25,140064954.83,569454213.32,417955737.03,274427976.02,139928281.55,543882783.75,328874284.57,206003279.06,87995729.72,438865493.38,311275750.59,202342018.85,94335035.59,465590165.22,317923221.08,208970697.38,99854457.51,413162807.75,366429900.56,218159252.68,103142784.51,532914507.35,359569429.50,213323109.06,104584635.07,500646378.58,316849826.94,209773162.86,96210700.26,390466729.63,269460374.75,171210418.97,72512069.89,290421928.82,209808721.27,112459934.44,52859418.54,227302214.12,156035527.31,102389410.91,42668105.64,167804272.70,114754317.26,72463979.31,36257687.12,141250999.37,105988574.52,73489249.40,30815757.39,129783614.84,75247709.51,44899837.75,17138032.74,144216673.36,91380854.84,62680703.58,23184101.74,128343622.14,76568004.15,54291428.49,19151204.02,138427912.14,75314692.59,52608791.18,20577994.58,106465940.57,51130765.99,91626534.31,44535558.60,138181679.63,50127691.46,91478790.04,46121494.31,87135265.80,0,77750260.51,0,68836845.36,0,17746775.36,0,18055670.13,19055770.15,10037599.40,0.0
8,财务费用,-152100022.39,-96209653.90,-50618574.64,-215066482.79,-165187263.36,-105201443.68,-49514664.10,-106898022.70,-65388377.47,-35985547.99,-14455905.88,-58786548.55,-36934523.01,-28632420.75,-14334137.20,-58303042.93,-44411815.79,-35499771.41,-14606733.61,-90952162.78,-73253665.58,-50296564.08,-22769792.62,-156727167.82,-129809328.44,-31283938.99,-15426566.62,-37272652.49,-31465504.36,-26148299.90,-9954622.60,-3151869.54,86047.87,3413797.50,-609682.59,7564052.32,-7476929.85,-3016094.31,-1551372.48,-240711.93,-675882.03,1338085.80,847963.19,2206412.83,-104925.99,455291.08,-1091315.54,13925590.04,9819646.33,-3600821.18,298238.69,10859545.16,10885043.00,6584806.32,5175434.43,22072053.14,16841419.67,11096415.11,6760739.12,33695880.12,24149069.69,17061590.89,8668365.13,33070133.15,23934415.76,16384357.04,8588134.82,29191432.86,21754963.20,14761406.31,7064297.19,28514611.10,13978990.31,18118698.49,9324859.02,9443633.42,3702929.89,6046982.83,4024545.44,10347195.52,0,5024985.91,0,895357.73,0,1764994.02,0,4475311.58,2136163.47,2012799.13,0.0
