,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4267590519.43,2669694067.79,1045284919.98,4802264162.21,3538805921.92,2197670473.28,905078811.61,5054383546.71,3614616964.40,2163001710.04,675572413.30,2971514746.83,1581242179.46,750228235.31,269398785.23,1423326736.36,312927051.53,214556420.09,99341996.42,402355482.51,286923623.90,140131137.06,65288654.95,429298238.32,316123906.82,200666081.93,79548249.48,395135320.42,273638850.44,179717145.41,79513618.01,426466882.59,333909178.94,215025596.71,82162105.76,339630777.52,237101228.85,149748423.67,62726539.17,268476309.49,188235146.76,115799596.34,54930578.97,290608896.14,225962712.29,156069358.50,73023755.71,299848460.34,223019450.11,151812244.01,65651865.07,253439397.11,183425324.78,114582232.84,51213632.82,215906169.79,155865513.38,100911144.78,45788203.98,176752629.18,122230706.27,77585352.26,34789103.61,138453484.54,101031824.31,143751133.44,113128954.45,0.0
2,营业收入,4267590519.43,2669694067.79,1045284919.98,4802264162.21,3538805921.92,2197670473.28,905078811.61,5054383546.71,3614616964.40,2163001710.04,675572413.30,2971514746.83,1581242179.46,750228235.31,269398785.23,1423326736.36,312927051.53,214556420.09,99341996.42,402355482.51,286923623.90,140131137.06,65288654.95,429298238.32,316123906.82,200666081.93,79548249.48,395135320.42,273638850.44,179717145.41,79513618.01,426466882.59,333909178.94,215025596.71,82162105.76,339630777.52,237101228.85,149748423.67,62726539.17,268476309.49,188235146.76,115799596.34,54930578.97,290608896.14,225962712.29,156069358.50,73023755.71,299848460.34,223019450.11,151812244.01,65651865.07,253439397.11,183425324.78,114582232.84,51213632.82,215597858.05,155767500.26,100845581.20,45740355.31,176671772.30,122228566.73,77567906.33,34795844.01,138326543.94,100956504.13,143471750.45,112829210.45,0.0
3,二、营业总成本,4054209535.65,2572989665.27,1027711313.34,4564084705.21,3392732200.16,2119340890.90,892769183.49,4730230688.00,3453439560.90,2076849751.26,666433493.59,2780876204.25,1467388256.62,693024269.07,268116079.28,1274041167.38,316404410.78,217438412.85,101939245.17,391332147.54,277926131.09,139402645.80,63670525.78,410792612.69,303409985.57,189652778.72,77559145.78,380059927.12,266534011.69,175917562.38,78562985.29,399453915.68,311207166.63,202064746.67,80233419.39,330602125.68,233465419.00,149950912.41,64588502.37,263360980.87,183966280.47,114276479.06,54206316.38,276568295.13,213143702.03,145343875.16,68600237.35,268138618.44,198045373.32,134226308.49,60457589.62,234757171.92,162420220.48,99918023.72,45756939.29,188919159.15,135468289.32,88627528.71,41583780.23,155117876.57,106704553.84,67569909.66,31486573.14,117469178.50,88873600.55,121097078.94,96449237.26,0.0
4,营业成本,3642829565.87,2301138278.46,897087661.26,4172913959.51,3107672844.33,1947837494.21,804339007.68,4388115688.61,3206648917.50,1939208843.97,605929950.83,2516714790.53,1306048546.81,597372830.94,225154710.77,1071889029.20,275279691.00,189555826.76,88576901.79,334572312.86,236565835.97,112749984.97,52448003.85,350201872.06,258072486.68,162007298.48,64311807.36,322026753.73,223792878.00,147753488.22,66509041.29,340339615.57,267374440.73,172749500.33,69368478.24,286305567.79,203289958.78,130410460.91,55240596.30,222386693.39,158227812.31,98285024.90,45563336.87,237864437.87,183857381.43,126526106.43,59769998.00,237288102.82,173635527.75,119400215.44,51422815.57,196978753.99,138117618.78,85694107.47,38592472.82,160652351.48,116224717.83,75463406.92,34547221.25,133500877.72,92084014.41,58112494.96,26382009.21,101129441.61,76025687.05,106262742.99,80094060.32,0.0
5,营业税金及附加,4963144.58,3717579.09,1976467.99,10395386.20,5125786.31,3274438.78,2049196.95,14592661.79,6931470.36,5137602.95,1512306.87,12379305.46,3682735.19,2518839.23,739160.40,8788509.41,1777883.60,1288846.65,469926.05,2208064.20,1350255.86,882882.68,357697.31,2451495.91,1768425.17,1281765.46,549069.34,2244706.69,1725297.07,1310027.70,711293.49,2588591.56,1886972.00,1261278.11,370101.18,673271.68,470136.43,279434.04,136143.19,1002248.57,690208.21,452490.00,102732.99,617820.77,477580.46,293310.83,65075.07,1610930.53,1381827.22,1144808.52,546569.42,639907.06,484939.65,176720.54,117073.31,702087.36,513573.35,332829.05,186450.89,241436.00,165154.31,128178.75,32098.25,241609.84,153671.57,280758.94,255875.01,0.0
6,销售费用,25730867.82,15605879.10,7472250.48,28789181.75,20509913.61,13543485.55,6109175.22,25370215.01,17540873.91,10439562.64,4774029.68,19961994.71,14737977.67,10749118.24,6126638.16,14831956.96,5048497.34,3546446.19,1907240.38,5736621.91,4039417.57,2148322.72,795602.96,4717907.52,3274421.54,2076588.95,977025.36,5440462.72,3565907.25,2077622.33,986424.27,4856639.82,3599290.76,2005248.68,791012.32,3491548.77,2315727.21,1229855.27,459987.17,2417053.84,1357380.15,840838.42,317908.68,2311483.44,1609111.98,983620.82,401909.67,3923602.63,3116992.87,2442781.23,1690189.69,8137331.81,4618569.44,3359604.41,1900418.61,7160756.68,4561229.96,3915935.89,2499652.91,4428569.52,2477900.86,1464554.59,895663.40,4406888.84,2309748.66,3964515.23,2939181.75,0.0
7,管理费用,103362979.75,66895314.07,31973645.45,114851613.11,81317414.30,115020384.11,59875147.21,227388082.38,171920752.49,89263208.62,42082741.24,190162316.13,116833225.73,67942687.04,34090121.01,152252940.12,32980728.87,22092270.83,10394904.52,40168320.74,28796051.71,18562324.11,8743374.59,39254536.81,30393848.09,19147765.16,9579827.39,40295649.70,30021382.96,19133090.21,8230438.31,38509140.82,28298197.37,17178524.56,8080527.09,31703568.47,23389906.20,15002107.41,7709873.26,35311697.21,23565424.10,15488446.09,7700778.02,33373273.76,24999172.19,16106487.74,7740444.39,26885743.95,19770460.51,11841229.13,6690264.95,25727632.78,17406517.19,9608045.98,4987699.98,20000910.76,14100380.21,9114827.99,4961566.47,13638039.29,9514583.28,6147253.21,3357940.18,8929167.24,8380331.75,8916365.32,12156992.23,0.0
8,财务费用,125727180.23,88038495.77,40429322.71,86741516.76,56520044.53,39577734.40,18333606.54,63807737.14,43884517.86,23721886.04,12299169.27,30739093.18,19352235.58,10900349.87,5754672.18,24517227.04,1207137.44,545345.12,261686.38,6922422.31,5641136.23,3442077.07,1908153.12,6945153.26,5398540.17,3557149.98,1984808.77,6475760.32,4719345.81,4226880.63,1758506.82,7218664.51,5646878.33,3098486.45,1338636.61,3339711.53,2230196.01,2004873.01,653205.14,169708.98,-208467.49,-360169.79,485761.98,522191.84,1405450.93,634740.03,25170.97,-413667.85,876057.39,208269.72,107749.99,2123075.75,1179003.37,474930.93,159274.57,403052.87,68387.97,-199471.14,-611111.29,3308954.04,2462900.98,1717428.15,818862.10,2762070.97,2004161.52,1672696.46,1003127.95,0.0
