,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,3501991589.00,3113413040.93,1381191271.59,574791509.87,3168174565.13,2433110966.66,1303462897.18,538923550.00,1907370590.83,1428699186.56,854361436.49,349446575.85,1792118993.01,1355444380.52,854837277.09,370771026.76,1735404706.95,1340870394.00,568528062.58,317311140.24,1054720598.66,741853930.29,517354459.73,252740796.08,1107746742.69,863982937.74,614654808.95,273335234.01,1095181247.39,793992120.09,518955697.72,226424555.38,1321388892.75,945112193.89,643963264.07,330482766.99,1349749386.15,967647642.74,591027201.91,279743999.49,1082157282.14,845050586.85,536096760.99,262200893.79,1388112842.55,1082121853.31,713556805.07,377127446.37,1315636387.50,1027687915.95,690445145.60,346633772.37,1109110834.83,815826406.48,464870622.98,236278352.61,1037228222.19,800714384.59,521738073.41,228668176.22,807111168.02,594353652.44,391277764.54,201422315.93,756417048.53,571387636.36,354660283.23,193153545.48,841361561.55,631532335.95,436911526.24,203975746.95,801779605.30,423956040.32,647587498.27,329751528.40,593398494.45,268971871.93,471396433.39,456811663.40,446171118.17,416845611.04,0.0
2,营业收入,3501991589.00,3113413040.93,1381191271.59,574791509.87,3168174565.13,2433110966.66,1303462897.18,538923550.00,1907370590.83,1428699186.56,854361436.49,349446575.85,1792118993.01,1355444380.52,854837277.09,370771026.76,1735404706.95,1340870394.00,568528062.58,317311140.24,1054720598.66,741853930.29,517354459.73,252740796.08,1107746742.69,863982937.74,614654808.95,273335234.01,1095181247.39,793992120.09,518955697.72,226424555.38,1321388892.75,945112193.89,643963264.07,330482766.99,1349749386.15,967647642.74,591027201.91,279743999.49,1082157282.14,845050586.85,536096760.99,262200893.79,1388112842.55,1082121853.31,713556805.07,377127446.37,1315636387.50,1027687915.95,690445145.60,346633772.37,1109110834.83,815826406.48,464870622.98,236278352.61,1033213202.84,797371565.43,519790231.14,228028588.88,804249931.48,593966449.62,390781065.11,201712124.89,755987416.95,571284117.39,354507034.13,193103320.82,840110464.16,631030232.43,436216557.34,204008179.55,800579874.81,423156302.61,647170730.81,329212459.66,593127371.82,268714662.55,468629203.46,455922820.88,445778325.98,416493108.67,0.0
3,二、营业总成本,3502590466.03,3071583947.03,1352205561.63,573983547.81,3043525382.07,2309639868.21,1213367368.34,499978437.39,1830641830.68,1367140418.91,825991453.54,348423118.19,1794719266.60,1358386132.29,859630870.26,376898314.11,1654833817.82,1271277467.97,579494327.33,325390560.12,1111059827.21,772954790.99,539390127.36,261865946.52,1210118678.81,913754017.79,658023661.11,298367843.43,1098506283.72,786554133.53,505484001.56,218383071.69,1292847753.79,862792474.58,582805534.61,298487070.54,1247889805.34,887495523.80,528601338.04,246183419.22,1048058336.67,832307808.48,541443495.79,266703150.83,1309739506.17,1005677234.31,648407343.37,334597675.07,1237396283.01,960705006.00,656674172.08,338684082.66,1083282567.78,795514745.31,454415135.05,230874837.38,987410279.75,758526379.97,502635581.77,223344817.36,764053271.07,560448991.18,372431781.51,196454147.96,792591646.73,585238093.60,354285486.59,192765398.50,831491387.45,604277437.64,413205238.33,192538262.47,765995316.85,397634664.14,591118787.40,319500901.28,590992868.61,248609060.43,416702415.29,402422334.61,383396854.52,368518996.40,0.0
4,营业成本,3240425476.54,2899018082.34,1237552030.68,516199407.56,2730811932.40,2126302269.37,1088812639.06,444301104.19,1600197895.23,1208257546.30,714230963.41,291301051.70,1543003690.57,1176639369.39,733590112.19,312493833.53,1345489976.51,1034841825.93,500517092.96,282623893.82,938178205.38,664980489.23,462863221.19,225360213.11,1019652982.20,785103707.30,584503637.11,262657511.15,962753315.25,697084413.13,448878617.93,194155149.90,1110069746.47,760433607.27,515980347.73,267000593.04,1095217070.60,787263876.44,466688835.31,216211332.08,904852750.44,717304125.08,459939077.29,230334095.80,1131503046.28,866248160.46,558726093.22,298570055.19,1073738780.35,832378663.23,565823501.19,287530442.69,938932204.16,691646718.78,389658589.69,198094752.55,841616275.54,645390135.68,428023288.11,192826306.13,640750426.21,465726908.77,308664243.44,163525188.67,652481269.61,487822907.21,294989243.01,164460969.13,717467920.89,518925125.76,353170594.00,163805786.57,669811634.03,345128709.20,507286401.96,270300872.73,509889019.15,223690488.66,360352272.79,344265791.94,329300051.37,311148304.79,0.0
5,营业税金及附加,28450352.27,21215574.99,14083837.81,6857383.76,38343346.15,26016209.88,16972866.25,7644418.69,35594664.19,25265411.52,15121452.00,7001950.82,36218114.41,13075047.09,7493638.52,2839739.26,20450890.78,14993592.98,3546612.09,2112982.85,5586386.42,2051690.85,690672.87,300953.26,8310031.92,7213778.73,3989258.90,325640.89,6881297.01,4022888.26,583385.85,138011.74,6837232.11,4543677.54,2102886.76,3939.73,7999225.82,5844768.77,1719992.70,887.62,8277786.80,7070160.31,3776231.86,806158.33,9804290.16,8255446.64,4295413.35,1670853.62,8487503.54,6663783.85,3182360.60,819620.24,3980923.32,1666140.56,414172.58,365822.42,12205476.71,7302867.74,3872192.24,404429.47,7809093.94,4976592.35,2610412.90,695664.74,6217860.78,4344985.76,1455674.93,705506.66,6837643.24,5115522.68,2614769.12,803858.22,6834685.76,3614637.15,5877717.22,3031563.74,5546020.11,1118779.20,3854601.58,4387406.31,3683075.11,5409149.98,0.0
6,销售费用,19808679.35,16481530.26,11106693.63,6331735.53,32284465.54,24279800.00,15939263.16,7285486.20,38606969.88,34501585.48,27531257.91,14933869.37,63161911.85,48810537.29,34205381.99,16095069.53,77677103.78,63188501.85,37493591.62,18960720.84,86510268.78,65064829.48,42538152.00,19852711.99,93386546.69,61162884.59,41090511.09,20557275.02,71819729.71,48380925.24,32194050.28,15329684.55,69544061.31,50446493.67,34094243.81,16406081.30,66455904.87,46104752.97,29561971.55,14256083.76,52665501.24,46270400.09,34039227.30,15923899.02,73266697.38,64352165.98,44279450.34,16595852.09,69126244.99,54369931.66,40320540.11,24273031.72,49562406.11,34399139.98,19589945.28,9517277.68,36160568.54,27028117.30,18733242.14,7575288.69,17653132.45,15960233.69,11956462.87,6966304.96,17713320.14,15100942.49,8237436.18,4391396.84,22329618.40,17714163.05,12991942.09,6340769.82,14224798.56,7438416.99,22557290.90,14542606.46,31200600.76,6088397.33,8277532.87,5302888.95,4257661.38,4488806.29,0.0
7,管理费用,168117422.01,102168058.60,69417790.51,36786796.95,148374886.21,101324053.82,82641756.58,39321163.81,154985761.21,98994706.35,63452196.66,30819760.48,140206268.24,111394802.68,74136796.26,39066058.02,189542333.70,142416729.45,32763451.14,17491756.95,66946591.15,37930910.74,26529062.63,13867033.98,58354545.46,39194398.59,26793266.47,15230491.55,52889441.20,33003424.18,21117728.76,8588346.08,67760324.75,44471370.96,28904926.01,14236472.07,69295342.71,44185895.02,28383846.18,14488774.61,73717323.45,54308400.28,38695200.41,16373275.97,75153150.52,51369605.07,33680566.01,16734515.08,68586238.23,47580231.20,32763161.79,18269967.75,63954203.42,46873980.24,31411048.38,15636351.62,69694697.35,55788878.60,36432913.76,14622699.69,71305974.05,53551988.98,35369824.29,18195393.36,88137343.55,55875204.39,35162043.64,16017446.49,55421839.77,39017526.17,29020962.60,13741450.92,49449050.71,29290855.74,34846954.44,20972304.38,31872483.60,12987325.34,27174558.65,30863991.91,29874465.75,30814894.71,0.0
8,财务费用,11053722.03,10521317.61,6756316.41,3252418.82,9893836.36,8525520.85,7048452.00,2964514.82,-4649067.16,-2703689.53,2217604.78,1944496.21,2126303.64,2660089.00,2606650.25,1138918.26,7472173.71,4301830.16,2990427.16,1516617.32,5685665.23,4209379.66,2972391.82,607247.78,936845.65,1464036.62,2012558.29,624748.55,4072809.05,3978798.64,2591692.44,442185.02,3553777.18,3724722.16,2612704.32,839984.40,6230496.11,5997813.15,4057900.91,1469332.79,5528873.20,6242874.85,5216147.87,3407014.42,19560160.35,17055617.38,10901234.07,4386399.09,15870929.48,19234451.66,14119378.88,7581020.26,25522568.50,20194085.00,13206698.37,6760633.11,27733261.61,23016380.65,15573945.52,7916093.38,26534644.42,20233267.39,13830838.01,7071596.23,28041852.65,22094053.75,14441088.83,7190079.38,29434365.15,23505099.98,15406970.52,7846396.94,25675147.79,12162045.06,20550422.88,10653553.97,12484744.99,4724069.90,17043449.40,17602255.50,16281600.91,16657840.63,0.0
