,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930930,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4511016242.55,3306539362.75,2137112548.92,1058059523.34,3857409863.63,2807338887.07,1785604669.47,835450170.33,3273427196.95,2346097353.25,1506356458.64,719809072.91,2943011023.88,2122099909.75,1394086146.89,695967410.79,2747743271.77,1979534781.43,1245220673.77,571721286.62,2864912952.36,2161966278.10,1198441509.23,553031361.98,2491103646.33,1725308047.43,1107077931.84,517336750.82,2307631891.19,1749187823.48,1109109880.00,500105720.76,2421100234.76,1868660477.23,1262432015.41,632834949.44,2685638607.41,1877966955.88,1159976637.13,549507956.33,2163603356.68,1696352409.47,1046127817.89,490212521.27,2502374873.11,1969000616.20,1337022923.32,694454223.66,2290683423.03,1678773954.87,1136051885.53,557185560.86,1781393370.21,1355098100.63,850057179.83,363003613.62,1847693669.98,1338188814.41,871847590.93,433483221.72,1666721142.95,1189216641.42,759364816.21,361767863.43,1190922526.31,882135609.29,558234456.06,285437899.09,1091355058.14,803170552.21,521126855.22,231505274.94,1055180334.81,531661231.34,872212523.35,389687927.64,663135774.63,267226120.56,635228144.75,279088304.85,643388122.68,306454290.04,594442061.23,231924062.71,649536049.70,319725194.17,631920000.00,295655792.35,536228670.87,399770107.10,264486000.00,340321000.00,271705000.00,255067000.00,0.0
2,营业收入,4511016242.55,3306539362.75,2137112548.92,1058059523.34,3857409863.63,2807338887.07,1785604669.47,835450170.33,3273427196.95,2346097353.25,1506356458.64,719809072.91,2943011023.88,2122099909.75,1394086146.89,695967410.79,2747743271.77,1979534781.43,1245220673.77,571721286.62,2864912952.36,2161966278.10,1198441509.23,553031361.98,2491103646.33,1725308047.43,1107077931.84,517336750.82,2307631891.19,1749187823.48,1109109880.00,500105720.76,2421100234.76,1868660477.23,1262432015.41,632834949.44,2685638607.41,1877966955.88,1159976637.13,549507956.33,2163603356.68,1696352409.47,1046127817.89,490212521.27,2502374873.11,1969000616.20,1337022923.32,694454223.66,2290683423.03,1678773954.87,1136051885.53,557185560.86,1774898275.76,1339022150.87,838769920.52,356877693.73,1842522397.64,1328079330.11,864665500.45,433294439.93,1660400820.64,1184686214.57,755691842.98,359296177.11,1185066253.29,879196729.74,556414052.27,284449836.25,1083521550.12,797602409.54,518465714.37,230902807.20,1044916707.39,527761644.86,866873752.96,386782733.49,658259055.00,265292318.98,631254916.00,277285664.87,639096506.80,304491702.63,589534454.85,229532570.86,646434451.16,318075393.11,628237000.00,294500398.04,533134283.12,396894524.95,264486000.00,340321000.00,271705000.00,255067000.00,0.0
3,二、营业总成本,4291016225.04,3199633375.32,2078239704.42,1041409968.58,3857583827.78,2774964881.03,1765744700.04,841752125.32,3335641852.06,2399651617.61,1552697283.55,737971365.72,3288922681.76,2189031546.07,1452157045.26,736672174.80,3343304443.66,2163012945.63,1372019076.80,635542844.89,2951653535.47,2214135442.79,1227726420.58,580093107.50,2495363635.48,1699232884.11,1101679690.19,518524846.38,2464224446.14,1816661176.92,1170617068.35,538586592.84,2367940514.59,1748292355.59,1162710117.87,583764816.89,2550666989.64,1766043026.33,1094656904.39,525179909.00,2361335054.04,1914050823.19,1249019346.27,577570764.35,2576951069.92,1933000704.29,1293521356.54,674157276.43,2306368976.96,1658928660.84,1135129891.60,575744414.98,1830040878.27,1376552871.88,867932309.18,380104984.26,1740240490.34,1217075261.75,790555041.82,384517212.03,1443948701.02,1026562381.96,656916326.33,313480948.68,1030194545.59,781992224.02,491155249.07,249892918.58,979203026.36,714992964.13,462991150.55,199554079.15,888049445.35,438224967.18,682660947.76,315646963.02,552672964.58,245067828.75,599115153.90,275533549.78,571484993.36,0,467223372.14,0,381634512.30,0,0,0,312753518.99,217176637.14,93801000.00,264759000.00,132668000.00,126485000.00,0.0
4,营业成本,3537208166.50,2653300331.02,1726452416.69,869142377.27,3146125303.39,2310419794.37,1463259260.83,696618014.26,2708739020.07,1928010772.71,1237710150.39,582098085.92,2345059904.72,1667296957.20,1106341502.86,559871988.46,2267328348.68,1615226530.66,1027912180.16,471838470.06,2264696579.53,1701553846.47,938453453.31,431726448.59,1865071556.05,1289053520.61,841380021.08,399816413.04,1888229155.42,1475993793.42,955464028.25,430603320.64,1899080002.23,1442316667.23,959604429.19,489631200.56,2099310991.63,1457569049.71,901391677.63,429295378.46,1854526811.43,1492305263.11,943159179.86,487147676.62,2089888128.65,1640058228.09,1106743964.36,587791257.28,1877626753.61,1386729245.90,955351359.08,480194982.26,1504329119.54,1147138604.90,716617308.32,311831376.38,1456396166.99,1001543049.67,644429228.30,315841962.86,1141458691.88,786924656.96,502273984.12,244831000.38,831444299.95,636581277.86,397112201.90,202139119.49,698892998.02,543300215.24,376889371.19,151910115.31,642154023.51,326586108.82,498308076.90,230392691.67,412291528.89,175042313.73,469449652.95,211665118.60,437861968.30,0,353269737.94,0,235981823.77,0,0,0,158865459.55,106646063.47,93801000.00,163696000.00,132668000.00,126485000.00,0.0
5,营业税金及附加,39588910.84,29985531.43,19668739.45,9141357.52,33829014.14,24860519.51,16521528.80,7212628.88,31983552.43,23464265.20,15401119.83,6801543.95,28982448.32,11768445.85,7910478.28,3977670.76,17401966.36,9973686.58,6126840.04,2585411.17,15180848.47,8928865.63,5277060.44,2073285.48,16152407.75,11229158.47,7962347.41,2660350.68,11675190.73,7736372.60,4003445.40,1418760.12,11134801.69,6802232.52,5517911.85,3082770.22,1311546.10,409298.15,271191.20,173462.25,1176807.32,227719.95,113960.07,71095.98,332577.81,278262.66,271407.88,178151.05,328619.80,148121.07,82339.22,55102.45,98370.41,48717.75,36662.78,24034.24,67591.72,65543.02,59550.41,46237.33,55187.06,29263.95,7282.14,0,0,0,0,0,29970.76,54364.55,42139.04,0,216933.33,118224.39,236319.38,57857.63,170995.24,32702.96,180711.76,78950.07,183266.64,0,392547.14,0,0,0,0,0,36824299.19,30425467.01,0,0,0,0,0.0
6,销售费用,241420223.54,186327838.58,120470117.23,57802449.52,198501086.31,135793194.62,88086000.22,39354850.64,178528883.35,131046733.58,87601491.78,44203655.26,201221563.20,145509699.84,98137293.09,49623807.17,222620352.77,146213533.34,92066860.46,41730817.11,188131684.13,146680490.65,78721011.93,36628015.22,151042206.34,98017968.48,59959200.12,28825445.87,140266870.28,92241895.85,53126066.42,28144708.93,136315640.78,95136616.27,57994914.84,23021812.05,126507058.68,75618042.03,47722981.61,21894811.57,107858078.63,79913526.06,51523746.25,25877222.41,127806238.80,98096567.50,64141880.77,31987989.02,120679176.78,78975534.43,54330099.13,26000482.33,109455177.46,74182448.63,54272353.29,25734067.37,113382326.77,81942935.93,51907844.60,24499786.44,101547388.55,70973456.73,44679664.56,23570078.33,78838307.81,56720148.32,36941408.64,19058658.05,115619857.12,88190153.30,33183217.03,24424690.85,97104344.25,52181664.64,95409732.56,45358689.40,74510516.09,35524756.54,73438565.30,34726697.84,72981784.22,0,67916635.23,0,117470345.12,0,0,0,53597949.96,37142429.21,0,101063000.00,0,0,0.0
7,管理费用,255328408.67,173874240.65,106117616.11,52701895.28,229175658.26,160918858.25,160513040.95,77674231.39,334681813.16,255276808.54,170375373.60,80465933.94,361808746.90,258310069.00,169491318.79,87396728.49,360769891.39,260363426.95,171538938.92,85918616.02,334631559.84,252848634.58,137145900.02,72067577.18,312199402.29,190755947.41,119658069.64,60480811.44,213330069.47,140375277.66,89119913.76,43021921.40,206768199.52,141593507.25,94580180.49,48444260.60,226450291.52,151072910.11,93661243.33,48726237.03,278785728.53,203476218.59,131750017.44,52209511.74,233604415.77,152104657.39,107849552.74,52496962.66,241400905.23,143662577.80,97259640.78,50930177.83,170912398.06,123006379.20,78923013.41,35516812.85,154789858.20,129360188.43,80501794.78,37495101.40,174951362.18,150059075.13,98461660.73,39384559.14,116843279.22,84868504.78,55449040.14,27533699.16,160227146.69,78156814.68,51933194.06,23164593.90,133556856.72,48958522.49,85849763.41,42141748.27,63413456.52,30676685.49,80981806.07,38683065.86,79708301.94,0,71896501.40,0,73558750.23,0,0,0,45715879.44,27862477.92,0,0,0,0,0.0
8,财务费用,42100221.37,32886715.03,22749397.81,10650838.66,59900405.89,45467006.48,28519388.09,13478091.32,74886066.47,58217687.42,39361502.27,19280127.21,130076437.20,101577093.56,71810628.07,33896879.53,158693862.25,118698333.63,65870156.60,31219699.32,122545200.01,92415145.65,59858879.34,30319855.99,102419697.76,75168419.95,45975282.75,21650721.02,120928237.87,87081648.17,60800414.94,28966251.49,86791465.31,51050654.85,33284878.95,18824722.81,79622207.72,62701998.21,43402647.51,21093150.02,72968098.23,63130373.35,47474720.52,27710738.00,69422567.26,42335341.19,14960176.38,291981.37,59052200.98,49347473.92,28015923.61,18382302.52,45245812.80,32176721.40,18082971.38,6998693.42,15604546.66,4163544.70,13656623.73,6634124.00,25936071.35,18575929.19,11493734.78,5695310.83,3068658.61,3822293.06,1652598.39,1161441.88,4433053.77,5291416.36,943229.23,54679.09,15017287.54,10380446.84,2857055.51,-2304023.95,2286467.84,3791370.03,-24978995.75,-9620282.59,-19250327.74,0,-26252049.57,0,-45376406.82,0,0,0,17749930.85,15100199.53,0,0,0,0,0.0
