,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,114921670.88,72840354.29,36483069.89,182898416.56,209921759.91,172131000.75,40076848.41,287013744.23,180639760.37,120912647.47,47956176.01,863914520.85,682563101.58,505802139.82,256440281.92,1468033208.46,974604279.92,596183122.25,261285752.70,462541960.27,281264081.55,155066984.07,61794055.96,423046852.98,291193703.89,221192203.43,95605076.41,587708446.50,408850353.02,264185373.66,90717540.40,312133019.08,138746066.11,104207753.13,36061108.55,211684062.33,111215298.46,95887063.66,33634457.81,156320393.54,104340794.38,36837745.77,10581049.88,192853861.09,39468203.56,15435240.83,7971682.28,85198458.15,27546365.10,24425968.03,4986108.79,59930797.55,5708805.76,3725251.99,1943691.85,55242046.54,40497530.00,39696170.76,5420460.22,162745952.90,86997215.22,65290482.54,45365873.88,133450794.15,104992776.31,57475451.19,32117230.95,404283536.79,364229666.76,282785591.24,167334554.74,194584151.82,151694751.27,210315496.43,67095683.64,204565683.63,120226667.93,182101895.53,88199886.47,165761255.78,181418145.64,0.0
2,营业收入,114921670.88,72840354.29,36483069.89,182898416.56,209921759.91,172131000.75,40076848.41,287013744.23,180639760.37,120912647.47,47956176.01,863914520.85,682563101.58,505802139.82,256440281.92,1468033208.46,974604279.92,596183122.25,261285752.70,462541960.27,281264081.55,155066984.07,61794055.96,423046852.98,291193703.89,221192203.43,95605076.41,587708446.50,408850353.02,264185373.66,90717540.40,312133019.08,138746066.11,104207753.13,36061108.55,211684062.33,111215298.46,95887063.66,33634457.81,156320393.54,104340794.38,36837745.77,10581049.88,192853861.09,39468203.56,15435240.83,7971682.28,85198458.15,27546365.10,24425968.03,4986108.79,59930797.55,5708805.76,3725251.99,1943691.85,54876706.95,40497530.00,39696170.76,5420460.22,159512206.89,85631690.22,63924957.54,45365873.88,133048923.78,104638045.27,57268796.90,32031537.84,404511103.51,364349575.37,282585714.49,167347075.50,193930587.25,151429763.69,209024624.50,66579371.65,202971818.35,119405829.00,180609521.55,87709482.01,164980920.54,180975494.01,0.0
3,二、营业总成本,115354599.87,79670206.67,45083744.83,333104896.23,234338115.36,162240213.95,70879006.73,561395610.12,278603843.81,183924939.95,83620645.84,1182467345.61,884688160.17,600740137.72,295304907.35,1698959736.23,1041947659.12,666621972.86,263373768.14,470302095.83,295842841.90,169778164.42,59015835.30,456556851.41,262421296.97,179949549.01,84129491.41,350164583.00,239754669.30,155173049.77,65043448.28,184070868.27,52780041.43,33707089.17,14586625.76,79387909.86,47501679.97,37829772.93,15329159.87,54605362.31,38879765.70,19858586.08,5180581.47,138573360.48,41199358.40,17060524.47,9827590.55,61726657.19,-755861.18,-5807103.21,7801936.41,149181195.97,13194782.40,9263066.07,4565746.91,112615069.80,46128775.16,41841148.18,8540411.41,150985968.44,91017591.54,67312408.84,46584906.95,155919110.67,131350501.22,76795872.79,37080339.50,439867966.10,385917752.63,298413366.96,172911535.92,239886690.87,140015830.05,195714467.92,68651113.85,199325756.17,104849812.99,178646962.80,77819536.94,151753790.31,167182671.19,0.0
4,营业成本,51307024.32,34978318.20,17798694.90,118027489.65,91771865.95,63566610.96,21865864.22,210008832.98,135998536.84,85951261.05,30326442.67,637421803.04,505562706.83,375096523.76,183403001.45,1086116548.96,711526984.55,444914985.70,150611548.41,234012516.14,141032038.49,82640087.99,30463058.91,177513497.79,119160689.52,86053341.62,38717738.37,171791488.99,120734847.20,73177969.51,28405904.94,92502114.30,20621726.01,14891543.89,6451061.03,30735528.56,15324816.63,13520402.38,5361650.52,28509261.01,20168723.15,10487671.06,2345630.74,100188467.79,32620035.55,11917485.30,6539946.63,66865536.56,24450018.69,21897164.63,4366841.20,54988796.69,4302109.03,3081332.13,1869461.45,47363739.50,33382011.48,32088773.78,3999649.15,133841524.30,75785416.02,58130129.21,42669013.95,128252248.88,101993981.09,55491633.55,29259431.91,392293615.62,356797666.85,280079894.44,165803967.19,171690487.38,125357856.98,166107431.54,53232883.72,157952459.47,86877982.05,157666373.69,65507256.63,127249034.82,140830430.17,0.0
5,营业税金及附加,948816.04,605041.22,377399.27,6409163.07,4830260.66,3197613.86,1039836.48,7033801.41,5142778.97,3547443.12,919205.23,19221161.05,9543033.50,7051401.88,2805612.06,18414836.60,14025708.41,9058963.84,4389913.26,14199247.63,9364735.05,6057329.97,2624002.41,14135873.54,9874558.27,7082559.93,2965874.49,17251882.95,12443866.36,7859920.95,3089845.96,7506950.31,2734018.38,1998924.82,830263.36,4315299.58,1954537.37,1493721.79,304745.78,2649661.34,1750897.08,814588.92,226522.01,6109129.26,1367949.86,550779.89,315817.18,4460940.60,1535452.83,1460546.85,289832.04,1994573.94,116829.08,58388.23,36590.01,1972164.86,1278086.73,1342917.22,135187.52,3947282.19,1172762.57,893920.68,781933.19,315917.85,145451.88,95075.70,21258.67,306758.00,221432.76,114800.79,10893.33,887987.75,672208.74,1300859.16,653201.00,709722.38,275772.61,872389.04,993492.37,386950.16,869776.80,0.0
6,销售费用,0,0,0,14027961.13,11244242.32,7493789.98,3717163.48,26344792.57,22043522.28,14838816.47,6269610.26,65906340.14,52802706.57,36639296.74,21299027.30,73721948.79,41903710.72,26268301.74,12560471.73,21595019.53,13883245.85,8542023.66,2642035.72,18083082.75,11961912.74,7691890.53,4739119.99,20686298.72,15528354.04,9916354.96,5426091.46,8228374.36,4315059.12,2517774.06,913429.34,6910280.55,4287767.13,3608061.10,1706369.36,5416869.20,3712171.14,1877496.44,84448.39,3529852.03,1106302.93,178245.46,143375.00,8568186.45,155133.00,65428.00,44152.00,165990.00,83509.50,29172.50,27854.50,305181.87,99185.99,99185.99,12755.10,1461288.97,3046092.33,1923353.30,954713.75,3639274.80,3161392.47,2400435.96,914813.89,5388866.76,3638547.17,1743038.67,655103.57,3825569.42,1181685.19,5737700.60,1796271.72,5672090.88,2137170.38,1883085.46,653212.83,1593359.87,2472686.36,0.0
7,管理费用,23564357.99,16134486.07,6802712.52,99621789.94,74015285.37,55617236.92,33000935.75,134175665.20,91399186.05,63086793.55,34518085.03,280610525.26,232748552.85,143223165.82,74242102.89,323074735.79,213935282.47,143102300.60,56192753.31,171966822.01,108319747.22,62570629.00,28204334.04,201771877.13,112827630.59,74220811.97,35381091.18,155489621.28,105613084.46,73503250.88,33514212.98,75827045.59,24467053.67,13875142.95,6096771.76,33609509.76,24691753.28,17500150.85,8175097.91,16637464.56,11535193.83,6466134.34,2539003.63,19282195.90,5654271.78,3958775.52,2359840.19,7294058.41,6805312.72,4903987.38,2669965.77,9638723.59,7529714.17,5348571.73,2299567.97,59637178.16,9165560.86,6838254.67,3663866.79,8012038.95,8150655.90,4935666.66,1939578.34,14760633.60,21187065.56,15723904.00,5451227.90,34569106.14,19330045.23,12579113.49,5320026.72,50930136.43,11047367.71,20317626.87,8675924.67,21430707.59,10028837.00,15302310.98,7961524.09,13766252.30,13968320.00,0.0
8,财务费用,39534401.52,27952361.18,16214989.62,58935913.43,31832329.51,23905115.96,12594991.02,53436323.89,37886582.50,25967493.15,12758558.70,155353867.13,80012003.31,51212578.02,20114621.03,87079692.46,63946920.08,46410708.01,40977849.40,23850727.26,12563403.03,5875737.64,2481744.95,14017475.44,6737511.25,5218546.55,2178498.48,-17880455.83,-14327906.69,-9004618.11,-2616411.56,-394660.90,887350.76,547808.51,479115.23,625667.17,1150398.16,1160568.00,465965.10,827409.53,495908.92,343366.01,-15023.30,4539280.00,450798.28,455238.30,468611.55,5440079.40,1298221.58,865769.93,431145.40,3275902.97,1162620.62,745601.48,332272.98,3336805.41,2203930.10,1472016.52,728952.85,3723834.03,2862664.72,1429338.99,239667.72,8951035.54,4862610.22,3084823.58,1433607.13,7309619.58,5930060.62,3896519.57,1121545.11,12552509.89,1756711.43,4922571.38,4159630.11,15179358.17,5530050.95,2922803.63,2704051.02,8758193.16,9041457.86,0.0
