,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,298438293.49,179446198.55,96971556.93,718582947.43,542690826.26,288517430.53,158141154.45,760681817.26,576401023.05,328305720.15,164365808.10,717211958.23,533029984.48,272761299.87,128820407.00,654425778.81,485719155.87,268880092.19,119297044.68,691044808.15,460809616.53,260990408.51,134422517.03,680330608.11,523660663.74,303553863.80,128669880.14,640729852.05,492014939.73,261846311.88,116692116.90,743443979.74,560091083.98,329941715.88,161134263.16,769181772.08,507364048.25,262817832.55,127755261.73,615799846.18,396223018.84,211780475.19,90589049.75,727665886.40,501506398.53,276180676.07,109030579.92,792968703.28,505139302.23,262681073.10,625314218.54,556781445.32,0.0
2,营业收入,298438293.49,179446198.55,96971556.93,718582947.43,542690826.26,288517430.53,158141154.45,760681817.26,576401023.05,328305720.15,164365808.10,717211958.23,533029984.48,272761299.87,128820407.00,654425778.81,485719155.87,268880092.19,119297044.68,691044808.15,460809616.53,260990408.51,134422517.03,680330608.11,523660663.74,303553863.80,128669880.14,640729852.05,492014939.73,261846311.88,116692116.90,743443979.74,560091083.98,329941715.88,161134263.16,769181772.08,507364048.25,262817832.55,127755261.73,615799846.18,396223018.84,211780475.19,90589049.75,727665886.40,501506398.53,276180676.07,109030579.92,792968703.28,505139302.23,262681073.10,625314218.54,556781445.32,0.0
3,二、营业总成本,296929711.64,190564504.60,105493472.20,837745981.95,601647841.11,345882582.50,179417518.48,1309503102.29,621043687.87,370059768.32,179168758.74,728066822.11,534928960.51,289907717.77,135701360.27,682044286.24,496912856.77,291145977.77,135896924.36,680251246.90,479502016.03,277616364.10,134205858.95,659399409.56,515006531.50,301752472.59,131088891.15,631371860.80,483868950.88,266610359.45,123095211.79,733827687.94,552787442.53,325438871.01,157913509.96,757825897.19,498979077.30,270186123.57,131360807.19,658665971.39,424090487.74,231805700.61,100050942.38,703262853.36,489696044.47,267058816.70,112178754.54,747039914.45,479204235.95,249434416.71,590493131.03,537677187.87,0.0
4,营业成本,229568503.32,144574211.04,80097791.93,583926972.85,443818630.41,240306650.02,128883975.91,584909038.83,443484415.57,251923898.58,128037082.60,537235341.61,399844082.80,208519808.30,98680086.46,530995523.33,402063739.28,228566347.90,104349859.20,549773243.27,392702459.36,220878948.14,112553921.74,561171848.97,438280607.74,255947442.18,111030805.57,531826223.73,409556594.48,221035637.09,102817551.38,631017357.46,467520479.13,276428176.27,135738994.85,644852876.77,424569752.59,223077586.65,108062736.86,543873303.72,349120839.39,186907719.40,78065095.67,594918387.73,412593440.41,220965708.64,89169328.60,642215379.76,411579631.39,212146875.93,511141664.99,487541568.77,0.0
5,营业税金及附加,3065641.12,856278.19,435341.14,6887530.98,3197933.07,2435940.75,2205277.40,6465645.41,4978337.30,4769192.34,3324738.96,2983247.40,2470512.34,1993089.15,1406794.65,2084751.29,1453329.92,1053051.52,687033.12,2150273.84,1301142.98,1216563.96,552619.99,3126292.42,2007217.33,1658776.63,653261.18,4146372.18,3348283.66,3268654.14,2508267.94,1637020.44,1312556.94,815819.96,531104.58,374591.18,213162.74,163223.73,56180.68,163748.29,62252.30,37362.02,15327.35,42634.83,39185.62,25830.56,19809.37,30196.26,5712.66,2185.75,4312.51,45697.31,0.0
6,销售费用,12059464.25,7589044.84,3794207.71,26590574.95,19255169.80,11538957.28,5281823.15,35053115.46,24058141.69,14761344.28,6470313.82,35127358.87,26264001.68,15411281.64,6747760.46,33145780.24,24824086.78,14018909.73,6625260.97,32541540.92,22591404.69,13708138.26,7190677.70,35851091.23,27907525.21,16742520.43,7772037.25,34928243.69,27269722.53,13663148.77,5127376.08,31447388.38,30773371.23,17487294.44,8981492.50,33417557.90,26902138.11,16671716.89,9098437.91,27866539.77,17666463.45,10338656.46,5292990.84,25794564.90,15588543.94,10215285.07,5888978.38,25612441.63,15374854.88,8489312.34,21713974.70,8965947.80,0.0
7,管理费用,33041274.76,22101509.88,11521684.27,85797211.08,61493815.91,54393782.72,26020810.72,178885701.35,118065058.85,78884208.36,34401194.95,140575917.80,93370275.70,57348319.34,26259927.24,117027187.61,72915666.53,49480668.34,26602509.97,93195298.19,60979994.55,43080018.47,15513445.85,57589578.22,43763356.09,25091744.35,11461564.46,55235059.57,43644849.50,29442219.65,13451075.66,61501072.50,48365105.88,28946287.75,12942654.57,66814371.83,39568629.26,25600077.75,13345459.92,74166264.04,49079767.37,31086537.09,14505996.90,64361586.58,48547744.45,30634789.52,15340921.98,63943443.09,44844058.76,25619675.14,49177991.10,35444221.65,0.0
8,财务费用,4687816.59,6106965.43,5698009.55,45314810.67,23555175.94,17376052.50,15370497.63,46730349.00,28290808.52,18638793.59,6423725.41,7871021.68,9994771.67,5014766.03,3408089.36,-3539446.28,-6695065.86,-2139778.15,-2152481.54,-1168616.50,-1397315.05,-2952194.76,-1450486.10,-1326898.11,-296511.11,-322594.84,-564444.90,-4230328.10,-3824213.50,-1338560.37,-488999.33,3001273.60,4760264.20,1297138.42,153505.92,9322406.63,7294832.44,4050217.20,1196038.60,6652095.67,6170412.82,2997498.75,2282219.71,17744252.49,12134954.64,5410480.95,2632351.65,14230299.58,5840326.58,3169356.29,6822157.22,5026518.02,0.0
