,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,205496707808.35,152346548888.25,103502191964.63,47099976904.12,170545783102.81,115410360329.49,78290436984.83,31075378878.24,142082638561.83,99539380513.75,66288092120.63,26681648542.30,133656535140.96,87716087128.04,60556467901.66,27025752031.08,125430707403.48,88444075524.01,59953021783.08,29858221007.48,113661687407.79,81149557537.55,55077046557.81,24454051634.56,102036054489.95,68269036568.87,46203964061.88,20007694640.43,93153631402.44,65296085227.14,44243829642.47,20312474320.72,82856900714.92,58878495472.24,37219549398.63,20440436574.85,71061773552.11,50969969591.37,34619204099.78,14100871240.00,40187869482.00,29981608029.00,18561885540.00,9099653490.00,30573496751.00,20782821342.00,13968302290.00,5827666240.00,25010287823.00,16826295348.00,11460025304.00,4738496213.00,21009551155.00,14264403839.00,9562200048.00,4194875962.00,18293895596.00,12133776023.00,7606273618.00,3384556303.00,14171799668.00,9408835473.00,5855876581.00,2760129037.00,10931061297.00,7264274091.00,4260943198.00,1999231088.00,9056479547.00,6508276590.00,3784545174.00,1800362664.00,8018472192.00,3328389124.00,7788311907.00,3131468999.00,7472166521.00,3617036440.00,8468600254.00,4313866180.94,8522776353.00,6910978850.00,6779399630.00,0.0
2,营业收入,205496707808.35,152346548888.25,103502191964.63,47099976904.12,170545783102.81,115410360329.49,78290436984.83,31075378878.24,142082638561.83,99539380513.75,66288092120.63,26681648542.30,133656535140.96,87716087128.04,60556467901.66,27025752031.08,125430707403.48,88444075524.01,59953021783.08,29858221007.48,113661687407.79,81149557537.55,55077046557.81,24454051634.56,102036054489.95,68269036568.87,46203964061.88,20007694640.43,93153631402.44,65296085227.14,44243829642.47,20312474320.72,82856900714.92,58878495472.24,37219549398.63,20440436574.85,71061773552.11,50969969591.37,34619204099.78,14100871240.00,40187869482.00,29981608029.00,18561885540.00,9099653490.00,30573496751.00,20782821342.00,13968302290.00,5827666240.00,25010287823.00,16826295348.00,11460025304.00,4738496213.00,21002447173.00,14261736017.00,9561461650.00,4194100070.00,18285552415.00,12127942669.00,7602191466.00,3383658361.00,14165463959.00,9404519731.00,5851963920.00,2759022643.00,10922592732.00,7254296992.00,4252739287.00,1996643550.00,9043131304.00,6489724267.00,3771916106.00,1796983619.00,8003747821.00,3318026046.00,7767287555.00,3118075315.00,7461314909.00,3612109081.00,8454756885.00,4308334600.68,8513211124.00,6899695289.00,6772495425.00,0.0
3,二、营业总成本,200419181866.34,149150749249.73,101251052723.11,45809237769.49,166742482326.59,113082746105.07,76464128987.16,30144532929.20,139357557610.08,97678668954.71,64698577200.28,25982705480.93,131317287243.12,85972851683.36,59271785452.68,26348325916.60,123439728254.13,86823928541.99,58706011155.95,29371835800.70,111722387470.55,79638492366.65,53935454093.01,24017977230.40,100469309659.23,67245084043.77,45400871101.43,19667008586.64,91923550683.73,64375929261.32,43601513950.11,19960295128.21,81588380761.59,57937641800.45,36668300746.38,20207216030.08,70136579238.43,50314735852.46,34101540954.13,14004140727.00,39904983891.00,29766269354.00,18384224333.00,9044222563.00,30376658270.00,20632350593.00,13853916376.00,5800135985.00,24851095367.00,16663584268.00,11343583951.00,4679702275.00,20776702626.00,14084995967.00,9444007619.00,4144049601.00,18071204190.00,11957382724.00,7513839009.00,3341828463.00,13970924250.00,9251023208.00,5755231962.00,2719578129.00,10770764912.00,7162556718.00,4196638340.00,1970099255.00,8877962461.00,6380767812.00,3703681297.00,1767469694.00,7852221327.00,3243880542.00,7583085856.00,3045159303.00,7235608676.00,3525493683.00,8210296050.00,4196217932.94,8292377746.00,6720421604.00,6601042499.00,0.0
4,营业成本,184357931024.01,137845734373.20,93933434893.64,42607577599.54,151364082106.60,102653191634.89,70466201100.79,27485238160.17,127211215033.37,89548796767.95,59683563432.80,23950121332.98,120001263241.82,80606608908.49,56080733836.56,24407599219.68,114115409779.67,80667005897.61,54902831121.45,27608921462.25,104012209055.29,74163660176.44,50638036471.40,22629883433.76,94194472337.87,63562813703.32,43028649625.23,18487448164.74,87134927705.23,60833116418.51,41178670063.38,18819531276.35,76923107331.76,54674694434.21,34753166077.66,19251973478.76,66469522078.47,47693411270.13,32296950057.30,13436527526.00,38133392246.00,28482907726.00,17534430320.00,8637178171.00,28936783715.00,19627038616.00,13208809233.00,5502964166.00,23670106481.00,15878453262.00,10827705016.00,4442838449.00,19746384467.00,13309729467.00,8904091399.00,3874116188.00,17097234960.00,11257902831.00,7048354953.00,3134816554.00,13128483968.00,8666267952.00,5381052592.00,2539660457.00,10097462288.00,6695757486.00,3888131001.00,1827509453.00,8335179440.00,5995764415.00,3461510507.00,1655662043.00,7335318153.00,3006125025.00,7125153440.00,2853948181.00,6877160411.00,3357573055.00,7841916360.00,3997874896.11,7951908271.00,6367556141.00,6228749939.00,0.0
5,营业税金及附加,1853286205.79,1306021528.06,813438830.06,365272311.07,2421236547.40,1424111169.49,882981080.38,308978086.69,1181148965.56,700572518.34,464598463.18,183706792.96,1967037264.29,378664101.22,167378770.01,547823423.93,2792501704.49,1746595142.31,1126228229.58,534375614.43,2602823294.70,1803882833.02,1195676560.22,446662147.09,2296055268.05,1355496907.02,911409490.97,443180609.42,1857078851.13,1550786589.41,1042523394.42,488323859.58,2113474387.78,1596393788.78,985274905.01,456094322.67,1904946797.00,1397442065.17,992367765.46,354513611.00,1128949258.00,827593301.00,544621418.00,255342526.00,874862980.00,622559742.00,393130166.00,160977136.00,720681127.00,497714983.00,338338095.00,148112672.00,656970063.00,493899362.00,364464364.00,174017862.00,558638391.00,421110483.00,279753233.00,116990815.00,455094377.00,337951841.00,214631556.00,97030536.00,361432569.00,259572208.00,169421164.00,75459182.00,273003431.00,197623661.00,121934926.00,51382957.00,237706400.00,106456798.00,198113644.00,83337186.00,159058350.00,78071864.00,189223996.00,89142042.82,188187098.00,209781778.00,222046076.00,0.0
6,销售费用,678938451.35,449171773.18,306721061.49,152022040.46,694909568.84,443389151.36,298297686.46,115727141.04,553159332.76,349421145.44,219971508.66,100674720.72,527501123.10,293313857.16,187204825.65,91638617.14,305308424.19,195463047.94,136525854.16,65438480.59,283857384.38,188410149.22,117660287.54,57986023.37,350451753.64,176831800.28,123600778.20,47392187.00,214423120.90,143260237.75,91630582.69,41909656.72,191133525.18,127560044.32,49489871.30,22558647.39,101515247.10,84231368.14,57643559.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166854761.00,150620960.00,155919198.00,0.0
7,管理费用,5609792081.53,4131307995.10,2876765352.15,1576665914.33,4827734949.28,3531422049.59,4050583389.82,1951785064.37,8772461051.34,6131064817.36,3791614456.45,1707611487.25,7624738614.75,4165979934.71,2457133769.29,1265235557.10,4943608399.29,3515636308.76,2093398133.47,1036483370.67,4171313937.94,2951601330.81,1753556315.93,842926385.46,3243148417.70,2074698855.43,1319356842.19,713006368.40,2499728049.65,1788334200.37,1246348710.36,645074258.50,2153958672.08,1569961123.21,905218572.81,500833275.52,1624218451.97,1178315867.18,780978064.59,231743873.00,668434349.00,475586643.00,334703366.00,178292557.00,577509998.00,405724088.00,260314305.00,142146773.00,461943900.00,328332435.00,197388204.00,98379746.00,399768879.00,300031304.00,189054276.00,103359670.00,423220485.00,281818123.00,187694221.00,91869283.00,393471036.00,254386045.00,165819509.00,83978507.00,323578494.00,226487556.00,151882356.00,78328614.00,298641410.00,205531069.00,133916847.00,64947088.00,294073051.00,138079190.00,273885084.00,115139623.00,220949847.00,95661382.00,200142064.00,118990117.34,0,0,0,0.0
8,财务费用,1699515535.68,1216201927.77,795571058.50,396308635.49,1383070431.06,1329125215.37,733092888.32,397801356.65,1422492434.16,1024585746.01,625730913.44,240019979.73,797343318.02,514788859.63,367711974.73,179640318.77,839858773.02,603005067.66,409937896.10,187012111.52,570521805.48,534774319.87,289002331.61,128012867.60,245709570.18,153734690.86,78629689.22,29611443.16,117981493.60,48131548.95,31718869.10,7217561.29,-38169729.24,-50851898.80,-12502494.29,-17982794.01,-34894260.56,-42896794.79,-34267778.26,-15717885.00,-46779490.00,-29089651.00,-19651867.00,-4013742.00,-10198814.00,-7121398.00,-5611653.00,-248469.00,2548779.00,-31903219.00,-21500801.00,-11121169.00,-26420783.00,-18664166.00,-13602420.00,-7444119.00,-7889646.00,-3448713.00,-1963398.00,-1848189.00,-6125131.00,-7582630.00,-6271695.00,-1091371.00,-11708439.00,-19260532.00,-12796181.00,-11197994.00,-28861820.00,-18151333.00,-13680983.00,-4522394.00,-14876277.00,-6780471.00,-14066312.00,-7265687.00,-21559932.00,-5812618.00,-20986370.00,-9789123.33,-14572384.00,-7537275.00,-5672714.00,0.0
