,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,12199106725.48,9024402603.44,6255380073.90,3174548215.12,11320781393.69,8484933557.90,5853255169.05,3109236551.88,8517753726.31,6586779944.63,4579660856.59,2367047156.71,9125774773.35,1994953511.73,1366025025.96,663098899.48,2682244690.24,2100006834.19,1442996876.24,768101049.74,2748835668.70,2020294629.23,1371569315.74,634814129.88,2349747994.32,1878094133.17,1133604067.46,588531925.05,2006892234.86,1477072358.18,912417105.04,411359141.06,1702623275.22,1210299328.77,869492841.29,432147729.37,1422963645.91,1139951121.38,774037377.62,392318298.30,1164233728.34,949011524.94,679097472.51,291901349.86,687231933.82,556998212.59,374170588.94,177717210.37,624322933.38,489219506.23,331224781.13,165577887.12,545988123.21,430406844.32,315627699.36,179270787.46,504608317.68,409173223.11,292463071.32,140763416.38,358749813.38,270680953.43,183022570.67,101536130.34,382964761.45,244312011.16,160736781.90,228052131.43,149358536.62,0.0
2,营业收入,12199106725.48,9024402603.44,6255380073.90,3174548215.12,11320781393.69,8484933557.90,5853255169.05,3109236551.88,8517753726.31,6586779944.63,4579660856.59,2367047156.71,9125774773.35,1994953511.73,1366025025.96,663098899.48,2682244690.24,2100006834.19,1442996876.24,768101049.74,2748835668.70,2020294629.23,1371569315.74,634814129.88,2349747994.32,1878094133.17,1133604067.46,588531925.05,2006892234.86,1477072358.18,912417105.04,411359141.06,1702623275.22,1210299328.77,869492841.29,432147729.37,1422963645.91,1139951121.38,774037377.62,392318298.30,1164233728.34,949011524.94,679097472.51,291901349.86,687231933.82,556998212.59,374170588.94,177717210.37,624322933.38,489219506.23,331224781.13,165577887.12,545870580.66,430316887.01,315577076.55,179285071.65,502746161.30,407241653.00,290699722.71,139018263.13,358531918.13,270535879.00,182959335.50,101490903.81,382913348.28,244275729.71,160700425.24,227584080.62,149101854.05,0.0
3,二、营业总成本,11154095825.15,8167428144.31,5619375256.09,2874622691.49,10546581140.57,7604166103.05,5221859205.14,2812224614.85,7720514434.93,5863221431.28,3981669224.73,2067486682.13,8231244687.67,1812344205.00,1217853960.34,587886195.97,2348521241.09,1863962071.17,1245857638.66,671451254.28,2495794390.80,1824286923.05,1213337293.83,565424930.55,2173053453.67,1727281829.75,1019946179.88,524683073.01,1836754957.08,1358383988.60,828716948.51,366782932.16,1548738055.99,1112572709.83,792719357.94,389321589.62,1283302559.27,1030678242.22,702688771.52,353230246.00,1047500468.49,860882364.87,626451199.49,259970256.39,609330601.65,484498098.43,324065668.94,151665774.21,503498404.26,399265801.50,273179708.06,132495995.86,470770969.45,366367094.20,268422117.60,149124844.18,425238997.07,342780283.69,240243138.31,118300149.06,303012334.90,221820599.08,154304969.69,86964529.76,345832032.69,209324815.19,135461023.06,198602362.87,130981131.69,0.0
4,营业成本,6138829812.32,4395175190.48,3044548095.86,1522046527.35,5798933692.24,4248392223.58,3001379931.40,1610894889.34,4826644246.27,3996888803.19,2815855183.61,1434284031.24,5826835701.48,990678370.20,670786906.22,321796985.53,1358348576.66,1088345873.90,745908832.24,416165749.94,1473795753.16,1105196501.64,746183736.93,337296317.37,1368796917.92,1134678399.82,687385862.68,363665666.51,1330078375.36,976926246.64,596543345.98,270680935.74,1173537199.45,814892618.05,593886333.47,295383671.07,987462946.66,794294596.38,533978267.58,266843830.44,817919536.36,669462053.03,486816772.08,194539838.59,436525202.92,353327017.97,243077891.25,119150743.01,397717443.77,311563598.18,214300195.49,105193663.43,354923245.84,281249037.10,210100863.39,119037586.18,316300322.04,248470525.83,170881374.47,83690432.88,216256203.99,157629579.96,106119430.97,62422759.57,262177374.44,150452064.75,94546801.21,137933989.20,68558249.15,0.0
5,营业税金及附加,137212940.44,102226781.68,70395122.46,43712909.36,155063095.60,112337004.31,82157364.28,43842797.72,137506143.69,97699114.54,68277185.56,39134706.39,122247713.75,18752224.41,12592941.92,6206948.10,20927780.81,15149786.32,9295241.69,4721751.81,15919092.23,11743661.16,7383433.90,3594216.71,13593393.26,10798017.20,5295239.60,2547600.13,8066295.01,6526989.58,3623475.29,1857777.60,6391218.65,4760797.87,3096071.28,1571013.65,3682100.68,2958688.58,1996649.45,1085300.79,3516573.06,2733831.47,1752465.43,919322.32,2294319.75,1764263.59,1142695.30,568550.74,2417015.23,1931832.32,881361.93,444927.28,1462207.83,1311006.05,941549.10,649360.83,1207059.05,1086829.37,697937.53,350558.74,873729.38,708522.35,388207.11,212892.18,768610.74,598028.46,432189.38,721859.81,580129.03,0.0
6,销售费用,3609650072.40,2843501119.64,1958246211.61,1016338837.40,3242718549.50,2354227893.24,1528377463.02,834618046.18,1489877203.44,892056001.59,510376800.86,302476984.69,1009501560.53,502377788.43,338455920.02,174022580.23,584937695.56,451262264.63,301694907.92,154716713.68,645910402.43,474774739.46,312710874.82,166770320.03,518539112.74,406517072.62,226300222.01,115834107.36,338777288.20,262261202.45,159342926.78,68079467.58,235883566.95,186107704.35,112102027.89,50974596.73,163691041.67,134208055.13,91032241.23,44736577.55,124491094.97,111335946.28,77939173.49,30641233.86,83105805.19,69090334.58,45580040.34,18736240.43,55960668.78,42630206.36,30765270.72,14496212.87,57112612.11,41908354.17,28588807.51,15801691.65,55428353.88,41024973.81,26923166.40,15301476.30,40755939.49,29124480.35,20532585.80,10663950.21,41757302.28,28200580.46,18448521.70,30755935.61,26547330.10,0.0
7,管理费用,725027520.41,458339638.38,299061461.77,139448867.77,719085935.27,470226923.27,480878412.53,231273297.25,972676432.27,645038661.32,425636416.24,199908090.71,954539336.98,222382364.09,140852484.57,61470715.20,276520449.49,236543164.29,132388443.41,69181436.42,291461760.52,198076008.20,126541496.73,49163838.34,233145879.59,154230205.37,87119572.07,35606071.25,143755727.66,100726562.64,62466140.94,23451705.28,116169010.20,99272450.19,76265940.52,37101427.68,120716213.00,90053488.58,68348595.10,35912860.15,97908924.73,74423488.89,54985918.48,32438049.71,84437600.89,57770107.30,32130849.47,12176129.79,43815562.18,41542201.68,25994462.73,11200910.74,59269530.10,43827395.23,31043316.51,15672756.01,53880916.04,53466060.86,43075417.06,19576574.57,43585445.24,32697164.60,25608206.71,12981748.40,39007177.80,28339131.20,20934978.24,28081974.04,34222829.13,0.0
8,财务费用,126209402.87,104887634.62,77949143.56,49553445.69,162762656.27,117024393.06,89684272.42,71205846.20,271295991.63,202969843.95,129811700.92,75377542.37,258726329.35,50263168.34,33315532.73,16252387.98,81847140.24,55167092.49,44112120.12,20284509.75,46926006.12,28344652.44,13490071.32,4719687.73,19326843.34,13013924.23,6099401.66,3244857.53,16903083.83,11229347.92,6504484.60,2854657.92,9334422.66,5270087.85,2836223.89,1447740.18,6189274.12,4855249.73,3399382.73,1621406.94,1977694.43,2490367.91,2610822.48,675839.13,3255583.13,2394270.44,1913232.64,1501716.61,1176446.65,1597962.96,1238417.19,1160281.54,-1996626.43,-1928698.35,-2252418.91,-2036550.49,-1577653.94,-1268106.18,-1334757.15,-618893.43,1541016.80,1660851.82,1656539.10,683179.40,2121567.43,1735010.32,1098532.53,1108604.21,1072594.28,0.0
9,研发费用,417166076.71,263297779.51,169175220.83,72217689.81,373643554.89,266699151.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,31304414.11,94373656.80,35258514.24,39381761.49,20389738.16,22514417.63,28569006.69,31711937.54,16305326.73,59394045.58,27890289.53,21850174.88,8136578.93,25939598.33,17493889.54,12458093.28,6381092.68,21781376.34,6151360.15,7027680.13,3880550.37,19651306.82,8044210.51,7745881.86,3784770.23,-825812.98,713639.37,236574.92,-141611.96,7422638.08,2269051.52,4532760.89,2843140.31,1560983.14,4308163.82,3933635.43,3030270.13,1686644.94,436677.29,2346047.53,755972.78,-287910.23,152104.55,220959.94,-467606.37,2411267.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,1872600.00,650316.00,0,-2405300.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-171120.00,0,-171120.00,-164880.00,171120.00,0,95890.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
