,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,5572058322.49,3937326754.11,2463790347.21,1189874507.27,5101052369.75,3810739985.03,2441983661.13,1157972410.08,4926860046.62,3597713215.61,2344629275.95,1140768444.44,4048091669.31,2786757465.69,1768949632.11,812583181.21,3112666530.02,2283817112.13,1487772160.01,717361064.48,3215683345.83,2409250781.55,1624320251.12,795257028.48,3719968155.80,2740514670.74,1732640169.24,780909309.01,3492607059.83,2527333129.86,1621124583.39,746104484.75,3534221377.48,2671256570.06,1685476613.92,779042623.24,2841196365.37,2012930251.24,1273310076.14,544078134.67,1497837841.38,974005381.87,529508760.47,229457806.35,2290943379.67,1970555778.73,1382505829.05,592027654.00,1654198405.12,1127138269.00,719823270.32,331688674.35,1111405026.27,791948268.30,720833660.27,519339629.29,0.0
2,营业收入,5572058322.49,3937326754.11,2463790347.21,1189874507.27,5101052369.75,3810739985.03,2441983661.13,1157972410.08,4926860046.62,3597713215.61,2344629275.95,1140768444.44,4048091669.31,2786757465.69,1768949632.11,812583181.21,3112666530.02,2283817112.13,1487772160.01,717361064.48,3215683345.83,2409250781.55,1624320251.12,795257028.48,3719968155.80,2740514670.74,1732640169.24,780909309.01,3492607059.83,2527333129.86,1621124583.39,746104484.75,3534221377.48,2671256570.06,1685476613.92,779042623.24,2841196365.37,2012930251.24,1273310076.14,544078134.67,1497837841.38,974005381.87,529508760.47,229457806.35,2290943379.67,1970555778.73,1382505829.05,592027654.00,1654198405.12,1127138269.00,719823270.32,331688674.35,1111405026.27,791948268.30,720833660.27,519339629.29,0.0
3,二、营业总成本,5248886636.93,3736685707.84,2361334028.39,1140538245.34,4858331787.53,3673296624.33,2377633047.68,1144358917.44,4792093930.31,3481376988.42,2272280175.73,1106478194.28,3853230189.74,2655440279.30,1691447498.10,794356143.82,3093974977.30,2274696274.68,1482969375.09,720176675.72,3205593011.24,2380830217.97,1605492349.87,792941344.30,3708009425.90,2728986520.18,1725968134.97,776581808.08,3474116430.44,2514184265.53,1615089152.59,754594785.97,3535361789.51,2654198728.73,1676614468.22,776139917.99,2816176246.35,1984846286.33,1249967072.00,534112147.55,1509985768.09,962940723.47,529488721.89,240927835.73,2260237469.82,1895953972.08,1329835368.85,573308090.13,1594436763.32,1073423683.07,681764089.51,314788641.65,1026092234.58,737191944.63,656846332.59,487669417.51,0.0
4,营业成本,4678953001.27,3288066814.74,2048987146.31,1016111503.35,4320612815.84,3260719605.44,2100566326.27,1015547763.39,4303237117.98,3119829988.49,2033207635.05,990800676.04,3439961152.41,2368930383.02,1513011977.33,710108802.45,2776051680.64,2045910896.82,1331055856.51,648875055.75,2895001504.16,2161165886.82,1458233676.16,726705588.05,3412958814.99,2524586937.73,1592822041.19,712679514.90,3163696732.34,2293089364.22,1465321489.97,680498806.19,3217371271.58,2415431205.67,1526807376.92,711635222.70,2588946757.73,1829319633.08,1152015132.45,487500034.99,1321865659.42,875484186.56,489418675.09,215628185.49,1967212479.93,1674192839.10,1157211252.46,504496441.91,1467552610.61,991099662.12,631883899.55,289145771.51,964472452.97,685989392.46,613803149.69,465149998.44,0.0
5,营业税金及附加,39734239.13,76204249.15,66763337.68,7765853.58,38122628.57,27246263.79,18747076.02,8240191.43,32901971.62,23071788.57,15101545.49,6912386.70,23700862.59,10320486.47,7154452.91,3678123.93,14861884.63,10742009.06,6898180.97,3656559.12,14774123.74,11459903.23,8758682.01,4614762.81,10848077.90,7569745.48,4771184.32,2150555.85,32183824.37,23987257.67,17598303.83,10292384.76,53462765.79,41313524.95,26461003.73,11508951.22,50301808.26,33783047.61,21225495.19,10336605.40,40789697.52,21572494.03,7771369.53,5529785.41,104684614.60,92451380.70,81375252.41,452214.70,5086946.77,1348213.39,1053998.74,427500.38,2305009.53,1271019.57,985705.87,952137.06,0.0
6,销售费用,109589871.66,78735938.14,49523409.42,26420059.28,103873832.64,85801701.86,58255448.60,26801705.48,100286861.53,73225664.72,49063846.63,25020599.26,93410058.86,64754984.75,41922079.96,19818641.32,75038748.78,51175074.21,33109434.61,15923475.74,70620612.46,55131832.38,37270339.94,17323275.73,69218859.38,50318757.97,34506661.82,16868875.53,78346138.34,57035374.75,37385353.16,17987476.27,81999234.27,60141702.26,38070948.73,16160193.33,39716477.47,25581780.05,16078180.34,7538226.44,37720998.57,27765422.94,19452342.52,9795288.88,48883308.79,37478724.26,27798268.25,41760131.36,34282841.30,31505668.10,15353171.98,7919376.66,20422528.48,16124206.57,11467832.41,5799249.14,0.0
7,管理费用,111960799.17,83452733.13,58720589.57,24393061.63,99108845.16,86976287.51,144810818.05,67643598.25,261337846.39,199969369.87,128618673.18,61616574.43,210412946.92,157631867.14,98507417.24,45867061.72,154661727.67,115677720.44,77099841.05,38135292.61,146201100.23,103256935.29,67385945.90,32005736.52,131745555.16,90897312.35,57683004.41,27743722.55,122354024.85,89670106.61,61596363.06,29982048.61,95954318.36,65843948.63,39691201.55,15575650.94,81774853.96,54283199.64,32251914.15,15851550.07,70797726.99,42745455.56,23356686.44,11835563.97,59391318.54,41848588.55,28841923.50,11472499.61,45695481.70,27992026.92,17667707.63,9284830.04,29018641.25,20395434.83,21829960.39,10787517.52,0.0
8,财务费用,88696855.69,60711921.61,43471049.46,27185954.08,98621467.70,67611202.05,44448717.22,25720190.25,86769458.74,63119077.48,41299191.65,18098506.31,67928278.48,44882899.28,27426548.18,14507357.66,64214599.80,47375378.18,32632531.02,13887315.73,75198809.07,53883694.65,35713571.01,18002990.45,72441076.24,51693222.93,33610185.73,16214867.04,70023756.64,50502557.74,34381599.08,17817833.10,83296714.19,65324690.79,41707582.62,19277731.45,52705368.48,38229037.19,25174548.81,12202798.05,27758532.42,13417012.99,7981846.36,8299650.52,62994585.28,43319945.32,28623844.20,9130419.05,35269716.49,20912356.12,13416922.19,5669810.18,7836872.09,6290448.71,4978485.07,4312320.27,0.0
