,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
20,减：所得税费用,6221935.71,2959093.54,2875272.04,9532145.61,5040266.73,3092795.29,2420976.27,10483340.61,6032307.20,3382530.86,2732065.24,11530091.87,4404660.41,1813560.40,1906821.45,10374694.27,2928714.33,706430.20,56222.62,10097292.91,5274019.14,2726795.63,8847318.29,8579810.97,11109257.78,0.0
21,五、净利润,44077557.98,23065139.91,13177144.71,75657274.47,43200667.94,22285229.25,12990376.92,71756515.06,41670441.95,21889554.32,12256686.99,67482928.97,36510697.07,17775503.61,11069755.57,61296343.46,31242199.93,15704165.26,7920930.55,54319461.18,27890157.21,14596691.84,54951544.04,52244047.50,52379019.04,0.0
22,归属于母公司所有者的净利润,44077557.98,23065139.91,13177144.71,75657274.47,43200667.94,22285229.25,12990376.92,71756515.06,41670441.95,21889554.32,12256686.99,67482928.97,36510697.07,17775503.61,11069755.57,61296343.46,31242199.93,15704165.26,7920930.55,54319461.18,27890157.21,14596691.84,54951544.04,52244047.50,52379019.04,0.0
23,少数股东损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.086500,0.045300,0.025900,0.148500,0.084800,0.043700,0.033100,0.180000,0.106300,0.055800,0.043800,0.240000,0.130000,0.110000,0.079100,0.490000,0.260000,0.140000,0.075400,0.520000,0.270000,0.140000,0.520000,0.500000,0.500000,0.0
26,稀释每股收益(元/股),0.086500,0.045300,0.025900,0.148500,0.084800,0.043700,0.033100,0.180000,0.106300,0.055800,0.043800,0.240000,0.130000,0.110000,0.079100,0.490000,0.260000,0.140000,0.075400,0.520000,0.270000,0.140000,0.520000,0.500000,0.500000,0.0
27,七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0.0
28,八、综合收益总额,44077557.98,23065139.91,13177144.71,75657274.47,43200667.94,22285229.25,12990376.92,71756515.06,41670441.95,21889554.32,12256686.99,67482928.97,36510697.07,17775503.61,11069755.57,61296343.46,31242199.93,15704165.26,7920930.55,54319461.18,27890157.21,14596691.84,54951544.04,52244047.50,52379019.04,0.0
29,归属于母公司所有者的综合收益总额,44077557.98,23065139.91,13177144.71,75657274.47,43200667.94,22285229.25,12990376.92,71756515.06,41670441.95,21889554.32,12256686.99,67482928.97,36510697.07,17775503.61,11069755.57,61296343.46,31242199.93,15704165.26,7920930.55,0,0,14596691.84,0,0,0,0.0
30,归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
