,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,4544839366.75,2974285932.75,1569649311.20,7861221189.61,5817442907.27,3869757306.31,2055361413.47,6834341616.66,5355076834.78,3351223020.19,1768855103.48,5181052960.45,2635613270.70,1588610640.23,689737157.50,4624303998.30,3921366059.31,2873402512.05,1752692914.01,7480841273.23,6864227943.15,4324600960.17,2072322953.80,11165836307.91,9054211242.27,6066928558.29,3035325772.54,12799284522.21,7516921571.44,5378837649.91,2613714197.99,9502212327.17,7331145978.43,0.00,0.00,242901001.29,223092882.96,153937477.31,73842100.97,323129448.26,247427439.25,155447043.97,93182363.73,305396192.58,242861440.92,175352598.36,98502774.80,198548912.13,130152905.93,70834866.40,25377745.72,216109901.61,140983263.07,85339695.23,48875409.30,241550991.97,187808576.40,136757575.91,55531574.53,261824849.54,192993042.04,160561144.78,67195331.01,173427012.11,94150843.97,63869463.82,21868121.44,99162801.76,42091338.40,100051350.21,58712358.40,0.0
2,营业收入,4544839366.75,2974285932.75,1569649311.20,7861221189.61,5817442907.27,3869757306.31,2055361413.47,6834341616.66,5355076834.78,3351223020.19,1768855103.48,5181052960.45,2635613270.70,1588610640.23,689737157.50,4624303998.30,3921366059.31,2873402512.05,1752692914.01,7480841273.23,6864227943.15,4324600960.17,2072322953.80,11165836307.91,9054211242.27,6066928558.29,3035325772.54,12799284522.21,7516921571.44,5378837649.91,2613714197.99,9502212327.17,7331145978.43,0.00,0.00,242901001.29,223092882.96,153937477.31,73842100.97,323129448.26,247427439.25,155447043.97,93182363.73,305396192.58,242861440.92,175352598.36,98502774.80,198548912.13,130152905.93,70834866.40,25377745.72,216109901.61,140983263.07,85339695.23,48875409.30,241439556.87,187798375.14,136757575.91,55531574.53,261588467.44,192769996.17,160479085.01,67195331.01,173416398.16,94147431.67,63865063.12,21868121.44,100479232.48,43407769.12,100051350.21,58689992.45,0.0
3,二、营业总成本,4440360446.19,2850632289.82,1416998124.09,6960241237.66,5005542936.64,3333850327.44,1737705854.99,6270618291.84,4889375975.89,3028030233.56,1594358851.05,6889491497.20,3741853635.10,2366275525.98,1052451642.74,5797572166.67,4456402520.09,3070696250.46,1789795105.43,7166525289.93,6615613935.62,4135152694.09,1919022809.74,9528663353.42,7587899009.70,4897212283.99,2335431413.21,10395820136.68,5971941962.31,4237273642.38,2090171318.49,7603859077.43,5630175511.84,5693549.42,5882240.87,250759881.58,205360927.85,132391861.58,69529644.05,262594745.57,187543787.84,124130015.14,73030564.09,257667441.92,205941619.69,154166855.54,86910647.31,172659052.29,111843236.89,65856597.94,24687405.97,204903124.20,133202254.67,77952741.00,46440015.86,232694025.99,181076562.07,130330449.21,52269437.03,251867310.58,186259012.03,156042250.59,67931684.98,159036954.38,84919851.10,58150277.25,21421039.54,80818420.76,35194676.75,83567449.95,44864185.28,0.0
4,营业成本,3330486139.54,2171264077.07,1045350701.40,5221396676.57,3786348438.61,2562848332.42,1331976047.22,4375698179.20,3465756034.28,2071403663.34,1146527627.67,4842825767.96,2855236950.85,1792274035.02,822579542.65,4486345269.60,3607078109.15,2515139257.61,1513724092.20,5609193622.33,5471145106.19,3289157023.96,1443448417.25,7830548773.43,6384823942.76,4112729449.90,1928407756.59,8610132611.57,4973458299.02,3544620272.60,1760238377.91,6076265139.52,4542835943.55,0.00,0.00,136790923.82,112136947.91,68819574.85,27863625.92,162557450.83,121464732.64,82300376.77,50435952.69,170465207.57,142376923.73,113441992.90,65443120.18,115384807.99,74666741.93,44969141.78,13977369.60,169256531.19,107384197.98,61718833.71,39365906.41,200603506.32,159838527.01,116706234.49,46618577.66,222846356.63,165380811.84,139928469.65,60508586.46,131740443.93,69370060.34,49062585.52,16599051.45,61318691.90,20774146.07,56347572.60,28518613.63,0.0
5,营业税金及附加,160380682.33,108963663.43,67112996.93,329701121.85,248060189.04,163366314.41,75440428.25,298831894.84,233280953.83,155924240.00,79359405.75,179612567.41,78300266.15,41822963.21,13831425.85,118249498.45,95245591.43,66680064.78,36919445.72,173199622.34,122044692.92,86625833.87,45577545.49,239366185.50,182449884.65,123186057.67,64720989.13,238903287.49,125918825.70,87796145.09,41312743.33,183462196.21,137943192.97,0,0,10429142.57,9600207.59,6401930.26,3094845.30,11940756.85,8650964.47,5101823.97,3114570.04,10813224.39,8122925.27,4795275.08,2394826.61,7612801.15,5180707.17,2425534.92,1260169.53,4546058.48,2800594.19,1731616.88,707198.91,2341182.02,1005335.45,580818.43,257081.25,2289606.50,1394622.26,1004640.34,307726.47,2416973.26,1232884.81,766777.06,261647.78,2118437.20,1236715.56,2444951.11,1079918.41,0.0
6,销售费用,87434110.46,60815635.23,31679436.87,140218087.34,101670688.57,67106319.20,33586226.13,136351037.97,94392418.22,62959411.69,31829860.82,161765802.64,133881710.44,77668157.25,30082537.02,189140383.56,131884123.11,85327006.53,40161343.97,287137405.87,277961857.05,208373872.01,128892353.79,257740241.32,180162447.77,95784030.98,45425007.96,313783412.71,107049036.58,71791849.72,35205248.96,157864228.90,117067367.62,0,0,25224969.39,19611429.51,11516730.60,5117285.40,14287421.36,9181166.71,5901902.12,2760601.21,9700204.08,5806254.18,3587950.02,1585522.67,10046390.90,7745434.62,5217289.77,2770562.04,7482928.35,5245847.68,3393544.65,1641984.52,6140318.26,4444854.99,2857844.67,1416232.21,7891370.11,6352882.97,4141247.77,2150188.32,7651127.43,5554411.30,3216201.95,1147385.00,6127340.30,4887814.36,6309284.43,4344977.62,0.0
7,管理费用,621743254.88,385457351.86,184628306.40,788110791.31,578434085.43,405514368.62,216515788.16,954162219.28,803875556.38,584049167.42,282542333.49,731593739.08,515769873.12,353194437.26,175372616.76,783493182.27,570683601.45,365108661.82,186073013.30,976682140.55,730546150.57,523846905.28,301673789.35,1139743467.14,839277832.17,553927495.53,286838477.16,1214631165.35,723625123.78,512789606.11,235766361.61,1100250495.25,757575984.10,6735276.39,6732609.71,83527114.11,64748740.72,44393336.64,34862758.23,80554927.79,51836979.27,31959581.00,15894512.42,67592566.73,44464577.85,28929441.43,15986536.09,40193920.87,23687156.07,13646557.85,6225351.78,24384948.35,16476954.19,10841462.40,3099211.29,23550482.21,15258179.25,9816984.90,3838694.38,20925052.35,15206966.08,10702907.57,4845565.57,17323263.38,9072880.77,5477611.46,3218082.42,10849668.48,8009589.28,18148291.73,10947800.73,0.0
8,财务费用,157424530.98,72579383.65,66415389.94,274336357.89,225529189.55,163193765.79,100383958.19,292966632.94,202326470.68,132639676.67,44367061.92,175450813.02,83739789.11,26390887.81,4405520.46,32957112.56,22589181.53,12733539.65,10066686.45,10765339.73,-28358719.90,-16478205.97,-5440677.64,-16305603.21,-20329234.93,-12230491.23,1667754.65,-7345152.26,26533775.68,16868001.21,13684284.18,75011168.44,73046801.18,-1041726.97,-850368.84,-5396572.51,-3779121.48,-2267927.46,-1486885.77,-7708899.25,-5212745.78,-3084821.08,-1484043.05,-4627501.49,-2501273.22,-1678601.08,-1409703.54,-2587236.14,-711276.42,-580525.39,-879898.04,-1056568.57,-286223.04,-765486.96,-717456.38,58537.18,529665.37,368566.72,138851.53,-2085075.01,-2076271.12,264985.26,119618.16,-94853.62,-310386.12,-372898.74,194872.89,404282.88,286411.48,317350.08,-27125.11,0.0
