,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,6520134606.98,5147235942.92,3765705508.89,8999288324.24,5800338283.03,4285002247.84,2896836571.79,7642949839.74,5388463583.25,4070529326.46,2661613444.82,7210584095.92,5022480450.23,3836288797.35,2530663661.63,6790332448.63,4587054193.13,3309785569.18,2108810606.88,5322458852.92,3454945315.17,2486113653.80,1641090688.89,4058085962.75,2758719420.69,2038027031.29,1322805305.61,3803173223.78,2600520178.59,1955957868.99,1324524957.38,3312952053.73,2290244575.67,1690332550.40,1100000759.71,2479930163.95,1635572748.02,1201550544.83,775237717.30,1999630483.89,1336008793.45,977911797.57,642240516.68,1749822792.32,1216667331.96,905392056.82,614175754.03,1578695740.74,1098907701.04,814193354.61,1354416330.30,1102764881.59,0.0
2,营业收入,6520134606.98,5147235942.92,3765705508.89,8999288324.24,5800338283.03,4285002247.84,2896836571.79,7642949839.74,5388463583.25,4070529326.46,2661613444.82,7210584095.92,5022480450.23,3836288797.35,2530663661.63,6790332448.63,4587054193.13,3309785569.18,2108810606.88,5322458852.92,3454945315.17,2486113653.80,1641090688.89,4058085962.75,2758719420.69,2038027031.29,1322805305.61,3803173223.78,2600520178.59,1955957868.99,1324524957.38,3312952053.73,2290244575.67,1690332550.40,1100000759.71,2479930163.95,1635572748.02,1201550544.83,775237717.30,1999630483.89,1336008793.45,977911797.57,642240516.68,1749822792.32,1216667331.96,905392056.82,614175754.03,1578695740.74,1098907701.04,814193354.61,1354416330.30,1102764881.59,0.0
3,二、营业总成本,6189978733.76,4828605214.94,3414579051.05,8539223706.69,5412341919.37,3898752687.92,2520261819.52,7177619112.32,5097931787.11,3783929305.10,2409476196.69,6609047869.63,4542812097.22,3389581220.76,2137019566.91,6126882658.18,4113342971.29,2887123971.45,1760342102.13,4737072095.21,3081990312.23,2160759388.58,1351738237.79,3677385885.74,2501817323.75,1797471532.87,1107243914.50,3416324007.60,2311119740.51,1750963311.93,1141993843.72,2853346659.51,1886907127.99,1362215025.55,862259404.53,2018469416.50,1273871227.72,915651224.58,572118169.39,1591013933.20,1038633720.02,742211935.64,470622779.06,1404958317.17,971982522.83,706303371.49,440730069.04,1268984859.32,887953165.81,651051974.46,1109895446.64,913321334.32,0.0
4,营业成本,5938459649.91,4651282762.83,3319881001.07,8039670903.23,5068782962.10,3726414710.82,2436860819.76,6860134868.57,4856512728.35,3623401015.68,2316815060.24,6316741208.37,4316178840.23,3235058814.31,2054377789.71,5755095826.89,3833730915.59,2705273791.42,1656277688.15,4355376192.00,2812737825.20,1979918438.85,1263542757.42,3339678815.01,2259206748.13,1640363533.87,1033852264.22,3094115843.02,2125856709.46,1605684194.19,1064719907.71,2680574387.35,1802092362.71,1304478603.86,833842013.66,1894418456.44,1203895936.76,869082023.30,545826935.95,1478625270.75,979157767.93,702960593.33,448603613.85,1301636583.71,905104520.86,660191924.12,423013960.31,1146591697.98,799382436.88,584262387.11,997027066.29,812098651.20,0.0
5,营业税金及附加,30950130.84,26188732.74,20177389.18,46686722.80,35615786.26,25243260.70,14765943.21,34923760.67,24495157.10,15403209.13,7909887.01,30241569.92,15168349.91,14973411.75,10780441.08,30278433.64,26291665.66,16755636.80,10040477.62,24449224.85,15289720.61,10612442.30,7271689.52,4340404.83,1951630.77,1459374.47,746586.32,3320498.86,2187497.40,1279598.30,671484.44,12820680.42,7799047.10,4720817.68,1292071.07,12000490.87,7534367.44,5890003.61,3734968.54,8554507.80,6109544.15,4551674.66,2451936.02,9651410.80,7083345.16,5031770.16,3303766.91,16469767.93,14035274.83,11118694.74,18468909.81,15375436.29,0.0
6,销售费用,13826983.00,9673128.76,5145421.96,17105893.33,11429081.97,7412753.91,3805513.75,13198927.25,10156117.36,6648949.65,2962129.43,10929120.35,7212743.41,4533780.64,1992323.30,10240177.27,7394284.87,5086888.16,2147984.53,13533301.18,9889453.07,7359649.59,1346342.38,11912253.71,4992316.63,3380011.61,1879685.73,9389153.74,3244162.27,2003848.98,1570280.35,7943482.00,2510916.35,2268961.75,1640352.50,6769424.49,2021973.11,1662654.85,1290450.65,6616995.31,1680228.15,1205809.16,1047475.74,1756649.65,717246.74,443618.24,224157.94,3012602.97,1726420.89,1644419.49,2342512.03,1810826.07,0.0
7,管理费用,73091277.55,47703870.46,25516119.68,117246260.28,64676150.53,48081087.74,24234967.11,109490364.70,79149706.17,48323219.83,23033066.27,107423359.51,80756559.46,51985682.60,26632524.97,125998306.23,93139576.37,57329317.96,31347972.12,120114623.62,78462212.55,54051067.07,22977040.58,114573382.14,83319636.77,57812641.78,28595289.09,119538766.62,75790280.77,53964551.88,26099411.31,100492840.08,54490200.20,34200910.12,14887662.72,82815978.70,45244768.16,28882775.75,12941356.93,63797070.93,34710372.14,23420811.02,9998443.59,55616973.86,30099839.37,21200958.14,8775746.99,52865856.33,27846355.47,17776347.60,32400633.27,23822511.99,0.0
8,财务费用,118554992.93,81548217.79,41204908.04,157028273.19,114096109.66,76383249.74,36015915.15,137533886.06,103128409.30,66816623.03,33858876.11,146461716.98,108270156.88,72272658.73,37513341.40,196504832.13,143300853.46,101257277.71,53221802.98,215613849.64,166604022.45,110475250.32,54649390.50,212154409.14,155043227.30,100724875.05,48477757.65,181585192.41,101188754.80,88502276.93,44161677.09,66088357.06,37241038.86,15056651.45,6873427.49,17027469.55,10466290.95,8520232.93,4862918.58,19099944.67,14316815.04,9510191.33,6141409.75,32707454.82,25565661.05,16177578.21,3686272.09,49330248.28,44276892.94,27871206.89,59676585.68,61668322.71,0.0
