,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,163190175.32,119940820.18,72940097.67,32464570.52,158560709.13,103567320.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,1041064.66,61057924.05,31719138.44,21761831.32,7745602.08,52092881.10,8360063.02,1812586.77,-3665366.11,47858229.30,22474200.36,16257251.83,3729434.98,25009690.47,13821210.92,9766658.00,150621.01,44761273.85,12314276.58,7924878.81,3605096.58,34121370.41,9862941.43,7275082.62,655488.78,91428983.88,8795706.04,5603073.06,1523224.65,27960654.40,13350311.49,9040880.42,1812145.58,43013712.10,24357688.41,7903038.92,1361937.18,110421789.99,10876325.12,1869487.99,311024.31,22115432.95,362191.26,-117278.31,-1293467.27,12594756.23,1236764.67,1428577.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,投资收益,44367516.57,-508448.51,-457286.07,-214570.19,5507212.16,14340585.73,9192841.63,8213333.61,15409556.91,4540312.96,4013383.56,2017221.79,25709321.21,23617107.51,21422387.99,1371462.27,17177466.88,4110148.66,949402.60,238802.83,10114935.06,8503161.10,7134908.84,5970673.37,7433793.61,5456199.60,3386690.65,307522.69,8751939.60,5009503.32,4540481.47,1687132.61,36825719.14,10158506.05,9399968.79,2938739.75,9594248.64,3034379.14,8809833.72,1700169.43,31818289.19,36158386.91,35787554.62,3131581.54,18322478.70,37149243.99,32726337.70,26213930.69,36335528.83,31083507.47,28455874.20,12493020.53,12604134.31,12299775.12,9006675.40,2662926.07,2780083.80,7887027.07,7492188.25,1773467.94,7764311.74,9360167.91,3694140.71,920228.22,667687.04,805417.92,801299.48,400000.00,1180900.68,2306173.01,2306173.01,2123673.01,7425541.50,3091218.01,212525.00,212525.00,12549.14,426352.60,407646.90,0.0
13,其中:对联营企业和合营企业的投资收益,2717553.69,-2631729.78,-2580567.34,-214570.19,-7011868.37,3057191.84,2017907.18,8213333.61,15409556.91,4540312.96,4013383.56,2017221.79,6676342.37,5827107.51,3632387.99,1371462.27,6502900.72,4110148.66,949402.60,238802.83,4344844.32,2613230.18,1244977.92,80742.45,7433486.76,5456199.60,3386690.65,307522.69,8116695.88,5009403.32,4540481.47,1687132.61,6503054.88,6363867.56,6949968.79,2938739.75,4377855.94,-2241730.83,3533723.75,1609342.02,21925602.28,26391458.55,26373035.71,3131300.78,-13394379.57,30813358.32,25582392.63,19682930.69,28238482.55,22504223.17,20199289.99,4690701.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,200657045.77,177852869.75,132854641.36,93845421.08,313420886.48,257444931.07,170041475.08,76829906.93,175947144.49,140139004.11,94167472.49,44700299.66,84957352.18,88857227.82,84150434.96,39576661.72,31862823.14,32195540.12,-2780009.28,1608578.88,-55901615.58,-5413943.03,4801732.96,3653876.65,-43746915.58,-27634528.05,-12012781.08,-11121648.79,-203393896.20,-88448400.17,-56603167.06,-32572749.00,-8854048.11,11844041.30,17639636.59,19611167.36,70254825.78,34917871.91,22541929.00,-3899206.00,-286780722.83,-105116491.15,-69006536.85,-49523280.10,-47292213.73,34658411.49,42503788.74,30452823.54,77162185.95,111524715.06,75429680.63,31687677.96,101192822.11,83744565.71,59584159.42,19750757.49,45648485.09,59538312.49,45993840.90,14792895.04,75043972.04,59006647.15,40050873.80,12627072.87,81055459.45,46223571.59,30832428.60,9250853.73,65951034.56,46314530.46,32931866.64,13893945.90,75560928.83,49660376.60,54624756.94,26314123.98,30938810.11,26707755.68,20335971.18,0.0
16,加:营业外收入,1457880.38,1129978.54,219462.44,111920.45,3168272.94,2707714.75,1967900.42,1759409.67,1756204.55,24988020.73,17261524.12,13901197.13,49849726.07,40799092.53,23368750.62,18043202.11,55995966.48,32755785.90,25706744.29,6061310.82,76921501.36,21519641.44,15165341.22,10133746.43,81352455.49,31203508.39,5898479.30,1958233.02,15833150.34,12254868.44,9948940.84,1144980.33,27401747.28,12163918.73,9046915.18,982984.54,16207403.18,25632758.44,9170110.50,8894912.99,19977462.58,11951593.84,8749679.20,970708.95,66261227.86,7235559.15,4072948.32,3007611.01,21691325.49,6783282.72,3051284.36,1195002.89,249993.79,300553.61,180196.98,137219.66,10105191.35,18373.63,15349.51,9217.00,668600.00,665000.00,125000.00,1000.00,32960.94,31076.94,911.48,0,176072.50,11222.50,11222.50,11222.50,158145.58,87600.00,8827.60,500.60,35974.00,97073.78,3259916.50,0.0
17,减：营业外支出,4618107.43,2897953.78,905358.94,19630.31,2998232.32,1815210.11,1110798.47,502759.45,3722149.16,1971098.98,480153.79,158008.85,7408748.56,3814479.79,3002522.14,592010.89,2867971.39,2255177.78,1253913.26,522580.88,3403101.82,2353139.28,1502637.82,891464.73,19614326.97,3286510.07,1666797.31,380042.81,3166505.62,2848017.13,1744792.05,1340778.35,2594230.19,2077799.63,1148449.96,543075.51,12216475.00,1932101.61,941014.47,450402.96,22337511.35,2855734.85,1352352.00,901028.34,5045276.45,3897181.10,2788753.40,1278871.83,2868887.01,3641633.87,840298.47,391434.19,2347959.43,1618580.92,643445.02,369249.08,1167375.53,776572.93,331422.58,102438.42,1247691.53,1157159.69,864902.84,681081.03,813434.72,260749.96,-10589.78,116184.01,878175.71,847089.57,365715.65,219975.57,2016856.19,514685.91,2964934.38,161020.84,634394.86,1670732.11,776698.07,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,611297.67,132587.66,91783.47,2280336.43,2087847.55,2021062.54,1720.33,244046.19,191077.95,150722.02,23742.77,875949.03,329792.92,359013.10,305843.40,16693971.79,1083599.79,837171.35,0,91514.43,63137.29,63137.29,30226.96,191552.49,17269.37,17269.37,17269.37,585786.23,193570.65,193570.65,0,1889400.40,280934.92,241654.20,160736.65,826923.12,677495.69,673966.69,320657.99,140591.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,四、利润总额,197496818.72,176084894.51,132168744.86,93937711.22,313590927.10,258337435.71,170898577.03,78086557.15,173981199.88,163155925.86,110948842.82,58443487.94,127398329.69,125841840.56,104516663.44,57027852.94,84990818.23,62696148.24,21672821.75,7147308.82,17616783.96,13752559.13,18464436.36,12896158.35,17991212.94,282470.27,-7781099.09,-9543458.58,-190727251.48,-79041548.86,-48399018.27,-32768547.02,15953468.98,21930160.40,25538101.81,20051076.39,74245753.96,58618528.74,30771025.03,4545304.03,-289140771.60,-96020632.16,-61609209.65,-49453599.49,13923737.68,37996789.54,43787983.66,32181562.72,95984624.43,114666363.91,77640666.52,32491246.66,99094856.47,82426538.40,59120911.38,19518728.07,54586300.91,58780113.19,45677767.83,14699673.62,74464880.51,58514487.46,39310970.96,11946991.84,80274985.67,45993898.57,30843929.86,9134669.72,65248931.35,45478663.39,32577373.49,13685192.83,73702218.22,49233290.69,51668650.16,26153603.74,30340389.25,25134097.35,22819189.61,0.0
20,减：所得税费用,29827204.35,29330644.78,20765930.47,11056866.32,23129584.30,21590114.84,4773622.86,-7048529.44,14192186.25,13124541.65,10740659.26,4538509.41,14620438.77,14856896.23,9154014.84,6972474.33,11170987.94,5417260.19,923631.31,-4149410.48,4582050.27,2323649.70,2496421.15,1625626.60,4295478.31,2380481.35,1089660.22,308048.99,8552706.53,912619.97,1007094.12,179463.37,1259965.95,901014.71,-1958.83,-13867.47,-7259523.85,0,0,652236.79,8683167.24,-1269262.16,-104277.41,0,827767.41,3475590.03,3518262.47,1315248.33,5482653.10,12641719.95,7341403.24,3923203.65,296305.03,7709598.83,5324234.64,2501128.03,11978248.96,6310870.28,4433347.96,2099517.63,9484125.49,6161446.79,5355211.25,1855832.80,8002754.59,4647516.47,4647516.47,1893947.46,4647516.47,4647516.47,3787894.92,1893947.46,4481549.05,3332377.77,3664312.61,8630689.23,0,0,0,0.0
21,五、净利润,167669614.37,146754249.73,111402814.39,82880844.90,290461342.80,236747320.87,166124954.17,85135086.59,159789013.63,150031384.21,100208183.56,53904978.53,112777890.92,110984944.33,95362648.60,50055378.61,73819830.29,57278888.05,20749190.44,11296719.30,13034733.69,11428909.43,15968015.21,11270531.75,13695734.63,-2098011.08,-8870759.31,-9851507.57,-199279958.01,-79954168.83,-49406112.39,-32948010.39,14693503.03,21029145.69,25540060.64,20064943.86,81505277.81,58618528.74,30771025.03,3893067.24,-297823938.84,-94751370.00,-61504932.24,-49453599.49,13095970.27,34521199.51,40269721.19,30866314.39,90501971.33,102024643.96,70299263.28,28568043.01,98798551.44,74716939.57,53796676.74,17017600.04,42608051.95,52469242.91,41244419.87,12600155.99,64980755.02,52353040.67,33955759.71,10091159.04,72272231.08,41346382.10,26196413.39,7240722.26,60601414.88,40831146.92,28789478.57,11791245.37,69220669.17,45900912.92,48004337.55,17522914.51,30340389.25,25134097.35,22819189.61,0.0
22,归属于母公司所有者的净利润,162417496.13,146704870.73,115296344.42,82635548.09,283546469.38,233257354.78,162066488.03,82072310.98,156863991.35,150346738.14,100471315.36,54119014.79,110331714.05,108563564.70,92941268.97,50055378.61,73182379.70,57009444.96,20504049.72,11739747.25,13566562.65,11445737.52,15932009.64,11234526.18,12140467.20,-1826822.41,-9801799.18,-9926342.04,-196936690.97,-79132972.80,-49051512.60,-32787371.63,12103073.39,17838529.90,23520110.19,18704029.33,84429891.40,60581341.32,30214748.62,3477328.58,-290750267.88,-94896133.65,-61701628.09,-48812351.40,12135976.64,34436127.69,40129600.58,31062526.32,82634084.93,95071851.06,67445904.63,28474632.96,97030906.44,71019396.74,50820209.60,16584564.08,39135992.89,52203195.79,40578851.37,12527470.90,64129498.50,50079897.44,32878105.69,10515053.51,70477235.58,41346382.10,26196413.39,7240722.26,60601414.88,40831146.92,28789478.57,11791245.37,69220669.17,45900912.92,48004337.55,17522914.51,30340389.25,25134097.35,22819189.61,0.0
23,少数股东损益,5252118.24,49379.00,-3893530.03,245296.81,6914873.42,3489966.09,4058466.14,3062775.61,2925022.28,-315353.93,-263131.80,-214036.26,2446176.87,2421379.63,2421379.63,0,637450.59,269443.09,245140.72,-443027.95,-531828.96,-16828.09,36005.57,36005.57,1555267.43,-271188.67,931039.87,74834.47,-2343267.04,-821196.03,-354599.79,-160638.76,2590429.64,3190615.79,2019950.45,1360914.53,-2924613.59,-1962812.58,556276.41,415738.66,-7073670.96,144763.65,196695.85,-641248.09,959993.63,85071.82,140120.61,-196211.93,7867886.40,6952792.90,2853358.65,93410.05,1767645.00,3697542.83,2976467.14,433035.96,3472059.06,266047.12,665568.50,72685.09,851256.52,2273143.23,1077654.02,-423894.47,1794995.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,基本每股收益(元/股),0.165000,0.147000,0.116000,0.083000,0.285000,0.234000,0.163000,0.099000,0.189000,0.181000,0.121000,0.065000,0.133000,0.131000,0.112000,0.060000,0.093000,0.074000,0.028000,0.018000,0.021000,0.018000,0.025000,0.018000,0.021000,-0.003000,-0.017000,-0.017000,-0.334000,-0.134000,-0.083000,-0.056000,0.021000,0.030000,0.040000,0.032000,0.143000,0.103000,0.051000,0.010000,-0.490000,-0.161000,-0.105000,-0.083000,0.020000,0.058000,0.068000,0.063000,0.190000,0.216000,0.154000,0.065000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,稀释每股收益(元/股),0.165000,0.147000,0.116000,0.083000,0.285000,0.234000,0.163000,0.099000,0.189000,0.181000,0.121000,0.065000,0.133000,0.131000,0.112000,0.060000,0.093000,0.074000,0.028000,0.018000,0.021000,0.018000,0.025000,0.018000,0.021000,-0.003000,-0.017000,-0.017000,-0.334000,-0.134000,-0.083000,-0.056000,0.021000,0.030000,0.040000,0.032000,0.143000,0.103000,0.051000,0.010000,-0.490000,-0.161000,-0.105000,-0.083000,0.020000,0.058000,0.068000,0.063000,0.190000,0.216000,0.154000,0.065000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,七、其他综合收益,150952915.19,126269605.64,165843707.89,119116079.24,-90529440.79,-51933614.83,-15181546.30,25093324.10,-34427357.88,0,0,0,10484.87,0,0,0,0,0,0,0,-963643.94,-878458.45,-878458.45,-842252.88,-3873631.03,0,0,0,0,0,0,0,-1220244.73,0,0,0,321075.66,0,0,0,2892329.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,八、综合收益总额,318622529.56,273023855.37,277246522.28,201996924.14,199931902.01,184813706.04,150943407.87,110228410.69,125361655.75,150031384.21,100208183.56,53904978.53,112788375.79,110984944.33,95362648.60,50055378.61,73819830.29,57278888.05,20749190.44,11296719.30,12071089.75,10550450.98,15089556.76,10428278.87,9822103.60,-2098011.08,-8870759.31,-9851507.57,-199279958.01,-79954168.83,-49406112.39,-32948010.39,13473258.30,21029145.69,25540060.64,20064943.86,81826353.47,0,0,3893067.24,-294931609.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,归属于母公司所有者的综合收益总额,313370411.32,272974476.37,281140052.31,201751627.33,193017028.59,181323739.95,146884941.73,107165635.08,122436633.47,150346738.14,100471315.36,54119014.79,110342198.92,108563564.70,92941268.97,50055378.61,73182379.70,57009444.96,20504049.72,11739747.25,12602918.71,10567279.07,15053551.19,10392273.30,8266836.17,-1826822.41,-9801799.18,-9926342.04,-196936690.97,-79132972.80,-49051512.60,-32787371.63,10882828.66,17838529.90,23520110.19,18704029.33,84750967.06,0,0,3477328.58,-287857938.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,归属于少数股东的综合收益总额,5252118.24,49379.00,-3893530.03,245296.81,6914873.42,3489966.09,4058466.14,3062775.61,2925022.28,-315353.93,-263131.80,-214036.26,2446176.87,2421379.63,2421379.63,0,637450.59,269443.09,245140.72,-443027.95,-531828.96,-16828.09,36005.57,36005.57,1555267.43,-271188.67,931039.87,74834.47,-2343267.04,-821196.03,-354599.79,-160638.76,2590429.64,3190615.79,2019950.45,1360914.53,-2924613.59,0,0,415738.66,-7073670.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
