,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1862691882.30,1258101926.21,570916719.66,3094726945.21,2074227393.08,1230617339.78,543168698.76,2455063972.29,1676990864.95,1026556843.66,450893986.29,2033481030.11,1245838074.90,889047571.84,354384575.51,1685391508.43,1144316943.20,810044937.26,307084714.46,1523535056.67,1007979284.13,657338832.17,264593812.81,1319075626.04,829775916.39,571175410.84,240518218.11,1044419979.13,755152707.37,513641747.47,230418005.78,783560295.36,546261214.18,361052945.86,155912007.51,552159164.92,375244513.36,237538914.03,127793962.66,466499379.77,357260653.95,221191625.15,105609322.09,386863490.90,279315440.43,277019195.31,203994222.18,0.0
2,营业收入,1862691882.30,1258101926.21,570916719.66,3094726945.21,2074227393.08,1230617339.78,543168698.76,2455063972.29,1676990864.95,1026556843.66,450893986.29,2033481030.11,1245838074.90,889047571.84,354384575.51,1685391508.43,1144316943.20,810044937.26,307084714.46,1523535056.67,1007979284.13,657338832.17,264593812.81,1319075626.04,829775916.39,571175410.84,240518218.11,1044419979.13,755152707.37,513641747.47,230418005.78,783560295.36,546261214.18,361052945.86,155912007.51,552159164.92,375244513.36,237538914.03,127793962.66,466499379.77,357260653.95,221191625.15,105609322.09,386863490.90,279315440.43,277019195.31,203994222.18,0.0
3,二、营业总成本,1714196092.45,1183389804.77,528220168.82,2726171731.60,1797073597.16,1053353858.44,469881410.38,2123723390.16,1389426909.71,861238627.02,391136298.80,1722371853.19,1038033329.83,727386799.99,298993594.93,1422292054.78,898828985.03,641862642.71,261007544.06,1224631995.96,797511052.02,519593797.18,225886578.04,1060678680.40,681916586.61,461045294.38,205964711.76,894352629.27,644197271.52,433309450.96,197028550.56,660155154.87,459245055.06,309952117.12,133796257.51,456328542.17,311307032.56,202061687.19,107308899.68,395313724.86,299379434.91,190961289.43,94816199.03,343133217.83,242348797.92,242411921.79,180258277.28,0.0
4,营业成本,1312375098.96,909889029.25,399578775.85,2120907516.15,1434562146.84,812916512.39,359115979.47,1638587862.64,1133134939.90,695866501.84,303602929.09,1388075300.92,843717994.63,599214277.66,235936022.35,1110848748.99,742038801.77,529694647.35,208210219.96,977926922.30,694389607.19,449468025.12,178724929.97,876213503.50,594240311.73,404759924.06,176260152.68,752589769.50,571789447.90,385169533.83,170551385.61,546098394.87,403520046.95,270422930.15,114036001.52,390423150.39,260605521.69,167057286.65,90166280.88,338056336.61,260384639.59,164912221.64,80448613.94,287229555.96,204507443.84,202191158.57,146122925.03,0.0
5,营业税金及附加,14790587.50,9897500.11,5536659.79,32489533.69,14974162.99,9423192.73,4929365.16,21466769.13,12745982.74,9328950.93,2965006.83,15728514.34,4888544.26,2531838.53,1347415.52,10529736.76,4001050.75,2571369.56,507293.80,6949530.47,2403268.70,2297392.55,1223371.66,6416505.89,2708494.58,1082705.71,326663.69,6787936.02,2183463.25,1503609.57,897864.49,4744696.89,3118586.88,1914022.12,929023.01,4540656.59,2622224.75,1468111.01,357661.18,2478501.04,1358139.73,653209.79,411012.48,1029070.60,699768.01,1792777.59,1414208.13,0.0
6,销售费用,69264139.39,48654127.85,30156436.59,80415428.60,61001849.24,44791689.82,23188481.74,61213725.46,47026123.32,33036168.43,20692568.15,46232914.61,33257327.50,23492855.25,15268280.42,30016686.12,21324225.97,17186020.60,12488084.20,20607906.89,15615281.49,12308356.36,8921540.71,15610862.49,12710267.48,9504242.47,6845577.05,13553489.00,11550167.98,9305836.07,7125680.82,11807525.34,9683154.83,8012623.98,6265626.02,9535901.33,8186928.55,5660064.52,4151750.70,7751120.36,5782129.29,4766313.53,3378062.30,6965837.56,5670191.77,5497314.09,5409499.53,0.0
7,管理费用,200658682.78,134122537.43,70987598.83,277644790.37,209892984.50,150954530.11,78093548.42,363145502.80,197322067.32,128432898.64,69618067.69,279425816.10,170244034.23,110353819.58,52901800.31,234448830.12,116910328.91,82743967.28,36761650.32,187845265.34,82084056.02,55434623.66,35126300.41,142552354.73,69022053.00,46873651.41,22298264.51,111307483.32,57688925.01,37033913.29,18526229.89,93017571.54,43739911.96,29555890.30,13902677.95,53124273.97,37602725.77,26360122.65,12443973.70,43950612.16,29788986.92,20055135.32,10157941.71,37513545.31,25509210.81,28342993.43,25713717.68,0.0
8,财务费用,58230759.98,38412293.11,14805910.01,32419414.78,17893751.86,9546082.90,4492872.31,-16920226.60,-9890810.00,-14484082.43,-5742272.96,-34203897.26,-21567177.43,-15727195.53,-6459923.67,9008506.86,11499057.69,6635688.93,3040295.78,10427323.58,6552335.68,3618896.55,1947443.58,4213195.14,2163915.81,766184.72,234053.83,-1496543.02,-1856955.96,-1126211.52,-72610.25,-3207752.88,-4397576.89,-2099984.89,-1337070.99,-6135453.67,524792.35,75085.00,189233.22,1223915.13,1416444.56,1080017.58,420568.60,4521951.16,3436682.88,2907562.37,56348.33,0.0
9,研发费用,58876823.84,42414317.02,10859511.58,145950117.14,33026851.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
