,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,1784007560.93,1244372240.80,760850991.03,2482528003.57,1692281856.19,1221652846.98,692989729.90,2714103885.52,1989473695.50,1598497812.46,573283701.61,3041467180.23,1739552719.55,1336752793.35,489544476.71,2651092378.36,1731523561.01,1090569061.25,578312777.39,2842337876.80,1444850421.30,913005336.62,478735094.67,2394363743.77,1163099622.49,853404951.57,465971768.51,1606923706.93,1134919614.77,773343455.06,451947211.76,1765307392.01,1132385096.44,742659283.95,439476121.74,2139380447.65,1653613440.63,1362584232.15,309739167.65,1052827034.74,702463905.28,498374249.56,260907141.29,1117485233.16,782825153.18,556157067.52,266123525.38,1151080848.38,1088974551.71,691922930.37,253918524.48,1186064361.28,744926449.70,503133207.40,239352238.25,1231336744.09,878690883.77,602819245.09,349611053.33,1010167294.74,744662936.38,512788315.44,258234082.69,933165920.62,625640295.87,389744288.96,174022942.29,626009540.38,427735161.01,266254290.88,135872016.39,458052067.23,192855584.65,379536398.71,172778317.58,292683274.96,247871556.58,134542756.12,0.0
2,营业收入,1784007560.93,1244372240.80,760850991.03,2482528003.57,1692281856.19,1221652846.98,692989729.90,2714103885.52,1989473695.50,1598497812.46,573283701.61,3041467180.23,1739552719.55,1336752793.35,489544476.71,2651092378.36,1731523561.01,1090569061.25,578312777.39,2842337876.80,1444850421.30,913005336.62,478735094.67,2394363743.77,1163099622.49,853404951.57,465971768.51,1606923706.93,1134919614.77,773343455.06,451947211.76,1765307392.01,1132385096.44,742659283.95,439476121.74,2139380447.65,1653613440.63,1362584232.15,309739167.65,1052827034.74,702463905.28,498374249.56,260907141.29,1117485233.16,782825153.18,556157067.52,266123525.38,1151080848.38,1088974551.71,691922930.37,253918524.48,1185110588.94,743447293.97,502396227.58,239150293.63,1229441918.39,877035178.34,601699159.76,349309251.60,1009198188.50,744232446.45,512636669.68,258104476.89,932984281.17,625335438.08,389596077.23,172653744.63,625342980.16,427027298.70,265779916.84,135491108.35,457048255.19,192761975.47,378825211.21,172567856.05,291282365.48,247589614.78,134210260.36,0.0
3,二、营业总成本,1673694702.66,1164445497.62,717993123.65,2343119943.03,1579482604.74,1143514587.82,644871338.38,2553338471.40,1872758788.70,1534059757.13,541803547.54,2880791141.58,1662260555.93,1294818897.05,478539547.01,2554888250.69,1677500604.39,1057881543.45,556040374.97,2770146815.04,1422644095.83,887448281.63,459520263.55,2396777349.41,1161100200.36,849343458.90,447108872.97,1582736479.37,1107973065.99,771124345.33,443201447.61,1702693380.96,1098460744.08,717614331.59,417870743.52,2044117869.11,1597018079.40,1312723676.46,294601897.94,1019205903.80,677011927.06,474190412.51,247058323.14,1063600687.08,745991975.45,529175433.42,243766845.45,1019813732.03,998587173.00,649136990.47,234562836.84,1093137879.34,663150350.18,447467300.94,211274988.99,1106879205.90,779948104.03,538627022.83,313105195.70,889026730.60,637885987.65,442456254.51,220388168.58,802860007.04,530658391.25,333496656.56,148321624.76,532407624.86,369727028.79,229254071.60,120020057.27,382776110.89,164880196.22,305661542.42,131827731.68,229563375.77,194186841.09,99670281.81,0.0
4,营业成本,1220873932.04,854175731.36,532569491.27,1789720861.41,1217536291.92,894858112.97,523177139.17,2028004831.77,1492385612.38,1241293297.74,406593176.25,2343226549.47,1338582418.37,1057338041.30,375019635.77,2005215525.21,1291914056.23,800541250.89,430958408.30,2229061015.46,1068765946.23,658171263.12,347838525.64,1819151780.96,811901457.57,608601197.43,336225732.89,1114507419.59,792054706.75,561054530.98,341455559.43,1285505944.86,832019589.71,537555260.13,320922447.98,1652453459.91,1320785921.65,1116509042.56,237146677.18,814344486.02,546313117.55,386481979.07,200184872.84,894135845.27,621762298.43,452246295.75,211325340.52,874954424.28,902494441.97,581385558.62,206599832.50,958812817.19,585096667.60,395837478.56,183360931.65,992263924.27,706722762.87,496983797.10,285206743.27,815112452.08,591627749.14,412835073.46,206206301.18,748298440.37,494134000.26,310927192.47,137504126.16,498639073.32,344857384.91,213056316.18,109110106.89,355148618.82,148917733.47,282254317.44,121558283.88,213851100.80,172104001.13,82114938.86,0.0
5,营业税金及附加,10831024.99,6473759.13,4112601.02,19336122.09,12022643.01,8912176.74,3841845.74,61600230.16,52964149.67,50459112.51,10339997.10,114724084.78,54404590.29,49300565.67,5712560.44,124676168.67,85060034.44,48058624.86,23967481.30,144340681.28,64593311.05,38758010.02,18048083.46,125050359.65,36293703.08,32429768.46,5919892.58,37052106.81,26026374.95,17596382.06,4454809.83,52295726.98,34127637.47,24281539.70,16830117.85,102061545.31,88645522.40,80792581.33,10999550.37,22111615.85,10123696.23,8487448.95,5486734.80,18345990.41,11956210.57,7433808.86,3215846.69,24102145.40,16852396.38,14258564.71,1836697.73,20516031.01,5664806.90,4808275.26,3859568.50,26093877.85,13570280.30,10736730.31,10255689.44,2623161.03,1077979.67,619464.44,291755.88,2802352.20,435245.70,372430.43,42502.56,4040314.64,3252090.59,2063127.71,2589024.19,3128202.84,1486233.25,3146186.21,1497533.23,1840719.34,1543273.43,667230.88,0.0
6,销售费用,266525764.10,180279873.99,91936365.83,309630569.15,205962980.61,148098906.34,74013984.58,290833945.36,198110629.10,146322272.45,73143796.57,246303257.54,146103572.73,109758354.99,56688175.11,205977335.07,148192716.53,102499550.09,50044046.70,186332305.23,133107198.34,89697251.45,42387772.57,215274370.99,147257271.57,93807549.10,47251215.94,171604958.60,118838377.60,76090717.16,37823703.58,163583557.54,101550655.61,60746417.64,25105311.44,121598896.80,78299342.53,51783167.57,17019056.62,61205425.32,36312567.15,21383183.90,9841144.49,41891121.73,32784458.18,20409722.67,9756008.30,43415684.52,29031413.45,18980544.10,8746558.71,38665110.36,25405130.39,16461770.28,8207544.84,31650256.75,22273913.99,13355342.44,6969848.24,28073604.10,18513890.73,12087968.84,6171690.70,23348871.78,15406378.42,8979961.62,4620848.37,23763390.01,13242418.01,8347277.46,5030322.39,15313679.53,6785208.18,13854456.07,5154671.29,5070810.37,7378527.23,5234908.58,0.0
7,管理费用,154066340.21,106878020.07,65294762.92,181192222.10,124612935.64,80562782.21,41930394.23,148357232.13,109448175.53,74629029.38,37802236.19,127562109.48,96534506.09,61834665.65,27926676.37,142117088.74,92409874.56,63422270.31,28856427.78,118768715.07,78527348.57,51762266.45,23822272.73,119081751.34,80472120.29,51068308.35,31607220.88,126796415.88,85897232.34,56189443.57,35391852.15,107371278.54,67035207.49,57172553.05,31274707.69,85977026.16,66135233.04,38898708.35,16355263.62,53680523.39,39963404.69,28748183.76,15312087.84,55221043.43,41286045.80,27028092.27,13084666.13,27564838.96,32571007.73,21040246.31,9417313.06,48356633.93,29218882.64,19532216.76,9109135.45,34967617.62,18329033.88,9556762.45,5792134.79,28168956.25,16116937.74,10871932.80,4216012.59,17905696.57,13053961.81,8110049.12,4438640.76,13150709.87,10528838.87,6422683.65,3464955.11,9644686.35,6603786.23,5576444.73,2864841.39,8502819.77,7390203.30,8545948.74,0.0
8,财务费用,14220302.61,11438729.99,5708042.45,7258325.38,2118161.62,379530.74,1907974.66,20758085.51,21343740.44,22849563.47,13924341.43,46603365.69,30941790.95,24748704.33,13192499.32,69437088.48,62472700.54,45908625.21,22214010.89,107172104.15,77001436.74,48410635.69,27423609.15,109821757.98,80621258.43,58882246.14,26104810.68,117644500.70,85626326.32,60663223.53,27727212.11,107871082.06,68202995.12,42333902.39,23738158.56,73300545.07,41190820.57,22778937.44,13081350.15,59480196.73,44247407.49,29037882.88,16233483.17,50708312.45,31442373.86,15861542.76,6384983.81,31334444.20,17637913.47,13472076.73,7962434.84,26787286.85,17764862.65,10827560.08,6737808.55,21903529.41,19052112.99,7994390.53,4880779.96,15048557.14,10549430.37,6041814.97,3502408.23,10504646.12,7628805.06,5107022.92,1715506.91,-7185862.98,-2153703.59,-635333.40,-174351.31,-459076.65,1087235.09,2147673.19,473037.11,163169.26,366185.95,860149.43,0.0
