,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,一、营业总收入,53616948.99,31690392.37,23562249.94,74949098.46,77034744.96,58831516.69,38899094.57,290968041.21,157928820.32,104078932.54,57914941.44,326687730.13,230742601.52,176735681.74,58830604.17,357407679.27,278402916.99,174005461.27,68351027.31,448863561.40,319403060.93,217017169.10,123808783.84,982474238.79,737193432.69,547906297.29,271919996.43,1128143774.39,875052947.28,601401135.91,241460233.01,1364031371.28,972346313.07,620609369.03,277252140.89,1097737537.41,814127781.20,542018563.92,252793467.61,893219597.36,663367517.87,430995828.40,211335876.14,1339794808.08,1122933577.00,731666346.31,326519443.37,935976611.98,639759395.99,391694516.50,160244580.77,345837574.26,190656511.64,112510117.83,45253200.05,287773996.55,184506964.09,72316443.87,29645630.73,270278837.23,141633845.03,66826739.09,19694957.34,161682740.27,109512906.76,87559956.10,27227802.93,209517512.93,161631845.35,123276469.75,66558513.79,377364144.16,142432571.90,232410614.12,92028422.45,160712834.63,48618120.42,102990194.53,103809483.55,43771521.25,8478635.23,0.0
2,营业收入,53616948.99,31690392.37,23562249.94,74949098.46,77034744.96,58831516.69,38899094.57,290968041.21,157928820.32,104078932.54,57914941.44,326687730.13,230742601.52,176735681.74,58830604.17,357407679.27,278402916.99,174005461.27,68351027.31,448863561.40,319403060.93,217017169.10,123808783.84,982474238.79,737193432.69,547906297.29,271919996.43,1128143774.39,875052947.28,601401135.91,241460233.01,1364031371.28,970788813.06,620609369.03,277252140.89,1097737537.41,814127781.20,542018563.92,252793467.61,893219597.36,663367517.87,430995828.40,211335876.14,1339794808.08,1122933577.00,731666346.31,326519443.37,935976611.98,639759395.99,391694516.50,160244580.77,344637372.79,189824591.03,112310265.92,45172533.43,284287128.88,183938496.93,70350862.81,28943499.95,269032657.86,142243115.19,65815739.16,18684951.00,160203068.55,108364322.48,86818613.13,26223003.08,208665920.55,158801910.15,122743780.96,64774932.88,375521160.66,141625528.64,231762618.36,91785099.36,157280600.23,48381432.95,103426988.28,99296189.58,39637963.68,8478635.23,0.0
3,二、营业总成本,121998763.21,57178406.30,31006076.56,532600182.89,138786061.64,100738291.58,60963383.93,253965785.50,140594827.67,86725110.07,46959178.46,479043779.75,230505834.02,180144137.15,78358708.42,369595376.16,267897017.28,167769691.37,73401130.34,483651442.11,350598425.77,243918494.65,140949010.67,970862345.90,725882728.45,534367759.11,258542052.68,1153071956.54,895082933.44,603233864.79,254052048.18,1345420875.08,964566990.58,604009776.19,265672759.43,1065587967.20,784272225.30,526914080.64,246760411.63,872455399.50,635322719.57,403861334.12,196261543.97,1219649675.34,963485650.32,606010096.45,263368059.91,815941346.03,559767116.63,334066814.82,149658239.76,322495762.67,182586982.73,116464426.13,40359710.01,263267210.86,170218209.91,68386832.86,28075178.05,248821758.48,132002945.68,64146180.01,20138823.47,155074032.71,105895474.57,81507682.76,28965642.99,206132919.85,147369571.07,107273168.87,59921145.86,322437835.24,127245946.40,214660716.43,83876142.34,137856599.62,43332476.99,85903913.94,85593944.54,30256911.10,11101733.72,0.0
4,营业成本,43624852.47,19080746.84,6555517.99,47125530.09,40288364.18,29310823.83,22380616.44,112204148.44,63708184.84,40399650.09,25622396.60,178245757.40,123184212.28,106635156.39,51114871.48,238597466.66,192525910.56,123054621.33,59591593.49,395772839.72,282133598.69,194904481.38,112524182.48,858308889.40,646500229.19,483628540.20,239288439.83,1023983638.13,797138081.41,535145961.18,219079497.97,1228286106.71,870622627.44,544882068.48,237501933.79,974401378.39,715391462.75,482834893.02,226474168.68,763008268.13,548830932.60,371497219.32,178510106.27,1111896537.51,893044368.96,559464996.21,241261261.62,740785776.02,506947126.78,299552042.93,134155804.35,286159785.70,158853246.88,100019506.50,32814157.35,241410422.73,159492859.14,61250646.30,24734605.29,225562981.30,113089227.91,50932941.65,12840757.68,106850369.37,71668227.81,53862248.64,15752463.15,108209044.61,78150104.03,58160995.67,32302241.22,170706199.05,65685469.52,110371391.28,41419462.23,74310029.67,20500801.72,44236635.27,54911668.44,18210144.52,6712144.34,0.0
5,营业税金及附加,4008536.75,2669928.17,1307973.92,5877113.15,3212614.41,3028517.94,165893.57,7950894.09,349053.86,260117.41,243356.06,6749073.21,570736.37,445181.64,217964.44,3435796.60,3622258.95,2418105.99,262417.81,1847708.34,1536343.46,1277243.11,320813.65,2544827.30,2230188.08,1648980.41,810674.92,3942454.18,3092185.91,1529186.04,859059.00,5092559.86,3172358.04,1831096.79,444112.38,3436781.02,2635789.67,1744065.48,504657.91,5229512.76,3590033.07,2328541.92,1780543.72,9751829.67,8440472.05,5216279.39,2944100.22,7105431.11,4769441.72,3301712.41,0,2638803.33,1271154.70,773728.40,363527.70,1542918.88,600511.01,0,628021.87,492562.73,132401.29,80728.62,25732.42,933995.02,499168.91,424238.91,198108.68,2047410.41,1332007.60,987907.99,445213.04,2576952.56,512023.74,2394587.99,1178669.48,1971453.67,458826.23,1284876.21,393455.45,158700.00,0,0.0
6,销售费用,4026287.41,3056661.74,4116867.53,28915992.86,14970332.44,9993451.69,4408912.18,29777288.55,19948360.89,11842010.66,8195761.09,36872501.54,21445889.54,13171906.86,6090594.04,13295602.65,7453612.22,4220933.21,1528831.09,3687286.72,2849212.23,1691237.71,1080232.93,4577700.17,4698470.01,3147309.42,1111155.29,5473154.58,4440593.25,3047842.97,1437481.22,2980171.88,4108880.27,2211565.54,772517.97,3111958.62,1889955.37,597294.34,276385.87,2085184.26,1421761.76,1022365.01,600555.35,3947204.45,3009064.15,2023644.91,1031573.97,6024991.44,5049500.77,4192382.64,1780947.01,4974613.50,2490062.93,1807650.78,718569.15,3707419.06,1843238.67,1164334.07,175156.31,11963738.75,8257177.24,6047940.90,3175921.39,27096246.75,19289166.41,16906147.35,5535748.72,47424782.32,37211257.37,27468215.46,18469302.29,106238574.60,44390025.81,61319546.72,28413161.86,43092091.84,15005891.35,25413347.90,18154852.32,7879337.99,151842.22,0.0
7,管理费用,27527662.57,8322359.06,5250247.96,39094366.40,46962809.20,35936315.17,21537453.95,47683064.73,40839352.69,26018110.29,9541212.30,84945806.32,61426529.53,41823046.42,15464379.56,66368460.66,48840240.78,28653123.20,8948431.77,34247706.93,22803423.77,15950090.22,9776645.78,51120570.20,37811687.80,25220545.64,12877713.36,62332942.15,46504459.54,34466961.31,17596382.18,57443470.64,48177807.41,34750989.84,18905394.00,57816899.49,47274454.91,32875186.96,15897527.49,49848198.66,37463720.11,19493488.33,8759903.74,42303314.64,28850554.28,19145161.18,8236285.95,27289909.11,20217559.72,14315492.26,7245973.87,12300889.30,7114314.10,7067902.31,3403670.18,10411531.61,5064790.49,4993681.67,1934971.89,6385844.95,7315241.82,4954823.26,3232995.04,18311722.56,13088507.39,9508624.22,6286038.33,45860095.84,28334175.28,19440498.37,8330820.32,39585988.77,15404062.20,37738283.47,11748033.36,16218065.00,6143436.67,11366189.34,8950262.56,4027001.48,3623513.56,0.0
8,财务费用,38965691.15,24048710.49,11642376.67,76367114.18,41051633.84,26233913.96,13397911.05,47802439.64,16514004.54,7863718.02,2221781.57,9744973.25,7633681.33,3377660.62,2861387.74,10109455.30,6443588.50,2811254.43,58621.60,4779653.01,4769873.18,4049447.67,2858460.42,16079149.36,12917056.87,9156530.10,3789035.17,33123989.96,25579401.26,20747449.94,11283636.03,48120260.95,32962593.15,19233268.38,8136478.45,23926679.85,14528190.84,7403654.91,3413215.51,16146570.49,10741899.50,7908638.28,4454709.50,32376408.06,28772837.78,19857092.43,9816126.00,35108674.24,22783487.64,12705184.58,5218081.85,16421670.84,12858204.12,6795638.14,3059785.63,6194918.58,3216810.60,978170.82,602422.69,4416630.75,3208897.42,2129745.58,863416.94,1881699.01,1350404.05,806423.64,1193284.11,2591586.67,2342026.79,1215551.38,373568.99,3330120.26,1254365.13,2836906.97,1116815.41,2234283.42,1223521.02,3602865.22,3183705.77,-18272.89,614233.60,0.0
