,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20041231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,研发费用,43304603.95,27653569.46,18393280.28,9903395.47,37800843.09,24563852.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,资产减值损失,0,0,0,-1192348.51,21413070.36,28206630.76,22311348.24,12108711.90,12511251.60,17229385.24,11729025.70,2021636.54,51274345.38,66047415.62,13368766.65,1255964.20,17826006.84,-809089.39,-90623.11,-421138.84,34909451.22,29653177.14,25907258.26,14543243.70,238615294.98,34405560.84,23899786.44,9853202.23,20817517.66,11153882.56,11354261.33,558121.62,4741043.68,1017919.03,1645621.74,915579.79,536646.99,719884.73,1091183.33,99946.52,3503559.74,-1503974.36,-1653183.20,-697867.56,3767465.50,711730.88,472904.29,443005.04,1218962.95,857658.30,857658.30,0,-1417728.99,-447179.33,-447179.33,0,0,0,0.0
11,公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61620.00,0,262813.16,262813.16,262813.16,262813.16,-262813.16,0,0.00,0,0,0,0,0,-68893.93,-68893.93,-68893.93,11290.93,-56814.69,-53824.44,-45933.79,-29632.45,82218.62,83928.76,40805.20,9510.00,231345.37,187855.37,187855.37,0,0,0,0.0
12,投资收益,35203547.69,22535502.59,13032088.47,2516248.41,22929825.20,6406989.43,3538613.67,3541326.78,10341923.05,6038756.87,4865865.08,3463072.56,1802957.79,1300484.66,779170.96,0,1102177.18,3402257.76,2134688.35,840116.07,73326709.36,81948381.89,0,0,-211404.00,-211404.00,0,0,342029.90,342029.90,342029.90,341047.96,12740773.67,0,0.00,0,1400000.00,1400000.00,1400000.00,0,81297.96,81297.96,81297.96,0,0,0,0,0,10000.83,10000.83,10000.83,10000.83,-83934.77,-86501.09,-83934.77,0,224633.15,168908.56,0.0
13,其中:对联营企业和合营企业的投资收益,1210232.89,777956.39,427708.44,248037.33,427104.15,471038.86,275207.85,158609.90,1133754.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,三、营业利润,1247619420.34,628514061.97,403929351.07,131952363.95,936859019.12,469899864.23,307070887.23,92961897.89,600381740.57,280834290.98,164789028.51,29223461.50,343387646.54,158168652.16,94186867.56,12591991.57,197946650.81,2551854.98,2683332.07,2430126.59,-164652953.78,-145412275.91,-180377808.22,-99611132.88,-541136990.71,-213237775.75,-135871515.75,-49201020.91,-197284197.10,-132386833.85,-82238745.57,3159169.34,80594110.53,86682752.17,50335516.77,40786858.98,215907062.67,138770086.57,70925968.73,26766944.85,74643325.60,48229803.35,35930261.05,17201925.76,32845266.72,45156974.94,29813591.18,7535849.92,82840248.71,53960496.96,33167264.72,10441963.18,62162411.27,35460930.15,24219428.15,6723639.97,57538597.01,14123019.54,0.0
16,加:营业外收入,30616105.63,17242848.63,13726611.27,1320071.00,26483062.32,20744628.94,16552124.91,4878513.50,24819251.13,2984343.06,2297051.16,988821.99,11121965.98,10820546.40,6530057.60,6393926.21,7370882.24,5664449.05,4938519.05,2392905.58,179958379.49,169479915.30,3870944.09,2603271.16,5867008.70,5042151.74,4101987.35,1423473.04,9646064.71,7020352.89,6225700.87,4966812.35,14266861.03,9300092.79,7753070.22,7597003.39,2452587.73,1600904.12,842875.03,605403.91,3544707.86,1758711.83,1383943.97,267195.21,3208764.21,699019.87,139703.85,37303.35,700711.75,444772.88,361646.60,265898.27,1143763.52,345100.11,322357.38,26589.09,40463.23,32394.74,0.0
17,减：营业外支出,230666.74,17279.15,16178.28,403.17,303484.67,4511.15,4511.14,0,31887.33,43320.32,22153.62,161.69,327255.42,15649.34,4620.30,0.24,116415.54,520941.06,160067.07,155488.83,1369444.19,1344800.33,1330239.92,1275465.89,1091109.27,254479.80,254479.80,1379.80,3490006.07,638791.84,622791.84,0,1304671.80,1118414.62,638880.27,550000.00,1380365.07,1379175.12,1079175.12,94959.28,250637.94,103976.70,70250.71,62147.86,753614.85,755225.85,754579.00,0,437730.50,342719.06,334719.06,0,1247817.18,1176212.60,1076543.85,120352.00,4038417.45,666631.51,0.0
18,其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,31141.99,18324.78,0,57972.73,10811.27,0,0,115253.57,217669.57,90067.07,85488.83,1284066.16,1259422.30,1244861.89,1244861.89,130548.42,0,0,0,2363033.48,72791.84,72791.84,0,70353.26,19914.62,18880.27,0,99303.47,98113.52,98113.52,19135.28,18725.99,0,0,0,1683.00,0,0,0,38571.51,0,0,0,325175.48,0,0,0,0,0,0.0
19,四、利润总额,1278004859.23,645739631.45,417639784.06,133272031.78,963038596.77,490639982.02,323618501.00,97840411.39,625169104.37,283775313.72,167063926.05,30212121.80,354182357.10,168973549.22,100712304.86,18985917.54,205201117.51,7695362.97,7461784.05,4667543.34,13935981.52,22722839.06,-177837104.05,-98283327.61,-536361091.28,-208450103.81,-132024008.20,-47778927.67,-191128138.46,-126005272.80,-76635836.54,8125981.69,93556299.76,94864430.34,57449706.72,47833862.37,216979285.33,138991815.57,70689668.64,27277389.48,77937395.52,49884538.48,37243954.31,17406973.11,35300416.08,45100768.96,29198716.03,7573153.27,83103229.96,54062550.78,33194192.26,10707861.45,62058357.61,34629817.66,23465241.68,6629877.06,53540642.79,13488782.77,0.0
20,减：所得税费用,71843874.32,43617724.09,31418203.73,11221728.62,75758909.06,40358545.25,31034596.13,8100895.23,89560845.15,40218552.68,26758289.44,4152953.42,51119402.74,24608324.67,15382294.06,2679964.52,32935001.95,134147.20,34718.40,69382.67,2009666.46,1865047.90,1755827.09,0,101917.81,0,0,0,3727908.37,347885.03,-596812.41,2236535.73,9482213.59,11944209.55,10364505.39,7818705.20,39376428.02,25481776.59,12373476.95,4752730.19,3863181.32,2521601.06,1715346.80,634975.19,3462168.88,3789704.26,2490760.19,654256.32,16442168.01,10646767.10,6529309.64,2042318.27,4423806.82,2354157.85,1448975.23,509061.39,2166072.63,5519549.92,0.0
